BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ABDERA-70,TRUE,FALSE,Major,10824678,125d06h51m18,0
ABDERA-199,FALSE,FALSE,Minor,810591,09d09h09m51,0
ABDERA-194,TRUE,FALSE,Major,9010885,104d07h01m25,0
ABDERA-195,TRUE,FALSE,Minor,231346,02d16h15m46,0
ABDERA-196,TRUE,FALSE,Major,53794,00d14h56m34,0
ABDERA-191,FALSE,FALSE,Major,4162442,48d04h14m02,0
ABDERA-200,FALSE,FALSE,Major,1828,00d00h30m28,0
ABDERA-201,FALSE,FALSE,Minor,2542183,29d10h09m43,0
ABDERA-202,TRUE,FALSE,Major,2529751,29d06h42m31,0
ABDERA-203,FALSE,FALSE,Minor,1012490,11d17h14m50,0
ABDERA-205,TRUE,FALSE,Major,116,00d00h01m56,0
ABDERA-123,FALSE,FALSE,Major,47671,00d13h14m31,0
ABDERA-122,FALSE,FALSE,Major,6245,00d01h44m05,0
ABDERA-125,FALSE,FALSE,Minor,30047,00d08h20m47,0
ABDERA-124,TRUE,FALSE,Major,70532,00d19h35m32,0
ABDERA-126,FALSE,FALSE,Major,82970,00d23h02m50,0
ABDERA-281,FALSE,FALSE,Major,12391503,143d10h05m03,0
ABDERA-282,FALSE,FALSE,Blocker,31287,00d08h41m27,0
ABDERA-284,FALSE,FALSE,Critical,23342480,270d04h01m20,0
ABDERA-285,FALSE,FALSE,Trivial,1876090,21d17h08m10,0
ABDERA-183,TRUE,FALSE,Major,289446,03d08h24m06,0
ABDERA-180,TRUE,FALSE,Major,8663909,100d06h38m29,0
ABDERA-186,FALSE,FALSE,Major,421122,04d20h58m42,0
ABDERA-259,TRUE,FALSE,Major,16772224,194d02h57m04,0
ABDERA-213,FALSE,FALSE,Blocker,8511899,98d12h24m59,0
ABDERA-211,FALSE,FALSE,Major,10197274,118d00h34m34,0
ABDERA-210,FALSE,FALSE,Major,10199379,118d01h09m39,0
ABDERA-80,FALSE,FALSE,Minor,1534,00d00h25m34,0
ABDERA-87,FALSE,FALSE,Major,3531803,40d21h03m23,1
ABDERA-218,FALSE,FALSE,Major,6029926,69d18h58m46,0
ABDERA-114,FALSE,FALSE,Major,43299,00d12h01m39,0
ABDERA-117,FALSE,FALSE,Major,76798,00d21h19m58,0
ABDERA-110,FALSE,FALSE,Major,9401,00d02h36m41,0
ABDERA-111,FALSE,FALSE,Major,159812,01d20h23m32,0
ABDERA-113,FALSE,FALSE,Minor,14818,00d04h06m58,0
ABDERA-118,FALSE,FALSE,Major,21500,00d05h58m20,0
ABDERA-119,FALSE,FALSE,Major,18720,00d05h12m00,0
ABDERA-290,FALSE,FALSE,Blocker,2157070,24d23h11m10,1
ABDERA-13,FALSE,FALSE,Major,176906,02d01h08m26,0
ABDERA-15,FALSE,FALSE,Major,1892,00d00h31m32,0
ABDERA-108,FALSE,FALSE,Major,23651,00d06h34m11,0
ABDERA-92,TRUE,FALSE,Major,687223,07d22h53m43,0
ABDERA-101,TRUE,FALSE,Major,169968,01d23h12m48,1
ABDERA-107,FALSE,FALSE,Minor,25531,00d07h05m31,0
ABDERA-105,FALSE,FALSE,Major,44782,00d12h26m22,0
ABDERA-95,TRUE,FALSE,Major,163548,01d21h25m48,0
ABDERA-262,TRUE,FALSE,Minor,9355066,108d06h37m46,0
ABDERA-27,FALSE,FALSE,Major,178584,02d01h36m24,1
ABDERA-24,FALSE,FALSE,Minor,2248,00d00h37m28,0
ABDERA-23,FALSE,FALSE,Minor,41076,00d11h24m36,0
ABDERA-22,FALSE,FALSE,Major,97966,01d03h12m46,0
ABDERA-20,FALSE,FALSE,Major,1130128,13d01h55m28,0
ABDERA-178,FALSE,FALSE,Minor,396899,04d14h14m59,0
ABDERA-179,FALSE,FALSE,Major,9123313,105d14h15m13,0
ABDERA-176,FALSE,FALSE,Minor,397446,04d14h24m06,0
ABDERA-177,FALSE,FALSE,Minor,397222,04d14h20m22,0
ABDERA-175,FALSE,FALSE,Minor,783114,09d01h31m54,0
ABDERA-172,FALSE,FALSE,Minor,207089,02d09h31m29,0
ABDERA-173,FALSE,FALSE,Major,205764,02d09h09m24,0
ABDERA-270,FALSE,FALSE,Blocker,2192006,25d08h53m26,0
ABDERA-275,TRUE,FALSE,Major,184000,02d03h06m40,0
ABDERA-277,TRUE,FALSE,Critical,257047,02d23h24m07,0
ABDERA-30,TRUE,FALSE,Major,1170,00d00h19m30,0
ABDERA-35,FALSE,FALSE,Major,15203,00d04h13m23,0
ABDERA-103,TRUE,FALSE,Major,72184,00d20h03m04,0
ABDERA-161,TRUE,FALSE,Major,22759,00d06h19m19,0
ABDERA-160,TRUE,FALSE,Minor,41501,00d11h31m41,0
ABDERA-162,TRUE,FALSE,Major,14402081,166d16h34m41,1
ABDERA-242,FALSE,FALSE,Major,30195490,349d11h38m10,0
ABDERA-243,TRUE,FALSE,Major,48006118,555d15h01m58,0
ABDERA-311,FALSE,FALSE,Major,207358,02d09h35m58,0
ABDERA-49,FALSE,FALSE,Critical,2384779,27d14h26m19,0
ABDERA-48,FALSE,FALSE,Minor,14576,00d04h02m56,0
ABDERA-44,FALSE,FALSE,Major,7912129,91d13h48m49,1
ABDERA-47,TRUE,FALSE,Major,14500,00d04h01m40,0
ABDERA-40,FALSE,FALSE,Major,669838,07d18h03m58,0
ABDERA-152,FALSE,FALSE,Minor,1533418,17d17h56m58,0
ABDERA-258,TRUE,FALSE,Major,13292653,153d20h24m13,0
ABDERA-155,FALSE,FALSE,Critical,865871,10d00h31m11,0
ABDERA-159,TRUE,FALSE,Major,118240,01d08h50m40,0
ABDERA-251,TRUE,FALSE,Major,35228864,407d17h47m44,0
ABDERA-250,FALSE,FALSE,Major,17033703,197d03h35m03,0
ABDERA-256,FALSE,FALSE,Major,794,00d00h13m14,0
ABDERA-309,FALSE,FALSE,Major,34042,00d09h27m22,0
ABDERA-9,TRUE,FALSE,Minor,20125,00d05h35m25,0
ABDERA-57,FALSE,FALSE,Major,97195,01d02h59m55,0
ABDERA-50,FALSE,FALSE,Major,2073936,24d00h05m36,0
ABDERA-51,FALSE,FALSE,Major,3304935,38d06h02m15,0
ABDERA-145,FALSE,FALSE,Minor,386956,04d11h29m16,0
ABDERA-225,FALSE,FALSE,Major,94936,01d02h22m16,0
ABDERA-222,FALSE,FALSE,Major,3619572,41d21h26m12,0
ABDERA-62,FALSE,FALSE,Trivial,37485,00d10h24m45,0
ABDERA-61,TRUE,FALSE,Major,110630,01d06h43m50,0
ABDERA-60,TRUE,FALSE,Major,220248,02d13h10m48,0
ABDERA-67,FALSE,FALSE,Minor,37301,00d10h21m41,0
ABDERA-69,FALSE,FALSE,Minor,3289651,38d01h47m31,0
ABDERA-68,FALSE,FALSE,Major,1327,00d00h22m07,0
ABDERA-132,FALSE,FALSE,Major,4657365,53d21h42m45,0
ABDERA-133,FALSE,FALSE,Critical,4654491,53d20h54m51,1
ABDERA-130,FALSE,FALSE,Major,65820,00d18h17m00,0
ABDERA-131,TRUE,FALSE,Major,6426,00d01h47m06,0
ABDERA-136,FALSE,FALSE,Trivial,4160082,48d03h34m42,0
ABDERA-134,FALSE,FALSE,Trivial,4250899,49d04h48m19,0
ABDERA-135,FALSE,FALSE,Minor,1831659,21d04h47m39,0
