BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ACCUMULO-3784,TRUE,FALSE,Blocker,5683,00d01h34m43,0
ACCUMULO-3786,FALSE,FALSE,Major,254758,02d22h45m58,0
ACCUMULO-2306,FALSE,FALSE,Major,9793,00d02h43m13,0
ACCUMULO-3789,TRUE,FALSE,Blocker,77066,00d21h24m26,0
ACCUMULO-3788,FALSE,FALSE,Major,98107,01d03h15m07,0
ACCUMULO-1698,FALSE,FALSE,Major,365812,04d05h36m52,0
ACCUMULO-2092,FALSE,FALSE,Major,3732317,43d04h45m17,0
ACCUMULO-2093,TRUE,FALSE,Major,10001,00d02h46m41,0
ACCUMULO-3549,TRUE,FALSE,Minor,426637,04d22h30m37,0
ACCUMULO-2091,TRUE,FALSE,Major,4419376,51d03h36m16,1
ACCUMULO-2096,TRUE,FALSE,Major,3042564,35d05h09m24,1
ACCUMULO-3542,FALSE,FALSE,Major,1075698,12d10h48m18,0
ACCUMULO-3541,FALSE,FALSE,Blocker,92131,01d01h35m31,0
ACCUMULO-3547,FALSE,FALSE,Blocker,68017,00d18h53m37,0
ACCUMULO-182,FALSE,FALSE,Major,669783,07d18h03m03,0
ACCUMULO-189,FALSE,FALSE,Minor,608430,07d01h00m30,0
ACCUMULO-1110,FALSE,FALSE,Critical,191239,02d05h07m19,0
ACCUMULO-2761,FALSE,FALSE,Major,1382528,16d00h02m08,0
ACCUMULO-2764,TRUE,TRUE,Major,1295309,14d23h48m29,0
ACCUMULO-2941,TRUE,FALSE,Minor,5042,00d01h24m02,0
ACCUMULO-2766,TRUE,TRUE,Critical,3423100,39d14h51m40,0
ACCUMULO-3148,FALSE,FALSE,Major,82296,00d22h51m36,0
ACCUMULO-2768,FALSE,FALSE,Major,1074238,12d10h23m58,0
ACCUMULO-3146,TRUE,FALSE,Major,1483835,17d04h10m35,1
ACCUMULO-3145,FALSE,FALSE,Trivial,1427,00d00h23m47,0
ACCUMULO-3144,FALSE,FALSE,Trivial,2116,00d00h35m16,0
ACCUMULO-3143,TRUE,FALSE,Critical,35163,00d09h46m03,0
ACCUMULO-3141,TRUE,FALSE,Major,24115880,279d02h51m20,0
ACCUMULO-3140,FALSE,FALSE,Major,183557,02d02h59m17,0
ACCUMULO-2549,FALSE,FALSE,Minor,6916213,80d01h10m13,0
ACCUMULO-2540,FALSE,FALSE,Blocker,950,00d00h15m50,0
ACCUMULO-2237,FALSE,FALSE,Trivial,142,00d00h02m22,0
ACCUMULO-2234,TRUE,FALSE,Blocker,197179,02d06h46m19,1
ACCUMULO-2235,FALSE,FALSE,Minor,96806,01d02h53m26,0
ACCUMULO-2232,TRUE,FALSE,Major,53585915,620d04h58m35,0
ACCUMULO-2233,FALSE,FALSE,Trivial,3632015,42d00h53m35,0
ACCUMULO-2230,FALSE,FALSE,Major,48969,00d13h36m09,0
ACCUMULO-2788,FALSE,FALSE,Trivial,38608724,446d20h38m44,0
ACCUMULO-2787,FALSE,FALSE,Major,2865929,33d04h05m29,0
ACCUMULO-2785,FALSE,FALSE,Major,1400543,16d05h02m23,0
ACCUMULO-235,FALSE,FALSE,Major,20563826,238d00h10m26,0
ACCUMULO-1976,TRUE,FALSE,Blocker,2691283,31d03h34m43,0
ACCUMULO-2090,TRUE,FALSE,Major,4419731,51d03h42m11,1
ACCUMULO-1972,FALSE,FALSE,Minor,128365558,1485d17h05m58,0
ACCUMULO-98,FALSE,FALSE,Major,331514,03d20h05m14,0
ACCUMULO-99,FALSE,FALSE,Trivial,3898,00d01h04m58,0
ACCUMULO-96,TRUE,FALSE,Major,170193340,1969d19h55m40,0
ACCUMULO-94,TRUE,FALSE,Major,1333,00d00h22m13,0
ACCUMULO-95,TRUE,FALSE,Minor,1301,00d00h21m41,0
ACCUMULO-93,FALSE,FALSE,Minor,293,00d00h04m53,0
ACCUMULO-2437,FALSE,FALSE,Major,991026,11d11h17m06,1
ACCUMULO-2433,TRUE,FALSE,Minor,2608330,30d04h32m10,1
ACCUMULO-525,FALSE,FALSE,Minor,16249277,188d01h41m17,1
ACCUMULO-524,TRUE,FALSE,Minor,17654,00d04h54m14,0
ACCUMULO-526,TRUE,FALSE,Minor,17191,00d04h46m31,0
ACCUMULO-521,TRUE,FALSE,Minor,17970,00d04h59m30,0
ACCUMULO-520,FALSE,FALSE,Minor,1216092,14d01h48m12,0
ACCUMULO-523,TRUE,FALSE,Major,17696,00d04h54m56,0
ACCUMULO-522,TRUE,FALSE,Trivial,17773,00d04h56m13,0
ACCUMULO-528,TRUE,FALSE,Major,1368387,15d20h06m27,0
ACCUMULO-422,TRUE,TRUE,Major,604262,06d23h51m02,0
ACCUMULO-1206,TRUE,FALSE,Major,86453,01d00h00m53,0
ACCUMULO-1204,FALSE,FALSE,Major,51563,00d14h19m23,0
ACCUMULO-427,FALSE,FALSE,Blocker,84543,00d23h29m03,0
ACCUMULO-1440,FALSE,TRUE,Major,20769,00d05h46m09,0
ACCUMULO-1441,FALSE,FALSE,Major,75337,00d20h55m37,0
ACCUMULO-737,FALSE,FALSE,Minor,229,00d00h03m49,0
ACCUMULO-1332,FALSE,FALSE,Minor,256,00d00h04m16,0
