BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
AMQ-2097,FALSE,FALSE,Major,4723150,54d15h59m10,1
AMQ-2096,TRUE,FALSE,Major,758800,08d18h46m40,0
AMQ-3516,TRUE,FALSE,Minor,72236,00d20h03m56,0
AMQ-2098,TRUE,FALSE,Major,43562932,504d04h48m52,0
AMQ-5972,TRUE,FALSE,Major,612,00d00h10m12,0
AMQ-2651,TRUE,TRUE,Major,3088459,35d17h54m19,0
AMQ-3709,FALSE,FALSE,Major,1649,00d00h27m29,0
AMQ-2656,TRUE,TRUE,Major,73064965,845d15h49m25,1
AMQ-2654,FALSE,FALSE,Trivial,1449,00d00h24m09,0
AMQ-3251,TRUE,FALSE,Major,481,00d00h08m01,0
AMQ-2659,TRUE,FALSE,Major,259870916,3007d18h21m56,1
AMQ-4952,TRUE,FALSE,Major,1607796,18d14h36m36,0
AMQ-4950,TRUE,FALSE,Major,1471229,17d00h40m29,0
AMQ-4958,FALSE,FALSE,Major,13667495,158d04h31m35,1
AMQ-2384,TRUE,FALSE,Major,17493253,202d11h14m13,1
AMQ-2475,TRUE,FALSE,Major,21628231,250d07h50m31,1
AMQ-2473,TRUE,TRUE,Minor,3884439,44d23h00m39,0
AMQ-2472,FALSE,FALSE,Major,44560,00d12h22m40,0
AMQ-2470,FALSE,FALSE,Major,11053,00d03h04m13,0
AMQ-2478,FALSE,FALSE,Major,9695,00d02h41m35,0
AMQ-6177,FALSE,FALSE,Major,219260,02d12h54m20,0
AMQ-3414,FALSE,FALSE,Major,132925,01d12h55m25,0
AMQ-6175,FALSE,FALSE,Blocker,1565,00d00h26m05,0
AMQ-6170,FALSE,FALSE,Major,348,00d00h05m48,0
AMQ-6171,TRUE,FALSE,Major,860,00d00h14m20,0
AMQ-2226,FALSE,FALSE,Trivial,40619729,470d03h15m29,0
AMQ-4823,TRUE,FALSE,Major,1701,00d00h28m21,0
AMQ-4820,TRUE,FALSE,Major,7363,00d02h02m43,0
AMQ-2274,FALSE,FALSE,Critical,1010207,11d16h36m47,0
AMQ-2277,TRUE,FALSE,Major,148421,01d17h13m41,0
AMQ-5551,FALSE,FALSE,Major,1889504,21d20h51m44,0
AMQ-5550,FALSE,FALSE,Major,86800,01d00h06m40,0
AMQ-5804,FALSE,FALSE,Major,1986973,22d23h56m13,0
AMQ-2079,FALSE,FALSE,Major,82,00d00h01m22,0
AMQ-2078,TRUE,FALSE,Major,6863552,79d10h32m32,0
AMQ-2070,TRUE,FALSE,Major,46734778,540d21h52m58,1
AMQ-2076,FALSE,FALSE,Major,84191463,974d10h31m03,1
AMQ-2075,FALSE,FALSE,Major,16538505,191d10h01m45,0
AMQ-2074,FALSE,FALSE,Major,3101399,35d21h29m59,0
AMQ-1077,FALSE,FALSE,Major,4757658,55d01h34m18,0
AMQ-1072,TRUE,FALSE,Major,21183557,245d04h19m17,1
AMQ-1071,TRUE,FALSE,Minor,17695333,204d19h22m13,0
AMQ-1078,FALSE,FALSE,Major,8625574,99d19h59m34,1
AMQ-6549,FALSE,FALSE,Trivial,1133564,13d02h52m44,0
AMQ-6548,FALSE,FALSE,Major,2350157,27d04h49m17,0
AMQ-6545,FALSE,FALSE,Major,560,00d00h09m20,0
AMQ-6544,FALSE,FALSE,Major,333807,03d20h43m27,0
AMQ-6389,FALSE,FALSE,Minor,208,00d00h03m28,0
AMQ-6387,TRUE,FALSE,Minor,2333629,27d00h13m49,0
AMQ-6381,FALSE,FALSE,Minor,296,00d00h04m56,0
AMQ-1678,TRUE,FALSE,Major,133155,01d12h59m15,0
AMQ-1674,FALSE,FALSE,Major,2114,00d00h35m14,0
AMQ-1670,TRUE,FALSE,Major,8520,00d02h22m00,0
AMQ-1672,TRUE,FALSE,Major,314515,03d15h21m55,0
AMQ-5704,FALSE,FALSE,Major,345,00d00h05m45,0
AMQ-5705,TRUE,FALSE,Minor,7138843,82d15h00m43,1
AMQ-5703,TRUE,FALSE,Major,5659,00d01h34m19,0
AMQ-4609,FALSE,FALSE,Major,482,00d00h08m02,0
AMQ-4606,FALSE,FALSE,Minor,8407728,97d07h28m48,0
AMQ-4604,FALSE,FALSE,Minor,443686,05d03h14m46,0
AMQ-4605,TRUE,FALSE,Minor,105119,01d05h11m59,0
AMQ-1490,TRUE,FALSE,Major,8037375,93d00h36m15,2
AMQ-1491,FALSE,FALSE,Major,796787,09d05h19m47,0
AMQ-1498,FALSE,FALSE,Major,64273661,743d21h47m41,1
AMQ-4548,FALSE,FALSE,Major,550,00d00h09m10,0
AMQ-1702,FALSE,FALSE,Major,59,00d00h00m59,0
AMQ-1705,FALSE,FALSE,Major,53092,00d14h44m52,0
AMQ-1706,FALSE,FALSE,Trivial,121296041,1403d21h20m41,1
AMQ-1709,FALSE,FALSE,Major,1101694,12d18h01m34,0
AMQ-1254,TRUE,FALSE,Major,27337512,316d09h45m12,1
AMQ-4542,TRUE,FALSE,Major,953048,11d00h44m08,0
AMQ-4544,TRUE,FALSE,Major,873,00d00h14m33,0
AMQ-1250,FALSE,FALSE,Major,11507684,133d04h34m44,0
AMQ-1251,TRUE,FALSE,Major,12741409,147d11h16m49,1
AMQ-5013,FALSE,FALSE,Major,961763,11d03h09m23,0
AMQ-5016,FALSE,FALSE,Major,15889363,183d21h42m43,1
AMQ-5017,FALSE,FALSE,Minor,46073,00d12h47m53,0
AMQ-6765,FALSE,FALSE,Major,106510,01d05h35m10,0
AMQ-1385,FALSE,FALSE,Minor,75565228,874d14h20m28,0
AMQ-1380,FALSE,FALSE,Major,59415497,687d16h18m17,1
AMQ-1381,TRUE,FALSE,Major,18494671,214d01h24m31,0
AMQ-1814,TRUE,FALSE,Major,7666,00d02h07m46,0
AMQ-1816,FALSE,FALSE,Major,7525,00d02h05m25,0
AMQ-1817,FALSE,FALSE,Trivial,51233196,592d23h26m36,0
AMQ-1810,FALSE,FALSE,Major,6332,00d01h45m32,0
AMQ-1811,FALSE,FALSE,Major,59,00d00h00m59,0
