BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
AIRAVATA-2382,FALSE,FALSE,Major,38621815,447d00h16m55,0
AIRAVATA-601,FALSE,FALSE,Major,603101,06d23h31m41,0
AIRAVATA-234,FALSE,FALSE,Major,21092,00d05h51m32,0
AIRAVATA-436,TRUE,FALSE,Major,97441,01d03h04m01,0
AIRAVATA-2316,TRUE,FALSE,Major,11302643,130d19h37m23,1
AIRAVATA-2310,FALSE,FALSE,Major,15722707,181d23h25m07,1
AIRAVATA-1660,FALSE,FALSE,Major,1298453,15d00h40m53,0
AIRAVATA-83,TRUE,FALSE,Major,213,00d00h03m33,0
AIRAVATA-129,FALSE,FALSE,Major,3887,00d01h04m47,0
AIRAVATA-127,FALSE,FALSE,Major,76696,00d21h18m16,0
AIRAVATA-1554,TRUE,FALSE,Major,1207163,13d23h19m23,0
AIRAVATA-125,FALSE,FALSE,Major,38411,00d10h40m11,0
AIRAVATA-124,FALSE,FALSE,Major,101405,01d04h10m05,0
AIRAVATA-1555,FALSE,FALSE,Major,851057,09d20h24m17,0
AIRAVATA-1402,FALSE,FALSE,Major,730,00d00h12m10,0
AIRAVATA-1011,TRUE,FALSE,Major,4472905,51d18h28m25,0
AIRAVATA-1010,TRUE,FALSE,Major,4476278,51d19h24m38,0
AIRAVATA-510,TRUE,FALSE,Major,3952,00d01h05m52,0
AIRAVATA-1409,TRUE,FALSE,Major,387,00d00h06m27,0
AIRAVATA-503,TRUE,FALSE,Blocker,68686,00d19h04m46,0
AIRAVATA-244,TRUE,FALSE,Blocker,6013,00d01h40m13,0
AIRAVATA-2440,FALSE,FALSE,Major,944060,10d22h14m20,0
AIRAVATA-1495,FALSE,FALSE,Major,1210845,14d00h20m45,0
AIRAVATA-1497,FALSE,FALSE,Major,13464451,155d20h07m31,0
AIRAVATA-2757,FALSE,FALSE,Major,3978764,46d01h12m44,0
AIRAVATA-1062,FALSE,FALSE,Major,94319,01d02h11m59,0
AIRAVATA-1242,FALSE,FALSE,Major,9015,00d02h30m15,0
AIRAVATA-1243,FALSE,FALSE,Major,3675,00d01h01m15,0
AIRAVATA-1244,TRUE,FALSE,Major,1714,00d00h28m34,0
AIRAVATA-466,FALSE,FALSE,Major,2748,00d00h45m48,0
AIRAVATA-1088,TRUE,FALSE,Major,37,00d00h00m37,0
AIRAVATA-1089,FALSE,FALSE,Major,1761,00d00h29m21,0
AIRAVATA-581,FALSE,FALSE,Major,1543806,17d20h50m06,0
AIRAVATA-582,FALSE,FALSE,Major,1206994,13d23h16m34,0
AIRAVATA-584,FALSE,FALSE,Major,599733,06d22h35m33,0
AIRAVATA-1080,FALSE,FALSE,Major,1202562,13d22h02m42,0
AIRAVATA-864,FALSE,FALSE,Blocker,1764,00d00h29m24,0
AIRAVATA-865,FALSE,FALSE,Major,2680,00d00h44m40,0
AIRAVATA-860,FALSE,FALSE,Major,7175050,83d01h04m10,0
AIRAVATA-907,FALSE,FALSE,Major,2132,00d00h35m32,0
AIRAVATA-1836,FALSE,FALSE,Major,6674138,77d05h55m38,1
AIRAVATA-903,FALSE,FALSE,Major,10259,00d02h50m59,0
AIRAVATA-648,FALSE,FALSE,Major,225,00d00h03m45,0
AIRAVATA-646,FALSE,FALSE,Major,1197617,13d20h40m17,0
AIRAVATA-643,TRUE,FALSE,Major,4827278,55d20h54m38,0
AIRAVATA-765,FALSE,FALSE,Major,6838,00d01h53m58,0
AIRAVATA-764,FALSE,FALSE,Major,253200,02d22h20m00,0
AIRAVATA-885,FALSE,FALSE,Major,189,00d00h03m09,0
AIRAVATA-886,FALSE,FALSE,Major,2248955,26d00h42m35,0
AIRAVATA-881,FALSE,FALSE,Major,85985,00d23h53m05,0
AIRAVATA-882,TRUE,FALSE,Minor,5334296,61d17h44m56,0
AIRAVATA-160,TRUE,FALSE,Major,692067,08d00h14m27,0
AIRAVATA-165,FALSE,FALSE,Major,619921,07d04h12m01,0
AIRAVATA-164,FALSE,FALSE,Major,20736,00d05h45m36,0
AIRAVATA-168,FALSE,FALSE,Major,613724,07d02h28m44,0
AIRAVATA-1909,FALSE,FALSE,Major,10189856,117d22h30m56,0
AIRAVATA-245,TRUE,FALSE,Major,194,00d00h03m14,0
AIRAVATA-2349,FALSE,FALSE,Major,3196,00d00h53m16,0
AIRAVATA-2347,FALSE,FALSE,Major,347546,04d00h32m26,0
AIRAVATA-2342,TRUE,FALSE,Major,5596165,64d18h29m25,0
AIRAVATA-2408,TRUE,FALSE,Major,1638541,18d23h09m01,0
AIRAVATA-2405,TRUE,FALSE,Major,41831374,484d03h49m34,1
AIRAVATA-2156,FALSE,TRUE,Major,1988261,23d00h17m41,1
AIRAVATA-2403,TRUE,FALSE,Major,2502510,28d23h08m30,0
AIRAVATA-53,FALSE,FALSE,Major,159,00d00h02m39,0
AIRAVATA-2126,FALSE,FALSE,Major,302,00d00h05m02,0
AIRAVATA-425,FALSE,FALSE,Major,6623,00d01h50m23,0
AIRAVATA-930,FALSE,FALSE,Major,104042,01d04h54m02,0
AIRAVATA-421,TRUE,FALSE,Major,7478,00d02h04m38,0
AIRAVATA-545,FALSE,FALSE,Major,515476,05d23h11m16,0
AIRAVATA-544,FALSE,FALSE,Major,516546,05d23h29m06,0
AIRAVATA-1477,FALSE,FALSE,Minor,249321,02d21h15m21,0
AIRAVATA-939,FALSE,FALSE,Blocker,176589,02d01h03m09,0
AIRAVATA-1051,FALSE,FALSE,Major,2174555,25d04h02m35,0
AIRAVATA-1057,TRUE,FALSE,Major,1975207,22d20h40m07,0
AIRAVATA-729,FALSE,FALSE,Major,44502,00d12h21m42,0
AIRAVATA-680,FALSE,FALSE,Major,1986006,22d23h40m06,0
AIRAVATA-681,TRUE,FALSE,Major,156365,01d19h26m05,0
AIRAVATA-687,TRUE,FALSE,Major,249,00d00h04m09,0
AIRAVATA-1370,FALSE,FALSE,Major,11138249,128d21h57m29,0
AIRAVATA-1371,TRUE,FALSE,Major,21324167,246d19h22m47,0
AIRAVATA-1372,FALSE,FALSE,Major,21322031,246d18h47m11,0
AIRAVATA-727,TRUE,FALSE,Blocker,16385,00d04h33m05,0
AIRAVATA-1273,FALSE,FALSE,Major,303,00d00h05m03,0
AIRAVATA-1275,FALSE,FALSE,Major,28409250,328d19h27m30,0
AIRAVATA-1276,FALSE,FALSE,Major,306,00d00h05m06,0
AIRAVATA-1279,FALSE,FALSE,Major,78565,00d21h49m25,0
AIRAVATA-1284,TRUE,FALSE,Major,47105,00d13h05m05,0
AIRAVATA-834,TRUE,FALSE,Major,24763,00d06h52m43,0
AIRAVATA-837,FALSE,FALSE,Major,262183,03d00h49m43,0
AIRAVATA-836,FALSE,FALSE,Major,3187,00d00h53m07,0
AIRAVATA-1280,FALSE,FALSE,Major,2163,00d00h36m03,0
AIRAVATA-830,TRUE,FALSE,Major,10469108,121d04h05m08,0
AIRAVATA-833,TRUE,FALSE,Major,18996,00d05h16m36,0
AIRAVATA-1283,TRUE,FALSE,Major,27315604,316d03h40m04,0
AIRAVATA-2376,FALSE,FALSE,Critical,5095273,58d23h21m13,0
AIRAVATA-2371,TRUE,FALSE,Major,4729264,54d17h41m04,0
AIRAVATA-470,FALSE,FALSE,Major,2945,00d00h49m05,0
AIRAVATA-615,FALSE,FALSE,Major,1438,00d00h23m58,0
AIRAVATA-617,FALSE,FALSE,Major,114,00d00h01m54,0
AIRAVATA-611,FALSE,FALSE,Trivial,1148,00d00h19m08,0
AIRAVATA-612,FALSE,FALSE,Major,1078,00d00h17m58,0
AIRAVATA-750,TRUE,FALSE,Major,12589,00d03h29m49,0
AIRAVATA-618,TRUE,FALSE,Critical,63167,00d17h32m47,0
AIRAVATA-752,TRUE,FALSE,Major,3615753,41d20h22m33,0
AIRAVATA-753,TRUE,FALSE,Blocker,17719704,205d02h08m24,0
AIRAVATA-2305,FALSE,FALSE,Major,10601342,122d16h49m02,0
AIRAVATA-2309,FALSE,FALSE,Major,267626,03d02h20m26,1
AIRAVATA-2282,FALSE,FALSE,Major,1830292,21d04h24m52,0
AIRAVATA-2284,TRUE,FALSE,Major,969753,11d05h22m33,0
AIRAVATA-90,FALSE,FALSE,Major,160792,01d20h39m52,0
AIRAVATA-112,FALSE,FALSE,Major,3955,00d01h05m55,0
AIRAVATA-113,FALSE,FALSE,Major,115,00d00h01m55,0
AIRAVATA-111,FALSE,FALSE,Major,1131,00d00h18m51,0
AIRAVATA-116,TRUE,FALSE,Major,2619,00d00h43m39,0
AIRAVATA-2276,FALSE,FALSE,Major,92716,01d01h45m16,0
AIRAVATA-1004,FALSE,FALSE,Critical,5264457,60d22h20m57,0
AIRAVATA-505,TRUE,FALSE,Major,159,00d00h02m39,0
AIRAVATA-1001,FALSE,FALSE,Major,69517,00d19h18m37,0
AIRAVATA-509,TRUE,FALSE,Blocker,243718,02d19h41m58,0
AIRAVATA-2453,FALSE,FALSE,Major,85476,00d23h44m36,0
AIRAVATA-2594,FALSE,FALSE,Major,5795056,67d01h44m16,0
AIRAVATA-2590,FALSE,FALSE,Major,12496463,144d15h14m23,1
AIRAVATA-1488,TRUE,FALSE,Major,1732203,20d01h10m03,0
AIRAVATA-2058,FALSE,FALSE,Major,3632,00d01h00m32,0
AIRAVATA-24,TRUE,FALSE,Major,9842660,113d22h04m20,1
AIRAVATA-1710,FALSE,FALSE,Major,19599877,226d20h24m37,0
AIRAVATA-1711,FALSE,FALSE,Major,85749,00d23h49m09,0
AIRAVATA-21,TRUE,FALSE,Major,4583,00d01h16m23,0
AIRAVATA-809,FALSE,FALSE,Major,1114,00d00h18m34,0
AIRAVATA-378,FALSE,FALSE,Major,353,00d00h05m53,0
AIRAVATA-575,FALSE,FALSE,Major,1815031,21d00h10m31,0
AIRAVATA-2621,TRUE,FALSE,Major,2514165,29d02h22m45,0
AIRAVATA-1139,FALSE,FALSE,Major,1793502,20d18h11m42,1
AIRAVATA-2625,FALSE,FALSE,Major,14103494,163d05h38m14,1
AIRAVATA-2624,TRUE,FALSE,Major,1724833,19d23h07m13,1
AIRAVATA-872,FALSE,FALSE,Blocker,387564,04d11h39m24,0
AIRAVATA-1439,FALSE,FALSE,Major,17631305,204d01h35m05,0
AIRAVATA-970,FALSE,FALSE,Minor,1583670,18d07h54m30,0
AIRAVATA-1435,FALSE,FALSE,Major,1610,00d00h26m50,0
AIRAVATA-1434,TRUE,FALSE,Major,17216,00d04h46m56,0
AIRAVATA-974,FALSE,FALSE,Blocker,31165,00d08h39m25,0
AIRAVATA-1430,FALSE,FALSE,Major,251861,02d21h57m41,0
AIRAVATA-877,FALSE,FALSE,Blocker,951,00d00h15m51,0
AIRAVATA-650,TRUE,FALSE,Major,5513581,63d19h33m01,0
AIRAVATA-879,TRUE,FALSE,Blocker,440661,05d02h24m21,0
AIRAVATA-1342,TRUE,FALSE,Major,24494224,283d11h57m04,0
AIRAVATA-715,FALSE,FALSE,Major,11477,00d03h11m17,0
AIRAVATA-1346,FALSE,FALSE,Major,24446404,282d22h40m04,0
AIRAVATA-718,FALSE,FALSE,Critical,595640,06d21h27m20,0
AIRAVATA-1227,FALSE,FALSE,Major,14165,00d03h56m05,0
AIRAVATA-1222,FALSE,FALSE,Critical,26769797,309d20h03m17,0
AIRAVATA-972,FALSE,FALSE,Blocker,229753,02d15h49m13,0
AIRAVATA-1220,TRUE,FALSE,Major,186803,02d03h53m23,0
AIRAVATA-1221,FALSE,FALSE,Major,179902,02d01h58m22,0
AIRAVATA-487,FALSE,FALSE,Major,2458768,28d10h59m28,0
AIRAVATA-2246,FALSE,FALSE,Major,12702151,147d00h22m31,0
AIRAVATA-2240,FALSE,FALSE,Major,87050,01d00h10m50,0
AIRAVATA-628,TRUE,FALSE,Minor,13997,00d03h53m17,0
AIRAVATA-156,FALSE,FALSE,Major,2413,00d00h40m13,0
AIRAVATA-154,TRUE,FALSE,Major,24040,00d06h40m40,0
AIRAVATA-155,TRUE,FALSE,Major,13941,00d03h52m21,0
AIRAVATA-150,TRUE,FALSE,Major,1053775,12d04h42m55,0
AIRAVATA-151,TRUE,FALSE,Major,2040,00d00h34m00,0
AIRAVATA-254,TRUE,FALSE,Major,44,00d00h00m44,0
AIRAVATA-257,FALSE,FALSE,Blocker,13514,00d03h45m14,0
AIRAVATA-744,FALSE,FALSE,Major,23402789,270d20h46m29,0
AIRAVATA-399,FALSE,FALSE,Major,10791,00d02h59m51,0
AIRAVATA-259,FALSE,FALSE,Critical,25405879,294d01h11m19,0
AIRAVATA-393,TRUE,FALSE,Major,64,00d00h01m04,0
AIRAVATA-2339,TRUE,FALSE,Major,1032858,11d22h54m18,0
AIRAVATA-2232,TRUE,FALSE,Major,4389619,50d19h20m19,1
AIRAVATA-217,FALSE,FALSE,Major,7558,00d02h05m58,0
AIRAVATA-2419,FALSE,FALSE,Major,20120859,232d21h07m39,0
AIRAVATA-2142,FALSE,FALSE,Major,12878,00d03h34m38,0
AIRAVATA-711,TRUE,FALSE,Major,49063301,567d20h41m41,1
AIRAVATA-60,TRUE,FALSE,Major,431111,04d23h45m11,0
AIRAVATA-2096,FALSE,FALSE,Major,353525,04d02h12m05,0
AIRAVATA-713,FALSE,FALSE,Major,1176,00d00h19m36,0
AIRAVATA-1619,TRUE,FALSE,Major,633,00d00h10m33,0
AIRAVATA-1465,TRUE,FALSE,Major,15623874,180d19h57m54,0
AIRAVATA-432,FALSE,FALSE,Major,4041,00d01h07m21,0
AIRAVATA-435,FALSE,FALSE,Major,127,00d00h02m07,0
AIRAVATA-920,TRUE,FALSE,Major,1036103,11d23h48m23,0
AIRAVATA-2667,TRUE,FALSE,Major,91001,01d01h16m41,0
AIRAVATA-2665,FALSE,FALSE,Major,257089,02d23h24m49,0
AIRAVATA-2664,TRUE,FALSE,Major,8753,00d02h25m53,0
AIRAVATA-2663,FALSE,FALSE,Major,10327,00d02h52m07,0
AIRAVATA-1888,TRUE,FALSE,Major,16243716,188d00h08m36,0
AIRAVATA-682,TRUE,FALSE,Blocker,75133,00d20h52m13,0
AIRAVATA-1868,FALSE,FALSE,Major,30667970,354d22h52m50,0
AIRAVATA-1048,TRUE,FALSE,Major,2060681,23d20h24m41,0
AIRAVATA-286,FALSE,FALSE,Major,563188,06d12h26m28,0
AIRAVATA-283,FALSE,FALSE,Major,431,00d00h07m11,0
AIRAVATA-1382,FALSE,FALSE,Major,20635385,238d20h03m05,0
AIRAVATA-444,TRUE,FALSE,Major,1283316,14d20h28m36,0
AIRAVATA-1266,FALSE,FALSE,Critical,320719,03d17h05m19,0
AIRAVATA-1264,TRUE,FALSE,Minor,1536,00d00h25m36,0
AIRAVATA-1143,FALSE,FALSE,Major,112138,01d07h08m58,0
AIRAVATA-1142,FALSE,FALSE,Major,4479646,51d20h20m46,1
AIRAVATA-1141,FALSE,FALSE,Major,1713933,19d20h05m33,1
AIRAVATA-2960,TRUE,FALSE,Major,3430587,39d16h56m27,0
AIRAVATA-1542,TRUE,FALSE,Major,127274,01d11h21m14,0
AIRAVATA-846,FALSE,FALSE,Major,8634560,99d22h29m20,0
AIRAVATA-1540,FALSE,FALSE,Major,10185833,117d21h23m53,0
AIRAVATA-2363,FALSE,FALSE,Major,1788517,20d16h48m37,0
AIRAVATA-219,FALSE,FALSE,Major,228096,02d15h21m36,1
AIRAVATA-218,FALSE,FALSE,Major,228145,02d15h22m25,0
AIRAVATA-664,FALSE,FALSE,Major,256,00d00h04m16,0
AIRAVATA-665,TRUE,FALSE,Major,152107,01d18h15m07,0
AIRAVATA-749,TRUE,FALSE,Major,4448965,51d11h49m25,0
AIRAVATA-668,TRUE,FALSE,Major,597603,06d22h00m03,0
AIRAVATA-212,FALSE,FALSE,Minor,3645,00d01h00m45,0
AIRAVATA-742,TRUE,FALSE,Major,4767114,55d04h11m54,0
AIRAVATA-741,FALSE,FALSE,Major,6773,00d01h52m53,1
AIRAVATA-216,FALSE,FALSE,Major,82289,00d22h51m29,0
AIRAVATA-699,TRUE,FALSE,Major,19689,00d05h28m09,0
AIRAVATA-2997,FALSE,FALSE,Major,6977815,80d18h16m55,0
AIRAVATA-694,FALSE,FALSE,Major,82026,00d22h47m06,0
AIRAVATA-690,FALSE,FALSE,Major,86988,01d00h09m48,0
AIRAVATA-692,FALSE,FALSE,Blocker,85655,00d23h47m35,1
AIRAVATA-2517,FALSE,FALSE,Critical,4776228,55d06h43m48,0
AIRAVATA-2290,TRUE,FALSE,Critical,416871,04d19h47m51,0
AIRAVATA-2294,TRUE,FALSE,Major,249430,02d21h17m10,0
AIRAVATA-269,TRUE,FALSE,Major,1353,00d00h22m33,0
AIRAVATA-2190,FALSE,FALSE,Major,1475713,17d01h55m13,0
AIRAVATA-266,TRUE,FALSE,Major,7264,00d02h01m04,0
AIRAVATA-2207,FALSE,FALSE,Major,2952490,34d04h08m10,0
AIRAVATA-1562,FALSE,FALSE,Major,156675,01d19h31m15,0
AIRAVATA-1297,FALSE,FALSE,Major,446,00d00h07m26,0
AIRAVATA-30,TRUE,FALSE,Major,873631,10d02h40m31,0
AIRAVATA-1647,FALSE,FALSE,Major,694707,08d00h58m27,0
AIRAVATA-1640,FALSE,FALSE,Minor,844346,09d18h32m26,0
AIRAVATA-1299,FALSE,FALSE,Major,1352,00d00h22m32,0
AIRAVATA-361,FALSE,FALSE,Major,71784,00d19h56m24,0
AIRAVATA-360,FALSE,FALSE,Major,71954,00d19h59m14,0
AIRAVATA-815,FALSE,FALSE,Blocker,3475,00d00h57m55,0
AIRAVATA-1517,TRUE,FALSE,Minor,70057470,810d20h24m30,1
