BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
AMBARI-5674,TRUE,FALSE,Major,58598,00d16h16m38,0
AMBARI-15744,FALSE,FALSE,Critical,73799,00d20h29m59,0
AMBARI-21754,FALSE,FALSE,Blocker,2153,00d00h35m53,0
AMBARI-21755,FALSE,FALSE,Critical,317701,03d16h15m01,0
AMBARI-24989,FALSE,FALSE,Critical,6766,00d01h52m46,0
AMBARI-3443,FALSE,FALSE,Major,1607,00d00h26m47,0
AMBARI-21753,FALSE,FALSE,Major,21982,00d06h06m22,0
AMBARI-3442,FALSE,FALSE,Major,1283744,14d20h35m44,0
AMBARI-21758,TRUE,FALSE,Critical,243013,02d19h30m13,0
AMBARI-21759,FALSE,FALSE,Critical,15354,00d04h15m54,0
HDFS-7931,FALSE,TRUE,Minor,2415521,27d22h58m41,0
AMBARI-23538,FALSE,FALSE,Blocker,429866,04d23h24m26,0
AMBARI-23539,FALSE,FALSE,Critical,172918,02d00h01m58,0
AMBARI-23536,FALSE,FALSE,Major,619451,07d04h04m11,0
AMBARI-23537,FALSE,FALSE,Major,463012,05d08h36m52,0
AMBARI-23534,FALSE,FALSE,Major,123497,01d10h18m17,0
AMBARI-23535,FALSE,FALSE,Major,486483,05d15h08m03,0
AMBARI-22122,FALSE,FALSE,Blocker,106873,01d05h41m13,0
AMBARI-22123,FALSE,FALSE,Blocker,80711,00d22h25m11,0
AMBARI-22120,FALSE,FALSE,Blocker,5013,00d01h23m33,0
AMBARI-4731,TRUE,FALSE,Critical,841662,09d17h47m42,0
AMBARI-22127,FALSE,FALSE,Blocker,109612,01d06h26m52,0
AMBARI-22124,FALSE,FALSE,Critical,216281,02d12h04m41,0
AMBARI-22125,FALSE,FALSE,Blocker,78012,00d21h40m12,0
AMBARI-5178,FALSE,FALSE,Major,18636,00d05h10m36,0
AMBARI-5173,FALSE,FALSE,Major,28175,00d07h49m35,0
AMBARI-24182,FALSE,FALSE,Blocker,1238842,14d08h07m22,0
AMBARI-24181,FALSE,FALSE,Major,3463,00d00h57m43,0
AMBARI-24186,FALSE,FALSE,Major,18645,00d05h10m45,0
AMBARI-23810,FALSE,FALSE,Blocker,2919,00d00h48m39,0
AMBARI-24188,FALSE,FALSE,Critical,177679,02d01h21m19,0
AMBARI-24189,FALSE,FALSE,Major,1197734,13d20h42m14,0
AMBARI-23451,FALSE,FALSE,Major,92084,01d01h34m44,0
AMBARI-23450,FALSE,FALSE,Blocker,18225,00d05h03m45,0
AMBARI-2778,FALSE,FALSE,Major,10225,00d02h50m25,0
AMBARI-2774,FALSE,FALSE,Major,65195,00d18h06m35,0
AMBARI-2776,FALSE,FALSE,Major,59534,00d16h32m14,0
AMBARI-2777,FALSE,FALSE,Major,58090,00d16h08m10,0
AMBARI-2771,FALSE,FALSE,Major,935,00d00h15m35,0
AMBARI-21757,TRUE,FALSE,Major,593425,06d20h50m25,0
AMBARI-17258,FALSE,FALSE,Major,61797,00d17h09m57,0
AMBARI-17259,FALSE,FALSE,Critical,52233,00d14h30m33,0
AMBARI-17709,FALSE,FALSE,Critical,2763,00d00h46m03,0
AMBARI-17254,FALSE,FALSE,Major,183153,02d02h52m33,0
AMBARI-17707,FALSE,FALSE,Major,894,00d00h14m54,0
AMBARI-17256,FALSE,FALSE,Major,1265,00d00h21m05,0
AMBARI-17705,FALSE,FALSE,Critical,4345,00d01h12m25,0
AMBARI-17702,FALSE,FALSE,Critical,71723,00d19h55m23,0
AMBARI-17703,FALSE,FALSE,Major,9839253,113d21h07m33,1
AMBARI-17700,FALSE,FALSE,Major,415824,04d19h30m24,0
AMBARI-17701,FALSE,FALSE,Critical,69272,00d19h14m32,0
AMBARI-20695,FALSE,FALSE,Critical,62937,00d17h28m57,0
AMBARI-16077,FALSE,FALSE,Major,348675,04d00h51m15,0
AMBARI-16075,FALSE,FALSE,Major,104485,01d05h01m25,0
AMBARI-16072,FALSE,FALSE,Critical,1813392,20d23h43m12,1
AMBARI-23981,FALSE,FALSE,Blocker,4115,00d01h08m35,0
AMBARI-12660,FALSE,FALSE,Critical,279,00d00h04m39,0
AMBARI-10956,FALSE,FALSE,Major,3736,00d01h02m16,0
AMBARI-10957,FALSE,FALSE,Major,4627,00d01h17m07,0
AMBARI-10954,FALSE,FALSE,Major,1038,00d00h17m18,0
AMBARI-10955,FALSE,FALSE,Major,812,00d00h13m32,0
AMBARI-10953,FALSE,FALSE,Major,1233,00d00h20m33,0
AMBARI-10950,FALSE,FALSE,Critical,216,00d00h03m36,0
AMBARI-10951,FALSE,FALSE,Major,9643,00d02h40m43,0
AMBARI-6178,FALSE,FALSE,Major,322,00d00h05m22,0
AMBARI-10958,FALSE,FALSE,Major,1504,00d00h25m04,0
AMBARI-10959,FALSE,FALSE,Major,519,00d00h08m39,0
AMBARI-3107,FALSE,FALSE,Major,1935,00d00h32m15,0
AMBARI-11396,TRUE,FALSE,Major,271461,03d03h24m21,0
AMBARI-11394,FALSE,FALSE,Major,2117,00d00h35m17,0
AMBARI-11393,TRUE,FALSE,Major,11252,00d03h07m32,0
AMBARI-11392,FALSE,FALSE,Major,453,00d00h07m33,0
AMBARI-11391,TRUE,FALSE,Critical,95185,01d02h26m25,0
AMBARI-11390,FALSE,FALSE,Critical,5791,00d01h36m31,0
AMBARI-11399,TRUE,FALSE,Critical,6789,00d01h53m09,0
AMBARI-2198,FALSE,FALSE,Major,459403,05d07h36m43,0
AMBARI-6172,FALSE,FALSE,Major,10252,00d02h50m52,0
AMBARI-17381,FALSE,FALSE,Critical,62791,00d17h26m31,0
AMBARI-2193,FALSE,FALSE,Major,8358,00d02h19m18,0
AMBARI-2195,FALSE,FALSE,Blocker,1019856,11d19h17m36,0
AMBARI-2197,FALSE,FALSE,Major,615,00d00h10m15,0
AMBARI-17384,FALSE,FALSE,Major,117949,01d08h45m49,0
AMBARI-9551,TRUE,FALSE,Major,16237,00d04h30m37,0
AMBARI-18067,FALSE,FALSE,Major,49444,00d13h44m04,0
AMBARI-20186,TRUE,FALSE,Major,375570,04d08h19m30,0
AMBARI-20185,FALSE,FALSE,Major,4222,00d01h10m22,0
AMBARI-13744,TRUE,FALSE,Critical,10675,00d02h57m55,0
AMBARI-20180,FALSE,FALSE,Major,964021,11d03h47m01,0
AMBARI-20181,FALSE,FALSE,Critical,421099,04d20h58m19,0
AMBARI-7870,FALSE,FALSE,Minor,272636,03d03h43m56,0
AMBARI-7871,FALSE,FALSE,Major,82063,00d22h47m43,0
AMBARI-7872,FALSE,FALSE,Major,3043286,35d05h21m26,0
AMBARI-7873,FALSE,FALSE,Critical,59662,00d16h34m22,0
AMBARI-7875,FALSE,FALSE,Major,863275,09d23h47m55,0
AMBARI-7876,FALSE,FALSE,Blocker,920,00d00h15m20,0
AMBARI-7877,FALSE,FALSE,Major,243256,02d19h34m16,0
AMBARI-7878,FALSE,FALSE,Major,2509462,29d01h04m22,0
AMBARI-7879,FALSE,FALSE,Major,1075,00d00h17m55,0
AMBARI-3829,FALSE,FALSE,Major,558,00d00h09m18,0
AMBARI-3828,FALSE,FALSE,Major,92248,01d01h37m28,0
AMBARI-17388,FALSE,FALSE,Major,4624,00d01h17m04,0
AMBARI-7708,FALSE,FALSE,Major,97325,01d03h02m05,0
AMBARI-13743,TRUE,FALSE,Major,32110,00d08h55m10,0
AMBARI-17389,FALSE,FALSE,Major,69879,00d19h24m39,0
AMBARI-23140,FALSE,FALSE,Blocker,98680,01d03h24m40,0
AMBARI-3528,FALSE,FALSE,Major,2100,00d00h35m00,0
AMBARI-6477,FALSE,FALSE,Major,494,00d00h08m14,0
AMBARI-6476,FALSE,FALSE,Major,495,00d00h08m15,0
AMBARI-6475,FALSE,FALSE,Critical,2576,00d00h42m56,0
AMBARI-6474,FALSE,FALSE,Major,273,00d00h04m33,0
AMBARI-6473,FALSE,FALSE,Major,560,00d00h09m20,0
AMBARI-6472,FALSE,FALSE,Critical,1403,00d00h23m23,0
AMBARI-25110,FALSE,FALSE,Trivial,262358,03d00h52m38,0
AMBARI-6470,FALSE,FALSE,Critical,3707,00d01h01m47,0
AMBARI-2998,FALSE,FALSE,Minor,182,00d00h03m02,0
AMBARI-6479,FALSE,FALSE,Blocker,1110,00d00h18m30,0
AMBARI-6478,FALSE,FALSE,Major,84664,00d23h31m04,0
AMBARI-18545,TRUE,FALSE,Major,352122,04d01h48m42,0
AMBARI-18544,FALSE,FALSE,Major,53202,00d14h46m42,0
AMBARI-18547,FALSE,FALSE,Major,4438,00d01h13m58,0
AMBARI-20985,FALSE,FALSE,Critical,133512,01d13h05m12,0
AMBARI-18540,TRUE,FALSE,Major,179478,02d01h51m18,0
AMBARI-20980,FALSE,FALSE,Blocker,87456,01d00h17m36,0
AMBARI-18549,FALSE,FALSE,Major,512,00d00h08m32,0
AMBARI-18548,TRUE,FALSE,Major,2671404,30d22h03m24,0
AMBARI-3103,FALSE,FALSE,Major,215,00d00h03m35,0
AMBARI-20989,TRUE,FALSE,Major,75693,00d21h01m33,0
AMBARI-13749,FALSE,FALSE,Critical,58590,00d16h16m30,0
AMBARI-18196,TRUE,FALSE,Major,6849748,79d06h42m28,0
AMBARI-190,FALSE,FALSE,Trivial,28230,00d07h50m30,0
AMBARI-10305,TRUE,FALSE,Critical,836244,09d16h17m24,0
AMBARI-10040,FALSE,FALSE,Blocker,15912,00d04h25m12,0
AMBARI-10041,FALSE,FALSE,Major,469,00d00h07m49,0
AMBARI-10042,FALSE,FALSE,Major,9870,00d02h44m30,0
AMBARI-10043,FALSE,FALSE,Major,12463,00d03h27m43,0
AMBARI-10045,FALSE,FALSE,Major,13784,00d03h49m44,0
AMBARI-10046,FALSE,FALSE,Major,1554,00d00h25m54,0
AMBARI-10048,FALSE,FALSE,Blocker,6563,00d01h49m23,0
AMBARI-10049,FALSE,FALSE,Major,335,00d00h05m35,0
AMBARI-15678,FALSE,FALSE,Major,1684974,19d12h02m54,0
AMBARI-22724,FALSE,FALSE,Blocker,77820,00d21h37m00,0
AMBARI-15671,TRUE,FALSE,Critical,3545593,41d00h53m13,1
AMBARI-22726,FALSE,FALSE,Minor,3454690,39d23h38m10,0
AMBARI-15673,FALSE,FALSE,Major,261644,03d00h40m44,0
AMBARI-15674,FALSE,FALSE,Major,259475,03d00h04m35,1
AMBARI-15675,FALSE,FALSE,Major,255625,02d23h00m25,0
AMBARI-15676,FALSE,FALSE,Critical,168078,01d22h41m18,0
AMBARI-22723,FALSE,FALSE,Blocker,9705024,112d07h50m24,0
AMBARI-4735,FALSE,FALSE,Major,172,00d00h02m52,0
AMBARI-18156,FALSE,FALSE,Major,113137,01d07h25m37,0
AMBARI-18157,FALSE,FALSE,Blocker,255252,02d22h54m12,1
AMBARI-18154,FALSE,FALSE,Major,2560743,29d15h19m03,0
AMBARI-13635,TRUE,FALSE,Major,49566,00d13h46m06,0
AMBARI-18152,FALSE,FALSE,Blocker,60946,00d16h55m46,0
AMBARI-18153,FALSE,FALSE,Major,7039987,81d11h33m07,0
AMBARI-18150,FALSE,FALSE,Critical,4181,00d01h09m41,0
AMBARI-18151,FALSE,FALSE,Blocker,163397,01d21h23m17,0
AMBARI-18158,FALSE,FALSE,Major,541,00d00h09m01,0
AMBARI-13639,FALSE,FALSE,Critical,3699,00d01h01m39,0
AMBARI-22467,FALSE,FALSE,Major,244722,02d19h58m42,0
AMBARI-15495,FALSE,FALSE,Blocker,2463,00d00h41m03,0
AMBARI-15496,FALSE,FALSE,Major,2676997,30d23h36m37,0
AMBARI-22464,FALSE,FALSE,Blocker,325,00d00h05m25,0
AMBARI-22463,FALSE,FALSE,Critical,236770,02d17h46m10,0
AMBARI-22462,TRUE,FALSE,Blocker,257756,02d23h35m56,0
AMBARI-15492,FALSE,FALSE,Critical,78043,00d21h40m43,0
AMBARI-22460,FALSE,FALSE,Major,395,00d00h06m35,0
AMBARI-22469,FALSE,FALSE,Blocker,397707,04d14h28m27,0
AMBARI-3648,FALSE,FALSE,Blocker,11364,00d03h09m24,0
AMBARI-3066,FALSE,FALSE,Major,393,00d00h06m33,0
AMBARI-24603,FALSE,FALSE,Major,5854076,67d18h07m56,0
AMBARI-2379,FALSE,FALSE,Major,31672,00d08h47m52,0
AMBARI-1648,FALSE,FALSE,Major,919,00d00h15m19,0
AMBARI-1641,FALSE,FALSE,Major,11420,00d03h10m20,0
AMBARI-1640,FALSE,FALSE,Major,972,00d00h16m12,0
AMBARI-1642,TRUE,FALSE,Major,267,00d00h04m27,0
AMBARI-1645,FALSE,FALSE,Major,696660,08d01h31m00,0
AMBARI-1644,FALSE,FALSE,Minor,696676,08d01h31m16,0
AMBARI-4351,FALSE,FALSE,Major,356,00d00h05m56,0
AMBARI-1961,FALSE,FALSE,Major,19278,00d05h21m18,0
AMBARI-10300,FALSE,FALSE,Major,2826,00d00h47m06,0
AMBARI-4031,FALSE,FALSE,Major,217,00d00h03m37,0
AMBARI-4030,FALSE,FALSE,Major,2947,00d00h49m07,0
AMBARI-1313,FALSE,FALSE,Major,10867,00d03h01m07,0
AMBARI-4036,FALSE,FALSE,Major,85595,00d23h46m35,0
AMBARI-19318,FALSE,FALSE,Critical,4903251,56d18h00m51,0
AMBARI-14819,FALSE,FALSE,Blocker,142193,01d15h29m53,0
AMBARI-14818,FALSE,FALSE,Major,34271,00d09h31m11,0
AMBARI-396,FALSE,FALSE,Major,1211995,14d00h39m55,0
AMBARI-19399,FALSE,FALSE,Blocker,268271,03d02h31m11,0
AMBARI-19398,FALSE,FALSE,Major,20744,00d05h45m44,0
AMBARI-19397,TRUE,FALSE,Major,325627,03d18h27m07,0
AMBARI-14812,TRUE,FALSE,Major,21620,00d06h00m20,0
AMBARI-14810,FALSE,FALSE,Critical,11496,00d03h11m36,0
AMBARI-19393,FALSE,FALSE,Major,2197,00d00h36m37,0
AMBARI-19392,FALSE,FALSE,Critical,93078,01d01h51m18,0
AMBARI-19391,FALSE,FALSE,Major,44206,00d12h16m46,0
AMBARI-19390,FALSE,FALSE,Major,971777,11d05h56m17,1
AMBARI-4545,FALSE,FALSE,Major,66904,00d18h35m04,0
AMBARI-13098,FALSE,FALSE,Major,9929,00d02h45m29,0
AMBARI-13099,FALSE,FALSE,Blocker,221136,02d13h25m36,0
AMBARI-13092,FALSE,FALSE,Critical,320,00d00h05m20,0
AMBARI-13090,FALSE,FALSE,Critical,1608,00d00h26m48,0
AMBARI-13096,FALSE,FALSE,Critical,17224,00d04h47m04,0
AMBARI-13097,FALSE,FALSE,Major,257,00d00h04m17,0
AMBARI-13095,FALSE,FALSE,Critical,324,00d00h05m24,0
AMBARI-19860,FALSE,FALSE,Major,401687,04d15h34m47,0
AMBARI-20845,FALSE,FALSE,Critical,14384,00d03h59m44,0
AMBARI-4541,FALSE,FALSE,Major,57766,00d16h02m46,0
AMBARI-23457,FALSE,FALSE,Major,491894,05d16h38m14,0
AMBARI-4092,FALSE,FALSE,Major,2572328,29d18h32m08,1
AMBARI-17131,FALSE,FALSE,Blocker,4614,00d01h16m54,0
AMBARI-17130,TRUE,FALSE,Critical,86479,01d00h01m19,0
AMBARI-17132,FALSE,FALSE,Major,1358,00d00h22m38,0
AMBARI-17135,TRUE,FALSE,Major,956280,11d01h38m00,0
AMBARI-17134,FALSE,FALSE,Major,67107,00d18h38m27,0
AMBARI-17137,FALSE,TRUE,Major,2353684,27d05h48m04,0
AMBARI-17136,FALSE,FALSE,Major,378346,04d09h05m46,0
AMBARI-17139,FALSE,FALSE,Major,436483,05d01h14m43,0
AMBARI-9128,FALSE,FALSE,Major,826,00d00h13m46,0
AMBARI-12949,TRUE,FALSE,Critical,1563461,18d02h17m41,0
AMBARI-12948,FALSE,FALSE,Critical,3885,00d01h04m45,0
