BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MRM-488,TRUE,FALSE,Major,2640627,30d13h30m27,0
MRM-1795,FALSE,FALSE,Minor,140976,01d15h09m36,0
MRM-1796,FALSE,FALSE,Blocker,24351,00d06h45m51,0
MRM-1791,FALSE,FALSE,Major,5769,00d01h36m09,0
MRM-1793,FALSE,FALSE,Major,39690,00d11h01m30,0
MRM-1812,FALSE,FALSE,Major,5318376,61d13h19m36,0
MRM-1811,FALSE,FALSE,Major,19270822,223d01h00m22,0
MRM-1810,FALSE,FALSE,Major,18776629,217d07h43m49,0
MRM-842,FALSE,FALSE,Major,22909202,265d03h40m02,0
MRM-840,FALSE,FALSE,Blocker,1386460,16d01h07m40,0
MRM-841,TRUE,TRUE,Major,6737128,77d23h25m28,0
MRM-846,FALSE,FALSE,Critical,1167138,13d12h12m18,0
MRM-847,FALSE,FALSE,Major,13205,00d03h40m05,0
MRM-844,TRUE,FALSE,Major,9828456,113d18h07m36,0
MRM-845,FALSE,FALSE,Major,6905,00d01h55m05,0
MRM-63,FALSE,FALSE,Major,18812,00d05h13m32,0
MRM-62,TRUE,FALSE,Major,2972944,34d09h49m04,0
MRM-1248,FALSE,FALSE,Major,63775263,738d03h21m03,0
MRM-1249,FALSE,FALSE,Major,749286,08d16h08m06,0
MRM-934,FALSE,FALSE,Major,5733,00d01h35m33,0
MRM-935,FALSE,FALSE,Major,203214441,2352d00h27m21,0
MRM-933,TRUE,TRUE,Major,13197885,152d18h04m45,0
MRM-447,FALSE,FALSE,Blocker,67944,00d18h52m24,0
MRM-1705,TRUE,FALSE,Major,173985,02d00h19m45,0
MRM-1703,TRUE,FALSE,Major,150206,01d17h43m26,0
MRM-1702,TRUE,FALSE,Major,36245129,419d12h05m29,0
MRM-440,TRUE,FALSE,Minor,8504352,98d10h19m12,0
MRM-1700,FALSE,FALSE,Major,3816,00d01h03m36,0
MRM-837,FALSE,FALSE,Major,210707276,2438d17h47m56,0
MRM-836,FALSE,FALSE,Major,23294706,269d14h45m06,1
MRM-1076,FALSE,FALSE,Major,1197606,13d20h40m06,0
MRM-521,FALSE,FALSE,Major,1624186,18d19h09m46,0
MRM-520,FALSE,FALSE,Major,2072890,23d23h48m10,0
MRM-1073,FALSE,FALSE,Major,3249797,37d14h43m17,0
MRM-1708,FALSE,FALSE,Major,1491485,17d06h18m05,0
MRM-1176,FALSE,FALSE,Major,1965271,22d17h54m31,0
MRM-1278,TRUE,FALSE,Major,329689,03d19h34m49,0
MRM-1171,FALSE,FALSE,Major,8863873,102d14h11m13,0
MRM-1172,TRUE,FALSE,Minor,3337711,38d15h08m31,0
MRM-1173,FALSE,FALSE,Major,77771937,900d03h18m57,0
MRM-1272,FALSE,FALSE,Major,3588257,41d12h44m17,0
MRM-1179,TRUE,FALSE,Major,1539449,17d19h37m29,0
MRM-1274,FALSE,FALSE,Major,1364111,15d18h55m11,0
MRM-12,FALSE,FALSE,Major,29031309,336d00h15m09,0
MRM-789,TRUE,FALSE,Critical,3969211,45d22h33m31,0
MRM-623,FALSE,FALSE,Major,359014,04d03h43m34,0
MRM-620,TRUE,FALSE,Minor,26821615,310d10h26m55,0
MRM-626,FALSE,FALSE,Major,8853869,102d11h24m29,0
MRM-1632,FALSE,FALSE,Critical,367916,04d06h11m56,0
MRM-628,FALSE,FALSE,Major,2026635,23d10h57m15,0
MRM-785,FALSE,FALSE,Minor,2194500,25d09h35m00,0
MRM-239,TRUE,FALSE,Major,15510737,179d12h32m17,1
MRM-231,FALSE,FALSE,Major,159431,01d20h17m11,0
MRM-1002,FALSE,FALSE,Minor,37188601,430d10h10m01,1
MRM-1004,FALSE,FALSE,Major,461,00d00h07m41,0
MRM-159,TRUE,FALSE,Critical,50659062,586d07h57m42,0
MRM-154,TRUE,FALSE,Major,659905,07d15h18m25,0
MRM-155,FALSE,FALSE,Major,650326,07d12h38m46,0
MRM-262,TRUE,TRUE,Major,100,00d00h01m40,0
MRM-1411,TRUE,FALSE,Major,27949865,323d11h51m05,0
MRM-1552,FALSE,FALSE,Major,84625,00d23h30m25,0
MRM-304,FALSE,FALSE,Minor,1104,00d00h18m24,0
MRM-306,FALSE,FALSE,Major,4801029,55d13h37m09,0
MRM-300,FALSE,FALSE,Major,12031,00d03h20m31,0
MRM-303,FALSE,FALSE,Critical,26599,00d07h23m19,0
MRM-719,FALSE,FALSE,Major,19501,00d05h25m01,0
MRM-715,FALSE,FALSE,Major,2545381,29d11h03m01,0
MRM-713,FALSE,FALSE,Minor,233567,02d16h52m47,0
MRM-659,FALSE,FALSE,Major,5775399,66d20h16m39,0
MRM-1859,FALSE,FALSE,Major,81861869,947d11h24m29,0
MRM-1854,FALSE,FALSE,Major,3824768,44d06h26m08,0
MRM-1853,FALSE,FALSE,Major,562944,06d12h22m24,0
MRM-1851,FALSE,FALSE,Major,6715173,77d17h19m33,0
MRM-1303,TRUE,FALSE,Major,28481766,329d15h36m06,0
MRM-1302,FALSE,FALSE,Critical,6944974,80d09h09m34,0
MRM-1305,FALSE,FALSE,Major,2220505,25d16h48m25,0
MRM-1304,FALSE,FALSE,Major,4949992,57d06h59m52,0
MRM-873,FALSE,FALSE,Major,1871137,21d15h45m37,0
MRM-872,TRUE,FALSE,Major,527072,06d02h24m32,0
MRM-978,FALSE,FALSE,Major,77,00d00h01m17,0
MRM-870,FALSE,FALSE,Major,24222,00d06h43m42,0
MRM-876,FALSE,FALSE,Major,149297,01d17h28m17,0
MRM-408,TRUE,FALSE,Major,6113094,70d18h04m54,0
MRM-409,TRUE,TRUE,Major,7553793,87d10h16m33,0
MRM-1062,FALSE,FALSE,Major,4730227,54d17h57m07,0
MRM-403,FALSE,FALSE,Major,1935073,22d09h31m13,0
MRM-400,FALSE,FALSE,Minor,12424353,143d19h12m33,0
MRM-407,FALSE,TRUE,Major,6571249,76d01h20m49,0
MRM-404,TRUE,FALSE,Major,86390949,999d21h29m09,0
MRM-405,FALSE,FALSE,Major,198,00d00h03m18,0
MRM-1236,FALSE,FALSE,Major,11712,00d03h15m12,0
MRM-1234,FALSE,FALSE,Major,163,00d00h02m43,0
MRM-1232,TRUE,FALSE,Major,281605,03d06h13m25,0
MRM-1230,TRUE,FALSE,Major,5679004,65d17h30m04,0
MRM-1239,TRUE,FALSE,Blocker,81957,00d22h45m57,0
MRM-1238,TRUE,FALSE,Major,1322769,15d07h26m09,0
MRM-582,FALSE,FALSE,Major,81616,00d22h40m16,0
MRM-580,FALSE,FALSE,Minor,27388226,316d23h50m26,0
MRM-586,FALSE,FALSE,Major,18,00d00h00m18,0
MRM-584,FALSE,FALSE,Major,22458229,259d22h23m49,1
MRM-58,TRUE,FALSE,Major,3791789,43d21h16m29,0
MRM-56,FALSE,FALSE,Major,1220736,14d03h05m36,0
MRM-57,TRUE,FALSE,Major,3792015,43d21h20m15,1
MRM-55,TRUE,FALSE,Major,1393084,16d02h58m04,0
MRM-576,FALSE,FALSE,Major,617599,07d03h33m19,0
MRM-1676,FALSE,FALSE,Major,529,00d00h08m49,0
MRM-1674,FALSE,FALSE,Major,326815,03d18h46m55,0
MRM-1672,FALSE,FALSE,Major,846935,09d19h15m35,0
MRM-1779,FALSE,FALSE,Major,1052666,12d04h24m26,0
MRM-905,FALSE,FALSE,Blocker,632380,07d07h39m40,0
MRM-276,FALSE,FALSE,Major,1487587,17d05h13m07,0
MRM-901,TRUE,FALSE,Major,19394350,224d11h19m10,0
MRM-1129,FALSE,FALSE,Major,80103238,927d02h53m58,0
MRM-477,TRUE,FALSE,Major,4394400,50d20h40m00,0
MRM-1121,FALSE,FALSE,Major,773355,08d22h49m15,0
MRM-470,TRUE,FALSE,Major,3668964,42d11h09m24,0
MRM-297,TRUE,FALSE,Major,13387,00d03h43m07,0
MRM-296,FALSE,FALSE,Major,11565,00d03h12m45,0
MRM-358,FALSE,FALSE,Critical,2289564,26d11h59m24,0
MRM-577,TRUE,FALSE,Minor,20522,00d05h42m02,0
MRM-357,FALSE,FALSE,Critical,2458842,28d11h00m42,0
MRM-353,FALSE,FALSE,Major,40549,00d11h15m49,0
MRM-299,FALSE,FALSE,Minor,274675,03d04h17m55,0
MRM-547,TRUE,FALSE,Minor,1192590,13d19h16m30,0
MRM-1516,TRUE,FALSE,Blocker,1236377,14d07h26m17,0
MRM-1000,FALSE,FALSE,Major,1200,00d00h20m00,0
MRM-750,FALSE,FALSE,Major,36909,00d10h15m09,0
MRM-755,FALSE,FALSE,Major,26318,00d07h18m38,0
MRM-758,FALSE,FALSE,Major,11858,00d03h17m38,0
MRM-996,FALSE,FALSE,Major,260030,03d00h13m50,0
MRM-618,FALSE,FALSE,Major,9193760,106d09h49m20,1
MRM-610,FALSE,FALSE,Major,10018945,115d23h02m25,0
MRM-615,TRUE,FALSE,Critical,26938685,311d18h58m05,0
MRM-125,TRUE,FALSE,Major,42672,00d11h51m12,0
MRM-127,TRUE,FALSE,Major,536827,06d05h07m07,0
MRM-273,FALSE,FALSE,Major,524384,06d01h39m44,0
MRM-1345,TRUE,TRUE,Major,42353901,490d04h58m21,1
MRM-1344,FALSE,FALSE,Major,42310411,489d16h53m31,0
MRM-498,FALSE,FALSE,Blocker,48388,00d13h26m28,0
MRM-1467,FALSE,FALSE,Blocker,3938597,45d14h03m17,0
MRM-1469,FALSE,FALSE,Major,1337785,15d11h36m25,0
MRM-725,FALSE,FALSE,Major,2364508,27d08h48m28,0
MRM-1032,FALSE,FALSE,Major,8399554,97d05h12m34,0
MRM-1789,FALSE,FALSE,Major,4106977,47d12h49m37,0
MRM-1784,FALSE,FALSE,Major,1806346,20d21h45m46,0
MRM-1783,FALSE,FALSE,Minor,486599,05d15h09m59,0
MRM-1826,FALSE,FALSE,Minor,150782,01d17h53m02,0
MRM-1701,TRUE,FALSE,Major,119,00d00h01m59,0
MRM-834,FALSE,FALSE,Major,7958530,92d02h42m10,0
MRM-99,TRUE,FALSE,Major,2913,00d00h48m33,0
MRM-943,FALSE,FALSE,Major,213,00d00h03m33,0
MRM-1736,TRUE,FALSE,Major,9496678,109d21h57m58,0
MRM-1737,FALSE,FALSE,Major,2809,00d00h46m49,0
MRM-432,TRUE,FALSE,Critical,7454248,86d06h37m28,0
MRM-430,TRUE,FALSE,Major,2072094,23d23h34m54,0
MRM-437,TRUE,FALSE,Major,5765498,66d17h31m38,0
MRM-436,FALSE,FALSE,Major,1562735,18d02h05m35,0
MRM-532,FALSE,FALSE,Minor,15668702,181d08h25m02,0
MRM-533,TRUE,FALSE,Critical,661270,07d15h41m10,0
MRM-438,FALSE,FALSE,Major,3894250,45d01h44m10,0
MRM-534,FALSE,FALSE,Major,476396,05d12h19m56,0
MRM-823,FALSE,FALSE,Major,15699,00d04h21m39,0
MRM-1167,FALSE,FALSE,Major,4480357,51d20h32m37,0
MRM-1161,TRUE,FALSE,Critical,4495727,52d00h48m47,0
MRM-1160,TRUE,FALSE,Major,4519047,52d07h17m27,0
MRM-1246,FALSE,FALSE,Major,5170866,59d20h21m06,1
MRM-1243,FALSE,FALSE,Major,508031,05d21h07m11,0
MRM-1240,TRUE,FALSE,Major,1311528,15d04h18m48,0
MRM-1168,FALSE,FALSE,Major,5287631,61d04h47m11,0
MRM-493,TRUE,FALSE,Critical,2460796,28d11h33m16,0
MRM-796,FALSE,FALSE,Major,1452146,16d19h22m26,0
MRM-797,TRUE,FALSE,Major,1716632,19d20h50m32,0
MRM-792,FALSE,FALSE,Major,4995551,57d19h39m11,0
MRM-790,FALSE,FALSE,Major,1989312,23d00h35m12,0
MRM-1748,FALSE,FALSE,Major,4348804,50d08h00m04,0
MRM-535,FALSE,FALSE,Minor,901032,10d10h17m12,0
MRM-226,FALSE,FALSE,Major,6809,00d01h53m29,0
MRM-224,FALSE,FALSE,Major,25601,00d07h06m41,0
MRM-388,TRUE,FALSE,Blocker,1630592,18d20h56m32,0
MRM-1609,FALSE,FALSE,Major,108084,01d06h01m24,1
MRM-384,TRUE,FALSE,Major,615,00d00h10m15,0
MRM-381,FALSE,FALSE,Blocker,178565,02d01h36m05,0
MRM-380,TRUE,FALSE,Major,32794,00d09h06m34,0
MRM-383,FALSE,FALSE,Major,7163392,82d21h49m52,0
MRM-891,FALSE,FALSE,Major,173533,02d00h12m13,0
MRM-415,FALSE,FALSE,Major,6006,00d01h40m06,0
MRM-893,FALSE,FALSE,Minor,1306505,15d02h55m05,0
MRM-892,FALSE,FALSE,Major,90601,01d01h10m01,0
MRM-895,TRUE,FALSE,Minor,1437968,16d15h26m08,1
MRM-549,TRUE,FALSE,Major,1192200,13d19h10m00,0
MRM-896,FALSE,FALSE,Major,757433,08d18h23m53,0
MRM-1013,FALSE,FALSE,Major,9235562,106d21h26m02,0
MRM-546,FALSE,FALSE,Critical,429248,04d23h14m08,1
MRM-1011,FALSE,FALSE,Minor,4481735,51d20h55m35,0
MRM-544,TRUE,FALSE,Major,1381502,15d23h45m02,0
MRM-417,FALSE,FALSE,Major,78609,00d21h50m09,0
MRM-540,TRUE,FALSE,Major,1940639,22d11h03m59,0
SM-175,FALSE,FALSE,Major,48236,00d13h23m56,0
MRM-365,FALSE,FALSE,Critical,100442,01d03h54m02,0
MRM-364,FALSE,FALSE,Major,7055,00d01h57m35,0
MRM-363,FALSE,FALSE,Major,23604,00d06h33m24,0
MRM-362,FALSE,FALSE,Major,2111624,24d10h33m44,0
MRM-361,FALSE,FALSE,Major,27810,00d07h43m30,0
MRM-360,FALSE,FALSE,Major,83591,00d23h13m11,0
MRM-369,TRUE,FALSE,Blocker,2092157,24d05h09m17,0
MRM-410,TRUE,FALSE,Major,1377542,15d22h39m02,0
MRM-1808,FALSE,FALSE,Major,189374,02d04h36m14,0
MRM-1421,FALSE,FALSE,Major,8187520,94d18h18m40,0
MRM-1542,FALSE,FALSE,Major,277070,03d04h57m50,0
MRM-646,FALSE,FALSE,Minor,1523949,17d15h19m09,0
MRM-768,FALSE,FALSE,Minor,35035,00d09h43m55,0
MRM-642,TRUE,FALSE,Major,7772302,89d22h58m22,0
MRM-763,FALSE,FALSE,Minor,23880,00d06h38m00,0
MRM-762,FALSE,FALSE,Trivial,74185,00d20h36m25,0
MRM-767,FALSE,FALSE,Blocker,7614329,88d03h05m29,0
MRM-765,FALSE,FALSE,Minor,13823852,159d23h57m32,0
MRM-764,FALSE,FALSE,Major,18,00d00h00m18,0
MRM-1909,FALSE,FALSE,Minor,19847308,229d17h08m28,0
MRM-1863,FALSE,FALSE,Minor,1873393,21d16h23m13,0
MRM-1861,TRUE,FALSE,Major,80497487,931d16h24m47,0
MRM-1864,FALSE,FALSE,Major,71,00d00h01m11,0
MNG-1106,FALSE,FALSE,Major,44103594,510d10h59m54,0
MRM-1908,FALSE,FALSE,Major,24495494,283d12h18m14,0
MRM-865,FALSE,TRUE,Major,20926,00d05h48m46,0
MRM-867,FALSE,FALSE,Major,72,00d00h01m12,0
MRM-869,FALSE,FALSE,Minor,93225,01d01h53m45,1
MRM-1202,FALSE,FALSE,Major,3956392,45d18h59m52,0
MRM-1206,FALSE,FALSE,Major,24391556,282d07h25m56,0
MRM-1204,TRUE,FALSE,Major,4944266,57d05h24m26,0
MRM-598,FALSE,FALSE,Major,10791085,124d21h31m25,1
MRM-622,TRUE,FALSE,Major,8721248,100d22h34m08,0
MRM-1188,TRUE,FALSE,Critical,81344,00d22h35m44,0
MRM-595,TRUE,FALSE,Major,734619,08d12h03m39,0
MRM-596,FALSE,FALSE,Minor,414208,04d19h03m28,0
MRM-692,TRUE,FALSE,Major,411208,04d18h13m28,0
MRM-691,TRUE,FALSE,Major,1167378,13d12h16m18,0
MRM-690,FALSE,FALSE,Major,3248740,37d14h25m40,0
MRM-1640,FALSE,FALSE,Critical,302,00d00h05m02,0
MRM-1644,FALSE,FALSE,Major,15791,00d04h23m11,0
MRM-1645,FALSE,FALSE,Major,852794,09d20h53m14,0
MRM-1761,TRUE,FALSE,Major,16622847,192d09h27m27,0
MRM-501,FALSE,FALSE,Blocker,2368227,27d09h50m27,0
MRM-1762,FALSE,FALSE,Critical,14544683,168d08h11m23,0
MRM-1767,FALSE,FALSE,Major,42271692,489d06h08m12,0
MRM-1766,FALSE,FALSE,Minor,15593293,180d11h28m13,0
MRM-1769,FALSE,FALSE,Major,15212728,176d01h45m28,0
