BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ARIES-501,FALSE,FALSE,Critical,384,00d00h06m24,0
ARIES-269,FALSE,FALSE,Major,11507,00d03h11m47,0
ARIES-1648,FALSE,FALSE,Major,22066,00d06h07m46,0
ARIES-1649,FALSE,FALSE,Major,188399,02d04h19m59,0
ARIES-878,TRUE,FALSE,Major,28458,00d07h54m18,0
ARIES-972,TRUE,FALSE,Major,62749,00d17h25m49,0
ARIES-973,TRUE,FALSE,Major,99753,01d03h42m33,0
ARIES-875,FALSE,FALSE,Major,704964,08d03h49m24,0
ARIES-1641,FALSE,FALSE,Critical,63674,00d17h41m14,0
ARIES-877,FALSE,FALSE,Major,33505,00d09h18m25,0
ARIES-871,FALSE,FALSE,Major,366,00d00h06m06,0
ARIES-870,FALSE,FALSE,Major,27334631,316d08h57m11,0
ARIES-1646,FALSE,TRUE,Major,163105,01d21h18m25,0
ARIES-872,FALSE,FALSE,Major,711046,08d05h30m46,0
ARIES-405,FALSE,FALSE,Major,694,00d00h11m34,0
ARIES-406,FALSE,FALSE,Critical,89454,01d00h50m54,0
ARIES-407,FALSE,FALSE,Major,9556,00d02h39m16,0
ARIES-1766,TRUE,FALSE,Major,3990516,46d04h28m36,0
ARIES-402,FALSE,FALSE,Major,765719,08d20h41m59,0
ARIES-1768,FALSE,FALSE,Major,43457,00d12h04m17,0
ARIES-408,TRUE,FALSE,Major,637125,07d08h58m45,0
ARIES-409,FALSE,FALSE,Major,12189084,141d01h51m24,1
ARIES-1055,TRUE,FALSE,Major,550,00d00h09m10,0
ARIES-1116,FALSE,FALSE,Major,138657874,1604d20h04m34,0
ARIES-1117,TRUE,FALSE,Major,31091677,359d20h34m37,0
ARIES-585,FALSE,FALSE,Major,2065,00d00h34m25,0
ARIES-584,TRUE,FALSE,Major,44674153,517d01h29m13,1
ARIES-586,TRUE,FALSE,Major,512162,05d22h16m02,0
ARIES-580,TRUE,FALSE,Major,8751,00d02h25m51,0
ARIES-582,TRUE,FALSE,Major,10337204,119d15h26m44,1
ARIES-588,FALSE,FALSE,Major,234,00d00h03m54,0
ARIES-1503,TRUE,FALSE,Major,2753338,31d20h48m58,1
ARIES-1500,TRUE,FALSE,Major,16251150,188d02h12m30,1
ARIES-530,FALSE,FALSE,Major,2926646,33d20h57m26,0
ARIES-1616,TRUE,FALSE,Major,189,00d00h03m09,0
ARIES-901,TRUE,FALSE,Major,278,00d00h04m38,0
ARIES-900,FALSE,FALSE,Major,853,00d00h14m13,0
ARIES-271,TRUE,FALSE,Major,930262,10d18h24m22,0
ARIES-902,FALSE,FALSE,Major,149241,01d17h27m21,0
ARIES-905,FALSE,FALSE,Major,8142,00d02h15m42,0
