BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ASTERIXDB-1938,FALSE,FALSE,Major,246126,02d20h22m06,0
ASTERIXDB-1939,FALSE,FALSE,Major,5275,00d01h27m55,0
ASTERIXDB-1516,FALSE,FALSE,Critical,3861948,44d16h45m48,0
ASTERIXDB-1233,FALSE,FALSE,Major,8025292,92d21h14m52,0
ASTERIXDB-1231,FALSE,FALSE,Major,5454325,63d03h05m25,0
ASTERIXDB-830,FALSE,FALSE,Critical,84675823,980d01h03m43,0
ASTERIXDB-1336,FALSE,FALSE,Major,4187880,48d11h18m00,0
ASTERIXDB-1489,FALSE,FALSE,Critical,1064864,12d07h47m44,0
ASTERIXDB-1334,FALSE,FALSE,Critical,16233493,187d21h18m13,0
ASTERIXDB-1725,TRUE,FALSE,Major,487952,05d15h32m32,0
ASTERIXDB-1333,FALSE,FALSE,Major,772720,08d22h38m40,0
ASTERIXDB-1330,FALSE,FALSE,Major,4887,00d01h21m27,0
ASTERIXDB-1331,FALSE,FALSE,Major,44338,00d12h18m58,0
ASTERIXDB-1728,FALSE,FALSE,Major,9645,00d02h40m45,0
ASTERIXDB-1482,TRUE,FALSE,Major,866967,10d00h49m27,0
ASTERIXDB-1515,FALSE,FALSE,Major,23866,00d06h37m46,0
ASTERIXDB-1485,FALSE,FALSE,Major,4909246,56d19h40m46,0
ASTERIXDB-1338,FALSE,FALSE,Critical,226535,02d14h55m35,0
ASTERIXDB-1487,TRUE,FALSE,Critical,8463990,97d23h06m30,0
ASTERIXDB-2355,TRUE,FALSE,Minor,1211004,14d00h23m24,0
ASTERIXDB-2354,TRUE,FALSE,Minor,1326795,15d08h33m15,0
ASTERIXDB-2356,FALSE,FALSE,Minor,1230647,14d05h50m47,0
ASTERIXDB-2299,FALSE,FALSE,Critical,6351,00d01h45m51,0
ASTERIXDB-2353,FALSE,FALSE,Major,3658,00d01h00m58,0
ASTERIXDB-2352,FALSE,FALSE,Minor,14022,00d03h53m42,0
ASTERIXDB-1804,TRUE,FALSE,Major,293260,03d09h27m40,0
ASTERIXDB-2296,TRUE,FALSE,Major,97947,01d03h12m27,0
ASTERIXDB-1928,TRUE,FALSE,Major,715559,08d06h45m59,0
ASTERIXDB-2358,FALSE,FALSE,Blocker,5376058,62d05h20m58,0
ASTERIXDB-1195,TRUE,FALSE,Major,47906,00d13h18m26,0
ASTERIXDB-2411,TRUE,FALSE,Minor,65239,00d18h07m19,0
ASTERIXDB-2051,TRUE,FALSE,Major,1575032,18d05h30m32,0
ASTERIXDB-1152,TRUE,FALSE,Major,2350074,27d04h47m54,0
ASTERIXDB-1659,FALSE,FALSE,Major,5707249,66d01h20m49,0
ASTERIXDB-1155,FALSE,FALSE,Major,154131,01d18h48m51,0
ASTERIXDB-1657,TRUE,FALSE,Major,2627207,30d09h46m47,0
ASTERIXDB-1159,TRUE,FALSE,Critical,1380003,15d23h20m03,0
ASTERIXDB-1650,TRUE,FALSE,Major,9187181,106d07h59m41,0
ASTERIXDB-1652,TRUE,FALSE,Major,100188,01d03h49m48,0
ASTERIXDB-2170,TRUE,FALSE,Major,2407557,27d20h45m57,0
ASTERIXDB-2176,TRUE,FALSE,Major,1879668,21d18h07m48,0
ASTERIXDB-2070,FALSE,FALSE,Major,1755188,20d07h33m08,0
ASTERIXDB-2072,TRUE,FALSE,Major,519423,06d00h17m03,0
ASTERIXDB-2507,TRUE,FALSE,Major,879804,10d04h23m24,0
ASTERIXDB-1206,TRUE,FALSE,Major,82294,00d22h51m34,0
ASTERIXDB-2458,TRUE,FALSE,Major,20346152,235d11h42m32,0
