BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
AURORA-1325,FALSE,FALSE,Minor,8268,00d02h17m48,0
AURORA-1322,TRUE,FALSE,Major,1096419,12d16h33m39,0
AURORA-1739,FALSE,FALSE,Critical,5006783,57d22h46m23,0
AURORA-753,FALSE,FALSE,Blocker,53616,00d14h53m36,0
AURORA-757,FALSE,FALSE,Major,1866,00d00h31m06,0
AURORA-756,TRUE,FALSE,Major,338381,03d21h59m41,0
AURORA-1745,FALSE,FALSE,Major,62548,00d17h22m28,0
AURORA-1741,FALSE,FALSE,Minor,493845,05d17h10m45,0
AURORA-60,FALSE,FALSE,Major,968449,11d05h00m49,1
AURORA-1550,TRUE,FALSE,Blocker,154571,01d18h56m11,0
AURORA-135,TRUE,FALSE,Minor,2423539,28d01h12m19,1
AURORA-134,TRUE,FALSE,Minor,2423666,28d01h14m26,1
AURORA-136,FALSE,FALSE,Minor,412777,04d18h39m37,0
AURORA-1633,FALSE,FALSE,Major,383511,04d10h31m51,0
AURORA-1630,TRUE,FALSE,Major,245825,02d20h17m05,0
AURORA-1620,FALSE,FALSE,Minor,11566343,133d20h52m23,0
AURORA-571,FALSE,FALSE,Major,2247920,26d00h25m20,1
AURORA-573,TRUE,FALSE,Blocker,3175,00d00h52m55,0
SHIRO-493,TRUE,TRUE,Major,80608290,932d23h11m30,1
AURORA-1959,TRUE,FALSE,Major,25389,00d07h03m09,0
AURORA-349,TRUE,FALSE,Blocker,5609560,64d22h12m40,1
AURORA-1953,TRUE,FALSE,Blocker,60290,00d16h44m50,0
AURORA-1952,FALSE,FALSE,Major,1799462,20d19h51m02,0
AURORA-344,FALSE,FALSE,Minor,99,00d00h01m39,0
AURORA-1950,FALSE,FALSE,Major,166828,01d22h20m28,0
AURORA-478,TRUE,FALSE,Major,258275,02d23h44m35,0
AURORA-1956,FALSE,FALSE,Major,487196,05d15h19m56,0
AURORA-1955,FALSE,FALSE,Major,218001,02d12h33m21,0
AURORA-221,FALSE,FALSE,Major,2533673,29d07h47m53,0
AURORA-223,FALSE,FALSE,Minor,1378900,15d23h01m40,0
AURORA-187,TRUE,FALSE,Critical,20131674,233d00h07m54,0
AURORA-788,FALSE,FALSE,Minor,500329,05d18h58m49,0
AURORA-786,FALSE,FALSE,Major,435139,05d00h52m19,0
AURORA-784,FALSE,TRUE,Major,3131255,36d05h47m35,0
AURORA-1016,FALSE,FALSE,Major,84407,00d23h26m47,0
AURORA-3,TRUE,FALSE,Major,10439252,120d19h47m32,1
AURORA-6,FALSE,FALSE,Minor,28401517,328d17h18m37,0
AURORA-986,FALSE,FALSE,Minor,677034,07d20h03m54,0
AURORA-823,FALSE,FALSE,Major,18127120,209d19h18m40,1
AURORA-989,FALSE,TRUE,Major,592715,06d20h38m35,0
AURORA-824,TRUE,FALSE,Critical,1089538,12d14h38m58,0
AURORA-295,FALSE,FALSE,Major,506135,05d20h35m35,0
AURORA-297,FALSE,FALSE,Major,2357433,27d06h50m33,0
AURORA-5,FALSE,FALSE,Major,7068,00d01h57m48,0
AURORA-968,FALSE,FALSE,Major,2410641,27d21h37m21,0
AURORA-14,FALSE,TRUE,Major,23714409,274d11h20m09,0
AURORA-1476,TRUE,FALSE,Minor,712118,08d05h48m38,0
AURORA-1479,FALSE,FALSE,Minor,77370,00d21h29m30,0
AURORA-966,FALSE,FALSE,Major,2066,00d00h34m26,0
AURORA-965,FALSE,FALSE,Major,169116,01d22h58m36,0
AURORA-658,TRUE,FALSE,Major,1178133,13d15h15m33,0
AURORA-1074,TRUE,TRUE,Major,12696015,146d22h40m15,0
AURORA-1076,FALSE,FALSE,Blocker,8143,00d02h15m43,0
AURORA-1174,FALSE,TRUE,Major,1042346,12d01h32m26,0
AURORA-1176,FALSE,FALSE,Major,353596,04d02h13m16,0
AURORA-1173,TRUE,FALSE,Blocker,65687,00d18h14m47,0
AURORA-917,FALSE,FALSE,Critical,781288,09d01h01m28,0
