BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
AVRO-2400,FALSE,FALSE,Blocker,2364313,27d08h45m13,0
AVRO-2408,FALSE,FALSE,Major,74810,00d20h46m50,0
AVRO-515,FALSE,FALSE,Major,2427,00d00h40m27,0
AVRO-517,TRUE,FALSE,Critical,324389,03d18h06m29,0
AVRO-516,FALSE,FALSE,Major,40618,00d11h16m58,0
AVRO-510,FALSE,FALSE,Major,12254447,141d20h00m47,0
AVRO-1857,FALSE,FALSE,Major,30830296,356d19h58m16,0
AVRO-1990,FALSE,FALSE,Major,11837710,137d00h15m10,0
AVRO-1995,FALSE,FALSE,Minor,36271,00d10h04m31,0
AVRO-1994,FALSE,FALSE,Major,1748113,20d05h35m13,0
AVRO-1997,TRUE,TRUE,Major,1891568,21d21h26m08,0
AVRO-1996,FALSE,FALSE,Minor,1306517,15d02h55m17,0
AVRO-2080,FALSE,FALSE,Minor,7243701,83d20h08m21,0
AVRO-2081,FALSE,FALSE,Minor,16240904,187d23h21m44,0
AVRO-1109,FALSE,FALSE,Major,3085949,35d17h12m29,0
AVRO-1102,FALSE,FALSE,Major,1162688,13d10h58m08,0
AVRO-972,FALSE,FALSE,Minor,137317,01d14h08m37,0
AVRO-191,FALSE,FALSE,Major,89552,01d00h52m32,0
AVRO-156,FALSE,FALSE,Trivial,36045,00d10h00m45,0
AVRO-150,FALSE,FALSE,Major,21019866,243d06h51m06,0
AVRO-79,FALSE,FALSE,Major,232463,02d16h34m23,0
AVRO-78,TRUE,FALSE,Major,148989,01d17h23m09,0
AVRO-77,FALSE,FALSE,Major,49946,00d13h52m26,0
AVRO-75,FALSE,FALSE,Major,16098166,186d07h42m46,0
AVRO-74,FALSE,FALSE,Blocker,1065,00d00h17m45,0
AVRO-193,FALSE,FALSE,Major,60831,00d16h53m51,0
AVRO-609,FALSE,FALSE,Major,355301,04d02h41m41,0
AVRO-761,TRUE,FALSE,Major,2262860,26d04h34m20,0
AVRO-764,FALSE,FALSE,Critical,208082,02d09h48m02,0
AVRO-604,FALSE,FALSE,Major,19976,00d05h32m56,0
AVRO-607,TRUE,TRUE,Blocker,191965928,2221d19h52m08,0
AVRO-194,FALSE,FALSE,Major,3559,00d00h59m19,0
AVRO-562,FALSE,FALSE,Major,3040,00d00h50m40,0
AVRO-176,FALSE,FALSE,Major,21545,00d05h59m05,0
AVRO-1853,FALSE,FALSE,Critical,10827736,125d07h42m16,0
AVRO-871,FALSE,FALSE,Major,5099527,59d00h32m07,0
AVRO-2035,FALSE,FALSE,Major,24784721,286d20h38m41,1
AVRO-2034,TRUE,FALSE,Major,50024917,578d23h48m37,0
AVRO-122,FALSE,FALSE,Minor,12924,00d03h35m24,0
AVRO-123,FALSE,FALSE,Blocker,48820,00d13h33m40,0
AVRO-124,FALSE,FALSE,Blocker,14981,00d04h09m41,1
AVRO-125,FALSE,FALSE,Major,8693,00d02h24m53,0
AVRO-1407,TRUE,FALSE,Major,31307397,362d08h29m57,0
AVRO-1406,FALSE,FALSE,Major,1722759,19d22h32m39,0
AVRO-1405,FALSE,FALSE,Minor,2330732,26d23h25m32,0
AVRO-1401,FALSE,FALSE,Major,113178558,1309d22h29m18,0
AVRO-1039,FALSE,FALSE,Minor,66905,00d18h35m05,0
AVRO-1036,FALSE,FALSE,Major,107908,01d05h58m28,0
AVRO-1037,FALSE,FALSE,Major,85785,00d23h49m45,0
AVRO-1034,FALSE,FALSE,Major,691830,08d00h10m30,0
AVRO-1033,FALSE,FALSE,Major,787255,09d02h40m55,0
AVRO-1030,FALSE,FALSE,Minor,689604,07d23h33m24,0
AVRO-1031,FALSE,FALSE,Minor,1207341,13d23h22m21,0
AVRO-335,FALSE,FALSE,Major,9770,00d02h42m50,0
AVRO-337,FALSE,FALSE,Major,63782,00d17h43m02,0
AVRO-336,FALSE,FALSE,Major,318846,03d16h34m06,0
AVRO-780,FALSE,FALSE,Major,1724141,19d22h55m41,1
AVRO-1356,FALSE,FALSE,Major,1487349,17d05h09m09,0
AVRO-1719,FALSE,TRUE,Blocker,32989361,381d19h42m41,0
AVRO-1249,FALSE,FALSE,Major,161794,01d20h56m34,0
AVRO-1355,TRUE,FALSE,Major,2658259,30d18h24m19,0
AVRO-232,FALSE,FALSE,Major,688,00d00h11m28,0
AVRO-1713,FALSE,FALSE,Major,100118,01d03h48m38,0
AVRO-943,TRUE,FALSE,Major,615044,07d02h50m44,0
AVRO-1711,TRUE,TRUE,Major,24030686,278d03h11m26,0
AVRO-238,FALSE,TRUE,Blocker,608343,07d00h59m03,0
AVRO-1240,FALSE,FALSE,Major,339833,03d22h23m53,0
AVRO-1715,TRUE,FALSE,Major,5288196,61d04h56m36,0
AVRO-1242,TRUE,FALSE,Major,92060,01d01h34m20,0
AVRO-1322,FALSE,FALSE,Major,258564,02d23h49m24,0
AVRO-1491,FALSE,FALSE,Major,40576530,469d15h15m30,0
AVRO-1089,FALSE,FALSE,Major,17397379,201d08h36m19,0
AVRO-1493,FALSE,FALSE,Major,59351057,686d22h24m17,0
AVRO-1326,FALSE,FALSE,Critical,105378,01d05h16m18,0
AVRO-864,TRUE,FALSE,Major,268080,03d02h28m00,0
AVRO-1498,TRUE,FALSE,Major,7280983,84d06h29m43,0
AVRO-1499,FALSE,FALSE,Major,6046665,69d23h37m45,0
AVRO-1081,TRUE,FALSE,Major,625205,07d05h40m05,0
AVRO-1080,FALSE,FALSE,Major,266797,03d02h06m37,0
AVRO-1087,FALSE,FALSE,Blocker,782531,09d01h22m11,0
AVRO-1086,FALSE,FALSE,Critical,703692,08d03h28m12,0
AVRO-786,FALSE,FALSE,Minor,607993,07d00h53m13,0
AVRO-1084,FALSE,FALSE,Major,792508,09d04h08m28,0
AVRO-1819,TRUE,FALSE,Major,1583171,18d07h46m11,0
AVRO-1814,FALSE,TRUE,Major,3625970,41d23h12m50,0
AVRO-2286,TRUE,FALSE,Major,127718,01d11h28m38,0
AVRO-1810,TRUE,FALSE,Blocker,94102814,1089d03h40m14,0
AVRO-1813,FALSE,FALSE,Trivial,28527886,330d04h24m46,0
AVRO-169,FALSE,FALSE,Trivial,1168986,13d12h43m06,0
AVRO-421,FALSE,FALSE,Major,61513,00d17h05m13,0
AVRO-422,FALSE,FALSE,Major,5160,00d01h26m00,0
AVRO-424,FALSE,FALSE,Major,432240,05d00h04m00,0
AVRO-347,FALSE,FALSE,Major,362,00d00h06m02,0
AVRO-1146,TRUE,FALSE,Major,848474,09d19h41m14,0
AVRO-1929,FALSE,FALSE,Minor,27478811,318d01h00m11,1
AVRO-1881,FALSE,FALSE,Major,15785693,182d16h54m53,0
AVRO-1142,FALSE,FALSE,Major,2101206,24d07h40m06,0
AVRO-1143,FALSE,FALSE,Major,991995,11d11h33m15,0
AVRO-1141,FALSE,FALSE,Major,488326,05d15h38m46,0
AVRO-1667,TRUE,FALSE,Major,27202152,314d20h09m12,0
AVRO-1921,FALSE,FALSE,Major,32764,00d09h06m04,0
AVRO-1889,FALSE,FALSE,Major,56372781,652d11h06m21,1
AVRO-1923,FALSE,TRUE,Major,1051992,12d04h13m12,0
AVRO-1663,FALSE,FALSE,Major,23433892,271d05h24m52,0
AVRO-2063,FALSE,FALSE,Minor,42586190,492d21h29m50,0
AVRO-2065,TRUE,TRUE,Blocker,41869767,484d14h29m27,0
AVRO-2066,FALSE,FALSE,Trivial,1571802,18d04h36m42,0
AVRO-701,TRUE,FALSE,Critical,8035703,93d00h08m23,0
AVRO-702,FALSE,FALSE,Major,437383,05d01h29m43,0
AVRO-1869,FALSE,FALSE,Major,45442,00d12h37m22,0
AVRO-640,FALSE,FALSE,Blocker,1893,00d00h31m33,0
AVRO-643,FALSE,FALSE,Major,11225222,129d22h07m02,0
AVRO-524,FALSE,FALSE,Major,279102,03d05h31m42,0
AVRO-704,TRUE,FALSE,Major,849182,09d19h53m02,0
AVRO-527,FALSE,FALSE,Minor,1020830,11d19h33m50,0
AVRO-521,FALSE,FALSE,Major,355706,04d02h48m26,0
AVRO-1866,FALSE,FALSE,Minor,19098817,221d01h13m37,1
AVRO-2448,FALSE,FALSE,Trivial,80933,00d22h28m53,0
AVRO-2444,FALSE,FALSE,Major,118915,01d09h01m55,0
AVRO-2442,FALSE,FALSE,Major,506065,05d20h34m25,0
AVRO-2443,FALSE,FALSE,Minor,134400,01d13h20m00,0
AVRO-281,FALSE,FALSE,Major,568813,06d14h00m13,0
AVRO-280,FALSE,FALSE,Major,326712,03d18h45m12,0
AVRO-282,FALSE,FALSE,Minor,752725,08d17h05m25,0
AVRO-165,FALSE,FALSE,Minor,40835,00d11h20m35,0
AVRO-162,FALSE,FALSE,Major,151649,01d18h07m29,0
AVRO-1442,TRUE,FALSE,Major,11028260,127d15h24m20,0
AVRO-1441,FALSE,FALSE,Major,1024320,11d20h32m00,0
AVRO-1447,FALSE,FALSE,Major,77449,00d21h30m49,0
AVRO-1446,FALSE,FALSE,Minor,260286,03d00h18m06,0
AVRO-1445,FALSE,FALSE,Major,350509,04d01h21m49,0
AVRO-1560,FALSE,FALSE,Minor,44123413,510d16h30m13,0
