BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
AXIS2-3911,FALSE,FALSE,Major,78231896,905d11h04m56,0
AXIS2-3913,FALSE,FALSE,Major,609821,07d01h23m41,0
AXIS2-4443,TRUE,FALSE,Major,629582,07d06h53m02,0
AXIS2-2535,FALSE,FALSE,Major,497,00d00h08m17,0
AXIS2-2536,FALSE,FALSE,Minor,381,00d00h06m21,0
AXIS2-4948,TRUE,FALSE,Major,604921,07d00h02m01,0
AXIS2-2538,FALSE,FALSE,Minor,1304203,15d02h16m43,0
AXIS2-3031,FALSE,FALSE,Major,24334,00d06h45m34,0
AXIS2-4941,FALSE,FALSE,Major,1490,00d00h24m50,0
AXIS2-3758,FALSE,FALSE,Major,891,00d00h14m51,0
AXIS2-3753,FALSE,FALSE,Blocker,39284,00d10h54m44,0
AXIS2-3752,FALSE,FALSE,Major,3685,00d01h01m25,0
AXIS2-3750,TRUE,FALSE,Major,10104,00d02h48m24,0
AXIS2-3757,FALSE,FALSE,Blocker,9135,00d02h32m15,0
AXIS2-3754,FALSE,FALSE,Blocker,37821,00d10h30m21,0
AXIS2-2089,FALSE,FALSE,Major,2535,00d00h42m15,0
AXIS2-3621,FALSE,FALSE,Minor,827431,09d13h50m31,0
AXIS2-3627,FALSE,FALSE,Major,574763,06d15h39m23,0
AXIS2-2080,FALSE,FALSE,Major,75852,00d21h04m12,0
AXIS2-2082,FALSE,FALSE,Major,58118,00d16h08m38,0
AXIS2-2085,FALSE,FALSE,Major,2094905,24d05h55m05,0
AXIS2-2087,FALSE,FALSE,Minor,429021,04d23h10m21,0
AXIS2-4833,FALSE,FALSE,Major,246009348,2847d07h55m48,0
AXIS2-2405,TRUE,FALSE,Major,29018,00d08h03m38,0
AXIS2-4831,FALSE,FALSE,Major,939,00d00h15m39,0
AXIS2-2400,FALSE,FALSE,Critical,4573,00d01h16m13,0
AXIS2-4835,FALSE,FALSE,Critical,6872563,79d13h02m43,0
AXIS2-2403,FALSE,FALSE,Major,4165,00d01h09m25,0
AXIS2-3137,FALSE,FALSE,Minor,191,00d00h03m11,0
AXIS2-4839,FALSE,FALSE,Major,83692,00d23h14m52,0
AXIS2-3132,TRUE,FALSE,Minor,17563125,203d06h38m45,0
AXIS2-3131,FALSE,FALSE,Major,258,00d00h04m18,0
AXIS2-3130,TRUE,FALSE,Major,13643,00d03h47m23,0
AXIS2-5361,FALSE,FALSE,Major,4382,00d01h13m02,0
AXIS2-2882,TRUE,FALSE,Blocker,5918,00d01h38m38,0
AXIS2-5363,FALSE,FALSE,Major,6549,00d01h49m09,0
AXIS2-2884,FALSE,FALSE,Critical,109228,01d06h20m28,0
AXIS2-5365,FALSE,FALSE,Major,367,00d00h06m07,0
AXIS2-2888,TRUE,FALSE,Major,93748,01d02h02m28,0
AXIS2-2889,TRUE,FALSE,Major,874,00d00h14m34,0
AXIS2-2663,FALSE,FALSE,Blocker,1848032,21d09h20m32,0
AXIS2-5167,FALSE,FALSE,Major,10315,00d02h51m55,0
AXIS2-2718,FALSE,FALSE,Major,1688197,19d12h56m37,0
AXIS2-1840,TRUE,FALSE,Major,3108918,35d23h35m18,0
AXIS2-1842,FALSE,FALSE,Major,7050671,81d14h31m11,0
AXIS2-1845,TRUE,FALSE,Minor,84164,00d23h22m44,0
AXIS2-1844,FALSE,FALSE,Major,374,00d00h06m14,0
AXIS2-2248,TRUE,FALSE,Blocker,9627489,111d10h18m09,0
AXIS2-2249,FALSE,FALSE,Blocker,10513513,121d16h25m13,0
AXIS2-2245,FALSE,FALSE,Major,286174,03d07h29m34,0
AXIS2-2714,FALSE,FALSE,Blocker,2189330,25d08h08m50,0
AXIS2-4169,FALSE,FALSE,Major,64241501,743d12h51m41,1
AXIS2-1448,TRUE,FALSE,Major,68367,00d18h59m27,0
AXIS2-1445,FALSE,TRUE,Blocker,575509,06d15h51m49,0
AXIS2-4162,FALSE,FALSE,Major,114300074,1322d22h01m14,0
AXIS2-1287,FALSE,FALSE,Minor,169,00d00h02m49,0
AXIS2-1286,FALSE,FALSE,Minor,774,00d00h12m54,0
AXIS2-1285,TRUE,FALSE,Major,2002168,23d04h09m28,1
AXIS2-1284,FALSE,FALSE,Major,23530,00d06h32m10,0
AXIS2-1280,FALSE,FALSE,Blocker,895494,10d08h44m54,0
AXIS2-4947,FALSE,FALSE,Major,197140687,2281d17h18m07,0
AXIS2-4768,TRUE,FALSE,Major,83797,00d23h16m37,0
AXIS2-4761,FALSE,FALSE,Major,148451,01d17h14m11,0
AXIS2-4767,FALSE,FALSE,Minor,106489,01d05h34m49,0
AXIS2-4765,TRUE,FALSE,Major,357577,04d03h19m37,0
AXIS2-4764,TRUE,FALSE,Major,185927838,2151d22h37m18,0
AXIS2-4382,TRUE,FALSE,Major,23402,00d06h30m02,0
AXIS2-4385,TRUE,FALSE,Major,55998961,648d03h16m01,1
AXIS2-4384,FALSE,FALSE,Major,811971,09d09h32m51,0
AXIS2-4387,FALSE,FALSE,Minor,2847628,32d23h00m28,0
AXIS2-4389,FALSE,FALSE,Blocker,20126,00d05h35m26,0
AXIS2-4388,TRUE,FALSE,Major,3828,00d01h03m48,0
AXIS2-1063,FALSE,FALSE,Major,32103,00d08h55m03,0
AXIS2-1066,FALSE,FALSE,Major,48439,00d13h27m19,0
AXIS2-1065,FALSE,FALSE,Major,1755222,20d07h33m42,1
AXIS2-1064,FALSE,FALSE,Major,3386,00d00h56m26,0
AXIS2-4019,FALSE,FALSE,Major,33032,00d09h10m32,0
AXIS2-5010,FALSE,FALSE,Critical,5607,00d01h33m27,0
AXIS2-5011,FALSE,FALSE,Critical,5439,00d01h30m39,0
AXIS2-2869,FALSE,FALSE,Major,922,00d00h15m22,0
AXIS2-3323,TRUE,FALSE,Major,2683,00d00h44m43,0
AXIS2-2860,FALSE,FALSE,Critical,90524530,1047d17h42m10,1
AXIS2-2867,FALSE,FALSE,Major,99,00d00h01m39,0
AXIS2-2865,FALSE,FALSE,Critical,21642210,250d11h43m30,0
AXIS2-544,TRUE,FALSE,Major,1309069,15d03h37m49,0
AXIS2-1667,FALSE,FALSE,Major,28911,00d08h01m51,0
AXIS2-4133,FALSE,FALSE,Major,552,00d00h09m12,0
AXIS2-1668,FALSE,FALSE,Major,29426,00d08h10m26,0
AXIS2-2321,FALSE,FALSE,Major,130136,01d12h08m56,0
AXIS2-1414,FALSE,FALSE,Minor,21916932,253d16h02m12,0
AXIS2-3148,FALSE,FALSE,Major,17491750,202d10h49m10,0
AXIS2-45,TRUE,FALSE,Blocker,83815,00d23h16m55,0
AXIS2-2324,FALSE,FALSE,Major,16629,00d04h37m09,0
AXIS2-1719,TRUE,FALSE,Major,7246151,83d20h49m11,0
AXIS2-439,FALSE,FALSE,Minor,453628,05d06h00m28,0
AXIS2-4139,FALSE,FALSE,Minor,2445394,28d07h16m34,0
AXIS2-1711,FALSE,FALSE,Minor,5955184,68d22h13m04,0
AXIS2-1712,FALSE,FALSE,Major,98701,01d03h25m01,0
AXIS2-436,TRUE,FALSE,Major,526092,06d02h08m12,0
AXIS2-329,TRUE,FALSE,Minor,6301,00d01h45m01,0
AXIS2-5952,FALSE,FALSE,Major,4684,00d01h18m04,0
AXIS2-3432,FALSE,FALSE,Major,2348,00d00h39m08,0
AXIS2-3921,FALSE,FALSE,Major,339547,03d22h19m07,0
AXIS2-3922,FALSE,FALSE,Major,1884670,21d19h31m10,0
AXIS2-3431,FALSE,FALSE,Major,2408,00d00h40m08,0
AXIS2-3925,TRUE,FALSE,Major,1435,00d00h23m55,0
AXIS2-3926,FALSE,FALSE,Major,268796,03d02h39m56,0
AXIS2-3385,FALSE,FALSE,Major,95951812,1110d13h16m52,0
AXIS2-3386,FALSE,FALSE,Major,97542020,1128d23h00m20,0
AXIS2-3382,TRUE,FALSE,Critical,8448164,97d18h42m44,0
AXIS2-5672,TRUE,FALSE,Major,23547953,272d13h05m53,0
AXIS2-2525,TRUE,FALSE,Major,14332964,165d21h22m44,0
AXIS2-2524,FALSE,FALSE,Major,274100,03d04h08m20,0
