BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
BIGTOP-781,FALSE,FALSE,Major,81755,00d22h42m35,0
BIGTOP-1827,FALSE,FALSE,Blocker,1581279,18d07h14m39,0
BIGTOP-1824,FALSE,TRUE,Critical,1780731,20d14h38m51,0
BIGTOP-782,FALSE,FALSE,Blocker,1908642,22d02h10m42,0
BIGTOP-785,FALSE,FALSE,Major,21423,00d05h57m03,0
BIGTOP-1823,FALSE,FALSE,Major,78966,00d21h56m06,0
BIGTOP-780,FALSE,FALSE,Blocker,79027,00d21h57m07,0
BIGTOP-789,FALSE,FALSE,Major,1197298,13d20h34m58,1
BIGTOP-788,FALSE,FALSE,Major,80035,00d22h13m55,0
BIGTOP-1828,FALSE,FALSE,Major,1434490,16d14h28m10,0
BIGTOP-2430,FALSE,FALSE,Major,866256,10d00h37m36,0
BIGTOP-2431,FALSE,FALSE,Major,1292582,14d23h03m02,0
BIGTOP-141,FALSE,FALSE,Major,339640,03d22h20m40,0
BIGTOP-2433,FALSE,FALSE,Major,2512,00d00h41m52,0
BIGTOP-2434,FALSE,TRUE,Major,350996,04d01h29m56,0
BIGTOP-145,FALSE,FALSE,Major,328338,03d19h12m18,0
BIGTOP-144,FALSE,FALSE,Major,328332,03d19h12m12,0
BIGTOP-2439,FALSE,FALSE,Major,375276,04d08h14m36,0
BIGTOP-149,FALSE,FALSE,Major,257871,02d23h37m51,0
BIGTOP-148,FALSE,FALSE,Major,43284,00d12h01m24,0
BIGTOP-3125,FALSE,FALSE,Major,468685,05d10h11m25,0
BIGTOP-3042,FALSE,FALSE,Major,486066,05d15h01m06,0
BIGTOP-3040,FALSE,FALSE,Major,511242,05d22h00m42,0
BIGTOP-3041,FALSE,FALSE,Major,92687,01d01h44m47,0
BIGTOP-3044,FALSE,FALSE,Major,6267658,72d13h00m58,0
BIGTOP-2976,FALSE,FALSE,Major,85799,00d23h49m59,0
BIGTOP-2979,FALSE,FALSE,Major,8042,00d02h14m02,0
BIGTOP-2978,FALSE,FALSE,Major,110253,01d06h37m33,0
BIGTOP-3048,FALSE,FALSE,Major,551302,06d09h08m22,0
BIGTOP-2749,FALSE,FALSE,Major,49241,00d13h40m41,0
BIGTOP-1999,FALSE,FALSE,Major,77349,00d21h29m09,0
BIGTOP-46,FALSE,FALSE,Minor,348896,04d00h54m56,0
BIGTOP-583,FALSE,FALSE,Major,3195138,36d23h32m18,0
BIGTOP-275,FALSE,FALSE,Major,42493967,491d19h52m47,0
BIGTOP-1358,FALSE,FALSE,Major,3391152,39d05h59m12,0
BIGTOP-1913,FALSE,TRUE,Major,7250630,83d22h03m50,0
BIGTOP-2991,FALSE,FALSE,Major,7078812,81d22h20m12,0
BIGTOP-2990,FALSE,FALSE,Major,1637,00d00h27m17,0
BIGTOP-1916,FALSE,FALSE,Major,3664840,42d10h00m40,0
BIGTOP-1917,FALSE,FALSE,Major,2511500,29d01h38m20,0
BIGTOP-1732,FALSE,FALSE,Minor,86221,00d23h57m01,0
BIGTOP-1853,FALSE,FALSE,Minor,5344,00d01h29m04,0
BIGTOP-580,FALSE,FALSE,Critical,446261,05d03h57m41,0
BIGTOP-1857,FALSE,FALSE,Major,114351,01d07h45m51,0
BIGTOP-1855,FALSE,FALSE,Major,128447,01d11h40m47,0
BIGTOP-1084,FALSE,FALSE,Blocker,95468,01d02h31m08,0
BIGTOP-587,FALSE,FALSE,Major,1429,00d00h23m49,0
BIGTOP-1859,FALSE,FALSE,Major,2680,00d00h44m40,0
BIGTOP-1087,FALSE,FALSE,Major,20478,00d05h41m18,0
BIGTOP-1081,FALSE,FALSE,Major,113922,01d07h38m42,0
BIGTOP-1082,FALSE,FALSE,Blocker,260760,03d00h26m00,0
BIGTOP-2724,FALSE,FALSE,Major,39290,00d10h54m50,0
BIGTOP-2725,FALSE,FALSE,Major,36740,00d10h12m20,0
BIGTOP-2726,FALSE,FALSE,Major,73787,00d20h29m47,0
BIGTOP-2727,FALSE,FALSE,Major,63545,00d17h39m05,0
