BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
BOOKKEEPER-530,TRUE,FALSE,Major,1061737,12d06h55m37,0
BOOKKEEPER-531,TRUE,FALSE,Major,357912,04d03h25m12,0
BOOKKEEPER-532,FALSE,FALSE,Blocker,228781,02d15h33m01,0
BOOKKEEPER-533,TRUE,TRUE,Major,358006,04d03h26m46,0
BOOKKEEPER-534,FALSE,FALSE,Major,204790,02d08h53m10,0
DL-119,FALSE,FALSE,Major,2026869,23d11h01m09,0
BOOKKEEPER-538,TRUE,FALSE,Major,171433,01d23h37m13,0
BOOKKEEPER-539,TRUE,FALSE,Blocker,165669,01d22h01m09,0
BOOKKEEPER-607,TRUE,FALSE,Blocker,7911576,91d13h39m36,0
BOOKKEEPER-910,FALSE,FALSE,Minor,875307,10d03h08m27,1
BOOKKEEPER-22,TRUE,FALSE,Blocker,447552,05d04h19m12,0
BOOKKEEPER-1098,TRUE,FALSE,Minor,1206232,13d23h03m52,0
BOOKKEEPER-27,FALSE,FALSE,Major,2724458,31d12h47m38,0
BOOKKEEPER-29,TRUE,FALSE,Major,3729817,43d04h03m37,1
BOOKKEEPER-28,FALSE,FALSE,Major,5343247,61d20h14m07,0
BOOKKEEPER-917,FALSE,FALSE,Critical,239849,02d18h37m29,0
BOOKKEEPER-600,FALSE,FALSE,Major,8655569,100d04h19m29,0
BOOKKEEPER-349,FALSE,TRUE,Major,244806,02d20h00m06,0
BOOKKEEPER-883,TRUE,FALSE,Major,6508005,75d07h46m45,0
BOOKKEEPER-343,FALSE,FALSE,Major,1567082,18d03h18m02,0
BOOKKEEPER-229,TRUE,FALSE,Major,1037670,12d00h14m30,0
DL-186,FALSE,FALSE,Major,1708190,19d18h29m50,0
BOOKKEEPER-408,FALSE,FALSE,Major,7545956,87d08h05m56,0
BOOKKEEPER-404,FALSE,FALSE,Major,7851217,90d20h53m37,0
BOOKKEEPER-152,TRUE,TRUE,Major,2867831,33d04h37m11,0
BOOKKEEPER-153,TRUE,FALSE,Major,198495,02d07h08m15,0
BOOKKEEPER-150,TRUE,FALSE,Major,1213773,14d01h09m33,0
BOOKKEEPER-403,TRUE,FALSE,Major,121034,01d09h37m14,0
BOOKKEEPER-635,FALSE,FALSE,Major,2088154,24d04h02m34,0
BOOKKEEPER-129,FALSE,FALSE,Major,950,00d00h15m50,0
BOOKKEEPER-128,FALSE,FALSE,Blocker,45015,00d12h30m15,0
BOOKKEEPER-633,FALSE,FALSE,Major,57163,00d15h52m43,0
BOOKKEEPER-127,FALSE,FALSE,Blocker,3890,00d01h04m50,0
BOOKKEEPER-125,FALSE,FALSE,Major,17220,00d04h47m00,0
BOOKKEEPER-632,TRUE,FALSE,Major,5370799,62d03h53m19,0
BOOKKEEPER-739,TRUE,FALSE,Major,12203626,141d05h53m46,0
BOOKKEEPER-719,FALSE,FALSE,Major,36236,00d10h03m56,0
BOOKKEEPER-652,FALSE,FALSE,Trivial,35300,00d09h48m20,0
BOOKKEEPER-654,TRUE,FALSE,Major,18608164,215d08h56m04,0
BOOKKEEPER-710,TRUE,FALSE,Blocker,12071555,139d17h12m35,1
BOOKKEEPER-711,FALSE,FALSE,Major,163560,01d21h26m00,0
BOOKKEEPER-712,FALSE,FALSE,Major,12101,00d03h21m41,0
BOOKKEEPER-714,FALSE,FALSE,Major,5943674,68d19h01m14,1
