BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
JCLOUDS-589,TRUE,FALSE,Major,1069858,12d09h10m58,0
BROOKLYN-89,FALSE,FALSE,Major,7152,00d01h59m12,1
BROOKLYN-81,TRUE,FALSE,Major,79794271,923d13h04m31,0
BROOKLYN-83,FALSE,FALSE,Minor,154497,01d18h54m57,0
BROOKLYN-144,FALSE,FALSE,Major,61824612,715d13h30m12,0
BROOKLYN-169,FALSE,FALSE,Major,996436,11d12h47m16,0
BROOKLYN-106,TRUE,FALSE,Major,2538673,29d09h11m13,0
BROOKLYN-101,FALSE,FALSE,Major,3243968,37d13h06m08,0
BROOKLYN-102,TRUE,FALSE,Major,3235594,37d10h46m34,0
BROOKLYN-214,TRUE,FALSE,Major,136454,01d13h54m14,0
BROOKLYN-215,FALSE,FALSE,Critical,248311,02d20h58m31,0
BROOKLYN-128,FALSE,FALSE,Major,76059,00d21h07m39,0
BROOKLYN-108,FALSE,FALSE,Major,48507,00d13h28m27,0
BROOKLYN-212,TRUE,FALSE,Major,41243229,477d08h27m09,0
BROOKLYN-213,FALSE,FALSE,Minor,428330,04d22h58m50,0
BROOKLYN-71,TRUE,FALSE,Major,692720,08d00h25m20,0
BROOKLYN-70,TRUE,FALSE,Major,531650,06d03h40m50,0
BROOKLYN-72,TRUE,FALSE,Major,56022909,648d09h55m09,0
BROOKLYN-188,TRUE,FALSE,Major,47779170,552d23h59m30,0
BROOKLYN-79,FALSE,FALSE,Major,602089,06d23h14m49,0
BROOKLYN-78,TRUE,FALSE,Major,605225,07d00h07m05,0
BROOKLYN-186,FALSE,FALSE,Major,156441,01d19h27m21,0
BROOKLYN-182,TRUE,FALSE,Major,111161,01d06h52m41,0
GROOVY-3319,FALSE,FALSE,Major,21478,00d05h57m58,0
BROOKLYN-99,FALSE,FALSE,Major,75712418,876d07h13m38,0
BROOKLYN-98,FALSE,FALSE,Major,589516,06d19h45m16,0
BROOKLYN-175,FALSE,FALSE,Major,2086342,24d03h32m22,0
BROOKLYN-153,FALSE,FALSE,Major,58003710,671d08h08m30,0
BROOKLYN-134,FALSE,FALSE,Major,1141873,13d05h11m13,0
BROOKLYN-137,TRUE,FALSE,Major,44623953,516d11h32m33,0
BROOKLYN-136,TRUE,FALSE,Major,688762,07d23h19m22,0
BROOKLYN-154,FALSE,FALSE,Major,57625636,666d23h07m16,0
BROOKLYN-113,FALSE,FALSE,Major,673645,07d19h07m25,0
BROOKLYN-6,TRUE,FALSE,Critical,229202,02d15h40m02,0
BROOKLYN-132,FALSE,FALSE,Major,14137827,163d15h10m27,0
CASSANDRA-6685,FALSE,FALSE,Normal,10460,00d02h54m20,0
BROOKLYN-66,FALSE,FALSE,Major,175809,02d00h50m09,0
JCLOUDS-178,TRUE,FALSE,Major,8549289,98d22h48m09,1
BROOKLYN-197,FALSE,FALSE,Major,341147,03d22h45m47,0
BROOKLYN-46,TRUE,FALSE,Major,1363780,15d18h49m40,0
