BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CALCITE-835,FALSE,FALSE,Major,20087096,232d11h44m56,0
CALCITE-571,TRUE,FALSE,Major,182105,02d02h35m05,0
CALCITE-570,FALSE,FALSE,Major,186148,02d03h42m28,0
CALCITE-575,TRUE,FALSE,Major,89632,01d00h53m52,0
CALCITE-574,FALSE,FALSE,Major,131168917,1518d03h48m37,0
CALCITE-577,TRUE,FALSE,Major,3458485,40d00h41m25,0
CALCITE-576,TRUE,FALSE,Major,983674,11d09h14m34,0
CALCITE-931,TRUE,FALSE,Minor,384960,04d10h56m00,0
CALCITE-1069,TRUE,TRUE,Major,50150983,580d10h49m43,0
CALCITE-2028,TRUE,FALSE,Major,170147,01d23h15m47,0
CALCITE-930,FALSE,FALSE,Major,13253,00d03h40m53,0
CALCITE-370,TRUE,FALSE,Major,8139586,94d04h59m46,0
CALCITE-933,TRUE,FALSE,Trivial,352034,04d01h47m14,0
CALCITE-2195,TRUE,FALSE,Major,276671,03d04h51m11,0
CALCITE-783,TRUE,TRUE,Major,1515636,17d13h00m36,0
CALCITE-780,TRUE,FALSE,Major,592342,06d20h32m22,0
CALCITE-1730,FALSE,TRUE,Major,953363,11d00h49m23,0
CALCITE-1618,TRUE,FALSE,Major,431759,04d23h55m59,0
CALCITE-1619,TRUE,FALSE,Major,365115,04d05h25m15,0
CALCITE-785,TRUE,FALSE,Major,8165994,94d12h19m54,0
CALCITE-1212,TRUE,FALSE,Minor,347833,04d00h37m13,0
CALCITE-935,TRUE,FALSE,Major,260796,03d00h26m36,0
CALCITE-1616,TRUE,TRUE,Major,25960786,300d11h19m46,0
CALCITE-1617,TRUE,FALSE,Major,101535,01d04h12m15,0
CALCITE-1610,FALSE,FALSE,Minor,68727,00d19h05m27,0
CALCITE-1613,FALSE,FALSE,Major,10747416,124d09h23m36,0
CALCITE-1734,FALSE,FALSE,Major,840593,09d17h29m53,0
CALCITE-403,FALSE,FALSE,Major,7015364,81d04h42m44,0
CALCITE-2994,FALSE,FALSE,Major,329452,03d19h30m52,0
CALCITE-2993,FALSE,FALSE,Major,970717,11d05h38m37,0
CALCITE-2990,FALSE,FALSE,Trivial,8937,00d02h28m57,0
CALCITE-1207,TRUE,FALSE,Major,211492,02d10h44m52,0
CALCITE-1205,FALSE,FALSE,Minor,1046,00d00h17m26,0
CALCITE-1204,FALSE,FALSE,Major,54,00d00h00m54,0
CALCITE-1571,TRUE,FALSE,Major,100357,01d03h52m37,0
CALCITE-1479,TRUE,FALSE,Major,88384,01d00h33m04,0
CALCITE-2388,FALSE,FALSE,Major,63515,00d17h38m35,0
CALCITE-1575,FALSE,FALSE,Major,404065,04d16h14m25,0
CALCITE-1574,FALSE,FALSE,Major,8686,00d02h24m46,0
CALCITE-1577,FALSE,FALSE,Critical,293637,03d09h33m57,0
CALCITE-2383,TRUE,FALSE,Major,1112510,12d21h01m50,0
CALCITE-2382,TRUE,FALSE,Critical,286709,03d07h38m29,0
CALCITE-2380,TRUE,FALSE,Major,53114,00d14h45m14,0
CALCITE-2387,FALSE,FALSE,Major,90,00d00h01m30,0
CALCITE-1475,TRUE,FALSE,Major,199016,02d07h16m56,0
CALCITE-2384,TRUE,FALSE,Major,1226694,14d04h44m54,0
CALCITE-1777,TRUE,FALSE,Major,17545,00d04h52m25,0
CALCITE-1800,FALSE,FALSE,Major,106593,01d05h36m33,0
CALCITE-876,TRUE,FALSE,Major,299324,03d11h08m44,0
CALCITE-877,TRUE,FALSE,Major,2595485,30d00h58m05,0
CALCITE-1805,FALSE,FALSE,Major,2281709,26d09h48m29,1
CALCITE-1804,TRUE,TRUE,Major,1094074,12d15h54m34,0
CALCITE-1807,FALSE,FALSE,Major,504835,05d20h13m55,0
CALCITE-1770,FALSE,FALSE,Major,1179218,13d15h33m38,1
CALCITE-3151,TRUE,TRUE,Major,290304,03d08h38m24,0
CALCITE-1808,TRUE,FALSE,Major,16843340,194d22h42m20,0
CALCITE-977,TRUE,FALSE,Major,4846780,56d02h19m40,0
CALCITE-3155,TRUE,FALSE,Minor,154866,01d19h01m06,0
CALCITE-2016,TRUE,TRUE,Major,2503080,28d23h18m00,0
CALCITE-2471,TRUE,TRUE,Major,12188504,141d01h41m44,0
CALCITE-1778,TRUE,FALSE,Major,14312,00d03h58m32,0
CALCITE-3012,TRUE,TRUE,Major,1133468,13d02h51m08,0
CALCITE-2156,TRUE,FALSE,Major,554681,06d10h04m41,0
CALCITE-2154,FALSE,TRUE,Major,3335756,38d14h35m56,0
CALCITE-2715,FALSE,FALSE,Major,368420,04d06h20m20,0
CALCITE-2726,TRUE,FALSE,Major,61549,00d17h05m49,0
CALCITE-2159,TRUE,FALSE,Major,7870008,91d02h06m48,0
CALCITE-2196,TRUE,FALSE,Trivial,76703,00d21h18m23,0
CALCITE-1980,FALSE,FALSE,Major,1769477,20d11h31m17,0
CALCITE-2632,TRUE,FALSE,Major,3907013,45d05h16m53,0
CALCITE-2631,FALSE,FALSE,Major,645223,07d11h13m43,0
CALCITE-2637,FALSE,FALSE,Major,3468942,40d03h35m42,0
CALCITE-1986,TRUE,FALSE,Major,1614329,18d16h25m29,0
CALCITE-1987,TRUE,FALSE,Major,1585065,18d08h17m45,0
CALCITE-1988,TRUE,FALSE,Major,1218100,14d02h21m40,0
CALCITE-1989,FALSE,FALSE,Major,1207997,13d23h33m17,0
CALCITE-2639,FALSE,FALSE,Blocker,117181,01d08h33m01,0
CALCITE-2638,TRUE,FALSE,Major,425386,04d22h09m46,0
CALCITE-1860,FALSE,FALSE,Major,407510,04d17h11m50,0
CALCITE-2908,FALSE,FALSE,Major,1256360,14d12h59m20,0
CALCITE-1334,TRUE,TRUE,Major,19426246,224d20h10m46,1
CALCITE-1333,TRUE,FALSE,Major,269584,03d02h53m04,0
CALCITE-1332,TRUE,FALSE,Major,128458,01d11h40m58,0
CALCITE-1330,FALSE,FALSE,Major,71173,00d19h46m13,0
CALCITE-2900,FALSE,FALSE,Major,1977489,22d21h18m09,0
CALCITE-2903,TRUE,TRUE,Major,1653293,19d03h14m53,0
CALCITE-843,FALSE,FALSE,Major,4059418,46d23h36m58,0
CALCITE-1338,TRUE,TRUE,Major,85192959,986d00h42m39,0
CALCITE-1676,TRUE,FALSE,Major,56383,00d15h39m43,0
CALCITE-1506,TRUE,FALSE,Major,454857,05d06h20m57,0
CALCITE-1507,TRUE,FALSE,Minor,1157293,13d09h28m13,0
CALCITE-1501,TRUE,FALSE,Major,166500,01d22h15m00,0
CALCITE-2338,TRUE,FALSE,Major,23750779,274d21h26m19,0
CALCITE-1976,FALSE,FALSE,Major,2109018,24d09h50m18,0
CALCITE-2332,TRUE,FALSE,Major,70182,00d19h29m42,0
CALCITE-1970,FALSE,FALSE,Major,3283128,37d23h58m48,0
CALCITE-2331,TRUE,FALSE,Critical,4090869,47d08h21m09,0
CALCITE-2705,FALSE,FALSE,Trivial,537773,06d05h22m53,0
CALCITE-1877,FALSE,FALSE,Trivial,11834,00d03h17m14,0
CALCITE-1870,TRUE,FALSE,Major,41867696,484d13h54m56,0
CALCITE-1871,FALSE,FALSE,Major,294800,03d09h53m20,0
CALCITE-1873,FALSE,FALSE,Major,100027,01d03h47m07,0
CALCITE-2264,TRUE,FALSE,Major,659064,07d15h04m24,0
CALCITE-3126,TRUE,FALSE,Major,1581371,18d07h16m11,0
CALCITE-3121,TRUE,TRUE,Blocker,2275778,26d08h09m38,0
CALCITE-3123,TRUE,FALSE,Major,2238491,25d21h48m11,0
CALCITE-751,TRUE,FALSE,Major,4273697,49d11h08m17,0
CALCITE-2441,TRUE,FALSE,Major,7828104,90d14h28m24,0
CALCITE-753,TRUE,FALSE,Major,701792,08d02h56m32,0
CALCITE-459,FALSE,FALSE,Major,34090839,394d13h40m39,0
CALCITE-2444,TRUE,TRUE,Major,3923174,45d09h46m14,0
CALCITE-754,TRUE,FALSE,Major,374940,04d08h09m00,0
CALCITE-2446,TRUE,FALSE,Major,815831,09d10h37m11,0
CALCITE-2447,FALSE,FALSE,Major,810920,09d09h15m20,0
CALCITE-2527,FALSE,FALSE,Major,1396373,16d03h52m53,0
CALCITE-451,TRUE,FALSE,Major,4990321,57d18h12m01,0
CALCITE-2523,FALSE,FALSE,Major,413030,04d18h43m50,0
CALCITE-2522,FALSE,FALSE,Major,107304,01d05h48m24,0
CALCITE-2521,FALSE,FALSE,Major,415357,04d19h22m37,0
CALCITE-2520,TRUE,FALSE,Major,15597,00d04h19m57,0
CALCITE-1418,TRUE,FALSE,Major,407646,04d17h14m06,0
CALCITE-2875,FALSE,FALSE,Major,301524,03d11h45m24,0
CALCITE-1022,FALSE,FALSE,Major,185621,02d03h33m41,0
CALCITE-1021,FALSE,TRUE,Major,3580351,41d10h32m31,0
CALCITE-1026,TRUE,FALSE,Major,85551937,990d04h25m37,0
CALCITE-1024,TRUE,FALSE,Major,174867,02d00h34m27,0
CALCITE-860,FALSE,FALSE,Major,1225276,14d04h21m16,0
CALCITE-2977,FALSE,FALSE,Major,816832,09d10h53m52,0
CALCITE-1386,TRUE,TRUE,Major,230403,02d16h00m03,0
CALCITE-2878,TRUE,FALSE,Major,1702,00d00h28m22,0
CALCITE-2137,FALSE,FALSE,Major,698,00d00h11m38,0
CALCITE-2722,TRUE,FALSE,Major,7267716,84d02h48m36,0
CALCITE-1599,TRUE,FALSE,Major,318773,03d16h32m53,0
CALCITE-1598,TRUE,FALSE,Major,3335394,38d14h29m54,0
CALCITE-1597,TRUE,FALSE,Major,428898,04d23h08m18,0
CALCITE-2203,FALSE,FALSE,Minor,288411,03d08h06m51,0
CALCITE-2200,FALSE,TRUE,Major,178783,02d01h39m43,0
CALCITE-1594,FALSE,FALSE,Major,338975,03d22h09m35,0
CALCITE-2206,TRUE,FALSE,Major,3011470,34d20h31m10,0
CALCITE-1592,FALSE,FALSE,Major,53412,00d14h50m12,0
CALCITE-2205,TRUE,TRUE,Major,1652581,19d03h03m01,0
CALCITE-789,FALSE,FALSE,Major,209403,02d10h10m03,0
CALCITE-988,TRUE,FALSE,Minor,17273,00d04h47m53,0
DRILL-4906,FALSE,FALSE,Major,741048,08d13h50m48,0
CALCITE-542,TRUE,FALSE,Major,40860,00d11h21m00,0
CALCITE-2192,FALSE,FALSE,Major,42173,00d11h42m53,0
CALCITE-986,TRUE,FALSE,Major,84683,00d23h31m23,0
CALCITE-987,TRUE,TRUE,Major,636232,07d08h43m52,0
CALCITE-980,FALSE,TRUE,Major,1959794,22d16h23m14,0
CALCITE-983,FALSE,FALSE,Major,1312730,15d04h38m50,0
CALCITE-625,FALSE,FALSE,Major,703235,08d03h20m35,0
CALCITE-623,FALSE,FALSE,Major,28533406,330d05h56m46,0
CALCITE-619,FALSE,FALSE,Major,939504,10d20h58m24,0
CALCITE-1652,TRUE,FALSE,Major,88063,01d00h27m43,0
CALCITE-1653,TRUE,FALSE,Major,114998,01d07h56m38,0
CALCITE-1654,FALSE,FALSE,Critical,12110,00d03h21m50,0
CALCITE-1655,TRUE,TRUE,Major,764471,08d20h21m11,0
CALCITE-1656,TRUE,FALSE,Major,718396,08d07h33m16,0
CALCITE-1657,FALSE,TRUE,Major,2365617,27d09h06m57,0
CALCITE-1658,TRUE,FALSE,Major,26987267,312d08h27m47,0
CALCITE-1659,FALSE,TRUE,Major,124763,01d10h39m23,0
CALCITE-3234,FALSE,FALSE,Major,176961,02d01h09m21,0
CALCITE-3236,FALSE,FALSE,Major,533514,06d04h11m54,0
CALCITE-3237,FALSE,FALSE,Major,113457,01d07h30m57,0
CALCITE-1486,FALSE,FALSE,Major,320589,03d17h03m09,0
CALCITE-1953,FALSE,FALSE,Major,1035063,11d23h31m03,0
CALCITE-910,TRUE,FALSE,Major,173759,02d00h15m59,0
CALCITE-1898,FALSE,FALSE,Major,407994,04d17h19m54,0
CALCITE-1516,FALSE,FALSE,Major,38373,00d10h39m33,0
CALCITE-1482,TRUE,FALSE,Major,88049,01d00h27m29,1
CALCITE-2280,TRUE,TRUE,Major,6428569,74d09h42m49,0
CALCITE-522,TRUE,FALSE,Major,27198643,314d19h10m43,1
CALCITE-1896,TRUE,FALSE,Major,710452,08d05h20m52,0
CALCITE-526,TRUE,TRUE,Major,5073597,58d17h19m57,0
CALCITE-527,TRUE,FALSE,Major,144160,01d16h02m40,0
CALCITE-1897,TRUE,FALSE,Major,2736551,31d16h09m11,0
CALCITE-3195,TRUE,FALSE,Major,1002839,11d14h33m59,0
CALCITE-1732,FALSE,FALSE,Major,55522,00d15h25m22,0
CALCITE-528,TRUE,FALSE,Major,47583869,550d17h44m29,0
CALCITE-3196,TRUE,FALSE,Major,230453,02d16h00m53,0
CALCITE-3191,TRUE,FALSE,Major,1999892,23d03h31m32,0
CALCITE-934,TRUE,FALSE,Trivial,4666815,54d00h20m15,0
CALCITE-937,TRUE,FALSE,Minor,39087,00d10h51m27,0
CALCITE-3192,FALSE,FALSE,Major,1823118,21d02h25m18,0
CALCITE-2116,TRUE,FALSE,Major,933784,10d19h23m04,0
CALCITE-489,TRUE,FALSE,Major,4217745,48d19h35m45,1
CALCITE-516,FALSE,FALSE,Major,2312848,26d18h27m28,0
CALCITE-2113,TRUE,FALSE,Major,376580,04d08h36m20,0
CALCITE-2110,FALSE,FALSE,Major,756428,08d18h07m08,0
CALCITE-2111,TRUE,FALSE,Major,806441,09d08h00m41,0
