BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CAMEL-13750,TRUE,FALSE,Minor,245913,02d20h18m33,0
CAMEL-4083,TRUE,FALSE,Minor,161326,01d20h48m46,0
CAMEL-10771,FALSE,FALSE,Major,7739,00d02h08m59,0
CAMEL-11352,FALSE,FALSE,Major,147976,01d17h06m16,0
CAMEL-1217,TRUE,FALSE,Major,82744,00d22h59m04,0
CAMEL-1740,TRUE,FALSE,Major,901563,10d10h26m03,0
CAMEL-1743,TRUE,FALSE,Major,2964,00d00h49m24,0
CAMEL-1213,TRUE,FALSE,Major,304377,03d12h32m57,0
CAMEL-1210,FALSE,FALSE,Major,144,00d00h02m24,0
CAMEL-988,FALSE,FALSE,Major,9383,00d02h36m23,0
CAMEL-8476,TRUE,FALSE,Major,259826,03d00h10m26,0
CAMEL-4842,TRUE,FALSE,Major,509782,05d21h36m22,1
CAMEL-8470,FALSE,FALSE,Major,4981925,57d15h52m05,1
CAMEL-8471,FALSE,FALSE,Major,220,00d00h03m40,0
CAMEL-980,TRUE,FALSE,Critical,308023,03d13h33m43,0
CAMEL-983,TRUE,FALSE,Major,172134,01d23h48m54,1
CAMEL-8479,FALSE,FALSE,Major,9020,00d02h30m20,0
CAMEL-498,TRUE,FALSE,Major,33194,00d09h13m14,0
CAMEL-5981,FALSE,FALSE,Major,2903,00d00h48m23,0
CAMEL-10359,FALSE,FALSE,Major,627,00d00h10m27,0
CAMEL-1697,TRUE,FALSE,Major,83064,00d23h04m24,0
CAMEL-1696,FALSE,FALSE,Major,15419,00d04h16m59,0
CAMEL-12037,FALSE,FALSE,Major,82238,00d22h50m38,0
CAMEL-4089,TRUE,FALSE,Major,2573,00d00h42m53,0
CAMEL-10177,FALSE,FALSE,Minor,306,00d00h05m06,0
CAMEL-10176,FALSE,FALSE,Major,1461,00d00h24m21,0
CAMEL-10174,TRUE,FALSE,Minor,255603,02d23h00m03,0
CAMEL-10171,TRUE,FALSE,Major,2276479,26d08h21m19,0
CAMEL-8786,FALSE,FALSE,Minor,28036,00d07h47m16,0
CAMEL-8784,FALSE,FALSE,Major,53889,00d14h58m09,0
CAMEL-8785,TRUE,FALSE,Major,13039,00d03h37m19,0
CAMEL-8782,FALSE,FALSE,Major,2513,00d00h41m53,0
CAMEL-8783,FALSE,FALSE,Major,9373907,108d11h51m47,1
CAMEL-8780,TRUE,FALSE,Major,337252,03d21h40m52,0
CAMEL-9658,TRUE,FALSE,Major,264303,03d01h25m03,0
CAMEL-1103,FALSE,FALSE,Major,13311,00d03h41m51,0
CAMEL-5331,TRUE,FALSE,Major,954712,11d01h11m52,0
CAMEL-5333,FALSE,FALSE,Minor,190,00d00h03m10,0
CAMEL-1107,TRUE,FALSE,Major,29987,00d08h19m47,0
CAMEL-1108,FALSE,FALSE,Major,519426,06d00h17m06,0
CAMEL-8272,FALSE,FALSE,Minor,1208826,13d23h47m06,0
CAMEL-8270,TRUE,TRUE,Major,8367210,96d20h13m30,0
CAMEL-4559,FALSE,FALSE,Major,11879,00d03h17m59,0
CAMEL-4553,TRUE,FALSE,Major,249487,02d21h18m07,0
CAMEL-4557,FALSE,FALSE,Major,4493,00d01h14m53,1
CAMEL-4556,TRUE,FALSE,Minor,14990784,173d12h06m24,0
CAMEL-1663,TRUE,TRUE,Major,263581,03d01h13m01,0
