BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CASSANDRA-11642,FALSE,FALSE,Normal,97801,01d03h10m01,0
CASSANDRA-11135,FALSE,FALSE,Normal,859053,09d22h37m33,0
CASSANDRA-11640,FALSE,FALSE,Low,723300,08d08h55m00,0
CASSANDRA-11137,FALSE,FALSE,Normal,6769424,78d08h23m44,1
CASSANDRA-11646,TRUE,FALSE,Normal,110202,01d06h36m42,0
CASSANDRA-11644,FALSE,FALSE,Low,1557416,18d00h36m56,0
CASSANDRA-11139,TRUE,FALSE,Normal,126062,01d11h01m02,0
CASSANDRA-8062,FALSE,FALSE,Normal,936459,10d20h07m39,0
CASSANDRA-6959,FALSE,FALSE,Normal,3272937,37d21h08m57,1
CASSANDRA-6958,FALSE,FALSE,Normal,57356,00d15h55m56,0
CASSANDRA-3082,FALSE,FALSE,Low,17370,00d04h49m30,0
CASSANDRA-11130,TRUE,FALSE,Normal,369918,04d06h45m18,0
CASSANDRA-6957,FALSE,FALSE,Normal,585239,06d18h33m59,0
CASSANDRA-6956,TRUE,FALSE,Normal,84667,00d23h31m07,0
CASSANDRA-14672,TRUE,FALSE,Urgent,2367580,27d09h39m40,0
CASSANDRA-1286,TRUE,FALSE,Low,1480642,17d03h17m22,0
CASSANDRA-1287,FALSE,FALSE,Normal,602565,06d23h22m45,0
CASSANDRA-6420,FALSE,FALSE,Normal,1265641,14d15h34m01,0
CASSANDRA-6427,FALSE,FALSE,Low,431103,04d23h45m03,0
CASSANDRA-1730,FALSE,FALSE,Normal,1907296,22d01h48m16,0
CASSANDRA-1731,FALSE,FALSE,Low,1855,00d00h30m55,0
CASSANDRA-1732,FALSE,FALSE,Normal,655211,07d14h00m11,0
CASSANDRA-353,FALSE,FALSE,Normal,60288,00d16h44m48,0
CASSANDRA-1734,FALSE,FALSE,Low,297639,03d10h40m39,0
CASSANDRA-5458,FALSE,FALSE,Low,12947,00d03h35m47,0
CASSANDRA-1736,TRUE,FALSE,Normal,942876,10d21h54m36,0
CASSANDRA-5455,TRUE,FALSE,Normal,1443,00d00h24m03,0
CASSANDRA-11001,FALSE,FALSE,Normal,2022946,23d09h55m46,0
CASSANDRA-11003,FALSE,FALSE,Normal,1325451,15d08h10m51,0
CASSANDRA-3944,FALSE,FALSE,Normal,425,00d00h07m05,0
CASSANDRA-11005,FALSE,FALSE,Low,217159,02d12h19m19,0
CASSANDRA-5452,FALSE,FALSE,Low,54908,00d15h15m08,0
CASSANDRA-10605,FALSE,FALSE,Normal,1104238,12d18h43m58,0
CASSANDRA-10604,TRUE,FALSE,Normal,82360,00d22h52m40,0
CASSANDRA-10606,TRUE,FALSE,Normal,68845,00d19h07m25,0
CASSANDRA-10601,FALSE,FALSE,Normal,74903,00d20h48m23,0
CASSANDRA-10600,FALSE,FALSE,Low,816596,09d10h49m56,0
CASSANDRA-11739,TRUE,FALSE,Normal,1246977,14d10h22m57,0
CASSANDRA-11736,FALSE,FALSE,Low,18557,00d05h09m17,0
CASSANDRA-11737,FALSE,FALSE,Normal,82966,00d23h02m46,0
CASSANDRA-1512,TRUE,FALSE,Low,277349,03d05h02m29,0
CASSANDRA-7722,FALSE,FALSE,Low,1472430,17d01h00m30,0
CASSANDRA-3466,FALSE,FALSE,Normal,347897,04d00h38m17,0
CASSANDRA-3467,TRUE,FALSE,Low,77368,00d21h29m28,0
CASSANDRA-10359,FALSE,FALSE,Normal,93534,01d01h58m54,0
CASSANDRA-14515,TRUE,TRUE,Urgent,685789,07d22h29m49,0
CASSANDRA-11223,TRUE,FALSE,Normal,45315441,524d11h37m21,1
CASSANDRA-5855,TRUE,FALSE,Normal,112091,01d07h08m11,0
CASSANDRA-11226,TRUE,FALSE,Low,1871244,21d15h47m24,0
CASSANDRA-5856,FALSE,FALSE,Urgent,864377,10d00h06m17,0
CASSANDRA-5859,TRUE,FALSE,Normal,412660,04d18h37m40,0
CASSANDRA-15027,TRUE,FALSE,Normal,385652,04d11h07m32,0
CASSANDRA-15024,TRUE,FALSE,Normal,226572,02d14h56m12,0
CASSANDRA-15025,FALSE,FALSE,Normal,225764,02d14h42m44,0
CASSANDRA-1573,FALSE,FALSE,Urgent,11609,00d03h13m29,0
CASSANDRA-6397,FALSE,FALSE,Low,17469374,202d04h36m14,0
CASSANDRA-6396,FALSE,FALSE,Low,1403,00d00h23m23,0
CASSANDRA-2390,FALSE,FALSE,Low,46655,00d12h57m35,0
CASSANDRA-2619,TRUE,FALSE,Normal,196380,02d06h33m00,0
CASSANDRA-7561,FALSE,FALSE,Low,2546366,29d11h19m26,0
CASSANDRA-6555,TRUE,FALSE,Normal,1881452,21d18h37m32,0
CASSANDRA-6554,FALSE,FALSE,Normal,244255,02d19h50m55,1
CASSANDRA-6557,FALSE,FALSE,Low,5706487,66d01h08m07,0
CASSANDRA-6884,TRUE,FALSE,Low,32118,00d08h55m18,0
CASSANDRA-6883,TRUE,FALSE,Normal,191433,02d05h10m33,1
CASSANDRA-6550,FALSE,FALSE,Normal,81194,00d22h33m14,0
CASSANDRA-1356,FALSE,FALSE,Normal,79659,00d22h07m39,0
CASSANDRA-1605,FALSE,FALSE,Normal,76291,00d21h11m31,0
CASSANDRA-1606,FALSE,FALSE,Normal,158605,01d20h03m25,0
CASSANDRA-8136,FALSE,FALSE,Low,1200766,13d21h32m46,0
CASSANDRA-1352,FALSE,FALSE,Low,8965,00d02h29m25,0
CASSANDRA-1353,TRUE,FALSE,Normal,67559,00d18h45m59,0
CASSANDRA-1350,TRUE,FALSE,Normal,776697,08d23h44m57,0
CASSANDRA-1351,FALSE,FALSE,Urgent,5019,00d01h23m39,0
CASSANDRA-2615,FALSE,FALSE,Low,524538,06d01h42m18,0
CASSANDRA-6378,TRUE,FALSE,Normal,2560695,29d15h18m15,1
CASSANDRA-6374,FALSE,FALSE,Normal,226875,02d15h01m15,1
CASSANDRA-6376,FALSE,FALSE,Low,9944578,115d02h22m58,0
CASSANDRA-6370,FALSE,FALSE,Urgent,8613,00d02h23m33,1
CASSANDRA-6373,FALSE,FALSE,Normal,4586604,53d02h03m24,0
CASSANDRA-11828,TRUE,TRUE,Normal,6836438,79d03h00m38,0
CASSANDRA-10512,TRUE,TRUE,Normal,10479277,121d06h54m37,0
CASSANDRA-8090,TRUE,FALSE,Normal,1188297,13d18h04m57,0
CASSANDRA-6950,TRUE,FALSE,Normal,4636649,53d15h57m29,0
CASSANDRA-10518,TRUE,FALSE,Low,208036,02d09h47m16,0
CASSANDRA-11356,TRUE,FALSE,Normal,12981928,150d06h05m28,0
CASSANDRA-11357,FALSE,FALSE,Low,42316,00d11h45m16,0
CASSANDRA-8577,TRUE,FALSE,Normal,508505,05d21h15m05,1
CASSANDRA-11824,TRUE,FALSE,Normal,710676,08d05h24m36,0
CASSANDRA-11353,TRUE,FALSE,Normal,2081236,24d02h07m16,0
CASSANDRA-2643,FALSE,FALSE,Urgent,7073995,81d20h59m55,0
CASSANDRA-2642,TRUE,FALSE,Urgent,5673,00d01h34m33,0
CASSANDRA-2644,FALSE,FALSE,Normal,1506609,17d10h30m09,0
CASSANDRA-6089,FALSE,FALSE,Low,82921,00d23h02m01,0
CASSANDRA-6088,FALSE,FALSE,Low,5587,00d01h33m07,0
CASSANDRA-2649,FALSE,FALSE,Low,2098693,24d06h58m13,0
CASSANDRA-14468,TRUE,FALSE,Normal,5907332,68d08h55m32,0
CASSANDRA-6081,FALSE,FALSE,Low,7666,00d02h07m46,0
CASSANDRA-6080,FALSE,FALSE,Low,171621,01d23h40m21,0
CASSANDRA-6770,FALSE,FALSE,Normal,1822,00d00h30m22,0
CASSANDRA-10197,TRUE,FALSE,Normal,105584,01d05h19m44,0
CASSANDRA-6774,TRUE,FALSE,Normal,1691884,19d13h58m04,0
CASSANDRA-6777,FALSE,FALSE,Low,458832,05d07h27m12,1
CASSANDRA-6779,FALSE,FALSE,Low,1154883,13d08h48m03,0
CASSANDRA-6778,TRUE,FALSE,Normal,592342,06d20h32m22,0
CASSANDRA-10198,TRUE,FALSE,Normal,2002045,23d04h07m25,0
CASSANDRA-7946,FALSE,FALSE,Normal,272512,03d03h41m52,0
CASSANDRA-10779,TRUE,FALSE,Normal,5884610,68d02h36m50,1
CASSANDRA-10778,TRUE,FALSE,Normal,337485,03d21h44m45,0
CASSANDRA-10775,TRUE,FALSE,Normal,95324,01d02h28m44,0
CASSANDRA-10774,TRUE,FALSE,Urgent,503014,05d19h43m34,0
CASSANDRA-7025,FALSE,FALSE,Low,12088,00d03h21m28,0
CASSANDRA-12443,TRUE,FALSE,Normal,14005858,162d02h30m58,1
CASSANDRA-10178,FALSE,FALSE,Normal,167099,01d22h24m59,0
CASSANDRA-10176,TRUE,FALSE,Low,15194444,175d20h40m44,0
CASSANDRA-10174,FALSE,FALSE,Normal,4499642,52d01h54m02,0
CASSANDRA-2708,FALSE,FALSE,Low,7693048,89d00h57m28,0
CASSANDRA-3603,FALSE,FALSE,Low,638583,07d09h23m03,0
CASSANDRA-11915,FALSE,FALSE,Low,528038,06d02h40m38,0
CASSANDRA-11912,TRUE,FALSE,Normal,322043,03d17h27m23,0
CASSANDRA-11913,FALSE,FALSE,Low,2264051,26d04h54m11,0
CASSANDRA-3604,FALSE,FALSE,Normal,239077,02d18h24m37,1
CASSANDRA-6050,FALSE,FALSE,Normal,95641,01d02h34m01,0
CASSANDRA-5123,FALSE,FALSE,Low,779162,09d00h26m02,0
CASSANDRA-15204,TRUE,FALSE,Normal,80168,00d22h16m08,0
CASSANDRA-1535,FALSE,FALSE,Normal,23380,00d06h29m40,0
CASSANDRA-15203,FALSE,FALSE,Normal,78518,00d21h48m38,0
CASSANDRA-6172,FALSE,FALSE,Low,4003633,46d08h07m13,0
CASSANDRA-6175,FALSE,FALSE,Normal,7119,00d01h58m39,0
CASSANDRA-13568,FALSE,FALSE,Low,1791883,20d17h44m43,0
CASSANDRA-7564,FALSE,FALSE,Normal,30926,00d08h35m26,0
CASSANDRA-13671,TRUE,FALSE,Low,85832,00d23h50m32,0
CASSANDRA-13673,FALSE,FALSE,Normal,84573,00d23h29m33,0
CASSANDRA-13672,TRUE,FALSE,Low,85108,00d23h38m28,0
CASSANDRA-13851,FALSE,FALSE,Normal,19197612,222d04h40m12,0
CASSANDRA-13852,FALSE,FALSE,Normal,19942,00d05h32m22,0
CASSANDRA-13075,TRUE,FALSE,Urgent,2423889,28d01h18m09,0
CASSANDRA-13074,FALSE,FALSE,Normal,1035394,11d23h36m34,0
CASSANDRA-13072,FALSE,FALSE,Normal,17972683,208d00h24m43,1
CASSANDRA-13071,FALSE,FALSE,Low,6047278,69d23h47m58,0
CASSANDRA-13070,FALSE,FALSE,Normal,5451230,63d02h13m50,0
