BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CAY-1247,TRUE,FALSE,Major,12938739,149d18h05m39,0
CAY-1246,TRUE,FALSE,Minor,5639489,65d06h31m29,0
CAY-1245,FALSE,FALSE,Critical,6946458,80d09h34m18,0
CAY-1240,FALSE,FALSE,Major,2652696,30d16h51m36,0
CAY-1489,TRUE,FALSE,Major,1143382,13d05h36m22,0
CAY-1488,TRUE,FALSE,Minor,279001,03d05h30m01,0
CAY-1561,TRUE,FALSE,Trivial,4054595,46d22h16m35,0
CAY-1484,TRUE,FALSE,Major,1546417,17d21h33m37,0
CAY-1511,TRUE,FALSE,Minor,6635,00d01h50m35,0
CAY-751,FALSE,FALSE,Major,96287,01d02h44m47,0
CAY-750,TRUE,FALSE,Minor,2988,00d00h49m48,0
CAY-752,FALSE,FALSE,Blocker,668497,07d17h41m37,0
CAY-1966,TRUE,FALSE,Major,35243,00d09h47m23,0
CAY-754,FALSE,FALSE,Minor,664,00d00h11m04,0
CAY-1964,FALSE,FALSE,Major,9176,00d02h32m56,0
CAY-1965,FALSE,FALSE,Major,927,00d00h15m27,0
CAY-207,TRUE,FALSE,Major,49984235,578d12h30m35,0
CAY-974,TRUE,FALSE,Major,1140,00d00h19m00,0
CAY-1969,TRUE,FALSE,Major,416,00d00h06m56,0
CAY-1805,FALSE,FALSE,Trivial,395116,04d13h45m16,0
CAY-2103,TRUE,FALSE,Major,90041,01d01h00m41,0
CAY-1806,TRUE,FALSE,Major,74743,00d20h45m43,0
CAY-1748,TRUE,FALSE,Minor,10746,00d02h59m06,0
CAY-1749,FALSE,FALSE,Major,5153,00d01h25m53,0
CAY-1742,FALSE,FALSE,Trivial,1076636,12d11h03m56,0
CAY-1741,TRUE,FALSE,Minor,490,00d00h08m10,0
CAY-1744,TRUE,FALSE,Major,420237,04d20h43m57,0
CAY-1988,TRUE,FALSE,Minor,68368,00d18h59m28,0
