BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
COCOON-2104,FALSE,FALSE,Minor,85186823,985d23h00m23,0
COCOON-2029,FALSE,FALSE,Trivial,3333754,38d14h02m34,0
COCOON-2028,FALSE,FALSE,Trivial,125201,01d10h46m41,0
COCOON-2101,FALSE,FALSE,Major,659,00d00h10m59,0
COCOON-2023,FALSE,FALSE,Major,11690,00d03h14m50,0
COCOON-2022,TRUE,FALSE,Minor,1465329,16d23h02m09,1
COCOON-2021,FALSE,FALSE,Major,68280,00d18h58m00,1
COCOON-2020,FALSE,FALSE,Trivial,30282455,350d11h47m35,0
COCOON-2027,FALSE,FALSE,Major,10808847,125d02h27m27,0
COCOON-2109,FALSE,FALSE,Major,20182631,233d14h17m11,0
COCOON-1489,FALSE,FALSE,Major,36178310,418d17h31m50,1
COCOON-1799,FALSE,FALSE,Blocker,130213,01d12h10m13,1
COCOON-2138,TRUE,FALSE,Blocker,22283,00d06h11m23,0
COCOON-1927,FALSE,FALSE,Minor,11484669,132d22h11m09,0
MNG-1797,FALSE,FALSE,Major,23316166,269d20h42m46,0
COCOON-2192,TRUE,FALSE,Major,1679172,19d10h26m12,0
COCOON-1839,FALSE,FALSE,Minor,3244917,37d13h21m57,0
COCOON-1719,FALSE,FALSE,Critical,3098768,35d20h46m08,0
COCOON-2058,FALSE,FALSE,Minor,23658775,273d19h52m55,0
COCOON-2059,FALSE,FALSE,Major,6260347,72d10h59m07,1
COCOON-1716,FALSE,FALSE,Major,10873989,125d20h33m09,0
COCOON-2204,FALSE,FALSE,Minor,42007,00d11h40m07,0
COCOON-1578,FALSE,FALSE,Major,36089079,417d16h44m39,0
COCOON-2226,FALSE,FALSE,Major,99665,01d03h41m05,0
COCOON-2035,FALSE,FALSE,Major,95560928,1106d00h42m08,0
COCOON-2036,FALSE,FALSE,Minor,24598885,284d17h01m25,0
COCOON-1335,FALSE,FALSE,Major,41968699,485d17h58m19,0
COCOON-1939,TRUE,FALSE,Major,27051420,313d02h17m00,0
COCOON-2184,FALSE,FALSE,Major,135329217,1566d07h26m57,0
COCOON-1935,FALSE,FALSE,Critical,13351,00d03h42m31,0
COCOON-1936,FALSE,FALSE,Major,52048,00d14h27m28,0
COCOON-1777,FALSE,FALSE,Major,2156107,24d22h55m07,0
COCOON-1822,FALSE,FALSE,Critical,209364551,2423d04h49m11,0
COCOON-1720,FALSE,FALSE,Major,2608547,30d04h35m47,0
COCOON-1825,FALSE,FALSE,Major,64386929,745d05h15m29,0
COCOON-1739,FALSE,FALSE,Major,189020,02d04h30m20,0
COCOON-1804,TRUE,FALSE,Blocker,4933309,57d02h21m49,0
COCOON-1699,FALSE,FALSE,Minor,5289509,61d05h18m29,0
