BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
COMPRESS-87,TRUE,FALSE,Major,460973,05d08h02m53,0
COMPRESS-475,TRUE,FALSE,Major,188311,02d04h18m31,0
COMPRESS-459,TRUE,FALSE,Major,204416,02d08h46m56,0
COMPRESS-454,FALSE,FALSE,Major,64016,00d17h46m56,0
COMPRESS-455,FALSE,FALSE,Major,4759479,55d02h04m39,0
COMPRESS-456,FALSE,FALSE,Major,55586,00d15h26m26,0
COMPRESS-245,FALSE,FALSE,Major,66132,00d18h22m12,0
COMPRESS-451,FALSE,FALSE,Major,22620,00d06h17m00,0
COMPRESS-452,FALSE,FALSE,Major,220920,02d13h22m00,0
COMPRESS-453,FALSE,FALSE,Major,846966,09d19h16m06,1
COMPRESS-125,FALSE,FALSE,Minor,5360970,62d01h09m30,0
COMPRESS-127,FALSE,TRUE,Major,48159,00d13h22m39,0
COMPRESS-129,FALSE,FALSE,Major,6483625,75d01h00m25,0
COMPRESS-321,FALSE,FALSE,Major,947434,10d23h10m34,0
COMPRESS-326,FALSE,FALSE,Major,570052,06d14h20m52,0
COMPRESS-17,FALSE,TRUE,Major,31606367,365d19h32m47,0
COMPRESS-324,FALSE,FALSE,Major,152155,01d18h15m55,0
COMPRESS-146,TRUE,FALSE,Critical,9218271,106d16h37m51,0
COMPRESS-227,FALSE,FALSE,Major,1261126,14d14h18m46,0
COMPRESS-447,FALSE,FALSE,Major,512085,05d22h14m45,0
COMPRESS-446,FALSE,FALSE,Major,1014424,11d17h47m04,0
COMPRESS-442,FALSE,FALSE,Critical,1087,00d00h18m07,0
COMPRESS-335,FALSE,FALSE,Major,2595,00d00h43m15,0
COMPRESS-334,TRUE,FALSE,Major,83980,00d23h19m40,0
COMPRESS-131,FALSE,FALSE,Minor,22842374,264d09h06m14,0
COMPRESS-336,FALSE,FALSE,Major,496300,05d17h51m40,0
COMPRESS-331,FALSE,FALSE,Major,660883,07d15h34m43,0
COMPRESS-330,FALSE,FALSE,Minor,5273307,61d00h48m27,0
COMPRESS-332,FALSE,FALSE,Major,282340,03d06h25m40,0
COMPRESS-236,TRUE,FALSE,Major,539286,06d05h48m06,0
COMPRESS-237,FALSE,FALSE,Major,211361,02d10h42m41,0
COMPRESS-55,FALSE,FALSE,Major,453774,05d06h02m54,0
COMPRESS-187,FALSE,FALSE,Major,955815,11d01h30m15,0
COMPRESS-184,FALSE,TRUE,Major,894,00d00h14m54,0
COMPRESS-180,TRUE,FALSE,Major,46298959,535d20h49m19,0
COMPRESS-181,FALSE,FALSE,Major,353617,04d02h13m37,0
COMPRESS-189,FALSE,FALSE,Blocker,15931479,184d09h24m39,0
COMPRESS-479,TRUE,FALSE,Major,17108176,198d00h16m16,0
COMPRESS-109,FALSE,FALSE,Major,66255,00d18h24m15,0
COMPRESS-107,FALSE,FALSE,Major,169619,01d23h06m59,0
COMPRESS-470,FALSE,FALSE,Major,771350,08d22h15m50,0
COMPRESS-105,FALSE,FALSE,Major,178642,02d01h37m22,0
COMPRESS-100,TRUE,FALSE,Major,3502,00d00h58m22,0
COMPRESS-101,FALSE,FALSE,Major,1385,00d00h23m05,0
COMPRESS-343,FALSE,FALSE,Major,61784,00d17h09m44,0
COMPRESS-344,FALSE,FALSE,Major,11639,00d03h13m59,0
COMPRESS-240,TRUE,FALSE,Major,105,00d00h01m45,0
COMPRESS-229,TRUE,FALSE,Major,176370,02d00h59m30,0
COMPRESS-228,FALSE,FALSE,Major,153048,01d18h30m48,0
COMPRESS-348,FALSE,FALSE,Minor,3257950,37d16h59m10,0
COMPRESS-223,FALSE,FALSE,Major,687278,07d22h54m38,0
COMPRESS-221,TRUE,FALSE,Major,165013,01d21h50m13,0
COMPRESS-239,TRUE,FALSE,Major,139629,01d14h47m09,0
COMPRESS-28,TRUE,FALSE,Major,534099,06d04h21m39,0
COMPRESS-179,TRUE,FALSE,Major,102133,01d04h22m13,0
COMPRESS-23,FALSE,FALSE,Major,106933431,1237d15h43m51,0
COMPRESS-25,FALSE,FALSE,Major,180642,02d02h10m42,0
COMPRESS-191,TRUE,FALSE,Minor,594703,06d21h11m43,0
COMPRESS-197,FALSE,FALSE,Major,322445,03d17h34m05,0
COMPRESS-176,TRUE,FALSE,Major,957666,11d02h01m06,0
COMPRESS-199,FALSE,FALSE,Major,11150690,129d01h24m50,0
COMPRESS-139,FALSE,FALSE,Major,814,00d00h13m34,0
COMPRESS-119,FALSE,FALSE,Major,1891027,21d21h17m07,0
LANG-894,FALSE,FALSE,Minor,12815215,148d07h46m55,1
COMPRESS-297,FALSE,FALSE,Minor,259188,02d23h59m48,0
COMPRESS-463,FALSE,FALSE,Major,956,00d00h15m56,0
COMPRESS-462,FALSE,FALSE,Major,42720,00d11h52m00,0
COMPRESS-110,FALSE,FALSE,Major,245,00d00h04m05,0
COMPRESS-113,FALSE,FALSE,Major,1711915,19d19h31m55,0
COMPRESS-469,FALSE,FALSE,Major,408026,04d17h20m26,0
COMPRESS-114,FALSE,FALSE,Major,11095,00d03h04m55,0
COMPRESS-117,TRUE,FALSE,Minor,19398977,224d12h36m17,0
COMPRESS-353,FALSE,FALSE,Major,285,00d00h04m45,0
COMPRESS-241,FALSE,FALSE,Major,250,00d00h04m10,0
COMPRESS-351,TRUE,FALSE,Major,4669420,54d01h03m40,0
COMPRESS-219,TRUE,FALSE,Minor,329314,03d19h28m34,0
COMPRESS-357,FALSE,FALSE,Major,1765727,20d10h28m47,1
COMPRESS-356,FALSE,FALSE,Major,134580,01d13h23m00,0
COMPRESS-355,FALSE,FALSE,Major,156864,01d19h34m24,0
COMPRESS-354,FALSE,FALSE,Minor,144613,01d16h10m13,0
COMPRESS-212,TRUE,FALSE,Minor,142431,01d15h33m51,0
COMPRESS-213,FALSE,FALSE,Trivial,1946,00d00h32m26,0
COMPRESS-358,FALSE,FALSE,Trivial,17443514,201d21h25m14,0
COMPRESS-490,FALSE,FALSE,Minor,1304013,15d02h13m33,0
COMPRESS-491,FALSE,FALSE,Major,1073621,12d10h13m41,0
COMPRESS-492,FALSE,FALSE,Minor,108596,01d06h09m56,0
COMPRESS-16,TRUE,FALSE,Major,96320164,1114d19h36m04,1
COMPRESS-11,FALSE,FALSE,Major,2366649,27d09h24m09,0
COMPRESS-244,FALSE,FALSE,Major,147582,01d16h59m42,0
COMPRESS-289,TRUE,FALSE,Trivial,166925,01d22h22m05,0
COMPRESS-287,FALSE,FALSE,Major,52865,00d14h41m05,0
COMPRESS-286,FALSE,FALSE,Major,1095201,12d16h13m21,0
COMPRESS-283,FALSE,FALSE,Major,11011,00d03h03m31,0
COMPRESS-411,FALSE,FALSE,Minor,8579495,99d07h11m35,0
COMPRESS-412,FALSE,FALSE,Minor,86461,01d00h01m01,1
COMPRESS-415,FALSE,FALSE,Trivial,2782,00d00h46m22,0
COMPRESS-416,FALSE,FALSE,Major,564457,06d12h47m37,0
COMPRESS-417,FALSE,FALSE,Critical,439914,05d02h11m54,0
COMPRESS-366,FALSE,FALSE,Minor,259425,03d00h03m45,0
COMPRESS-367,FALSE,FALSE,Minor,3664451,42d09h54m11,0
COMPRESS-364,FALSE,FALSE,Minor,4243046,49d02h37m26,0
COMPRESS-363,FALSE,FALSE,Major,209995,02d10h19m55,0
COMPRESS-360,FALSE,FALSE,Major,278,00d00h04m38,0
COMPRESS-205,TRUE,FALSE,Minor,10162471,117d14h54m31,0
COMPRESS-206,FALSE,FALSE,Major,7635776,88d09h02m56,0
COMPRESS-201,TRUE,FALSE,Minor,9687189,112d02h53m09,0
COMPRESS-200,FALSE,FALSE,Major,11160016,129d04h00m16,0
COMPRESS-203,FALSE,FALSE,Major,7544044,87d07h34m04,0
COMPRESS-164,TRUE,FALSE,Major,11571,00d03h12m51,0
COMPRESS-160,TRUE,FALSE,Major,168645,01d22h50m45,0
COMPRESS-169,FALSE,FALSE,Minor,189897,02d04h44m57,0
COMPRESS-482,FALSE,FALSE,Major,10509328,121d15h15m28,0
COMPRESS-486,TRUE,FALSE,Minor,8028469,92d22h07m49,0
