BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
LANG-564,FALSE,FALSE,Major,2844253,32d22h04m13,0
LANG-1450,FALSE,FALSE,Major,535491,06d04h44m51,0
LANG-294,FALSE,FALSE,Major,40099,00d11h08m19,0
LANG-295,FALSE,FALSE,Major,2700,00d00h45m00,0
LANG-292,FALSE,FALSE,Minor,71370,00d19h49m30,0
LANG-328,FALSE,FALSE,Major,1298307,15d00h38m27,0
LANG-754,FALSE,FALSE,Minor,50034760,579d02h32m40,0
LANG-314,TRUE,FALSE,Major,188,00d00h03m08,0
LANG-693,FALSE,FALSE,Minor,66274333,767d01h32m13,0
LANG-759,FALSE,FALSE,Critical,18273,00d05h04m33,0
LANG-691,FALSE,FALSE,Major,53,00d00h00m53,0
LANG-568,FALSE,FALSE,Major,185531,02d03h32m11,0
LANG-299,FALSE,FALSE,Major,124654,01d10h37m34,0
LANG-567,FALSE,FALSE,Major,128867,01d11h47m47,0
LANG-353,FALSE,FALSE,Minor,7186234,83d04h10m34,0
LANG-1090,FALSE,FALSE,Minor,2848,00d00h47m28,0
LANG-1092,FALSE,FALSE,Major,248561,02d21h02m41,0
LANG-1089,FALSE,FALSE,Major,55435,00d15h23m55,0
LANG-494,FALSE,FALSE,Major,25900915,299d18h41m55,0
LANG-915,FALSE,TRUE,Minor,10628435,123d00h20m35,0
MNG-5418,FALSE,FALSE,Major,1725754,19d23h22m34,0
LANG-917,FALSE,FALSE,Major,3244916,37d13h21m56,0
LANG-916,TRUE,TRUE,Major,51412178,595d01h09m38,0
LANG-913,FALSE,FALSE,Minor,521,00d00h08m41,0
LANG-363,FALSE,FALSE,Minor,255389,02d22h56m29,0
LANG-1116,TRUE,FALSE,Major,1132983,13d02h43m03,0
LANG-971,FALSE,TRUE,Minor,66998,00d18h36m38,0
LANG-1320,FALSE,FALSE,Major,495,00d00h08m15,0
LANG-596,FALSE,FALSE,Minor,15676629,181d10h37m09,0
LANG-1242,FALSE,FALSE,Minor,263814,03d01h16m54,0
LANG-1245,FALSE,FALSE,Blocker,131099,01d12h24m59,0
LANG-629,FALSE,FALSE,Major,6730804,77d21h40m04,0
LANG-628,FALSE,FALSE,Minor,119275,01d09h07m55,0
LANG-1018,FALSE,FALSE,Major,64544695,747d01h04m55,0
LANG-1248,FALSE,FALSE,Major,992373,11d11h39m33,0
LANG-1401,FALSE,FALSE,Minor,1852482,21d10h34m42,0
LANG-624,TRUE,FALSE,Major,21583333,249d19h22m13,0
LANG-1406,FALSE,FALSE,Major,35083370,406d01h22m50,0
LANG-849,FALSE,FALSE,Major,664,00d00h11m04,0
LANG-1262,FALSE,FALSE,Major,87020,01d00h10m20,0
LANG-764,FALSE,FALSE,Minor,4212425,48d18h07m05,0
LANG-765,FALSE,FALSE,Major,4210365,48d17h32m45,0
LANG-571,FALSE,FALSE,Major,2534468,29d08h01m08,0
