BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CONTINUUM-2008,FALSE,FALSE,Trivial,210233,02d10h23m53,0
CONTINUUM-2395,FALSE,FALSE,Major,14120289,163d10h18m09,0
CONTINUUM-2394,TRUE,FALSE,Major,6841156,79d04h19m16,0
CONTINUUM-2397,FALSE,FALSE,Major,9219617,106d17h00m17,0
CONTINUUM-2391,TRUE,FALSE,Major,13670097,158d05h14m57,0
CONTINUUM-860,FALSE,FALSE,Major,49903003,577d13h56m43,1
CONTINUUM-315,FALSE,FALSE,Blocker,21250,00d05h54m10,0
CONTINUUM-312,TRUE,FALSE,Major,10050,00d02h47m30,0
CONTINUUM-313,FALSE,FALSE,Minor,183024,02d02h50m24,0
CONTINUUM-1601,FALSE,FALSE,Minor,15853511,183d11h45m11,0
CONTINUUM-2090,FALSE,FALSE,Minor,1596189,18d11h23m09,0
CONTINUUM-1228,FALSE,FALSE,Minor,9228107,106d19h21m47,0
CONTINUUM-1229,FALSE,FALSE,Major,3536960,40d22h29m20,0
CONTINUUM-921,FALSE,FALSE,Major,253799,02d22h29m59,0
CONTINUUM-920,FALSE,FALSE,Major,158979,01d20h09m39,0
CONTINUUM-927,FALSE,FALSE,Major,27886081,322d18h08m01,0
CONTINUUM-889,FALSE,FALSE,Major,355556,04d02h45m56,0
CONTINUUM-494,FALSE,FALSE,Major,50283,00d13h58m03,0
CONTINUUM-1051,FALSE,FALSE,Major,6273,00d01h44m33,0
CONTINUUM-1119,TRUE,FALSE,Major,16217635,187d16h53m55,0
CONTINUUM-1057,FALSE,FALSE,Major,7957,00d02h12m37,0
CONTINUUM-1056,FALSE,FALSE,Major,17820,00d04h57m00,0
CONTINUUM-2147,FALSE,FALSE,Major,182,00d00h03m02,0
CONTINUUM-1589,FALSE,FALSE,Major,10767852,124d15h04m12,0
CONTINUUM-1059,FALSE,FALSE,Major,22254,00d06h10m54,0
CONTINUUM-1058,FALSE,FALSE,Major,34267,00d09h31m07,0
CONTINUUM-1116,FALSE,FALSE,Major,361635,04d04h27m15,0
CONTINUUM-1117,TRUE,FALSE,Major,458591,05d07h23m11,0
CONTINUUM-1115,FALSE,FALSE,Major,2826236,32d17h03m56,0
CONTINUUM-810,TRUE,FALSE,Major,708,00d00h11m48,0
CONTINUUM-818,FALSE,FALSE,Major,97616,01d03h06m56,0
CONTINUUM-1623,FALSE,FALSE,Minor,11804593,136d15h03m13,0
CONTINUUM-1337,FALSE,FALSE,Major,260472,03d00h21m12,0
CONTINUUM-1338,FALSE,TRUE,Major,226235,02d14h50m35,0
CONTINUUM-1339,FALSE,FALSE,Minor,224291,02d14h18m11,0
CONTINUUM-2436,FALSE,FALSE,Critical,72657368,840d22h36m08,0
CONTINUUM-2437,FALSE,FALSE,Blocker,3658210,42d08h10m10,0
CONTINUUM-2433,FALSE,FALSE,Major,166560178,1927d18h42m58,0
CONTINUUM-1026,FALSE,FALSE,Major,779,00d00h12m59,0
CONTINUUM-1755,FALSE,FALSE,Minor,37451620,433d11h13m40,0
CONTINUUM-1757,FALSE,FALSE,Minor,6155865,71d05h57m45,0
CONTINUUM-1750,FALSE,FALSE,Major,11943,00d03h19m03,0
CONTINUUM-1023,FALSE,FALSE,Minor,104672,01d05h04m32,0
CONTINUUM-1752,FALSE,FALSE,Major,2211255,25d14h14m15,0
CONTINUUM-1753,FALSE,FALSE,Major,2295373,26d13h36m13,0
CONTINUUM-1453,FALSE,FALSE,Major,1093586,12d15h46m26,0
CONTINUUM-1527,FALSE,FALSE,Major,1899,00d00h31m39,0
CONTINUUM-316,FALSE,FALSE,Major,84728,00d23h32m08,0
CONTINUUM-2595,FALSE,FALSE,Major,100865,01d04h01m05,0
