BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CRUNCH-630,TRUE,FALSE,Major,2629453,30d10h24m13,0
CRUNCH-633,FALSE,FALSE,Major,1007967,11d15h59m27,0
CRUNCH-634,FALSE,FALSE,Trivial,73827,00d20h30m27,0
CRUNCH-439,FALSE,FALSE,Major,20563,00d05h42m43,0
CRUNCH-229,TRUE,FALSE,Major,56196,00d15h36m36,0
CRUNCH-437,TRUE,FALSE,Major,1190,00d00h19m50,0
CRUNCH-435,FALSE,FALSE,Major,102714,01d04h31m54,0
CRUNCH-434,TRUE,FALSE,Major,75810,00d21h03m30,0
CRUNCH-432,TRUE,FALSE,Major,925045,10d16h57m25,0
CRUNCH-220,FALSE,FALSE,Minor,59969,00d16h39m29,1
CRUNCH-221,FALSE,FALSE,Major,205972,02d09h12m52,0
CRUNCH-536,TRUE,FALSE,Major,459363,05d07h36m03,0
CRUNCH-535,FALSE,FALSE,Major,4528,00d01h15m28,0
CRUNCH-338,TRUE,FALSE,Major,223210,02d14h00m10,0
CRUNCH-530,FALSE,FALSE,Major,505,00d00h08m25,0
CRUNCH-531,FALSE,FALSE,Minor,1775738,20d13h15m38,0
CRUNCH-334,FALSE,FALSE,Major,372,00d00h06m12,0
CRUNCH-335,FALSE,FALSE,Major,1121,00d00h18m41,0
CRUNCH-138,FALSE,FALSE,Major,1925,00d00h32m05,0
CRUNCH-332,FALSE,FALSE,Major,1443,00d00h24m03,0
CRUNCH-539,FALSE,FALSE,Major,179376,02d01h49m36,0
CRUNCH-49,TRUE,FALSE,Major,215,00d00h03m35,0
CRUNCH-228,FALSE,FALSE,Major,180259,02d02h04m19,0
CRUNCH-45,TRUE,FALSE,Major,291927,03d09h05m27,0
CRUNCH-44,TRUE,FALSE,Major,510,00d00h08m30,0
CRUNCH-47,FALSE,FALSE,Major,2671,00d00h44m31,0
CRUNCH-46,FALSE,FALSE,Major,3548,00d00h59m08,0
CRUNCH-552,TRUE,FALSE,Major,6212,00d01h43m32,0
CRUNCH-43,TRUE,FALSE,Major,533,00d00h08m53,0
CRUNCH-408,FALSE,TRUE,Major,40152,00d11h09m12,0
CRUNCH-102,TRUE,FALSE,Major,257850,02d23h37m30,0
CRUNCH-302,TRUE,FALSE,Minor,44636,00d12h23m56,0
CRUNCH-621,FALSE,FALSE,Major,3222990,37d07h16m30,0
CRUNCH-607,TRUE,FALSE,Major,44260,00d12h17m40,0
CRUNCH-600,TRUE,FALSE,Minor,72421,00d20h07m01,0
CRUNCH-601,TRUE,FALSE,Minor,11712383,135d13h26m23,0
CRUNCH-234,FALSE,FALSE,Major,440847,05d02h27m27,0
CRUNCH-237,TRUE,FALSE,Major,1054,00d00h17m34,0
CRUNCH-236,FALSE,FALSE,Major,36672,00d10h11m12,0
CRUNCH-608,FALSE,FALSE,Major,209621,02d10h13m41,0
CRUNCH-609,TRUE,FALSE,Major,1277473,14d18h51m13,0
CRUNCH-233,FALSE,FALSE,Minor,3820,00d01h03m40,0
CRUNCH-232,TRUE,FALSE,Critical,13314,00d03h41m54,0
CRUNCH-525,FALSE,FALSE,Minor,74973,00d20h49m33,0
CRUNCH-524,FALSE,FALSE,Minor,167771,01d22h36m11,0
CRUNCH-527,TRUE,FALSE,Major,96680,01d02h51m20,0
CRUNCH-449,TRUE,FALSE,Major,834326,09d15h45m26,0
CRUNCH-688,FALSE,FALSE,Major,19751,00d05h29m11,0
CRUNCH-520,TRUE,FALSE,Minor,30367,00d08h26m07,0
CRUNCH-325,FALSE,FALSE,Major,154736,01d18h58m56,0
CRUNCH-324,FALSE,FALSE,Minor,157861,01d19h51m01,0
CRUNCH-442,TRUE,FALSE,Major,488324,05d15h38m44,0
CRUNCH-329,TRUE,FALSE,Major,1969263,22d19h01m03,0
CRUNCH-139,TRUE,FALSE,Major,186,00d00h03m06,0
CRUNCH-528,FALSE,FALSE,Minor,53577,00d14h52m57,0
CRUNCH-350,FALSE,FALSE,Major,175,00d00h02m55,0
CRUNCH-445,TRUE,FALSE,Minor,215,00d00h03m35,0
CRUNCH-262,TRUE,FALSE,Major,579948,06d17h05m48,0
CRUNCH-485,TRUE,FALSE,Major,284656,03d07h04m16,0
CRUNCH-59,FALSE,FALSE,Major,761216,08d19h26m56,0
