BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CTAKES-156,FALSE,FALSE,Major,17266982,199d20h23m02,0
CTAKES-397,FALSE,FALSE,Minor,28101644,325d06h00m44,0
CTAKES-254,FALSE,FALSE,Blocker,497325,05d18h08m45,0
CTAKES-251,FALSE,FALSE,Critical,1123043,12d23h57m23,0
CTAKES-250,FALSE,FALSE,Blocker,4657217,53d21h40m17,0
CTAKES-253,TRUE,FALSE,Major,571717,06d14h48m37,0
CTAKES-310,FALSE,FALSE,Minor,516144,05d23h22m24,0
CTAKES-311,FALSE,FALSE,Minor,146236,01d16h37m16,0
CTAKES-389,TRUE,FALSE,Major,42342128,490d01h42m08,1
CTAKES-148,FALSE,FALSE,Major,17453789,202d00h16m29,0
CTAKES-383,TRUE,FALSE,Minor,171,00d00h02m51,0
CTAKES-456,FALSE,FALSE,Trivial,51493,00d14h18m13,0
CTAKES-147,TRUE,FALSE,Major,3202136,37d01h28m56,0
CTAKES-141,FALSE,FALSE,Major,17616277,203d21h24m37,0
CTAKES-263,FALSE,FALSE,Minor,19311323,223d12h15m23,0
CTAKES-266,FALSE,FALSE,Minor,1858,00d00h30m58,0
CTAKES-347,TRUE,FALSE,Major,7417879,85d20h31m19,0
CTAKES-307,FALSE,FALSE,Major,429742,04d23h22m22,0
CTAKES-309,FALSE,FALSE,Major,741,00d00h12m21,0
CTAKES-308,TRUE,FALSE,Minor,103372988,1196d10h43m08,0
CTAKES-53,FALSE,FALSE,Major,7023570,81d06h59m30,0
CTAKES-177,TRUE,FALSE,Major,3172,00d00h52m52,0
CTAKES-178,FALSE,FALSE,Major,127013026,1470d01h23m46,0
CTAKES-340,FALSE,FALSE,Minor,2110,00d00h35m10,0
CTAKES-302,FALSE,FALSE,Major,87179499,1009d00h31m39,1
CTAKES-276,FALSE,FALSE,Minor,759,00d00h12m39,0
CTAKES-275,FALSE,FALSE,Minor,105746610,1223d22h03m30,0
CTAKES-376,TRUE,FALSE,Minor,68285,00d18h58m05,0
CTAKES-371,TRUE,FALSE,Major,632476,07d07h41m16,0
CTAKES-290,FALSE,FALSE,Major,1223,00d00h20m23,0
CTAKES-166,TRUE,FALSE,Minor,1988210,23d00h16m50,0
CTAKES-162,FALSE,FALSE,Minor,54163541,626d21h25m41,0
CTAKES-169,FALSE,FALSE,Minor,53667331,621d03h35m31,0
CTAKES-280,TRUE,FALSE,Major,24636264,285d03h24m24,0
CTAKES-281,FALSE,FALSE,Major,203,00d00h03m23,0
CTAKES-284,FALSE,FALSE,Trivial,12777460,147d21h17m40,0
CTAKES-288,FALSE,FALSE,Minor,14888,00d04h08m08,0
CTAKES-435,FALSE,FALSE,Minor,310,00d00h05m10,0
CTAKES-364,TRUE,FALSE,Major,4840706,56d00h38m26,0
CTAKES-362,FALSE,FALSE,Trivial,55890519,646d21h08m39,0
CTAKES-201,FALSE,FALSE,Trivial,31,00d00h00m31,0
CTAKES-14,FALSE,TRUE,Major,12618372,146d01h06m12,0
CTAKES-480,FALSE,FALSE,Major,48560,00d13h29m20,0
CTAKES-526,TRUE,FALSE,Critical,360,00d00h06m00,0
CTAKES-489,FALSE,FALSE,Major,813,00d00h13m33,0
CTAKES-358,TRUE,FALSE,Minor,1503,00d00h25m03,0
CTAKES-359,FALSE,FALSE,Major,35590,00d09h53m10,0
CTAKES-116,FALSE,FALSE,Minor,1110270,12d20h24m30,0
CTAKES-114,FALSE,FALSE,Major,746,00d00h12m26,0
CTAKES-86,FALSE,FALSE,Minor,121,00d00h02m01,0
CTAKES-299,FALSE,FALSE,Major,88347046,1022d12h50m46,0
CTAKES-118,FALSE,FALSE,Major,2428516,28d02h35m16,0
CTAKES-401,FALSE,FALSE,Minor,3304577,38d05h56m17,0
CTAKES-218,FALSE,FALSE,Minor,3281551,37d23h32m31,0
CTAKES-85,FALSE,FALSE,Minor,926513,10d17h21m53,0
CTAKES-190,TRUE,FALSE,Major,11404011,131d23h46m51,0
CTAKES-212,FALSE,FALSE,Major,1481578,17d03h32m58,0
CTAKES-214,FALSE,FALSE,Major,440198,05d02h16m38,0
CTAKES-194,FALSE,FALSE,Major,18638,00d05h10m38,0
CTAKES-216,FALSE,FALSE,Minor,88889,01d00h41m29,0
CTAKES-65,FALSE,FALSE,Major,1872836,21d16h13m56,0
CTAKES-63,FALSE,FALSE,Critical,55278874,639d19h14m34,0
CTAKES-101,FALSE,FALSE,Major,2407106,27d20h38m26,0
CTAKES-349,FALSE,FALSE,Major,65316984,755d23h36m24,1
CTAKES-90,FALSE,FALSE,Major,716,00d00h11m56,0
CTAKES-419,FALSE,FALSE,Major,43369,00d12h02m49,0
