BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CURATOR-358,FALSE,FALSE,Critical,221746,02d13h35m46,0
CURATOR-410,TRUE,FALSE,Minor,159536,01d20h18m56,0
CURATOR-354,FALSE,FALSE,Major,539929,06d05h58m49,0
CURATOR-110,TRUE,FALSE,Minor,1385452,16d00h50m52,0
CURATOR-420,FALSE,FALSE,Minor,1966,00d00h32m46,0
CURATOR-224,FALSE,TRUE,Blocker,355117,04d02h38m37,0
CURATOR-423,TRUE,FALSE,Major,30388,00d08h26m28,0
CURATOR-119,FALSE,FALSE,Major,1760921,20d09h08m41,0
CURATOR-228,TRUE,FALSE,Major,5431223,62d20h40m23,0
CURATOR-190,FALSE,FALSE,Major,5193274,60d02h34m34,1
CURATOR-491,FALSE,FALSE,Major,36181,00d10h03m01,0
CURATOR-495,TRUE,FALSE,Blocker,286724,03d07h38m44,0
CURATOR-498,TRUE,FALSE,Blocker,4112726,47d14h25m26,0
CURATOR-419,TRUE,FALSE,Major,851143,09d20h25m43,1
CURATOR-126,TRUE,FALSE,Major,393928,04d13h25m28,0
CURATOR-329,FALSE,FALSE,Blocker,33336,00d09h15m36,0
CURATOR-326,TRUE,FALSE,Major,197437,02d06h50m37,0
CURATOR-127,FALSE,FALSE,Major,17109,00d04h45m09,0
CURATOR-254,FALSE,FALSE,Major,514002,05d22h46m42,1
CURATOR-121,FALSE,FALSE,Critical,422671,04d21h24m31,1
CURATOR-128,TRUE,FALSE,Major,146628,01d16h43m48,0
CURATOR-258,FALSE,FALSE,Major,3379644,39d02h47m24,0
CURATOR-21,FALSE,FALSE,Major,1034861,11d23h27m41,0
CURATOR-27,TRUE,FALSE,Major,11840492,137d01h01m32,1
CURATOR-369,FALSE,FALSE,Minor,526675,06d02h17m55,0
CURATOR-480,FALSE,FALSE,Major,7688922,88d23h48m42,0
CURATOR-481,FALSE,FALSE,Major,12553673,145d07h07m53,0
CURATOR-489,FALSE,FALSE,Major,82761,00d22h59m21,0
CURATOR-139,FALSE,FALSE,Major,719448,08d07h50m48,0
CURATOR-409,TRUE,FALSE,Major,207010,02d09h30m10,0
CURATOR-132,TRUE,FALSE,Major,1723024,19d22h37m04,0
CURATOR-130,FALSE,FALSE,Minor,358,00d00h05m58,0
CURATOR-405,FALSE,FALSE,Major,50639737,586d02h35m37,0
CURATOR-136,TRUE,FALSE,Major,1120538,12d23h15m38,0
CURATOR-137,FALSE,FALSE,Blocker,26198,00d07h16m38,0
CURATOR-332,FALSE,FALSE,Major,453937,05d06h05m37,0
CURATOR-244,TRUE,FALSE,Major,13840891,160d04h41m31,0
CURATOR-240,FALSE,FALSE,Critical,28521,00d07h55m21,0
CURATOR-241,TRUE,FALSE,Major,775777,08d23h29m37,0
CURATOR-58,TRUE,TRUE,Minor,3870756,44d19h12m36,0
CURATOR-56,FALSE,FALSE,Major,261573,03d00h39m33,0
CURATOR-270,FALSE,FALSE,Major,58343,00d16h12m23,0
CURATOR-52,TRUE,TRUE,Major,1771753,20d12h09m13,1
CURATOR-53,FALSE,FALSE,Major,5598897,64d19h14m57,1
CURATOR-278,TRUE,FALSE,Major,6404204,74d02h56m44,0
CURATOR-302,TRUE,FALSE,Major,168313,01d22h45m13,0
CURATOR-308,TRUE,FALSE,Major,6011900,69d13h58m20,0
CURATOR-141,TRUE,FALSE,Major,500099,05d18h54m59,0
CURATOR-388,FALSE,FALSE,Major,25769934,298d06h18m54,0
CURATOR-479,TRUE,FALSE,Major,7957527,92d02h25m27,1
CURATOR-116,FALSE,FALSE,Minor,1195184,13d19h59m44,0
CURATOR-472,FALSE,FALSE,Critical,11476026,132d19h47m06,0
CURATOR-476,FALSE,FALSE,Major,302448,03d12h00m48,0
CURATOR-475,FALSE,FALSE,Minor,3867444,44d18h17m24,0
CURATOR-45,TRUE,FALSE,Major,7764446,89d20h47m26,0
CURATOR-394,TRUE,FALSE,Major,5504335,63d16h58m55,0
CURATOR-42,TRUE,FALSE,Major,34470146,398d23h02m26,0
CURATOR-317,FALSE,FALSE,Trivial,37107,00d10h18m27,0
CURATOR-315,TRUE,TRUE,Major,2325518,26d21h58m38,0
CURATOR-311,TRUE,FALSE,Major,41034224,474d22h23m44,0
CURATOR-154,TRUE,FALSE,Major,15837326,183d07h15m26,0
CURATOR-156,FALSE,FALSE,Major,49176,00d13h39m36,0
CURATOR-262,FALSE,FALSE,Major,22040751,255d02h25m51,0
CURATOR-460,TRUE,FALSE,Major,1579198,18d06h39m58,0
CURATOR-462,FALSE,FALSE,Major,1691400,19d13h50m00,0
CURATOR-392,TRUE,FALSE,Major,11397376,131d21h56m16,0
CURATOR-391,TRUE,FALSE,Major,1102344,12d18h12m24,0
CURATOR-71,FALSE,FALSE,Major,23903276,276d15h47m56,0
CURATOR-72,TRUE,FALSE,Major,7587857,87d19h44m17,1
CURATOR-73,FALSE,FALSE,Major,8423448,97d11h50m48,0
CURATOR-75,FALSE,FALSE,Major,6467556,74d20h32m36,0
CURATOR-79,TRUE,FALSE,Major,23047237,266d18h00m37,0
CURATOR-18,FALSE,FALSE,Major,1468689,16d23h58m09,0
CURATOR-290,TRUE,FALSE,Major,2854,00d00h47m34,0
CURATOR-297,FALSE,FALSE,Major,65494,00d18h11m34,0
CURATOR-167,TRUE,FALSE,Critical,24240125,280d13h22m05,0
CURATOR-299,TRUE,FALSE,Major,7661734,88d16h15m34,0
CURATOR-362,TRUE,FALSE,Major,19372140,224d05h09m00,0
CURATOR-361,FALSE,FALSE,Minor,4424,00d01h13m44,0
CURATOR-218,TRUE,FALSE,Major,8992798,104d01h59m58,0
CURATOR-367,TRUE,FALSE,Major,5986934,69d07h02m14,0
CURATOR-105,TRUE,FALSE,Major,2068198,23d22h29m58,0
CURATOR-364,TRUE,FALSE,Major,2265656,26d05h20m56,0
CURATOR-211,FALSE,FALSE,Major,509729,05d21h35m29,0
CURATOR-210,TRUE,FALSE,Major,3694,00d01h01m34,0
CURATOR-452,TRUE,FALSE,Critical,11716111,135d14h28m31,0
CURATOR-67,TRUE,FALSE,Major,25166697,291d06h44m57,0
CURATOR-281,FALSE,FALSE,Major,399706,04d15h01m46,0
CURATOR-175,TRUE,FALSE,Minor,1325048,15d08h04m08,0
CURATOR-284,FALSE,FALSE,Minor,3976,00d01h06m16,0
CURATOR-173,TRUE,FALSE,Major,10191136,117d22h52m16,0
CURATOR-286,FALSE,FALSE,Critical,19460,00d05h24m20,0
CURATOR-81,FALSE,FALSE,Minor,4494,00d01h14m54,0
CURATOR-85,TRUE,FALSE,Major,936951,10d20h15m51,0
CURATOR-179,FALSE,FALSE,Major,513096,05d22h31m36,0
CURATOR-208,FALSE,FALSE,Minor,24418470,282d14h54m30,0
CURATOR-443,TRUE,TRUE,Major,3658056,42d08h07m36,0
CURATOR-337,TRUE,FALSE,Major,17977,00d04h59m37,0
CURATOR-376,FALSE,FALSE,Major,167502,01d22h31m42,0
CURATOR-400,FALSE,FALSE,Major,8595959,99d11h45m59,0
CURATOR-131,FALSE,FALSE,Minor,897011,10d09h10m11,0
CURATOR-344,TRUE,FALSE,Major,1060185,12d06h29m45,0
CURATOR-341,FALSE,FALSE,Major,476578,05d12h22m58,0
CURATOR-431,FALSE,FALSE,Major,558323,06d11h05m23,0
CURATOR-430,FALSE,FALSE,Major,3772712,43d15h58m32,0
CURATOR-235,FALSE,FALSE,Minor,345837,04d00h03m57,0
CURATOR-234,FALSE,FALSE,Major,3639069,42d02h51m09,1
CURATOR-236,TRUE,FALSE,Minor,25082,00d06h58m02,0
CURATOR-231,FALSE,FALSE,Blocker,3801778,44d00h02m58,0
