BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
DOSGI-108,FALSE,FALSE,Minor,146447368,1694d23h49m28,1
DOSGI-119,TRUE,FALSE,Minor,85,00d00h01m25,0
DOSGI-85,FALSE,FALSE,Major,35653910,412d15h51m50,0
DOSGI-7,FALSE,FALSE,Minor,88658977,1026d03h29m37,0
DOSGI-72,TRUE,FALSE,Major,2671288,30d22h01m28,0
DOSGI-102,TRUE,FALSE,Major,187526,02d04h05m26,0
DOSGI-76,FALSE,FALSE,Major,41336963,478d10h29m23,0
DOSGI-77,FALSE,FALSE,Minor,39406171,456d02h09m31,1
DOSGI-121,FALSE,FALSE,Major,54843,00d15h14m03,0
DOSGI-75,TRUE,FALSE,Major,46565745,538d22h55m45,0
DOSGI-18,FALSE,FALSE,Major,92198365,1067d02h39m25,0
DOSGI-79,FALSE,FALSE,Major,39307467,454d22h44m27,0
DOSGI-63,FALSE,FALSE,Major,86978354,1006d16h39m14,0
DOSGI-66,TRUE,FALSE,Major,2334702,27d00h31m42,0
DOSGI-13,TRUE,TRUE,Major,27221778,315d01h36m18,0
DOSGI-62,TRUE,FALSE,Major,11162804,129d04h46m44,0
DOSGI-91,FALSE,FALSE,Major,23935204,277d00h40m04,0
