BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CXF-3981,FALSE,FALSE,Major,2181101,25d05h51m41,0
CXF-4279,TRUE,FALSE,Major,680236,07d20h57m16,0
CXF-4278,FALSE,FALSE,Minor,580304,06d17h11m44,0
CXF-6682,FALSE,FALSE,Major,8993643,104d02h14m03,0
CXF-4271,FALSE,FALSE,Major,179,00d00h02m59,0
CXF-4275,FALSE,FALSE,Major,4044,00d01h07m24,0
CXF-6688,TRUE,FALSE,Minor,8016,00d02h13m36,0
CXF-8037,FALSE,FALSE,Major,8243,00d02h17m23,0
CXF-7532,TRUE,FALSE,Major,85261,00d23h41m01,0
CXF-8035,TRUE,FALSE,Major,82465,00d22h54m25,0
CXF-7530,FALSE,FALSE,Major,11933,00d03h18m53,0
CXF-7537,FALSE,FALSE,Major,8021686,92d20h14m46,0
CXF-8032,TRUE,FALSE,Major,8403754,97d06h22m34,0
CXF-8030,FALSE,FALSE,Major,114562,01d07h49m22,0
CXF-2692,FALSE,FALSE,Major,376086,04d08h28m06,0
CXF-1843,FALSE,FALSE,Major,50812,00d14h06m52,0
CXF-3544,TRUE,FALSE,Major,97319,01d03h01m59,0
CXF-3545,TRUE,FALSE,Major,35797,00d09h56m37,0
CXF-3542,TRUE,FALSE,Minor,15844,00d04h24m04,0
CXF-3091,FALSE,FALSE,Minor,80036,00d22h13m56,0
CXF-3540,TRUE,FALSE,Major,723,00d00h12m03,0
CXF-3541,FALSE,FALSE,Major,376482,04d08h34m42,0
CXF-3099,FALSE,FALSE,Major,2808074,32d12h01m14,0
CXF-3548,TRUE,FALSE,Major,106673,01d05h37m53,0
CXF-6588,TRUE,FALSE,Major,109598,01d06h26m38,0
CXF-7657,FALSE,FALSE,Major,17434001,201d18h46m41,0
CXF-7654,FALSE,FALSE,Major,2781,00d00h46m21,0
CXF-7655,FALSE,FALSE,Major,128668,01d11h44m28,0
CXF-7653,TRUE,FALSE,Major,511726,05d22h08m46,0
CXF-4573,FALSE,FALSE,Major,68799,00d19h06m39,0
CXF-1931,TRUE,FALSE,Major,70248,00d19h30m48,0
CXF-6753,TRUE,FALSE,Major,97569,01d03h06m09,0
CXF-6754,TRUE,FALSE,Major,346106,04d00h08m26,0
CXF-7658,TRUE,FALSE,Major,2373191,27d11h13m11,0
CXF-1930,TRUE,FALSE,Major,121619,01d09h46m59,0
CXF-3142,FALSE,FALSE,Major,4580,00d01h16m20,0
CXF-3143,FALSE,FALSE,Major,14205661,164d10h01m01,0
CXF-5876,FALSE,FALSE,Minor,209,00d00h03m29,0
CXF-5877,FALSE,FALSE,Minor,4714,00d01h18m34,0
CXF-5870,FALSE,FALSE,Major,38279,00d10h37m59,0
CXF-5871,TRUE,FALSE,Major,11076,00d03h04m36,0
CXF-5872,FALSE,FALSE,Major,9075,00d02h31m15,0
CXF-5873,FALSE,FALSE,Major,8779,00d02h26m19,0
CXF-3148,FALSE,FALSE,Major,68109,00d18h55m09,0
CXF-3149,TRUE,FALSE,Major,165934,01d22h05m34,0
CXF-5878,FALSE,FALSE,Blocker,1358628,15d17h23m48,0
CXF-2545,TRUE,FALSE,Major,4518246,52d07h04m06,0
CXF-2547,FALSE,FALSE,Major,21778,00d06h02m58,0
CXF-3329,FALSE,FALSE,Major,57305528,663d06h12m08,0
CXF-2541,TRUE,FALSE,Major,2682197,31d01h03m17,0
CXF-2540,TRUE,FALSE,Major,3190765,36d22h19m25,0
CXF-2543,TRUE,FALSE,Major,24988,00d06h56m28,0
CXF-3326,TRUE,FALSE,Minor,2762,00d00h46m02,0
CXF-3891,FALSE,FALSE,Major,3090594,35d18h29m54,0
CXF-6435,TRUE,FALSE,Major,24057462,278d10h37m42,0
CXF-6436,TRUE,FALSE,Major,505258,05d20h20m58,0
CXF-6431,FALSE,FALSE,Major,64426,00d17h53m46,1
CXF-7298,FALSE,FALSE,Major,10982,00d03h03m02,0
