BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
DELTASPIKE-1287,FALSE,FALSE,Major,7766932,89d21h28m52,1
DELTASPIKE-847,FALSE,FALSE,Major,49012,00d13h36m52,0
DELTASPIKE-594,TRUE,FALSE,Major,33730344,390d09h32m24,0
DELTASPIKE-1199,FALSE,FALSE,Major,27685,00d07h41m25,0
DELTASPIKE-1281,TRUE,FALSE,Major,2505197,28d23h53m17,0
DELTASPIKE-196,TRUE,FALSE,Major,2152028,24d21h47m08,1
DELTASPIKE-191,TRUE,FALSE,Major,48213,00d13h23m33,0
DELTASPIKE-493,FALSE,FALSE,Major,530,00d00h08m50,0
DELTASPIKE-327,FALSE,FALSE,Major,817,00d00h13m37,0
DELTASPIKE-320,TRUE,FALSE,Major,1664,00d00h27m44,0
DELTASPIKE-321,FALSE,FALSE,Major,84593,00d23h29m53,1
DELTASPIKE-233,FALSE,FALSE,Major,19994,00d05h33m14,0
DELTASPIKE-248,TRUE,FALSE,Major,175119,02d00h38m39,0
DELTASPIKE-1043,TRUE,FALSE,Major,48008,00d13h20m08,0
DELTASPIKE-1044,FALSE,FALSE,Minor,221862,02d13h37m42,0
DELTASPIKE-1046,FALSE,FALSE,Major,77679,00d21h34m39,0
DELTASPIKE-405,FALSE,FALSE,Major,1204135,13d22h28m55,1
DELTASPIKE-834,TRUE,FALSE,Major,18783,00d05h13m03,0
DELTASPIKE-407,FALSE,FALSE,Major,338627,03d22h03m47,0
DELTASPIKE-648,TRUE,FALSE,Minor,21619921,250d05h32m01,1
DELTASPIKE-400,TRUE,FALSE,Major,42528066,492d05h21m06,0
DELTASPIKE-403,TRUE,FALSE,Major,1068,00d00h17m48,0
DELTASPIKE-647,TRUE,FALSE,Major,20323269,235d05h21m09,1
DELTASPIKE-1175,FALSE,FALSE,Major,2544697,29d10h51m37,0
DELTASPIKE-729,TRUE,FALSE,Minor,131413,01d12h30m13,0
OWB-923,FALSE,FALSE,Critical,423798,04d21h43m18,0
DELTASPIKE-489,TRUE,FALSE,Critical,6239,00d01h43m59,0
DELTASPIKE-371,FALSE,FALSE,Major,31820814,368d07h06m54,0
DELTASPIKE-1173,FALSE,FALSE,Major,861711,09d23h21m51,0
DELTASPIKE-485,TRUE,FALSE,Major,2914,00d00h48m34,0
DELTASPIKE-629,FALSE,FALSE,Major,379193,04d09h19m53,0
DELTASPIKE-915,TRUE,FALSE,Major,56145,00d15h35m45,0
DELTASPIKE-723,FALSE,FALSE,Major,24839,00d06h53m59,0
DELTASPIKE-1179,TRUE,FALSE,Critical,1275670,14d18h21m10,0
DELTASPIKE-1178,FALSE,FALSE,Major,24030971,278d03h16m11,0
DELTASPIKE-726,FALSE,FALSE,Major,49905,00d13h51m45,0
DELTASPIKE-482,TRUE,FALSE,Major,923,00d00h15m23,0
DELTASPIKE-1294,TRUE,FALSE,Major,8815009,102d00h36m49,1
DELTASPIKE-1296,FALSE,FALSE,Major,7455793,86d07h03m13,1
DELTASPIKE-870,FALSE,FALSE,Major,76698,00d21h18m18,0
DELTASPIKE-386,FALSE,FALSE,Major,10965913,126d22h05m13,0
DELTASPIKE-876,FALSE,FALSE,Minor,403945,04d16h12m25,0
DELTASPIKE-578,FALSE,FALSE,Major,969801,11d05h23m21,0
DELTASPIKE-1356,FALSE,FALSE,Major,1662250,19d05h44m10,0
DELTASPIKE-1351,FALSE,FALSE,Major,77267,00d21h27m47,0
DELTASPIKE-1299,FALSE,FALSE,Major,4154093,48d01h54m53,0
DELTASPIKE-1353,FALSE,FALSE,Major,87896,01d00h24m56,0
DELTASPIKE-929,FALSE,FALSE,Major,99439,01d03h37m19,1
DELTASPIKE-1057,TRUE,FALSE,Minor,901,00d00h15m01,0
DELTASPIKE-231,TRUE,FALSE,Major,8667,00d02h24m27,0
DELTASPIKE-1050,TRUE,FALSE,Critical,3347810,38d17h56m50,0
DELTASPIKE-1198,FALSE,TRUE,Major,64400227,745d08h57m07,0
DELTASPIKE-232,TRUE,FALSE,Major,2475989,28d15h46m29,1
DELTASPIKE-1196,FALSE,FALSE,Major,165962,01d22h06m02,0
DELTASPIKE-339,TRUE,FALSE,Blocker,4636336,53d15h52m16,1
DELTASPIKE-1194,FALSE,FALSE,Major,126591,01d11h09m51,0
DELTASPIKE-237,FALSE,FALSE,Major,8566,00d02h22m46,0
DELTASPIKE-1191,FALSE,FALSE,Major,7053344,81d15h15m44,0
DELTASPIKE-235,TRUE,FALSE,Major,170,00d00h02m50,0
DELTASPIKE-486,FALSE,FALSE,Critical,202,00d00h03m22,0
DELTASPIKE-95,TRUE,FALSE,Major,420,00d00h07m00,0
DELTASPIKE-831,FALSE,FALSE,Major,94951,01d02h22m31,1
DELTASPIKE-434,TRUE,FALSE,Major,128434,01d11h40m34,0
DELTASPIKE-167,TRUE,FALSE,Major,227,00d00h03m47,0
DELTASPIKE-202,TRUE,FALSE,Major,10472462,121d05h01m02,0
DELTASPIKE-168,FALSE,FALSE,Minor,90212,01d01h03m32,0
DELTASPIKE-1156,TRUE,FALSE,Major,797328,09d05h28m48,0
DELTASPIKE-736,TRUE,FALSE,Major,730793,08d10h59m53,0
DELTASPIKE-532,FALSE,FALSE,Major,23034,00d06h23m54,0
DELTASPIKE-733,FALSE,FALSE,Minor,103264,01d04h41m04,0
DELTASPIKE-1167,TRUE,FALSE,Major,3272947,37d21h09m07,0
DELTASPIKE-639,TRUE,FALSE,Major,1077,00d00h17m57,0
DELTASPIKE-963,FALSE,FALSE,Major,126587,01d11h09m47,0
DELTASPIKE-960,FALSE,FALSE,Major,2807,00d00h46m47,0
DELTASPIKE-739,FALSE,FALSE,Major,440586,05d02h23m06,0
DELTASPIKE-965,TRUE,FALSE,Blocker,872516,10d02h21m56,0
DELTASPIKE-1105,FALSE,FALSE,Major,238373,02d18h12m53,0
DELTASPIKE-1107,FALSE,FALSE,Critical,36758,00d10h12m38,0
DELTASPIKE-323,FALSE,FALSE,Major,98,00d00h01m38,0
DELTASPIKE-1108,FALSE,FALSE,Minor,107829,01d05h57m09,0
DELTASPIKE-854,FALSE,FALSE,Major,1128549,13d01h29m09,1
DELTASPIKE-1344,FALSE,FALSE,Minor,284603,03d07h03m23,0
DELTASPIKE-415,TRUE,FALSE,Minor,363691,04d05h01m31,0
DELTASPIKE-584,FALSE,FALSE,Major,310,00d00h05m10,0
DELTASPIKE-585,FALSE,FALSE,Major,31681,00d08h48m01,0
DELTASPIKE-1027,FALSE,FALSE,Major,12305,00d03h25m05,0
DELTASPIKE-1026,FALSE,FALSE,Major,14170,00d03h56m10,0
DELTASPIKE-1024,FALSE,FALSE,Major,20101,00d05h35m01,0
DELTASPIKE-427,FALSE,FALSE,Minor,245,00d00h04m05,0
DELTASPIKE-1028,FALSE,FALSE,Major,321,00d00h05m21,0
DELTASPIKE-685,FALSE,FALSE,Major,2529,00d00h42m09,0
DELTASPIKE-1183,TRUE,FALSE,Major,121217,01d09h40m17,0
DELTASPIKE-717,FALSE,FALSE,Minor,2238,00d00h37m18,0
DELTASPIKE-173,FALSE,FALSE,Minor,774,00d00h12m54,0
DELTASPIKE-684,FALSE,FALSE,Major,92860,01d01h47m40,0
DELTASPIKE-530,TRUE,FALSE,Major,178,00d00h02m58,0
DELTASPIKE-507,FALSE,FALSE,Minor,95936,01d02h38m56,0
DELTASPIKE-312,FALSE,FALSE,Major,629,00d00h10m29,0
DELTASPIKE-742,TRUE,FALSE,Major,885,00d00h14m45,0
DELTASPIKE-978,TRUE,FALSE,Minor,6994905,80d23h01m45,1
DELTASPIKE-746,FALSE,FALSE,Minor,9865167,114d04h19m27,0
DELTASPIKE-744,FALSE,FALSE,Minor,122,00d00h02m02,0
DELTASPIKE-745,TRUE,FALSE,Major,2422912,28d01h01m52,1
DELTASPIKE-971,FALSE,FALSE,Major,65709,00d18h15m09,0
DELTASPIKE-535,FALSE,FALSE,Major,21490,00d05h58m10,0
DELTASPIKE-748,FALSE,FALSE,Minor,63407,00d17h36m47,0
DELTASPIKE-240,FALSE,FALSE,Major,180,00d00h03m00,0
DELTASPIKE-732,FALSE,FALSE,Major,2750999,31d20h09m59,0
TOMEE-840,FALSE,FALSE,Major,2594252,30d00h37m32,1
DELTASPIKE-997,TRUE,FALSE,Minor,688,00d00h11m28,0
DELTASPIKE-1097,TRUE,FALSE,Major,90,00d00h01m30,0
DELTASPIKE-1139,TRUE,FALSE,Major,6547,00d01h49m07,0
DELTASPIKE-1138,FALSE,FALSE,Major,70343,00d19h32m23,0
DELTASPIKE-63,FALSE,FALSE,Major,515789,05d23h16m29,0
DELTASPIKE-839,TRUE,FALSE,Minor,22913079,265d04h44m39,0
DELTASPIKE-893,FALSE,FALSE,Major,509,00d00h08m29,0
DELTASPIKE-458,FALSE,FALSE,Major,9201,00d02h33m21,0
DELTASPIKE-590,TRUE,FALSE,Major,159651,01d20h20m51,0
DELTASPIKE-1034,FALSE,FALSE,Minor,1240,00d00h20m40,0
DELTASPIKE-595,FALSE,FALSE,Major,1011870,11d17h04m30,1
DELTASPIKE-637,TRUE,FALSE,Minor,5619091,65d00h51m31,0
DELTASPIKE-1336,FALSE,FALSE,Minor,12332753,142d17h45m53,0
DELTASPIKE-899,FALSE,FALSE,Major,99310,01d03h35m10,1
DELTASPIKE-513,TRUE,FALSE,Minor,790,00d00h13m10,0
DELTASPIKE-808,FALSE,FALSE,Major,361401,04d04h23m21,0
DELTASPIKE-212,TRUE,FALSE,Major,541,00d00h09m01,0
DELTASPIKE-354,FALSE,FALSE,Major,1092173,12d15h22m53,0
DELTASPIKE-624,TRUE,FALSE,Major,1675,00d00h27m55,0
DELTASPIKE-518,TRUE,FALSE,Major,11768,00d03h16m08,0
DELTASPIKE-299,TRUE,FALSE,Major,1850537,21d10h02m17,0
DELTASPIKE-696,FALSE,FALSE,Major,1437986,16d15h26m26,0
DELTASPIKE-294,TRUE,FALSE,Major,4487070,51d22h24m30,0
