BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
DERBY-1858,TRUE,FALSE,Major,1367413,15d19h50m13,0
DERBY-1854,FALSE,FALSE,Critical,668697,07d17h44m57,0
DERBY-1856,TRUE,FALSE,Major,7498405,86d18h53m25,1
DERBY-1850,FALSE,FALSE,Major,5683238,65d18h40m38,0
DERBY-1852,FALSE,FALSE,Major,24041727,278d06h15m27,1
DERBY-6518,FALSE,FALSE,Major,17655042,204d08h10m42,1
DERBY-933,FALSE,FALSE,Major,929539,10d18h12m19,1
DERBY-7020,FALSE,FALSE,Major,209918,02d10h18m38,0
DERBY-6511,TRUE,FALSE,Major,6640841,76d20h40m41,0
DERBY-3033,TRUE,FALSE,Major,3219783,37d06h23m03,0
DERBY-3032,FALSE,FALSE,Major,531952,06d03h45m52,0
DERBY-6515,FALSE,FALSE,Minor,16948058,196d03h47m38,1
DERBY-7028,FALSE,FALSE,Major,813497,09d09h58m17,0
DERBY-937,FALSE,FALSE,Major,12185981,141d00h59m41,0
DERBY-3354,TRUE,FALSE,Major,6008379,69d12h59m39,0
DERBY-3355,TRUE,FALSE,Major,491764,05d16h36m04,0
DERBY-3356,TRUE,FALSE,Major,697694,08d01h48m14,0
DERBY-3350,FALSE,FALSE,Minor,430301,04d23h31m41,0
DERBY-3352,TRUE,FALSE,Critical,5742987,66d11h16m27,0
DERBY-836,FALSE,FALSE,Minor,15387722,178d02h22m02,1
DERBY-3358,FALSE,TRUE,Major,5956342,68d22h32m22,0
DERBY-3415,FALSE,FALSE,Minor,79895,00d22h11m35,0
DERBY-4647,TRUE,TRUE,Minor,74234738,859d04h45m38,1
DERBY-4133,TRUE,FALSE,Minor,2008514,23d05h55m14,1
DERBY-4137,TRUE,TRUE,Major,69630606,805d21h50m06,0
DERBY-3799,FALSE,FALSE,Major,605065,07d00h04m25,0
DERBY-861,FALSE,FALSE,Minor,1296491,15d00h08m11,0
DERBY-2991,TRUE,TRUE,Major,51279752,593d12h22m32,0
DERBY-2992,TRUE,FALSE,Major,92382555,1069d05h49m15,1
DERBY-1673,FALSE,FALSE,Minor,12565020,145d10h17m00,0
DERBY-2996,FALSE,FALSE,Major,2584682,29d21h58m02,0
DERBY-4006,FALSE,FALSE,Major,972726,11d06h12m06,0
DERBY-4001,TRUE,FALSE,Minor,9765108,113d00h31m48,0
DERBY-5352,FALSE,FALSE,Major,792015,09d04h00m15,0
DERBY-595,FALSE,FALSE,Major,49246345,569d23h32m25,0
DERBY-5605,FALSE,FALSE,Minor,116748206,1351d06h03m26,0
DERBY-5607,TRUE,FALSE,Critical,42499097,491d21h18m17,1
DERBY-5608,TRUE,FALSE,Minor,5940444,68d18h07m24,0
DERBY-5358,FALSE,FALSE,Major,35469507,410d12h38m27,1
DERBY-599,FALSE,FALSE,Major,10390223,120d06h10m23,0
DERBY-1510,FALSE,FALSE,Minor,1448703,16d18h25m03,0
DERBY-1511,TRUE,FALSE,Minor,131744274,1524d19h37m54,0
DERBY-1514,FALSE,FALSE,Major,162212,01d21h03m32,0
DERBY-1516,FALSE,FALSE,Minor,2234364,25d20h39m24,0
DERBY-1519,FALSE,FALSE,Minor,27894882,322d20h34m42,0
DERBY-462,FALSE,FALSE,Minor,155354014,1798d01h53m34,0
DERBY-463,TRUE,FALSE,Major,15967404,184d19h23m24,1
DERBY-466,FALSE,FALSE,Major,24085381,278d18h23m01,1
DERBY-2241,FALSE,FALSE,Minor,215396,02d11h49m56,0
DERBY-6144,FALSE,FALSE,Major,770533,08d22h02m13,0
DERBY-3035,TRUE,FALSE,Major,38121039,441d05h10m39,0
DERBY-5514,FALSE,FALSE,Major,405738,04d16h42m18,0
DERBY-5517,FALSE,FALSE,Major,850428,09d20h13m48,0
DERBY-5512,FALSE,FALSE,Minor,57762,00d16h02m42,0
DERBY-4828,FALSE,FALSE,Minor,269598,03d02h53m18,0
DERBY-4825,FALSE,FALSE,Minor,894859,10d08h34m19,0
DERBY-5519,FALSE,FALSE,Major,352471,04d01h54m31,0
DERBY-4356,FALSE,FALSE,Major,548460,06d08h21m00,0
DERBY-1464,FALSE,FALSE,Minor,307997,03d13h33m17,0
DERBY-1462,FALSE,FALSE,Minor,2812701,32d13h18m21,0
DERBY-1463,FALSE,FALSE,Minor,3945,00d01h05m45,0
DERBY-1468,FALSE,FALSE,Major,224617,02d14h23m37,0
DERBY-3646,TRUE,FALSE,Major,69812527,808d00h22m07,1
DERBY-5192,TRUE,FALSE,Major,257434,02d23h30m34,0
DERBY-3645,TRUE,FALSE,Major,69902723,809d01h25m23,1
DERBY-3649,FALSE,FALSE,Major,348478,04d00h47m58,0
DERBY-5779,TRUE,FALSE,Major,34592776,400d09h06m16,2
DERBY-137,FALSE,FALSE,Critical,44039253,509d17h07m33,0
DERBY-5775,FALSE,FALSE,Trivial,10985991,127d03h39m51,0
DERBY-5776,FALSE,FALSE,Major,21824,00d06h03m44,0
DERBY-4342,TRUE,FALSE,Major,4325830,50d01h37m10,0
DERBY-2371,FALSE,FALSE,Major,350851,04d01h27m31,0
DERBY-2370,TRUE,FALSE,Major,7647017,88d12h10m17,1
