BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
FC-94,FALSE,FALSE,Major,68194737,789d06h58m57,0
FC-38,FALSE,TRUE,Critical,42736292,494d15h11m32,1
FC-39,FALSE,FALSE,Major,252,00d00h04m12,0
FC-37,FALSE,FALSE,Blocker,17529,00d04h52m09,0
FC-33,TRUE,FALSE,Major,37924844,438d22h40m44,1
FC-110,FALSE,FALSE,Major,3394,00d00h56m34,0
FC-237,FALSE,FALSE,Major,4558977,52d18h22m57,0
FC-236,FALSE,FALSE,Major,678779,07d20h32m59,0
FC-98,FALSE,FALSE,Major,794167,09d04h36m07,0
FC-118,TRUE,FALSE,Minor,11172,00d03h06m12,0
FC-165,FALSE,FALSE,Major,8634,00d02h23m54,0
FC-259,FALSE,FALSE,Major,13201844,152d19h10m44,0
FC-95,FALSE,FALSE,Major,1102985,12d18h23m05,0
FC-201,FALSE,FALSE,Major,14911315,172d14h01m55,1
FC-90,FALSE,FALSE,Major,1964947,22d17h49m07,0
FC-92,FALSE,FALSE,Major,1624692,18d19h18m12,0
FC-182,FALSE,FALSE,Major,293,00d00h04m53,0
FC-105,TRUE,FALSE,Major,20561789,237d23h36m29,0
FC-107,FALSE,FALSE,Major,20415840,236d07h04m00,0
FC-219,TRUE,FALSE,Major,151439,01d18h03m59,0
FC-100,TRUE,FALSE,Major,595591,06d21h26m31,1
FC-102,FALSE,FALSE,Major,69147079,800d07h31m19,0
FC-141,FALSE,FALSE,Trivial,101719,01d04h15m19,0
FC-140,FALSE,FALSE,Trivial,105513,01d05h18m33,0
FC-4,TRUE,FALSE,Major,2773001,32d02h16m41,0
FC-142,FALSE,FALSE,Trivial,101748,01d04h15m48,0
FC-121,FALSE,FALSE,Major,6699779,77d13h02m59,0
FC-120,FALSE,FALSE,Critical,52513213,607d19h00m13,0
FC-61,FALSE,FALSE,Major,89,00d00h01m29,0
FC-60,FALSE,FALSE,Major,492,00d00h08m12,0
FC-63,FALSE,FALSE,Major,5569,00d01h32m49,0
FC-65,FALSE,FALSE,Major,342,00d00h05m42,0
FC-64,TRUE,FALSE,Major,5805,00d01h36m45,0
FC-67,FALSE,FALSE,Major,688664,07d23h17m44,0
FC-47,FALSE,FALSE,Major,42357,00d11h45m57,0
FC-93,FALSE,FALSE,Major,1599487,18d12h18m07,0
FC-29,TRUE,FALSE,Major,4576953,52d23h22m33,0
FC-12,FALSE,FALSE,Major,2420046,28d00h14m06,0
FC-117,FALSE,FALSE,Blocker,9313,00d02h35m13,0
FC-80,FALSE,FALSE,Major,411,00d00h06m51,0
FC-246,FALSE,FALSE,Major,2066510,23d22h01m50,0
FC-86,FALSE,FALSE,Major,24411643,282d13h00m43,0
FC-112,TRUE,FALSE,Minor,2433515,28d03h58m35,0
FC-192,TRUE,FALSE,Major,1356442,15d16h47m22,0
FC-113,FALSE,FALSE,Minor,1384433,16d00h33m53,0
FC-229,FALSE,FALSE,Major,10546,00d02h55m46,0
FC-114,FALSE,FALSE,Major,99144,01d03h32m24,0
FC-134,FALSE,FALSE,Major,114,00d00h01m54,0
FC-136,TRUE,FALSE,Major,3259,00d00h54m19,0
FC-208,FALSE,FALSE,Major,358339,04d03h32m19,0
FC-209,FALSE,FALSE,Major,358744,04d03h39m04,0
FC-204,FALSE,FALSE,Major,10800327,125d00h05m27,0
FC-151,TRUE,FALSE,Critical,1197334,13d20h35m34,0
FC-226,FALSE,FALSE,Major,25262667,292d09h24m27,0
FC-227,FALSE,FALSE,Major,25262544,292d09h22m24,0
FC-73,TRUE,FALSE,Major,28161281,325d22h34m41,1
FC-70,FALSE,FALSE,Major,78,00d00h01m18,0
FC-76,FALSE,FALSE,Major,32284108,373d15h48m28,0
FC-74,TRUE,FALSE,Major,14802,00d04h06m42,0
FC-54,TRUE,FALSE,Major,5352742,61d22h52m22,0
FC-57,TRUE,FALSE,Major,3303516,38d05h38m36,1
