BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
DIRSERVER-904,TRUE,FALSE,Major,11299133,130d18h38m53,0
DIRSERVER-901,FALSE,FALSE,Major,8432,00d02h20m32,0
DIRSERVER-1013,FALSE,FALSE,Minor,603075,06d23h31m15,0
DIRSERVER-1011,TRUE,FALSE,Major,673164,07d18h59m24,0
DIRSERVER-1157,TRUE,FALSE,Blocker,34520605,399d13h03m25,1
DIRSERVER-1019,TRUE,FALSE,Blocker,45525,00d12h38m45,0
DIRSERVER-1018,FALSE,FALSE,Major,1331115,15d09h45m15,0
DIRSERVER-2139,FALSE,FALSE,Major,588356,06d19h25m56,0
DIRSERVER-1621,FALSE,FALSE,Blocker,5326050,61d15h27m30,0
DIRSERVER-81,FALSE,FALSE,Major,2381866,27d13h37m46,0
DIRSERVER-1625,FALSE,FALSE,Major,90275,01d01h04m35,1
DIRSERVER-1626,FALSE,FALSE,Major,2578,00d00h42m58,0
DIRSERVER-1627,FALSE,FALSE,Major,21156,00d05h52m36,0
DIRSERVER-1971,FALSE,FALSE,Major,265,00d00h04m25,0
DIRSERVER-1972,FALSE,FALSE,Major,3755,00d01h02m35,0
DIRSERVER-1974,TRUE,FALSE,Blocker,163145940,1888d06h19m00,1
DIRSERVER-1976,FALSE,FALSE,Major,8929,00d02h28m49,0
DIRSERVER-1978,FALSE,FALSE,Critical,14082602,162d23h50m02,0
DIRSERVER-1979,TRUE,FALSE,Major,1717696,19d21h08m16,0
DIRSERVER-1231,FALSE,FALSE,Major,8964626,103d18h10m26,0
DIRSERVER-1235,FALSE,FALSE,Major,757,00d00h12m37,0
DIRSERVER-1234,TRUE,FALSE,Critical,364971,04d05h22m51,0
DIRSERVER-1333,FALSE,FALSE,Critical,3714220,42d23h43m40,0
DIRSERVER-1330,FALSE,FALSE,Major,39727971,459d19h32m51,0
DIRSERVER-998,TRUE,FALSE,Minor,1473551,17d01h19m11,0
DIRSERVER-628,TRUE,FALSE,Major,5355808,61d23h43m28,0
DIRSERVER-990,FALSE,FALSE,Critical,22821747,264d03h22m27,0
DIRSERVER-624,FALSE,FALSE,Blocker,8152212,94d08h30m12,0
DIRSERVER-2220,FALSE,FALSE,Major,431249,04d23h47m29,0
DIRSERVER-1487,FALSE,FALSE,Minor,5511910,63d19h05m10,0
DIRSERVER-1529,TRUE,FALSE,Minor,496,00d00h08m16,0
DIRSERVER-1524,TRUE,FALSE,Critical,17360653,200d22h24m13,0
