BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
DIRSTUDIO-490,TRUE,FALSE,Major,708032,08d04h40m32,0
DIRSTUDIO-497,FALSE,FALSE,Minor,4628921,53d13h48m41,0
DIRSTUDIO-252,TRUE,FALSE,Major,534,00d00h08m54,0
DIRSTUDIO-495,FALSE,FALSE,Major,11482556,132d21h35m56,0
DIRSTUDIO-395,TRUE,FALSE,Blocker,13980180,161d19h23m00,0
DIRSTUDIO-733,FALSE,FALSE,Major,22367894,258d21h18m14,0
DIRSTUDIO-499,FALSE,FALSE,Minor,9031872,104d12h51m12,0
DIRSTUDIO-1068,FALSE,FALSE,Major,10103582,116d22h33m02,0
DIRSTUDIO-259,FALSE,FALSE,Major,63064,00d17h31m04,0
DIRSTUDIO-799,FALSE,FALSE,Critical,14342,00d03h59m02,0
DIRSTUDIO-48,FALSE,FALSE,Minor,19852420,229d18h33m40,0
DIRSTUDIO-955,FALSE,FALSE,Trivial,2008162,23d05h49m22,0
DIRSTUDIO-36,FALSE,FALSE,Major,31612,00d08h46m52,0
DIRSTUDIO-31,TRUE,FALSE,Major,1810001,20d22h46m41,0
DIRSTUDIO-429,TRUE,FALSE,Major,27389889,317d00h18m09,0
DIRSTUDIO-950,FALSE,FALSE,Major,699,00d00h11m39,0
DIRSTUDIO-760,FALSE,FALSE,Critical,269188,03d02h46m28,0
DIRSTUDIO-792,FALSE,FALSE,Minor,39907869,461d21h31m09,0
DIRSTUDIO-795,FALSE,FALSE,Minor,392,00d00h06m32,0
DIRSTUDIO-642,FALSE,FALSE,Minor,452742,05d05h45m42,0
DIRSTUDIO-959,TRUE,FALSE,Minor,1091454,12d15h10m54,0
DIRSTUDIO-958,FALSE,FALSE,Minor,1690178,19d13h29m38,0
DIRSTUDIO-658,FALSE,FALSE,Minor,49587972,573d22h26m12,0
DIRSTUDIO-659,FALSE,FALSE,Minor,49583877,573d21h17m57,0
DIRSTUDIO-537,FALSE,FALSE,Major,2643603,30d14h20m03,0
DIRSTUDIO-815,FALSE,FALSE,Trivial,65271906,755d11h05m06,0
DIRSTUDIO-364,FALSE,FALSE,Major,8167,00d02h16m07,0
DIRSTUDIO-365,TRUE,FALSE,Major,773637,08d22h53m57,0
DIRSTUDIO-367,TRUE,FALSE,Major,4164305,48d04h45m05,0
DIRSTUDIO-651,FALSE,FALSE,Trivial,54259191,627d23h59m51,1
DIRSTUDIO-696,FALSE,FALSE,Major,42148295,487d19h51m35,1
DIRSTUDIO-653,FALSE,FALSE,Trivial,54189817,627d04h43m37,1
DIRSTUDIO-654,FALSE,FALSE,Major,130951376,1515d15h22m56,0
DIRSTUDIO-1008,FALSE,FALSE,Major,114916101,1330d01h08m21,0
DIRSTUDIO-1120,TRUE,FALSE,Major,28689174,332d01h12m54,0
DIRSTUDIO-1121,TRUE,FALSE,Major,172854,02d00h00m54,0
DIRSTUDIO-243,FALSE,FALSE,Major,121,00d00h02m01,0
DIRSTUDIO-1127,FALSE,FALSE,Major,142244,01d15h30m44,0
DIRSTUDIO-468,FALSE,FALSE,Minor,197318,02d06h48m38,0
DIRSTUDIO-899,FALSE,FALSE,Blocker,2608761,30d04h39m21,1
DIRSTUDIO-1085,TRUE,FALSE,Major,2279091,26d09h04m51,0
DIRSTUDIO-302,FALSE,FALSE,Blocker,7300,00d02h01m40,0
DIRSTUDIO-1129,TRUE,FALSE,Minor,8640284,100d00h04m44,0
DIRSTUDIO-892,FALSE,FALSE,Blocker,2709,00d00h45m09,0
DIRSTUDIO-1080,TRUE,FALSE,Major,511352,05d22h02m32,0
DIRSTUDIO-568,FALSE,FALSE,Major,610823,07d01h40m23,0
DIRSTUDIO-891,TRUE,FALSE,Blocker,25805,00d07h10m05,0
DIRSTUDIO-220,FALSE,FALSE,Minor,3405,00d00h56m45,0
DIRSTUDIO-223,TRUE,FALSE,Blocker,413,00d00h06m53,0
DIRSTUDIO-222,FALSE,FALSE,Minor,8476431,98d02h33m51,0
DIRSTUDIO-224,FALSE,FALSE,Blocker,8495194,98d07h46m34,0
DIRSTUDIO-389,TRUE,FALSE,Major,649,00d00h10m49,0
DIRSTUDIO-386,FALSE,FALSE,Minor,192869,02d05h34m29,1
DIRSTUDIO-1,TRUE,FALSE,Major,8554905,99d00h21m45,0
DIRSTUDIO-380,FALSE,FALSE,Minor,3015,00d00h50m15,0
DIRSTUDIO-575,TRUE,FALSE,Major,106343,01d05h32m23,0
DIRSTUDIO-580,TRUE,FALSE,Minor,610992,07d01h43m12,0
DIRSTUDIO-788,TRUE,FALSE,Major,40607249,469d23h47m29,0
DIRSTUDIO-293,FALSE,FALSE,Minor,13958805,161d13h26m45,0
DIRSTUDIO-593,FALSE,FALSE,Minor,1225,00d00h20m25,0
DIRSTUDIO-948,FALSE,FALSE,Critical,23317,00d06h28m37,0
DIRSTUDIO-783,FALSE,FALSE,Minor,645,00d00h10m45,0
DIRSTUDIO-823,FALSE,FALSE,Major,6885413,79d16h36m53,0
DIRSTUDIO-822,FALSE,FALSE,Critical,234,00d00h03m54,0
DIRSTUDIO-419,FALSE,FALSE,Major,10814581,125d04h03m01,0
DIRSTUDIO-827,TRUE,FALSE,Critical,4835837,55d23h17m17,0
DIRSERVER-2109,FALSE,TRUE,Major,62499609,723d09h00m09,0
DIRSTUDIO-1039,TRUE,FALSE,Major,36398,00d10h06m38,0
DIRSTUDIO-410,TRUE,FALSE,Critical,33341472,385d21h31m12,0
DIRSTUDIO-585,FALSE,FALSE,Major,10163906,117d15h18m26,0
DIRSTUDIO-703,TRUE,FALSE,Major,39567186,457d22h53m06,1
DIRSTUDIO-1133,FALSE,FALSE,Minor,319127,03d16h38m47,0
DIRSTUDIO-550,FALSE,FALSE,Trivial,29118,00d08h05m18,0
DIRSTUDIO-629,TRUE,FALSE,Blocker,1160450,13d10h20m50,0
DIRSTUDIO-310,TRUE,FALSE,Critical,26984,00d07h29m44,0
DIRSTUDIO-313,FALSE,FALSE,Trivial,272701,03d03h45m01,0
DIRSTUDIO-350,FALSE,FALSE,Major,120636,01d09h30m36,0
DIRSTUDIO-624,FALSE,FALSE,Minor,468,00d00h07m48,0
DIRSTUDIO-708,FALSE,FALSE,Major,36219167,419d04h52m47,0
DIRSTUDIO-154,TRUE,FALSE,Blocker,12015973,139d01h46m13,0
DIRSTUDIO-319,TRUE,FALSE,Blocker,8377173,96d22h59m33,0
DIRSTUDIO-318,TRUE,FALSE,Major,5105965,59d02h19m25,0
DIRSTUDIO-623,FALSE,FALSE,Minor,257,00d00h04m17,0
DIRSTUDIO-233,TRUE,FALSE,Major,3272119,37d20h55m19,0
DIRSTUDIO-230,FALSE,FALSE,Major,16139,00d04h28m59,0
DIRSTUDIO-231,TRUE,FALSE,Major,12890080,149d04h34m40,0
DIRSTUDIO-139,FALSE,FALSE,Major,17754035,205d11h40m35,0
DIRSTUDIO-235,TRUE,FALSE,Minor,31957,00d08h52m37,0
DIRSTUDIO-239,FALSE,FALSE,Critical,2418957,27d23h55m57,0
DIRSTUDIO-249,TRUE,FALSE,Minor,13232,00d03h40m32,0
DIRSTUDIO-331,FALSE,FALSE,Blocker,43586773,504d11h26m13,0
DIRSTUDIO-552,FALSE,FALSE,Major,9924,00d02h45m24,0
DIRSTUDIO-1185,FALSE,FALSE,Major,6398424,74d01h20m24,0
DIRSTUDIO-569,FALSE,FALSE,Major,214,00d00h03m34,0
DIRSTUDIO-50,FALSE,FALSE,Major,3726,00d01h02m06,0
DIRSTUDIO-57,FALSE,FALSE,Major,947916,10d23h18m36,0
DIRSTUDIO-596,FALSE,FALSE,Minor,522,00d00h08m42,0
DIRSTUDIO-835,FALSE,FALSE,Minor,374,00d00h06m14,0
DIRSTUDIO-836,FALSE,FALSE,Major,51823197,599d19h19m57,0
DIRSTUDIO-1188,TRUE,FALSE,Major,13345,00d03h42m25,0
DIRSERVER-2057,FALSE,FALSE,Major,2273384,26d07h29m44,0
DIRSTUDIO-26,FALSE,FALSE,Major,765423,08d20h37m03,0
DIRSTUDIO-833,FALSE,FALSE,Major,1114409,12d21h33m29,0
DIRSTUDIO-427,TRUE,FALSE,Major,10550906,122d02h48m26,0
DIRSTUDIO-934,TRUE,FALSE,Major,444,00d00h07m24,0
DIRSTUDIO-424,FALSE,FALSE,Major,38027093,440d03h04m53,0
DIRSTUDIO-423,TRUE,FALSE,Minor,12646873,146d09h01m13,0
DIRSTUDIO-549,FALSE,FALSE,Major,585733,06d18h42m13,0
DIRSTUDIO-739,TRUE,FALSE,Minor,14116194,163d09h09m54,0
DIRSTUDIO-932,TRUE,FALSE,Major,11621,00d03h13m41,0
DIRSTUDIO-547,FALSE,FALSE,Major,591866,06d20h24m26,0
DIRSTUDIO-1100,TRUE,FALSE,Minor,7633037,88d08h17m17,0
DIRSTUDIO-938,FALSE,FALSE,Major,26239794,303d16h49m54,0
DIRSTUDIO-731,FALSE,FALSE,Minor,22493095,260d08h04m55,0
DIRSTUDIO-149,FALSE,FALSE,Blocker,186656,02d03h50m56,0
DIRSERVER-1646,FALSE,FALSE,Major,433673,05d00h27m53,0
DIRSTUDIO-300,FALSE,FALSE,Minor,75178,00d20h52m58,0
DIRSTUDIO-639,FALSE,FALSE,Minor,381,00d00h06m21,0
DIRSTUDIO-637,TRUE,FALSE,Major,743466,08d14h31m06,0
DIRSTUDIO-796,FALSE,FALSE,Minor,317,00d00h05m17,0
DIRSTUDIO-632,FALSE,FALSE,Blocker,1097276,12d16h47m56,0
DIRSTUDIO-630,TRUE,FALSE,Major,59469956,688d07h25m56,0
DIRSTUDIO-570,FALSE,FALSE,Major,115,00d00h01m55,0
DIRSTUDIO-868,FALSE,FALSE,Major,11442626,132d10h30m26,0
DIRSTUDIO-409,TRUE,FALSE,Minor,33343706,385d22h08m26,0
DIRSTUDIO-773,FALSE,FALSE,Minor,230,00d00h03m50,0
DIRSTUDIO-162,FALSE,FALSE,Minor,2723337,31d12h28m57,0
DIRSTUDIO-286,FALSE,FALSE,Major,580,00d00h09m40,0
DIRSTUDIO-127,FALSE,FALSE,Blocker,566117,06d13h15m17,0
DIRSTUDIO-64,FALSE,FALSE,Major,326521,03d18h42m01,0
DIRSTUDIO-598,FALSE,FALSE,Major,454,00d00h07m34,0
DIRSTUDIO-394,FALSE,FALSE,Major,3163,00d00h52m43,0
DIRSTUDIO-63,FALSE,FALSE,Major,89240,01d00h47m20,0
DIRSTUDIO-120,TRUE,FALSE,Major,16075965,186d01h32m45,0
DIRSTUDIO-121,FALSE,FALSE,Minor,36893765,427d00h16m05,1
DIRSTUDIO-210,TRUE,FALSE,Minor,6293038,72d20h03m58,0
DIRSTUDIO-284,FALSE,FALSE,Major,101574,01d04h12m54,0
DIRSTUDIO-1197,FALSE,FALSE,Major,25549114,295d16h58m34,1
DIRSTUDIO-1194,FALSE,FALSE,Major,29144,00d08h05m44,0
DIRSTUDIO-840,FALSE,FALSE,Critical,342777,03d23h12m57,0
DIRSTUDIO-1199,TRUE,FALSE,Major,19487120,225d13h05m20,0
DIRSTUDIO-919,FALSE,FALSE,Critical,86164941,997d06h42m21,1
DIRSTUDIO-627,FALSE,FALSE,Major,329794,03d19h36m34,0
DIRSTUDIO-213,FALSE,FALSE,Major,501,00d00h08m21,0
DIRSTUDIO-436,TRUE,FALSE,Major,6920734,80d02h25m34,0
DIRSTUDIO-437,TRUE,FALSE,Major,25578853,296d01h14m13,0
DIRSTUDIO-531,FALSE,FALSE,Major,447,00d00h07m27,0
DIRSTUDIO-530,FALSE,FALSE,Major,1140,00d00h19m00,0
DIRSTUDIO-724,TRUE,FALSE,Blocker,7838225,90d17h17m05,0
DIRSTUDIO-726,FALSE,FALSE,Minor,28093112,325d03h38m32,1
DIRSTUDIO-1114,FALSE,FALSE,Minor,118647,01d08h57m27,0
DIRSTUDIO-609,TRUE,FALSE,Minor,7816185,90d11h09m45,0
DIRSTUDIO-330,TRUE,FALSE,Critical,1423,00d00h23m43,0
DIRSTUDIO-336,FALSE,FALSE,Major,361397,04d04h23m17,0
DIRSTUDIO-334,FALSE,FALSE,Minor,43467172,503d02h12m52,0
DIRSTUDIO-603,TRUE,FALSE,Major,184736,02d03h18m56,0
DIRSTUDIO-601,TRUE,FALSE,Critical,91688,01d01h28m08,0
DIRSTUDIO-590,FALSE,FALSE,Minor,393,00d00h06m33,0
DIRSTUDIO-326,TRUE,FALSE,Major,3356867,38d20h27m47,0
DIRSTUDIO-152,FALSE,FALSE,Major,17387100,201d05h45m00,0
DIRSTUDIO-71,FALSE,FALSE,Major,4245116,49d03h11m56,0
DIRSTUDIO-73,FALSE,FALSE,Major,7769946,89d22h19m06,0
DIRSTUDIO-117,TRUE,FALSE,Minor,2501649,28d22h54m09,0
DIRSTUDIO-74,TRUE,FALSE,Major,518855,06d00h07m35,0
DIRSTUDIO-557,TRUE,FALSE,Major,1228,00d00h20m28,0
DIRSTUDIO-858,FALSE,FALSE,Minor,6276,00d01h44m36,0
DIRSTUDIO-698,TRUE,FALSE,Major,42063316,486d20h15m16,1
DIRSTUDIO-699,TRUE,FALSE,Major,42063166,486d20h12m46,1
DIRSTUDIO-1040,TRUE,FALSE,Major,2423247,28d01h07m27,0
DIRSTUDIO-850,FALSE,FALSE,Critical,1156,00d00h19m16,0
DIRSTUDIO-1042,TRUE,FALSE,Major,1562828,18d02h07m08,0
DIRSTUDIO-1060,FALSE,FALSE,Major,1125782,13d00h43m02,0
