BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
DL-119,FALSE,FALSE,Major,2026869,23d11h01m09,0
DL-80,FALSE,FALSE,Major,72035,00d20h00m35,0
DL-173,FALSE,FALSE,Minor,8431994,97d14h13m14,0
DL-174,FALSE,FALSE,Minor,8432015,97d14h13m35,0
DL-122,FALSE,FALSE,Major,1142788,13d05h26m28,0
DL-28,FALSE,FALSE,Blocker,13795147,159d15h59m07,1
DL-29,FALSE,FALSE,Minor,3361239,38d21h40m39,0
DL-20,TRUE,FALSE,Minor,464730,05d09h05m30,0
DL-24,FALSE,FALSE,Major,12757203,147d15h40m03,1
DL-140,FALSE,FALSE,Major,1896578,21d22h49m38,0
DL-141,FALSE,FALSE,Blocker,230419,02d16h00m19,0
DL-180,FALSE,FALSE,Minor,196960,02d06h42m40,0
DL-181,FALSE,FALSE,Major,73872,00d20h31m12,0
DL-186,FALSE,FALSE,Major,1708190,19d18h29m50,0
DL-126,FALSE,FALSE,Major,864549,10d00h09m09,0
DL-127,FALSE,FALSE,Major,941356,10d21h29m16,0
DL-124,TRUE,FALSE,Major,16906017,195d16h06m57,0
DL-104,FALSE,FALSE,Major,1913980,22d03h39m40,0
DL-123,FALSE,FALSE,Major,1140656,13d04h50m56,0
DL-106,FALSE,FALSE,Major,1913939,22d03h38m59,0
DL-107,TRUE,FALSE,Major,1913910,22d03h38m30,0
DL-91,FALSE,FALSE,Major,1241147,14d08h45m47,0
DL-90,FALSE,FALSE,Major,1244621,14d09h43m41,0
DL-164,FALSE,FALSE,Major,71637,00d19h53m57,0
DL-197,FALSE,FALSE,Major,198655,02d07h10m55,0
DL-196,FALSE,FALSE,Major,198772,02d07h12m52,0
DL-195,TRUE,FALSE,Major,432622,05d00h10m22,0
DL-56,FALSE,FALSE,Major,951795,11d00h23m15,0
DL-55,FALSE,FALSE,Major,30901,00d08h35m01,0
DL-31,TRUE,FALSE,Major,1008864,11d16h14m24,0
DL-32,TRUE,FALSE,Minor,5364012,62d02h00m12,0
DL-36,FALSE,FALSE,Major,175116,02d00h38m36,0
DL-153,FALSE,FALSE,Minor,476831,05d12h27m11,0
DL-152,FALSE,FALSE,Major,1532836,17d17h47m16,0
DL-155,FALSE,FALSE,Major,468099,05d10h01m39,0
DL-158,FALSE,FALSE,Major,72079,00d20h01m19,0
DL-206,TRUE,FALSE,Major,6679712,77d07h28m32,0
