BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
DRILL-3680,TRUE,FALSE,Critical,2254619,26d02h16m59,0
DRILL-3684,TRUE,FALSE,Major,952497,11d00h34m57,0
DRILL-3688,TRUE,FALSE,Major,16622697,192d09h24m57,0
DRILL-6410,TRUE,FALSE,Major,12953527,149d22h12m07,0
CALCITE-577,TRUE,FALSE,Major,3458485,40d00h41m25,0
DRILL-2021,TRUE,FALSE,Critical,224328,02d14h18m48,0
DRILL-853,TRUE,FALSE,Major,402579,04d15h49m39,0
DRILL-850,FALSE,FALSE,Critical,19361414,224d02h10m14,0
DRILL-584,TRUE,FALSE,Major,20138541,233d02h02m21,0
DRILL-3046,TRUE,FALSE,Critical,234333,02d17h05m33,0
DRILL-3045,TRUE,FALSE,Major,11133546,128d20h39m06,1
DRILL-6039,FALSE,TRUE,Major,29886255,345d21h44m15,1
DRILL-3049,FALSE,FALSE,Major,152732,01d18h25m32,1
DRILL-3048,FALSE,FALSE,Major,152630,01d18h23m50,0
DRILL-7201,FALSE,FALSE,Major,137308,01d14h08m28,0
DRILL-7202,FALSE,FALSE,Minor,128984,01d11h49m44,0
DRILL-7205,TRUE,FALSE,Major,8284610,95d21h16m50,0
DRILL-7204,FALSE,FALSE,Major,3064416,35d11h13m36,0
DRILL-2439,TRUE,TRUE,Blocker,1348810,15d14h40m10,0
DRILL-3199,TRUE,FALSE,Major,2836966,32d20h02m46,0
DRILL-4894,FALSE,FALSE,Major,3304813,38d06h00m13,0
DRILL-458,TRUE,FALSE,Major,253903,02d22h31m43,0
DRILL-2438,FALSE,FALSE,Critical,1272572,14d17h29m32,0
DRILL-3195,FALSE,FALSE,Major,1668302,19d07h25m02,0
DRILL-3196,TRUE,FALSE,Critical,1298634,15d00h43m54,0
DRILL-3190,TRUE,FALSE,Major,1113017,12d21h10m17,0
DRILL-450,TRUE,FALSE,Critical,2186716,25d07h25m16,0
DRILL-451,FALSE,FALSE,Major,121644,01d09h47m24,0
DRILL-5694,TRUE,TRUE,Major,5185610,60d00h26m50,0
DRILL-5698,FALSE,FALSE,Major,1193388,13d19h29m48,0
DRILL-5699,FALSE,FALSE,Minor,1170516,13d13h08m36,1
DRILL-2333,FALSE,FALSE,Major,3798090,43d23h01m30,0
DRILL-5450,FALSE,FALSE,Major,1404386,16d06h06m26,0
DRILL-2488,FALSE,FALSE,Critical,170988,01d23h29m48,0
DRILL-177,TRUE,FALSE,Major,1345271,15d13h41m11,0
DRILL-2338,FALSE,FALSE,Major,261269,03d00h34m29,0
DRILL-4823,TRUE,FALSE,Major,8091438,93d15h37m18,0
DRILL-7335,FALSE,FALSE,Major,313620,03d15h07m00,0
DRILL-1825,FALSE,FALSE,Major,785961,09d02h19m21,0
DRILL-1822,TRUE,FALSE,Major,43893,00d12h11m33,0
DRILL-1821,TRUE,FALSE,Major,43965,00d12h12m45,0
DRILL-7332,FALSE,FALSE,Major,325962,03d18h32m42,0
DRILL-856,TRUE,FALSE,Major,48794,00d13h33m14,0
DRILL-7338,FALSE,FALSE,Major,634711,07d08h18m31,1
DRILL-1828,FALSE,FALSE,Major,766657,08d20h57m37,0
DRILL-4679,TRUE,FALSE,Major,777204,08d23h53m24,0
DRILL-4678,TRUE,FALSE,Critical,27434056,317d12h34m16,0
DRILL-4676,TRUE,FALSE,Major,304662,03d12h37m42,0
CALCITE-546,TRUE,FALSE,Major,24568135,284d08h28m55,0
DRILL-588,FALSE,FALSE,Major,1766011,20d10h33m31,0
DRILL-2151,FALSE,FALSE,Critical,1221123,14d03h12m03,0
DRILL-858,TRUE,FALSE,Major,1199418,13d21h10m18,0
DRILL-6250,FALSE,FALSE,Major,474206,05d11h43m26,0
DRILL-6255,TRUE,FALSE,Major,5516249,63d20h17m29,0
DRILL-6254,FALSE,FALSE,Major,1275343,14d18h15m43,0
DRILL-6256,FALSE,FALSE,Major,1243601,14d09h26m41,0
DRILL-1919,TRUE,FALSE,Major,483791,05d14h23m11,0
DRILL-7021,TRUE,FALSE,Major,3843253,44d11h34m13,0
DRILL-7022,FALSE,FALSE,Major,1554681,17d23h51m21,0
DRILL-5678,FALSE,FALSE,Major,200690,02d07h44m50,0
DRILL-5675,FALSE,FALSE,Minor,1846646,21d08h57m26,0
DRILL-5117,FALSE,FALSE,Major,940279,10d21h11m19,0
DRILL-5113,FALSE,FALSE,Minor,504468,05d20h07m48,0
DRILL-5112,TRUE,FALSE,Major,516464,05d23h27m44,0
DRILL-6649,FALSE,TRUE,Major,1089530,12d14h38m50,0
DRILL-6641,FALSE,FALSE,Major,301209,03d11h40m09,0
DRILL-6488,FALSE,FALSE,Major,188077,02d04h14m37,0
DRILL-6489,TRUE,FALSE,Major,74011,00d20h33m31,0
DRILL-1177,TRUE,FALSE,Minor,339937,03d22h25m37,0
DRILL-1171,TRUE,FALSE,Major,3431975,39d17h19m35,0
DRILL-4410,TRUE,FALSE,Major,1190141,13d18h35m41,0
DRILL-1172,FALSE,FALSE,Major,616989,07d03h23m09,0
DRILL-1178,FALSE,FALSE,Major,2231287,25d19h48m07,0
DRILL-6486,TRUE,FALSE,Major,953834,11d00h57m14,1
DRILL-6487,FALSE,FALSE,Major,373172,04d07h39m32,0
DRILL-1368,TRUE,FALSE,Major,2501176,28d22h46m16,0
DRILL-3198,TRUE,TRUE,Major,1813357,20d23h42m37,0
DRILL-456,FALSE,FALSE,Major,2091423,24d04h57m03,0
DRILL-1212,FALSE,FALSE,Major,122043,01d09h54m03,0
DRILL-5208,FALSE,FALSE,Minor,3640793,42d03h19m53,0
DRILL-1214,TRUE,FALSE,Major,805014,09d07h36m54,0
DRILL-1216,FALSE,FALSE,Major,728033,08d10h13m53,0
DRILL-1703,FALSE,FALSE,Major,890,00d00h14m50,0
DRILL-2923,TRUE,FALSE,Major,2355945,27d06h25m45,0
DRILL-1219,FALSE,FALSE,Minor,17569408,203d08h23m28,0
DRILL-2927,FALSE,FALSE,Major,566031,06d13h13m51,0
DRILL-1700,FALSE,FALSE,Blocker,4140796,47d22h13m16,1
DRILL-2503,FALSE,TRUE,Critical,29490,00d08h11m30,0
DRILL-6797,TRUE,FALSE,Major,69471,00d19h17m51,0
DRILL-6793,FALSE,FALSE,Major,589213,06d19h40m13,0
DRILL-6596,FALSE,FALSE,Major,92858,01d01h47m38,0
DRILL-1364,FALSE,FALSE,Blocker,165800,01d22h03m20,0
DRILL-1365,TRUE,FALSE,Major,144669,01d16h11m09,0
DRILL-4246,TRUE,FALSE,Blocker,1365440,15d19h17m20,0
DRILL-5849,FALSE,FALSE,Major,446791,05d04h06m31,0
DRILL-5845,TRUE,FALSE,Major,1619379,18d17h49m39,0
DRILL-2816,FALSE,FALSE,Major,1882542,21d18h55m42,0
DRILL-2815,FALSE,FALSE,Minor,9414133,108d23h02m13,0
DRILL-2813,FALSE,FALSE,Major,172249,01d23h50m49,0
DRILL-1369,FALSE,FALSE,Major,159,00d00h02m39,0
DRILL-2811,FALSE,FALSE,Blocker,1536476,17d18h47m56,1
DRILL-6867,FALSE,FALSE,Minor,558258,06d11h04m18,0
DRILL-6865,TRUE,FALSE,Critical,449229,05d04h47m09,0
DRILL-6863,TRUE,FALSE,Major,787250,09d02h40m50,0
DRILL-6861,FALSE,FALSE,Blocker,65397,00d18h09m57,0
DRILL-5830,TRUE,TRUE,Major,1024231,11d20h30m31,0
DRILL-1016,FALSE,FALSE,Major,176970,02d01h09m30,0
DRILL-6463,FALSE,FALSE,Major,448508,05d04h35m08,0
DRILL-6467,FALSE,FALSE,Trivial,126070,01d11h01m10,0
DRILL-913,FALSE,FALSE,Minor,105903,01d05h25m03,0
DRILL-660,FALSE,FALSE,Major,3090956,35d18h35m56,0
DRILL-3326,FALSE,FALSE,Major,438291,05d01h44m51,0
DRILL-3455,FALSE,TRUE,Major,5556377,64d07h26m17,0
DRILL-914,FALSE,FALSE,Major,507195,05d20h53m15,0
DRILL-3458,TRUE,FALSE,Major,6095002,70d13h03m22,0
DRILL-3328,FALSE,FALSE,Critical,516376,05d23h26m16,0
DRILL-918,FALSE,FALSE,Major,96931,01d02h55m31,0
DRILL-1780,FALSE,FALSE,Major,503066,05d19h44m26,0
DRILL-1781,TRUE,TRUE,Blocker,525128,06d01h52m08,0
DRILL-1787,FALSE,FALSE,Major,327592,03d18h59m52,0
DRILL-264,FALSE,FALSE,Major,2692117,31d03h48m37,0
DRILL-1788,TRUE,FALSE,Major,1407716,16d07h01m56,0
DRILL-266,TRUE,FALSE,Major,1640755,18d23h45m55,0
DRILL-263,TRUE,FALSE,Major,2693177,31d04h06m17,0
DRILL-1549,FALSE,FALSE,Major,180640,02d02h10m40,0
DRILL-3218,TRUE,FALSE,Major,1125745,13d00h42m25,1
DRILL-3216,TRUE,TRUE,Major,1661815,19d05h36m55,0
DRILL-1545,FALSE,FALSE,Critical,17540652,203d00h24m12,0
DRILL-3215,TRUE,FALSE,Major,875980,10d03h19m40,0
DRILL-1541,TRUE,FALSE,Major,155339,01d19h08m59,0
DRILL-3210,FALSE,FALSE,Major,2405382,27d20h09m42,0
DRILL-1543,TRUE,FALSE,Major,1102975,12d18h22m55,0
DRILL-4938,TRUE,FALSE,Minor,5484307,63d11h25m07,0
DRILL-2038,FALSE,FALSE,Critical,2539723,29d09h28m43,0
DRILL-2034,TRUE,FALSE,Major,46526,00d12h55m26,0
DRILL-4930,FALSE,FALSE,Minor,754904,08d17h41m44,0
DRILL-2036,FALSE,FALSE,Critical,9509948,110d01h39m08,0
