BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
EAGLE-673,TRUE,FALSE,Major,1913,00d00h31m53,0
EAGLE-675,TRUE,FALSE,Major,1307542,15d03h12m22,0
EAGLE-674,TRUE,FALSE,Major,128,00d00h02m08,0
EAGLE-466,FALSE,FALSE,Major,5851,00d01h37m31,0
EAGLE-679,FALSE,FALSE,Major,23302,00d06h28m22,0
EAGLE-148,FALSE,FALSE,Major,8128,00d02h15m28,0
EAGLE-273,FALSE,FALSE,Major,4171374,48d06h42m54,0
EAGLE-173,FALSE,FALSE,Minor,9572154,110d18h55m54,1
EAGLE-279,FALSE,FALSE,Minor,71994083,833d06h21m23,0
EAGLE-869,TRUE,FALSE,Major,9811547,113d13h25m47,0
EAGLE-30,FALSE,FALSE,Major,8530035,98d17h27m15,1
EAGLE-865,FALSE,FALSE,Minor,33348606,385d23h30m06,0
EAGLE-860,TRUE,FALSE,Minor,513100,05d22h31m40,0
EAGLE-289,FALSE,FALSE,Major,65120,00d18h05m20,0
EAGLE-297,FALSE,FALSE,Major,2949910,34d03h25m10,1
EAGLE-971,TRUE,FALSE,Major,4114511,47d14h55m11,0
EAGLE-977,TRUE,FALSE,Major,3683705,42d15h15m05,0
EAGLE-602,FALSE,FALSE,Major,1365892,15d19h24m52,0
EAGLE-978,FALSE,FALSE,Major,3673926,42d12h32m06,0
EAGLE-608,FALSE,FALSE,Major,20261,00d05h37m41,0
EAGLE-609,FALSE,FALSE,Major,75011,00d20h50m11,0
EAGLE-662,FALSE,FALSE,Major,8726,00d02h25m26,0
EAGLE-660,FALSE,FALSE,Major,12136,00d03h22m16,0
EAGLE-661,FALSE,FALSE,Major,418557,04d20h15m57,0
EAGLE-418,FALSE,FALSE,Major,5861504,67d20h11m44,0
EAGLE-785,FALSE,FALSE,Major,14992977,173d12h42m57,0
EAGLE-554,TRUE,FALSE,Major,1545453,17d21h17m33,0
EAGLE-28,FALSE,FALSE,Minor,8797932,101d19h52m12,1
EAGLE-781,TRUE,FALSE,Minor,164545,01d21h42m25,0
EAGLE-782,FALSE,FALSE,Major,5093618,58d22h53m38,0
EAGLE-300,FALSE,FALSE,Major,12608764,145d22h26m04,1
EAGLE-304,TRUE,FALSE,Critical,601754,06d23h09m14,0
EAGLE-141,FALSE,FALSE,Minor,1854628,21d11h10m28,0
EAGLE-892,FALSE,FALSE,Minor,283997,03d06h53m17,0
EAGLE-1082,FALSE,FALSE,Major,136965,01d14h02m45,0
EAGLE-897,FALSE,FALSE,Major,1641687,19d00h01m27,0
EAGLE-819,TRUE,FALSE,Major,578451,06d16h40m51,0
EAGLE-1008,FALSE,FALSE,Major,1867195,21d14h39m55,0
EAGLE-1009,FALSE,FALSE,Major,699178,08d02h12m58,0
EAGLE-941,FALSE,FALSE,Major,7576,00d02h06m16,0
