BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
EMPIREDB-206,FALSE,FALSE,Major,3582,00d00h59m42,0
EMPIREDB-205,FALSE,FALSE,Major,1531133,17d17h18m53,0
EMPIREDB-202,FALSE,FALSE,Major,13350913,154d12h35m13,0
EMPIREDB-201,FALSE,FALSE,Minor,18977948,219d15h39m08,0
EMPIREDB-208,TRUE,FALSE,Major,2589605,29d23h20m05,0
EMPIREDB-128,FALSE,FALSE,Minor,10523,00d02h55m23,0
EMPIREDB-122,TRUE,FALSE,Critical,342260,03d23h04m20,0
EMPIREDB-286,FALSE,FALSE,Trivial,330,00d00h05m30,0
EMPIREDB-120,FALSE,FALSE,Minor,955,00d00h15m55,0
EMPIREDB-121,FALSE,FALSE,Minor,88589,01d00h36m29,0
EMPIREDB-283,TRUE,FALSE,Major,1399339,16d04h42m19,0
EMPIREDB-125,FALSE,FALSE,Minor,86566991,1001d22h23m11,0
EMPIREDB-57,FALSE,FALSE,Major,477,00d00h07m57,0
EMPIREDB-56,FALSE,FALSE,Minor,1471,00d00h24m31,0
EMPIREDB-50,FALSE,FALSE,Minor,424303,04d21h51m43,0
EMPIREDB-59,FALSE,FALSE,Major,18057,00d05h00m57,0
EMPIREDB-232,TRUE,FALSE,Major,33009256,382d01h14m16,0
EMPIREDB-230,FALSE,FALSE,Minor,1584205,18d08h03m25,0
EMPIREDB-236,TRUE,FALSE,Major,189,00d00h03m09,0
EMPIREDB-239,TRUE,FALSE,Minor,10034211,116d03h16m51,0
EMPIREDB-135,TRUE,FALSE,Major,356029,04d02h53m49,0
EMPIREDB-136,TRUE,FALSE,Major,68890,00d19h08m10,0
EMPIREDB-130,FALSE,FALSE,Minor,209,00d00h03m29,0
EMPIREDB-132,TRUE,FALSE,Major,1137089,13d03h51m29,0
EMPIREDB-44,FALSE,FALSE,Major,213,00d00h03m33,0
EMPIREDB-46,FALSE,FALSE,Major,544,00d00h09m04,0
EMPIREDB-48,FALSE,FALSE,Major,13996,00d03h53m16,0
EMPIREDB-49,FALSE,FALSE,Major,96374,01d02h46m14,0
EMPIREDB-226,FALSE,FALSE,Minor,9264,00d02h34m24,1
EMPIREDB-223,TRUE,FALSE,Minor,297,00d00h04m57,0
EMPIREDB-302,FALSE,FALSE,Minor,226,00d00h03m46,0
EMPIREDB-146,TRUE,FALSE,Major,15996,00d04h26m36,0
EMPIREDB-147,TRUE,FALSE,Major,3116995,36d01h49m55,1
EMPIREDB-70,FALSE,FALSE,Minor,1635351,18d22h15m51,0
EMPIREDB-76,FALSE,FALSE,Major,4109,00d01h08m29,0
EMPIREDB-250,TRUE,FALSE,Critical,59450749,688d02h05m49,0
EMPIREDB-255,TRUE,FALSE,Major,609870,07d01h24m30,0
EMPIREDB-153,TRUE,FALSE,Major,283058,03d06h37m38,0
EMPIREDB-197,FALSE,FALSE,Major,79544,00d22h05m44,0
EMPIREDB-151,TRUE,FALSE,Minor,5977,00d01h39m37,0
EMPIREDB-155,FALSE,FALSE,Major,15459413,178d22h16m53,0
EMPIREDB-154,TRUE,FALSE,Major,4988848,57d17h47m28,1
EMPIREDB-60,FALSE,FALSE,Major,27805105,321d19h38m25,0
EMPIREDB-210,FALSE,FALSE,Minor,171610,01d23h40m10,0
EMPIREDB-9,FALSE,FALSE,Major,1127417,13d01h10m17,0
EMPIREDB-248,FALSE,FALSE,Major,1194,00d00h19m54,0
EMPIREDB-241,FALSE,FALSE,Major,22477,00d06h14m37,0
EMPIREDB-240,TRUE,FALSE,Minor,394,00d00h06m34,0
EMPIREDB-246,FALSE,FALSE,Minor,351,00d00h05m51,0
EMPIREDB-4,TRUE,FALSE,Major,1462,00d00h24m22,0
EMPIREDB-166,FALSE,FALSE,Minor,3102932,35d21h55m32,0
EMPIREDB-280,FALSE,FALSE,Minor,186280,02d03h44m40,0
EMPIREDB-160,TRUE,FALSE,Minor,997866,11d13h11m06,0
EMPIREDB-161,TRUE,FALSE,Major,3797139,43d22h45m39,0
EMPIREDB-93,FALSE,FALSE,Trivial,167,00d00h02m47,0
EMPIREDB-90,FALSE,FALSE,Minor,511023,05d21h57m03,0
EMPIREDB-19,FALSE,FALSE,Minor,263,00d00h04m23,0
EMPIREDB-18,FALSE,FALSE,Minor,138,00d00h02m18,0
EMPIREDB-11,FALSE,FALSE,Major,358786,04d03h39m46,0
EMPIREDB-17,FALSE,FALSE,Minor,1041400,12d01h16m40,0
EMPIREDB-16,FALSE,FALSE,Minor,1423768,16d11h29m28,0
