BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ETCH-80,FALSE,FALSE,Critical,16142104,186d19h55m04,0
ETCH-164,FALSE,FALSE,Minor,193214,02d05h40m14,0
ETCH-165,FALSE,FALSE,Major,10254492,118d16h28m12,1
ETCH-210,FALSE,FALSE,Trivial,14578,00d04h02m58,0
ETCH-160,FALSE,FALSE,Minor,90134,01d01h02m14,0
ETCH-161,FALSE,FALSE,Minor,144612,01d16h10m12,0
ETCH-276,FALSE,FALSE,Trivial,1195471,13d20h04m31,0
ETCH-277,FALSE,FALSE,Major,1104790,12d18h53m10,0
ETCH-275,FALSE,FALSE,Major,1195630,13d20h07m10,0
ETCH-272,FALSE,FALSE,Blocker,4107,00d01h08m27,0
ETCH-273,FALSE,FALSE,Major,4741887,54d21h11m27,0
ETCH-270,FALSE,FALSE,Major,9001799,104d04h29m59,0
ETCH-23,FALSE,FALSE,Major,522,00d00h08m42,0
ETCH-26,FALSE,FALSE,Major,91272844,1056d09h34m04,0
ETCH-27,TRUE,FALSE,Major,502781,05d19h39m41,0
ETCH-24,FALSE,FALSE,Major,3891128,45d00h52m08,0
ETCH-25,FALSE,FALSE,Minor,547086,06d07h58m06,0
ETCH-28,FALSE,FALSE,Major,415283,04d19h21m23,0
ETCH-189,FALSE,FALSE,Major,3009786,34d20h03m06,0
ETCH-278,FALSE,FALSE,Critical,9660533,111d19h28m53,0
ETCH-69,FALSE,FALSE,Minor,939981,10d21h06m21,0
ETCH-287,FALSE,FALSE,Blocker,2845914,32d22h31m54,0
ETCH-280,FALSE,FALSE,Major,238061,02d18h07m41,0
ETCH-119,FALSE,FALSE,Minor,700232,08d02h30m32,0
ETCH-171,FALSE,FALSE,Minor,316,00d00h05m16,0
ETCH-116,FALSE,FALSE,Minor,81,00d00h01m21,0
ETCH-114,FALSE,FALSE,Major,1723898,19d22h51m38,0
ETCH-6,FALSE,FALSE,Major,1237303,14d07h41m43,0
ETCH-262,FALSE,FALSE,Major,13557418,156d21h56m58,0
ETCH-156,FALSE,FALSE,Major,58892,00d16h21m32,0
ETCH-155,FALSE,FALSE,Major,364,00d00h06m04,0
ETCH-267,FALSE,FALSE,Major,13193892,152d16h58m12,0
ETCH-209,FALSE,FALSE,Major,48972411,566d19h26m51,0
ETCH-117,FALSE,FALSE,Major,243,00d00h04m03,0
ETCH-31,FALSE,FALSE,Trivial,84505,00d23h28m25,0
ETCH-8,FALSE,FALSE,Major,711873,08d05h44m33,0
ETCH-57,FALSE,FALSE,Minor,59,00d00h00m59,0
ETCH-56,FALSE,FALSE,Minor,493,00d00h08m13,0
ETCH-18,FALSE,FALSE,Major,951117,11d00h11m57,0
ETCH-77,FALSE,FALSE,Minor,25864,00d07h11m04,0
ETCH-76,FALSE,FALSE,Major,28881,00d08h01m21,0
ETCH-11,TRUE,FALSE,Major,1396538,16d03h55m38,0
ETCH-290,FALSE,FALSE,Critical,1192593,13d19h16m33,0
ETCH-291,FALSE,FALSE,Minor,151107,01d17h58m27,0
ETCH-108,FALSE,FALSE,Minor,1147440,13d06h44m00,0
ETCH-109,TRUE,FALSE,Major,15055235,174d06h00m35,0
ETCH-106,FALSE,FALSE,Major,1147513,13d06h45m13,0
ETCH-107,FALSE,FALSE,Major,428451,04d23h00m51,0
