BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
FALCON-871,FALSE,FALSE,Major,3534,00d00h58m54,0
FALCON-976,FALSE,FALSE,Major,70270,00d19h31m10,0
FALCON-1819,FALSE,FALSE,Major,668972,07d17h49m32,0
FALCON-944,TRUE,FALSE,Major,5807744,67d05h15m44,0
FALCON-943,TRUE,FALSE,Major,952122,11d00h28m42,0
FALCON-940,FALSE,FALSE,Major,90678,01d01h11m18,0
FALCON-2324,TRUE,FALSE,Major,433763,05d00h29m23,0
FALCON-2325,FALSE,FALSE,Major,425847,04d22h17m27,0
FALCON-1811,FALSE,FALSE,Major,1893090,21d21h51m30,0
FALCON-2327,FALSE,FALSE,Major,857670,09d22h14m30,0
FALCON-1816,FALSE,FALSE,Major,64754,00d17h59m14,0
FALCON-948,TRUE,FALSE,Major,578670,06d16h44m30,0
FALCON-1462,TRUE,FALSE,Minor,734205,08d11h56m45,0
FALCON-1461,FALSE,FALSE,Major,80630,00d22h23m50,0
FALCON-1465,FALSE,FALSE,Major,48051,00d13h20m51,0
FALCON-1218,FALSE,FALSE,Major,410484,04d18h01m24,0
FALCON-1216,TRUE,FALSE,Major,601299,06d23h01m39,0
FALCON-1359,FALSE,FALSE,Major,628960,07d06h42m40,0
FALCON-79,FALSE,FALSE,Trivial,1032288,11d22h44m48,0
FALCON-71,FALSE,FALSE,Major,1558410,18d00h53m30,0
FALCON-72,TRUE,FALSE,Major,974389,11d06h39m49,0
FALCON-1606,FALSE,FALSE,Minor,321151,03d17h12m31,0
FALCON-839,FALSE,FALSE,Critical,88495,01d00h34m55,0
FALCON-1605,FALSE,FALSE,Major,316975,03d16h02m55,0
FALCON-1603,FALSE,FALSE,Critical,66159,00d18h22m39,0
FALCON-833,FALSE,FALSE,Major,204819,02d08h53m39,0
FALCON-832,FALSE,FALSE,Major,60291,00d16h44m51,0
FALCON-831,TRUE,FALSE,Major,376309,04d08h31m49,0
FALCON-835,FALSE,FALSE,Major,64398,00d17h53m18,0
FALCON-933,FALSE,FALSE,Major,9514501,110d02h55m01,0
FALCON-423,FALSE,FALSE,Major,18629551,215d14h52m31,0
FALCON-937,FALSE,FALSE,Major,317846,03d16h17m26,0
FALCON-426,FALSE,FALSE,Major,7452,00d02h04m12,0
FALCON-935,FALSE,FALSE,Major,1799947,20d19h59m07,0
FALCON-2259,TRUE,FALSE,Major,150362,01d17h46m02,0
FALCON-939,FALSE,FALSE,Major,8515,00d02h21m55,0
FALCON-945,FALSE,FALSE,Critical,1662288,19d05h44m48,0
FALCON-1928,FALSE,FALSE,Major,267229,03d02h13m49,0
FALCON-1925,FALSE,FALSE,Major,51445,00d14h17m25,0
FALCON-1924,FALSE,FALSE,Major,120684,01d09h31m24,0
FALCON-1541,FALSE,FALSE,Major,491397,05d16h29m57,0
FALCON-1072,FALSE,FALSE,Major,348439,04d00h47m19,0
FALCON-1074,FALSE,FALSE,Major,112876,01d07h21m16,1
FALCON-2326,FALSE,FALSE,Major,245041,02d20h04m01,0
FALCON-1677,FALSE,TRUE,Major,2093266,24d05h27m46,0
FALCON-681,TRUE,FALSE,Major,7499,00d02h04m59,0
FALCON-1675,FALSE,FALSE,Major,2302091,26d15h28m11,0
FALCON-1674,TRUE,FALSE,Blocker,1556443,18d00h20m43,0
FALCON-727,FALSE,FALSE,Major,6968,00d01h56m08,0
FALCON-726,FALSE,FALSE,Critical,43510,00d12h05m10,0
FALCON-1678,TRUE,FALSE,Major,1828441,21d03h54m01,0
FALCON-723,FALSE,FALSE,Major,100932,01d04h02m12,0
FALCON-2321,TRUE,FALSE,Major,431508,04d23h51m48,0
FALCON-336,FALSE,FALSE,Critical,9689,00d02h41m29,0
FALCON-330,FALSE,FALSE,Major,3468,00d00h57m48,0
FALCON-331,FALSE,FALSE,Major,76128,00d21h08m48,0
FALCON-332,FALSE,FALSE,Critical,1894049,21d22h07m29,0
FALCON-333,FALSE,FALSE,Minor,11586,00d03h13m06,0
FALCON-338,TRUE,FALSE,Major,15703881,181d18h11m21,2
FALCON-2104,TRUE,FALSE,Critical,348390,04d00h46m30,0
FALCON-2107,FALSE,FALSE,Blocker,4487,00d01h14m47,0
FALCON-2100,FALSE,FALSE,Major,2821,00d00h47m01,0
FALCON-2101,FALSE,FALSE,Major,3697,00d01h01m37,0
FALCON-1438,TRUE,FALSE,Major,56286,00d15h38m06,0
FALCON-2108,FALSE,FALSE,Blocker,46310,00d12h51m50,0
FALCON-1787,FALSE,FALSE,Major,661517,07d15h45m17,0
FALCON-611,FALSE,FALSE,Blocker,233733,02d16h55m33,0
FALCON-1784,TRUE,FALSE,Major,1708987,19d18h43m07,0
FALCON-1783,TRUE,FALSE,Major,1118923,12d22h48m43,0
