BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
FELIX-3839,FALSE,FALSE,Major,9410,00d02h36m50,0
FELIX-3838,FALSE,FALSE,Major,1026219,11d21h03m39,0
FELIX-3836,FALSE,FALSE,Major,61136614,707d14h23m34,0
FELIX-2054,FALSE,FALSE,Major,100,00d00h01m40,0
FELIX-2056,FALSE,FALSE,Major,514321,05d22h52m01,0
FELIX-2050,FALSE,FALSE,Major,68,00d00h01m08,0
FELIX-2052,TRUE,FALSE,Major,25879,00d07h11m19,0
FELIX-2053,FALSE,FALSE,Major,12335,00d03h25m35,0
FELIX-4293,TRUE,FALSE,Major,32234,00d08h57m14,0
FELIX-4917,TRUE,FALSE,Major,839464,09d17h11m04,0
FELIX-4916,FALSE,FALSE,Major,16540,00d04h35m40,0
FELIX-3635,FALSE,FALSE,Major,422859,04d21h27m39,0
FELIX-4914,TRUE,TRUE,Major,617492,07d03h31m32,0
FELIX-4913,TRUE,FALSE,Major,52629,00d14h37m09,0
FELIX-3632,FALSE,FALSE,Minor,8669933,100d08h18m53,0
FELIX-4910,TRUE,FALSE,Major,289510,03d08h25m10,0
FELIX-2230,FALSE,FALSE,Minor,69217,00d19h13m37,0
FELIX-2231,TRUE,FALSE,Major,7512308,86d22h45m08,1
FELIX-2232,FALSE,FALSE,Major,89,00d00h01m29,0
FELIX-2233,FALSE,FALSE,Major,1200,00d00h20m00,0
FELIX-2235,FALSE,FALSE,Major,3637,00d01h00m37,0
FELIX-3639,FALSE,FALSE,Major,810500,09d09h08m20,1
FELIX-4496,FALSE,FALSE,Major,911952,10d13h19m12,0
FELIX-4494,TRUE,FALSE,Major,9447,00d02h37m27,0
FELIX-99,TRUE,FALSE,Major,80579,00d22h22m59,0
FELIX-4471,FALSE,FALSE,Major,98,00d00h01m38,0
FELIX-2545,TRUE,FALSE,Minor,313,00d00h05m13,0
FELIX-2542,FALSE,FALSE,Minor,534044,06d04h20m44,0
FELIX-4686,FALSE,FALSE,Major,310273,03d14h11m13,0
FELIX-4681,FALSE,FALSE,Major,162,00d00h02m42,0
FELIX-3498,FALSE,FALSE,Minor,7066424,81d18h53m44,0
FELIX-5769,FALSE,FALSE,Major,70536,00d19h35m36,0
FELIX-3493,FALSE,FALSE,Minor,3691599,42d17h26m39,0
FELIX-3492,FALSE,FALSE,Major,315069,03d15h31m09,0
FELIX-3497,FALSE,FALSE,Major,34557963,399d23h26m03,0
FELIX-96,FALSE,FALSE,Major,430016,04d23h26m56,0
FELIX-3495,FALSE,FALSE,Major,14608070,169d01h47m50,0
FELIX-3121,FALSE,FALSE,Major,4914,00d01h21m54,0
FELIX-3127,FALSE,FALSE,Major,318,00d00h05m18,0
FELIX-3126,FALSE,FALSE,Major,1677239,19d09h53m59,0
FELIX-2308,TRUE,FALSE,Critical,2921,00d00h48m41,0
FELIX-2309,TRUE,FALSE,Major,2641,00d00h44m01,0
FELIX-2304,FALSE,FALSE,Major,500,00d00h08m20,0
FELIX-2305,FALSE,FALSE,Major,851,00d00h14m11,0
FELIX-2306,TRUE,FALSE,Major,4134560,47d20h29m20,0
FELIX-2302,FALSE,FALSE,Major,3722,00d01h02m02,0
FELIX-4462,FALSE,FALSE,Major,6449,00d01h47m29,1
FELIX-4460,FALSE,FALSE,Major,373639,04d07h47m19,0
FELIX-4467,TRUE,FALSE,Major,41726476,482d22h41m16,1
FELIX-3306,FALSE,FALSE,Major,13147729,152d04h08m49,0
FELIX-4464,FALSE,FALSE,Major,3640545,42d03h15m45,0
FELIX-4428,FALSE,FALSE,Major,5550087,64d05h41m27,0
FELIX-4469,FALSE,FALSE,Major,2723916,31d12h38m36,0
FELIX-4468,FALSE,FALSE,Major,44141432,510d21h30m32,0
FELIX-650,FALSE,FALSE,Major,271886,03d03h31m26,0
FELIX-152,FALSE,FALSE,Major,19603,00d05h26m43,0
FELIX-4869,TRUE,FALSE,Major,58453,00d16h14m13,0
FELIX-4867,TRUE,FALSE,Major,6277,00d01h44m37,0
FELIX-4863,TRUE,FALSE,Major,441090,05d02h31m30,0
FELIX-4862,FALSE,FALSE,Major,63766,00d17h42m46,0
FELIX-3548,FALSE,FALSE,Major,1294894,14d23h41m34,0
FELIX-4049,FALSE,FALSE,Major,920289,10d15h38m09,0
FELIX-4048,TRUE,FALSE,Major,274619,03d04h16m59,0
FELIX-4047,FALSE,FALSE,Major,928286,10d17h51m26,0
FELIX-4046,FALSE,FALSE,Major,1905,00d00h31m45,0
FELIX-3013,TRUE,FALSE,Minor,12618,00d03h30m18,0
FELIX-3012,FALSE,FALSE,Major,1099038,12d17h17m18,0
FELIX-3010,TRUE,FALSE,Major,2004225,23d04h43m45,0
FELIX-5316,FALSE,FALSE,Major,34221,00d09h30m21,0
FELIX-5315,TRUE,FALSE,Major,88212,01d00h30m12,0
FELIX-5318,TRUE,FALSE,Minor,44857,00d12h27m37,0
FELIX-5319,FALSE,FALSE,Minor,11040,00d03h04m00,0
FELIX-4261,TRUE,FALSE,Major,138,00d00h02m18,0
FELIX-4260,TRUE,FALSE,Blocker,157099510,1818d06h45m10,0
FELIX-4268,TRUE,FALSE,Major,14197,00d03h56m37,0
FELIX-3005,TRUE,FALSE,Minor,109,00d00h01m49,0
FELIX-5799,FALSE,FALSE,Major,745737,08d15h08m57,0
FELIX-5794,FALSE,FALSE,Major,8410771,97d08h19m31,0
FELIX-4247,TRUE,FALSE,Major,410691,04d18h04m51,0
FELIX-4530,FALSE,FALSE,Critical,4036632,46d17h17m12,0
FELIX-5402,FALSE,FALSE,Minor,817,00d00h13m37,0
FELIX-5400,TRUE,FALSE,Minor,857,00d00h14m17,0
FELIX-5401,TRUE,FALSE,Minor,230,00d00h03m50,0
FELIX-5223,FALSE,FALSE,Major,4890609,56d14h30m09,0
FELIX-5220,FALSE,FALSE,Major,595,00d00h09m55,0
FELIX-4311,FALSE,FALSE,Minor,135584081,1569d06h14m41,1
FELIX-4310,FALSE,FALSE,Major,1675,00d00h27m55,0
FELIX-4313,FALSE,FALSE,Minor,603713,06d23h41m53,0
FELIX-4312,TRUE,FALSE,Minor,528,00d00h08m48,0
FELIX-4314,TRUE,FALSE,Major,14969,00d04h09m29,0
FELIX-5229,TRUE,FALSE,Major,16346,00d04h32m26,0
FELIX-1609,FALSE,FALSE,Minor,13499,00d03h44m59,0
FELIX-3789,FALSE,FALSE,Major,1696457,19d15h14m17,0
FELIX-109,FALSE,FALSE,Major,2323354,26d21h22m34,0
FELIX-108,FALSE,FALSE,Minor,64804584,750d01h16m24,0
FELIX-105,FALSE,FALSE,Major,5953,00d01h39m13,0
FELIX-106,FALSE,FALSE,Minor,32649427,377d21h17m07,0
FELIX-103,TRUE,FALSE,Major,56875,00d15h47m55,0
FELIX-5133,FALSE,FALSE,Major,30595440,354d02h44m00,0
FELIX-5131,FALSE,FALSE,Major,7948628,91d23h57m08,0
FELIX-5136,FALSE,FALSE,Major,164249,01d21h37m29,0
FELIX-5137,FALSE,FALSE,Major,25108,00d06h58m28,0
FELIX-5135,TRUE,FALSE,Major,106278,01d05h31m18,0
FELIX-2836,FALSE,FALSE,Major,59,00d00h00m59,0
FELIX-2835,FALSE,TRUE,Major,957301,11d01h55m01,0
FELIX-2832,FALSE,FALSE,Minor,1074006,12d10h20m06,1
FELIX-2830,FALSE,FALSE,Minor,202,00d00h03m22,0
FELIX-1961,FALSE,FALSE,Major,361,00d00h06m01,0
FELIX-1965,TRUE,FALSE,Major,65988,00d18h19m48,0
FELIX-1964,FALSE,FALSE,Major,159,00d00h02m39,0
FELIX-611,FALSE,FALSE,Major,4215305,48d18h55m05,0
FELIX-612,FALSE,FALSE,Major,4217309,48d19h28m29,0
FELIX-617,FALSE,FALSE,Major,1530,00d00h25m30,0
FELIX-619,FALSE,FALSE,Minor,37257122,431d05h12m02,1
FELIX-2948,FALSE,FALSE,Major,538886,06d05h41m26,0
FELIX-2942,FALSE,FALSE,Critical,725301,08d09h28m21,0
FELIX-2943,FALSE,FALSE,Major,1886,00d00h31m26,0
FELIX-1567,FALSE,FALSE,Major,1966,00d00h32m46,0
FELIX-2941,FALSE,FALSE,Major,6294,00d01h44m54,0
FELIX-2944,FALSE,FALSE,Minor,2245320,25d23h42m00,0
FELIX-2945,FALSE,FALSE,Major,244393,02d19h53m13,0
FELIX-1130,FALSE,FALSE,Major,382254,04d10h10m54,0
FELIX-926,FALSE,FALSE,Minor,385224,04d11h00m24,0
FELIX-489,FALSE,FALSE,Major,222191,02d13h43m11,0
FELIX-1899,FALSE,FALSE,Minor,297,00d00h04m57,0
FELIX-724,FALSE,FALSE,Major,264467,03d01h27m47,0
FELIX-3947,TRUE,FALSE,Major,372,00d00h06m12,0
FELIX-3946,FALSE,FALSE,Major,714,00d00h11m54,0
FELIX-3941,FALSE,FALSE,Major,329,00d00h05m29,0
FELIX-3940,FALSE,FALSE,Major,94,00d00h01m34,0
FELIX-1787,FALSE,FALSE,Major,1819,00d00h30m19,0
FELIX-1786,FALSE,FALSE,Major,9647,00d02h40m47,0
FELIX-1789,TRUE,FALSE,Major,4240739,49d01h58m59,0
FELIX-1788,FALSE,FALSE,Major,1989,00d00h33m09,0
FELIX-729,FALSE,FALSE,Major,668784,07d17h46m24,1
FELIX-5930,TRUE,FALSE,Major,2978,00d00h49m38,0
FELIX-1411,FALSE,FALSE,Major,1282839,14d20h20m39,0
FELIX-1413,FALSE,FALSE,Major,290270,03d08h37m50,0
FELIX-1415,FALSE,FALSE,Major,110935,01d06h48m55,0
FELIX-1146,FALSE,FALSE,Minor,8626793,99d20h19m53,0
FELIX-1416,TRUE,FALSE,Major,2502,00d00h41m42,0
FELIX-1148,TRUE,FALSE,Major,9771784,113d02h23m04,0
FELIX-3637,FALSE,FALSE,Major,3636795,42d02h13m15,0
FELIX-5426,TRUE,FALSE,Major,266973,03d02h09m33,0
FELIX-3636,TRUE,FALSE,Major,13297453,153d21h44m13,0
FELIX-484,TRUE,FALSE,Major,7905216,91d11h53m36,0
FELIX-3803,FALSE,FALSE,Major,884010,10d05h33m30,0
FELIX-3633,FALSE,FALSE,Major,80401370,930d13h42m50,0
FELIX-5541,FALSE,TRUE,Major,15297,00d04h14m57,0
FELIX-439,FALSE,FALSE,Major,807,00d00h13m27,0
FELIX-438,FALSE,FALSE,Major,6937110,80d06h58m30,0
FELIX-4438,FALSE,FALSE,Major,72,00d00h01m12,0
FELIX-2043,FALSE,FALSE,Minor,1125,00d00h18m45,0
FELIX-435,TRUE,FALSE,Major,398,00d00h06m38,0
FELIX-434,TRUE,FALSE,Major,9239341,106d22h29m01,0
FELIX-437,FALSE,FALSE,Minor,1454793,16d20h06m33,0
FELIX-2044,TRUE,FALSE,Major,272,00d00h04m32,0
FELIX-6033,FALSE,TRUE,Major,71407,00d19h50m07,0
FELIX-6030,TRUE,TRUE,Major,521561,06d00h52m41,0
FELIX-6031,FALSE,FALSE,Critical,99527,01d03h38m47,0
FELIX-6036,TRUE,FALSE,Major,162603,01d21h10m03,0
FELIX-4440,FALSE,FALSE,Major,5927210,68d14h26m50,0
FELIX-5544,TRUE,FALSE,Major,3156,00d00h52m36,0
FELIX-3735,TRUE,FALSE,Major,12260,00d03h24m20,0
FELIX-279,TRUE,FALSE,Major,1037192,12d00h06m32,0
FELIX-3730,FALSE,FALSE,Major,66,00d00h01m06,0
FELIX-2222,FALSE,FALSE,Major,10410,00d02h53m30,0
FELIX-2221,TRUE,FALSE,Major,214,00d00h03m34,0
FELIX-4670,TRUE,FALSE,Major,156972,01d19h36m12,0
FELIX-2556,FALSE,FALSE,Minor,4339809,50d05h30m09,0
FELIX-5754,FALSE,FALSE,Critical,445433,05d03h43m53,0
FELIX-3153,FALSE,FALSE,Major,15216,00d04h13m36,0
FELIX-3150,FALSE,FALSE,Minor,340187,03d22h29m47,0
FELIX-2313,FALSE,FALSE,Major,61424,00d17h03m44,0
FELIX-2311,TRUE,FALSE,Major,71,00d00h01m11,0
FELIX-2317,FALSE,FALSE,Major,707962,08d04h39m22,0
FELIX-3790,FALSE,FALSE,Major,6076020,70d07h47m00,0
FELIX-2319,FALSE,FALSE,Major,346,00d00h05m46,0
FELIX-3793,FALSE,FALSE,Major,1093,00d00h18m13,0
FELIX-3795,FALSE,FALSE,Major,1090,00d00h18m10,0
FELIX-4416,FALSE,FALSE,Major,113250330,1310d18h25m30,0
FELIX-3374,TRUE,FALSE,Major,3451945,39d22h52m25,0
FELIX-4412,TRUE,FALSE,Minor,46237606,535d03h46m46,1
FELIX-3373,FALSE,FALSE,Major,943587,10d22h06m27,0
FELIX-4419,TRUE,FALSE,Major,1577043,18d06h04m03,0
FELIX-4785,TRUE,FALSE,Major,1295428,14d23h50m28,1
FELIX-4783,TRUE,FALSE,Major,5492,00d01h31m32,1
FELIX-4789,TRUE,FALSE,Major,6257,00d01h44m17,0
FELIX-4892,FALSE,FALSE,Major,941,00d00h15m41,0
FELIX-4897,FALSE,FALSE,Major,40113,00d11h08m33,0
FELIX-4070,TRUE,FALSE,Major,12936272,149d17h24m32,0
FELIX-4071,FALSE,FALSE,Major,17271285,199d21h34m45,0
FELIX-4072,TRUE,FALSE,Major,59478,00d16h31m18,0
FELIX-4074,FALSE,FALSE,Major,12354,00d03h25m54,0
FELIX-4075,TRUE,FALSE,Major,247727,02d20h48m47,0
FELIX-4076,FALSE,FALSE,Major,464,00d00h07m44,0
FELIX-4077,FALSE,FALSE,Major,253,00d00h04m13,0
FELIX-4078,FALSE,FALSE,Major,353,00d00h05m53,0
FELIX-3576,TRUE,FALSE,Major,9547705,110d12h08m25,2
FELIX-3570,FALSE,FALSE,Minor,1531878,17d17h31m18,0
FELIX-3573,FALSE,FALSE,Minor,85921,00d23h52m01,0
FELIX-5301,TRUE,FALSE,Major,11678,00d03h14m38,0
FELIX-5300,FALSE,FALSE,Major,1261,00d00h21m01,0
FELIX-5302,FALSE,FALSE,Major,156786,01d19h33m06,0
FELIX-5305,TRUE,FALSE,Major,2584828,29d22h00m28,0
FELIX-5304,FALSE,FALSE,Major,273,00d00h04m33,0
FELIX-5306,FALSE,FALSE,Major,36257974,419d15h39m34,0
FELIX-5309,TRUE,FALSE,Major,3007096,34d19h18m16,0
FELIX-4251,TRUE,FALSE,Major,419026,04d20h23m46,0
FELIX-5582,FALSE,FALSE,Minor,37,00d00h00m37,0
FELIX-3206,FALSE,FALSE,Major,1783642,20d15h27m22,0
FELIX-3207,FALSE,FALSE,Major,1057383,12d05h43m03,1
FELIX-4524,FALSE,FALSE,Major,58008,00d16h06m48,0
FELIX-3205,FALSE,FALSE,Minor,1124933,13d00h28m53,1
FELIX-2548,FALSE,FALSE,Minor,8962,00d02h29m22,0
FELIX-4093,TRUE,FALSE,Major,2036,00d00h33m56,0
FELIX-4090,FALSE,FALSE,Minor,4708,00d01h18m28,0
FELIX-4091,FALSE,FALSE,Major,9248,00d02h34m08,0
FELIX-4096,FALSE,FALSE,Major,28571,00d07h56m11,0
FELIX-5789,TRUE,FALSE,Major,515635,05d23h13m55,0
FELIX-5787,FALSE,FALSE,Major,331,00d00h05m31,0
FELIX-5781,FALSE,FALSE,Major,111,00d00h01m51,0
FELIX-5419,FALSE,TRUE,Major,2697378,31d05h16m18,0
FELIX-5414,FALSE,FALSE,Major,8052107,93d04h41m47,0
FELIX-5416,FALSE,FALSE,Major,18671927,216d02h38m47,0
FELIX-5411,TRUE,FALSE,Major,141,00d00h02m21,0
FELIX-5412,TRUE,FALSE,Major,24479643,283d07h54m03,0
FELIX-5234,FALSE,FALSE,Major,255,00d00h04m15,0
FELIX-5236,TRUE,FALSE,Major,124545,01d10h35m45,0
FELIX-5231,FALSE,FALSE,Major,1855,00d00h30m55,0
FELIX-5230,FALSE,FALSE,Major,13338,00d03h42m18,0
FELIX-4325,FALSE,FALSE,Major,254,00d00h04m14,0
FELIX-4326,FALSE,FALSE,Major,3483,00d00h58m03,0
FELIX-4322,FALSE,FALSE,Major,22388520,259d03h02m00,0
FELIX-4323,TRUE,FALSE,Major,70861,00d19h41m01,0
FELIX-1273,FALSE,FALSE,Trivial,38,00d00h00m38,0
FELIX-1319,FALSE,FALSE,Major,1636,00d00h27m16,0
FELIX-5120,TRUE,FALSE,Minor,9740,00d02h42m20,0
FELIX-5122,FALSE,FALSE,Major,1555,00d00h25m55,0
FELIX-5125,FALSE,FALSE,Major,59788727,691d23h58m47,0
FELIX-2825,FALSE,FALSE,Major,140498,01d15h01m38,0
FELIX-2824,TRUE,FALSE,Major,23130,00d06h25m30,0
FELIX-2821,TRUE,FALSE,Major,20302,00d05h38m22,0
FELIX-2820,FALSE,FALSE,Major,12280624,142d03h17m04,0
FELIX-2823,FALSE,FALSE,Major,868,00d00h14m28,0
