BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
FLINK-5556,TRUE,FALSE,Minor,85290,00d23h41m30,0
FLINK-1336,TRUE,FALSE,Critical,7262,00d02h01m02,0
FLINK-5553,FALSE,FALSE,Major,2331936,26d23h45m36,0
FLINK-9068,FALSE,FALSE,Minor,1149907,13d07h25m07,0
FLINK-7777,FALSE,FALSE,Minor,8590981,99d10h23m01,0
FLINK-7774,FALSE,FALSE,Major,791398,09d03h49m58,0
FLINK-7772,FALSE,FALSE,Critical,2860714,33d02h38m34,1
FLINK-2806,FALSE,FALSE,Minor,454964,05d06h22m44,0
FLINK-2805,TRUE,FALSE,Major,1547702,17d21h55m02,0
FLINK-10991,FALSE,FALSE,Major,501428,05d19h17m08,0
FLINK-10990,FALSE,FALSE,Minor,429266,04d23h14m26,0
FLINK-10220,FALSE,FALSE,Critical,5039977,58d07h59m37,0
FLINK-5955,FALSE,TRUE,Major,39254,00d10h54m14,0
FLINK-10997,FALSE,FALSE,Major,1120402,12d23h13m22,0
FLINK-10998,TRUE,FALSE,Major,333936,03d20h45m36,0
FLINK-3381,FALSE,FALSE,Critical,886963,10d06h22m43,0
FLINK-4411,FALSE,FALSE,Minor,6063,00d01h41m03,0
FLINK-3385,FALSE,FALSE,Blocker,1084532,12d13h15m32,0
FLINK-13452,TRUE,FALSE,Blocker,826969,09d13h42m49,0
FLINK-9857,FALSE,FALSE,Blocker,98477,01d03h21m17,0
FLINK-3472,FALSE,FALSE,Minor,1710550,19d19h09m10,0
FLINK-4777,FALSE,FALSE,Critical,226377,02d14h52m57,0
FLINK-3478,FALSE,FALSE,Blocker,91872,01d01h31m12,0
FLINK-4774,TRUE,FALSE,Major,594131,06d21h02m11,0
FLINK-4394,FALSE,FALSE,Major,23723,00d06h35m23,0
FLINK-10756,TRUE,FALSE,Critical,11348678,131d08h24m38,0
FLINK-10753,FALSE,FALSE,Major,957855,11d02h04m15,0
FLINK-4152,TRUE,FALSE,Major,1822295,21d02h11m35,0
FLINK-7609,FALSE,FALSE,Major,909371,10d12h36m11,0
FLINK-4157,FALSE,FALSE,Critical,442597,05d02h56m37,0
FLINK-4155,TRUE,FALSE,Major,12087731,139d21h42m11,0
FLINK-4154,FALSE,FALSE,Blocker,519404,06d00h16m44,0
FLINK-7600,FALSE,FALSE,Minor,16049585,185d18h13m05,1
FLINK-11119,FALSE,FALSE,Major,2171805,25d03h16m45,0
FLINK-13308,FALSE,FALSE,Blocker,168295,01d22h44m55,0
FLINK-5824,TRUE,FALSE,Blocker,1809107,20d22h31m47,0
FLINK-5827,FALSE,FALSE,Major,1145143,13d06h05m43,0
FLINK-4801,TRUE,FALSE,Major,3016108,34d21h48m28,0
FLINK-4556,TRUE,FALSE,Blocker,1898681,21d23h24m41,0
FLINK-3274,FALSE,FALSE,Major,286443,03d07h34m03,0
FLINK-5828,FALSE,FALSE,Major,229006,02d15h36m46,0
FLINK-4804,TRUE,FALSE,Major,827540,09d13h52m20,1
FLINK-3271,FALSE,FALSE,Major,1822215,21d02h10m15,0
FLINK-5608,FALSE,FALSE,Minor,749403,08d16h10m03,0
FLINK-9398,FALSE,FALSE,Major,2188450,25d07h54m10,0
FLINK-9397,TRUE,FALSE,Major,50803,00d14h06m43,0
FLINK-5602,TRUE,FALSE,Major,344505,03d23h41m45,0
FLINK-10379,FALSE,FALSE,Critical,1716446,19d20h47m26,0
FLINK-10376,FALSE,FALSE,Critical,339794,03d22h23m14,0
FLINK-10826,FALSE,FALSE,Critical,341340,03d22h49m00,0
FLINK-8067,FALSE,FALSE,Minor,19622904,227d02h48m24,0
FLINK-996,FALSE,FALSE,Major,97918,01d03h11m58,0
FLINK-990,FALSE,FALSE,Major,324162,03d18h02m42,0
FLINK-5739,FALSE,FALSE,Major,1015372,11d18h02m52,0
FLINK-4788,TRUE,FALSE,Blocker,26954,00d07h29m14,0
FLINK-2199,FALSE,FALSE,Major,81094,00d22h31m34,0
FLINK-1255,FALSE,FALSE,Major,8298787,96d01h13m07,0
FLINK-1254,FALSE,FALSE,Major,12149,00d03h22m29,0
FLINK-1253,FALSE,FALSE,Minor,14827,00d04h07m07,0
FLINK-5040,TRUE,FALSE,Major,142544,01d15h35m44,0
FLINK-1250,FALSE,FALSE,Major,11892,00d03h18m12,0
FLINK-5048,TRUE,FALSE,Blocker,10862091,125d17h14m51,0
FLINK-6634,FALSE,FALSE,Major,21341,00d05h55m41,0
FLINK-6639,FALSE,FALSE,Major,31742,00d08h49m02,0
FLINK-8274,FALSE,FALSE,Critical,7287781,84d08h23m01,0
FLINK-8275,TRUE,FALSE,Blocker,4360758,50d11h19m18,0
FLINK-1652,TRUE,FALSE,Major,1179917,13d15h45m17,1
FLINK-8278,FALSE,FALSE,Major,727916,08d10h11m56,0
FLINK-1650,FALSE,FALSE,Major,1972399,22d19h53m19,1
FLINK-1656,TRUE,FALSE,Critical,2451970,28d09h06m10,0
FLINK-1654,FALSE,FALSE,Trivial,570886,06d14h34m46,0
FLINK-1385,TRUE,FALSE,Major,1124145,13d00h15m45,0
FLINK-1384,FALSE,FALSE,Minor,697526,08d01h45m26,0
FLINK-1386,FALSE,FALSE,Major,9896,00d02h44m56,0
FLINK-1381,TRUE,FALSE,Minor,1396145,16d03h49m05,0
FLINK-1382,FALSE,FALSE,Minor,786055,09d02h20m55,0
FLINK-3579,FALSE,FALSE,Minor,3296898,38d03h48m18,0
FLINK-4076,FALSE,FALSE,Minor,591827,06d20h23m47,0
FLINK-8402,TRUE,FALSE,Critical,8876825,102d17h47m05,0
FLINK-9011,FALSE,FALSE,Blocker,2837983,32d20h19m43,0
FLINK-4132,FALSE,FALSE,Minor,107922,01d05h58m42,0
FLINK-6704,FALSE,FALSE,Minor,154034,01d18h47m14,0
FLINK-6702,TRUE,FALSE,Major,170906,01d23h28m26,0
FLINK-2109,TRUE,FALSE,Major,61349,00d17h02m29,1
FLINK-1031,FALSE,FALSE,Critical,5693,00d01h34m53,0
FLINK-7839,FALSE,FALSE,Major,660077,07d15h21m17,0
FLINK-8385,FALSE,FALSE,Major,2595645,30d01h00m45,0
FLINK-8383,FALSE,FALSE,Critical,3818489,44d04h41m29,0
FLINK-1817,FALSE,FALSE,Major,445354,05d03h42m34,0
FLINK-1816,TRUE,FALSE,Major,21085,00d05h51m25,0
FLINK-13279,TRUE,FALSE,Blocker,1251730,14d11h42m10,0
FLINK-8388,FALSE,FALSE,Major,11869,00d03h17m49,0
FLINK-13501,FALSE,FALSE,Critical,1291839,14d22h50m39,0
FLINK-13059,FALSE,FALSE,Major,5435148,62d21h45m48,0
FLINK-13057,FALSE,FALSE,Major,697066,08d01h37m46,0
FLINK-13508,FALSE,FALSE,Critical,431806,04d23h56m46,0
FLINK-13875,FALSE,FALSE,Major,91797,01d01h29m57,0
FLINK-7943,TRUE,FALSE,Major,1839075,21d06h51m15,1
FLINK-2134,FALSE,FALSE,Major,160689,01d20h38m09,0
FLINK-2133,TRUE,FALSE,Major,291106,03d08h51m46,0
FLINK-12453,FALSE,FALSE,Major,22275,00d06h11m15,0
FLINK-2130,FALSE,FALSE,Major,131400,01d12h30m00,0
FLINK-6415,FALSE,FALSE,Major,413334,04d18h48m54,0
FLINK-6416,FALSE,FALSE,Minor,1740082,20d03h21m22,0
FLINK-8657,FALSE,FALSE,Minor,428778,04d23h06m18,0
FLINK-1721,FALSE,FALSE,Major,170396,01d23h19m56,0
FLINK-8499,TRUE,FALSE,Blocker,93922,01d02h05m22,0
FLINK-4398,TRUE,FALSE,Major,6811871,78d20h11m11,0
FLINK-8492,FALSE,FALSE,Major,692726,08d00h25m26,0
FLINK-13476,FALSE,FALSE,Blocker,497855,05d18h17m35,0
FLINK-8496,FALSE,FALSE,Major,686078,07d22h34m38,0
FLINK-1204,FALSE,FALSE,Major,861274,09d23h14m34,0
FLINK-6896,FALSE,FALSE,Major,700249,08d02h30m49,0
FLINK-8406,TRUE,FALSE,Blocker,1237729,14d07h48m49,0
FLINK-3242,TRUE,FALSE,Blocker,1139238,13d04h27m18,0
FLINK-3206,FALSE,FALSE,Major,1299371,15d00h56m11,0
FLINK-7385,TRUE,FALSE,Blocker,18703340,216d11h22m20,1
FLINK-1206,FALSE,FALSE,Minor,6561161,75d22h32m41,0
FLINK-2879,FALSE,FALSE,Minor,2418600,27d23h50m00,0
FLINK-2392,TRUE,FALSE,Critical,31539102,365d00h51m42,0
FLINK-2391,FALSE,FALSE,Major,641853,07d10h17m33,0
FLINK-2394,FALSE,FALSE,Major,3013267,34d21h01m07,0
FLINK-3863,FALSE,FALSE,Minor,3862265,44d16h51m05,0
FLINK-3860,FALSE,FALSE,Major,92864,01d01h47m44,0
FLINK-3713,TRUE,FALSE,Major,8831980,102d05h19m40,0
FLINK-3864,FALSE,FALSE,Major,4573346,52d22h22m26,0
FLINK-3718,TRUE,FALSE,Major,1046067,12d02h34m27,0
FLINK-2622,TRUE,FALSE,Major,9350646,108d05h24m06,0
FLINK-2625,TRUE,FALSE,Minor,174998,02d00h36m38,0
FLINK-2624,TRUE,FALSE,Major,34917766,404d03h22m46,0
FLINK-9635,TRUE,FALSE,Critical,11500213,133d02h30m13,1
FLINK-2872,FALSE,FALSE,Minor,100074,01d03h47m54,0
FLINK-4150,TRUE,FALSE,Blocker,1804103,20d21h08m23,0
FLINK-8729,FALSE,FALSE,Minor,1365318,15d19h15m18,0
FLINK-10487,TRUE,FALSE,Major,398309,04d14h38m29,0
FLINK-6564,FALSE,FALSE,Blocker,50635,00d14h03m55,0
FLINK-13699,TRUE,FALSE,Critical,564561,06d12h49m21,0
FLINK-12051,FALSE,FALSE,Critical,82010,00d22h46m50,0
FLINK-6560,FALSE,FALSE,Critical,1739880,20d03h18m00,0
FLINK-6561,TRUE,FALSE,Trivial,94919,01d02h21m59,0
FLINK-6562,FALSE,FALSE,Major,70573,00d19h36m13,0
FLINK-11897,FALSE,FALSE,Critical,1920482,22d05h28m02,0
FLINK-7161,FALSE,FALSE,Major,237530,02d17h58m50,0
FLINK-7166,FALSE,FALSE,Major,1830721,21d04h32m01,0
FLINK-2404,FALSE,FALSE,Major,369737,04d06h42m17,0
FLINK-1631,TRUE,FALSE,Major,95633,01d02h33m53,0
FLINK-11235,TRUE,FALSE,Major,162129,01d21h02m09,0
FLINK-11234,FALSE,FALSE,Minor,373270,04d07h41m10,0
FLINK-6964,TRUE,FALSE,Blocker,2419660,28d00h07m40,1
FLINK-11232,FALSE,FALSE,Major,946651,10d22h57m31,0
FLINK-4092,FALSE,FALSE,Major,263402,03d01h10m02,0
FLINK-12907,FALSE,FALSE,Blocker,40277,00d11h11m17,0
FLINK-4159,FALSE,FALSE,Minor,604112,06d23h48m32,0
FLINK-10192,TRUE,FALSE,Major,581444,06d17h30m44,0
FLINK-4945,FALSE,FALSE,Minor,510102,05d21h41m42,0
FLINK-11901,FALSE,FALSE,Blocker,11491,00d03h11m31,0
FLINK-11902,FALSE,FALSE,Major,73142,00d20h19m02,0
FLINK-12636,FALSE,FALSE,Major,102018,01d04h20m18,0
FLINK-7547,FALSE,FALSE,Minor,2647761,30d15h29m21,0
FLINK-12635,TRUE,FALSE,Major,102347,01d04h25m47,0
FLINK-2713,TRUE,FALSE,Major,162265,01d21h04m25,0
FLINK-9524,FALSE,FALSE,Major,1967156,22d18h25m56,0
FLINK-2711,FALSE,FALSE,Major,172462,01d23h54m22,0
FLINK-9526,FALSE,FALSE,Critical,36225478,419d06h37m58,0
FLINK-4012,FALSE,FALSE,Trivial,1627690,18d20h08m10,0
FLINK-11583,TRUE,FALSE,Major,103490,01d04h44m50,0
FLINK-4011,FALSE,FALSE,Critical,504573,05d20h09m33,0
FLINK-11585,FALSE,FALSE,Major,68110,00d18h55m10,0
FLINK-11584,FALSE,FALSE,Major,6689,00d01h51m29,1
FLINK-3043,FALSE,FALSE,Major,65943,00d18h19m03,0
FLINK-7764,TRUE,FALSE,Major,13662579,158d03h09m39,1
FLINK-5164,TRUE,FALSE,Major,1118892,12d22h48m12,0
FLINK-7761,FALSE,FALSE,Major,442246,05d02h50m46,0
FLINK-7763,FALSE,FALSE,Blocker,13670885,158d05h28m05,1
FLINK-10987,FALSE,FALSE,Blocker,535975,06d04h52m55,0
FLINK-5945,TRUE,FALSE,Major,91255,01d01h20m55,0
FLINK-12830,FALSE,FALSE,Major,3306,00d00h55m06,0
FLINK-10983,FALSE,FALSE,Major,25743,00d07h09m03,0
FLINK-10980,FALSE,FALSE,Minor,19081,00d05h18m01,0
FLINK-5940,TRUE,FALSE,Major,1097026,12d16h43m46,0
FLINK-3440,TRUE,FALSE,Blocker,434880,05d00h48m00,0
FLINK-4494,TRUE,FALSE,Major,2499381,28d22h16m21,0
FLINK-3444,TRUE,FALSE,Major,4712228,54d12h57m08,0
FLINK-5949,FALSE,FALSE,Blocker,1076904,12d11h08m24,0
FLINK-5948,FALSE,FALSE,Minor,37636,00d10h27m16,0
FLINK-4708,FALSE,FALSE,Major,13706,00d03h48m26,0
FLINK-4709,TRUE,FALSE,Major,566654,06d13h24m14,0
FLINK-4702,TRUE,FALSE,Blocker,243644,02d19h40m44,0
FLINK-4700,TRUE,FALSE,Major,713519,08d06h11m59,0
