BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
FLUME-759,FALSE,FALSE,Major,683244,07d21h47m24,0
FLUME-758,FALSE,FALSE,Major,187977,02d04h12m57,0
FLUME-697,FALSE,TRUE,Critical,155715,01d19h15m15,0
FLUME-1671,FALSE,FALSE,Major,70249,00d19h30m49,0
FLUME-1673,FALSE,FALSE,Major,97748,01d03h09m08,0
FLUME-1676,FALSE,FALSE,Major,3630853,42d00h34m13,0
FLUME-2786,FALSE,FALSE,Blocker,78870531,912d20h28m51,0
FLUME-1679,FALSE,FALSE,Major,35005750,405d03h49m10,0
FLUME-593,TRUE,FALSE,Major,1543637,17d20h47m17,0
FLUME-2023,FALSE,FALSE,Major,37048,00d10h17m28,0
FLUME-2024,FALSE,FALSE,Major,35799991,414d08h26m31,0
FLUME-2025,FALSE,FALSE,Major,4215757,48d19h02m37,0
FLUME-1175,FALSE,FALSE,Critical,18858808,218d06h33m28,0
FLUME-2027,FALSE,FALSE,Major,895591,10d08h46m31,0
FLUME-2142,FALSE,FALSE,Major,329326,03d19h28m46,0
FLUME-1070,FALSE,FALSE,Major,438660,05d01h51m00,0
FLUME-1620,FALSE,FALSE,Major,1122245,12d23h44m05,0
FLUME-1074,TRUE,FALSE,Major,338694,03d22h04m54,0
FLUME-1075,FALSE,FALSE,Major,329898,03d19h38m18,0
FLUME-2148,FALSE,TRUE,Major,53222431,616d00h00m31,0
FLUME-94,FALSE,FALSE,Minor,784521,09d01h55m21,0
FLUME-1374,TRUE,FALSE,Major,9886,00d02h44m46,0
FLUME-224,FALSE,FALSE,Major,1148934,13d07h08m54,0
FLUME-99,FALSE,FALSE,Trivial,13147058,152d03h57m38,0
FLUME-53,TRUE,FALSE,Blocker,1904713,22d01h05m13,0
FLUME-1824,FALSE,FALSE,Major,43116,00d11h58m36,0
FLUME-1820,FALSE,FALSE,Major,34882,00d09h41m22,0
FLUME-1823,FALSE,FALSE,Major,10440078,120d20h01m18,0
FLUME-1822,FALSE,FALSE,Major,5727013,66d06h50m13,0
FLUME-55,FALSE,FALSE,Critical,695405,08d01h10m05,0
FLUME-624,FALSE,TRUE,Major,152713,01d18h25m13,0
FLUME-623,FALSE,FALSE,Major,153568,01d18h39m28,0
FLUME-1828,TRUE,FALSE,Major,295375,03d10h02m55,0
FLUME-620,TRUE,FALSE,Major,5052483,58d11h28m03,0
FLUME-2738,FALSE,FALSE,Major,147990,01d17h06m30,0
FLUME-2734,TRUE,FALSE,Major,7603422,88d00h03m42,0
FLUME-883,TRUE,FALSE,Major,23761,00d06h36m01,0
FLUME-2732,FALSE,FALSE,Major,444765,05d03h32m45,0
FLUME-1184,FALSE,FALSE,Major,100341,01d03h52m21,0
FLUME-1182,FALSE,FALSE,Major,402,00d00h06m42,0
FLUME-1180,FALSE,FALSE,Major,62673,00d17h24m33,0
FLUME-1181,TRUE,FALSE,Major,132444,01d12h47m24,0
FLUME-302,TRUE,TRUE,Major,142479,01d15h34m39,0
FLUME-347,FALSE,FALSE,Major,8501,00d02h21m41,0
FLUME-1188,FALSE,FALSE,Major,39628,00d11h00m28,0
FLUME-2325,FALSE,FALSE,Minor,49072,00d13h37m52,0
FLUME-2324,FALSE,FALSE,Major,964907,11d04h01m47,0
FLUME-2323,FALSE,FALSE,Major,1295457,14d23h50m57,0
FLUME-2320,FALSE,FALSE,Major,1355278,15d16h27m58,0
FLUME-1128,FALSE,FALSE,Minor,1204000,13d22h26m40,0
FLUME-2329,FALSE,FALSE,Major,695137,08d01h05m37,0
FLUME-2328,FALSE,FALSE,Major,722064,08d08h34m24,0
FLUME-3131,FALSE,FALSE,Critical,3119413,36d02h30m13,0
FLUME-1958,FALSE,FALSE,Major,269963,03d02h59m23,0
FLUME-3133,TRUE,FALSE,Major,41658192,482d03h43m12,0
FLUME-3132,FALSE,FALSE,Critical,3118880,36d02h21m20,0
FLUME-3135,FALSE,FALSE,Minor,20995,00d05h49m55,0
FLUME-2556,FALSE,FALSE,Major,2576473,29d19h41m13,0
FLUME-2557,TRUE,FALSE,Major,121641,01d09h47m21,0
FLUME-2652,FALSE,FALSE,Minor,1812372,20d23h26m12,0
FLUME-2657,FALSE,FALSE,Major,7929,00d02h12m09,0
FLUME-1389,FALSE,FALSE,Major,776144,08d23h35m44,0
FLUME-1221,FALSE,FALSE,Minor,666964,07d17h16m04,0
FLUME-2654,FALSE,FALSE,Minor,513162,05d22h32m42,0
FLUME-807,TRUE,FALSE,Major,3382,00d00h56m22,0
FLUME-806,FALSE,FALSE,Blocker,3784,00d01h03m04,0
FLUME-805,FALSE,FALSE,Major,2129551,24d15h32m31,0
FLUME-1595,FALSE,FALSE,Major,3525,00d00h58m45,0
FLUME-1428,FALSE,FALSE,Major,1729449,20d00h24m09,0
FLUME-1177,FALSE,FALSE,Minor,442938,05d03h02m18,0
FLUME-311,FALSE,FALSE,Major,86021,00d23h53m41,0
FLUME-809,FALSE,FALSE,Major,79,00d00h01m19,0
FLUME-1751,FALSE,FALSE,Major,1385,00d00h23m05,0
FLUME-1750,FALSE,FALSE,Major,2221,00d00h37m01,0
FLUME-2026,FALSE,FALSE,Major,4986531,57d17h08m51,0
FLUME-1755,FALSE,FALSE,Major,649013,07d12h16m53,0
FLUME-222,FALSE,FALSE,Major,1182946,13d16h35m46,0
FLUME-1690,TRUE,FALSE,Major,141741,01d15h22m21,0
FLUME-2191,FALSE,FALSE,Blocker,1750898,20d06h21m38,0
FLUME-2192,FALSE,FALSE,Major,3567886,41d07h04m46,0
FLUME-152,FALSE,FALSE,Major,1146940,13d06h35m40,0
FLUME-1204,FALSE,FALSE,Blocker,3572668,41d08h24m28,0
FLUME-2198,FALSE,FALSE,Major,690872,07d23h54m32,0
FLUME-248,FALSE,FALSE,Critical,3220037,37d06h27m17,0
FLUME-2210,FALSE,FALSE,Major,1240177,14d08h29m37,0
FLUME-2673,FALSE,FALSE,Major,370,00d00h06m10,0
FLUME-2215,TRUE,FALSE,Critical,50835213,588d08h53m33,0
FLUME-2214,FALSE,FALSE,Major,42515976,492d01h59m36,0
FLUME-2350,FALSE,FALSE,Major,92133,01d01h35m33,0
FLUME-822,FALSE,FALSE,Blocker,2662494,30d19h34m54,0
FLUME-2357,TRUE,FALSE,Major,1650662,19d02h31m02,0
FLUME-827,FALSE,FALSE,Blocker,2754403,31d21h06m43,0
FLUME-2425,FALSE,FALSE,Major,3199113,37d00h38m33,0
FLUME-1310,FALSE,FALSE,Major,1563909,18d02h25m09,0
FLUME-2420,FALSE,FALSE,Major,5496002,63d14h40m02,0
FLUME-1316,TRUE,FALSE,Major,904549,10d11h15m49,0
FLUME-1315,TRUE,FALSE,Major,240874,02d18h54m34,0
FLUME-3222,FALSE,FALSE,Major,7783046,90d01h57m26,0
FLUME-1253,TRUE,FALSE,Major,875914,10d03h18m34,0
FLUME-1319,FALSE,FALSE,Major,20723,00d05h45m23,0
FLUME-70,FALSE,FALSE,Trivial,1509562,17d11h19m22,0
FLUME-1254,TRUE,FALSE,Major,67993,00d18h53m13,0
FLUME-2812,TRUE,FALSE,Critical,33469231,387d09h00m31,0
FLUME-234,FALSE,FALSE,Blocker,630203,07d07h03m23,0
FLUME-891,FALSE,FALSE,Blocker,360167,04d04h02m47,0
FLUME-2950,FALSE,FALSE,Major,20233,00d05h37m13,0
FLUME-2952,FALSE,FALSE,Major,166986,01d22h23m06,0
FLUME-1524,FALSE,FALSE,Major,963,00d00h16m03,0
FLUME-1525,FALSE,FALSE,Minor,1565,00d00h26m05,0
FLUME-337,FALSE,FALSE,Major,398220,04d14h37m00,0
FLUME-336,TRUE,FALSE,Major,667551,07d17h25m51,0
FLUME-333,FALSE,FALSE,Major,233277,02d16h47m57,0
FLUME-3101,FALSE,FALSE,Major,46608368,539d10h46m08,0
FLUME-1079,FALSE,FALSE,Minor,101321,01d04h08m41,0
FLUME-416,TRUE,FALSE,Blocker,708089,08d04h41m29,0
FLUME-411,TRUE,FALSE,Major,160223,01d20h30m23,0
FLUME-2626,FALSE,FALSE,Major,2063430,23d21h10m30,0
FLUME-1135,FALSE,FALSE,Major,398328,04d14h38m48,0
FLUME-2109,TRUE,FALSE,Major,3308425,38d07h00m25,0
FLUME-1965,FALSE,FALSE,Major,12533,00d03h28m53,0
FLUME-1036,TRUE,FALSE,Major,393454,04d13h17m34,1
FLUME-1037,TRUE,FALSE,Major,832816,09d15h20m16,0
FLUME-600,TRUE,FALSE,Minor,2383369,27d14h02m49,0
FLUME-1031,FALSE,FALSE,Major,311413,03d14h30m13,0
FLUME-483,FALSE,FALSE,Major,1271418,14d17h10m18,0
FLUME-482,FALSE,FALSE,Critical,3066207,35d11h43m27,0
FLUME-2620,FALSE,FALSE,Major,77328744,895d00h12m24,0
FLUME-523,FALSE,FALSE,Trivial,2391099,27d16h11m39,0
FLUME-669,FALSE,TRUE,Minor,95491,01d02h31m31,0
FLUME-662,FALSE,FALSE,Major,209624,02d10h13m44,0
FLUME-661,FALSE,FALSE,Major,229501,02d15h45m01,0
FLUME-667,FALSE,TRUE,Blocker,176181,02d00h56m21,0
FLUME-666,TRUE,FALSE,Major,998524,11d13h22m04,0
FLUME-1784,FALSE,FALSE,Minor,340034,03d22h27m14,0
FLUME-1785,FALSE,FALSE,Trivial,5955068,68d22h11m08,0
FLUME-706,TRUE,FALSE,Critical,3251112,37d15h05m12,0
FLUME-1787,FALSE,FALSE,Major,8166380,94d12h26m20,0
FLUME-1788,FALSE,FALSE,Minor,61792,00d17h09m52,0
FLUME-1789,FALSE,FALSE,Minor,140822,01d15h07m02,0
FLUME-2773,FALSE,FALSE,Major,2465460,28d12h51m00,0
FLUME-466,FALSE,FALSE,Minor,1593036,18d10h30m36,0
FLUME-1142,TRUE,FALSE,Minor,65504,00d18h11m44,0
FLUME-2072,TRUE,FALSE,Major,156757,01d19h32m37,0
FLUME-2172,FALSE,FALSE,Major,1997504,23d02h51m44,0
FLUME-1148,TRUE,FALSE,Major,27759,00d07h42m39,0
FLUME-1149,FALSE,FALSE,Major,7559,00d02h05m59,0
FLUME-2174,FALSE,FALSE,Major,24425,00d06h47m05,0
