BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
FOP-2699,FALSE,FALSE,Major,15025949,173d21h52m29,0
FOP-2693,FALSE,FALSE,Major,62730,00d17h25m30,0
FOP-2614,FALSE,FALSE,Major,25136242,290d22h17m22,1
FOP-2697,FALSE,FALSE,Major,622333,07d04h52m13,1
FOP-2707,FALSE,FALSE,Major,1903,00d00h31m43,0
FOP-2299,FALSE,FALSE,Major,3023314,34d23h48m34,0
FOP-2296,FALSE,FALSE,Major,3837402,44d09h56m42,0
FOP-2593,FALSE,FALSE,Major,413037,04d18h43m57,0
FOP-2594,FALSE,FALSE,Major,581,00d00h09m41,0
FOP-2798,FALSE,FALSE,Major,2070,00d00h34m30,0
FOP-2596,FALSE,FALSE,Major,311,00d00h05m11,0
FOP-2768,FALSE,FALSE,Major,144,00d00h02m24,0
FOP-2598,FALSE,FALSE,Blocker,27157716,314d07h48m36,0
FOP-2389,FALSE,FALSE,Minor,3873,00d01h04m33,0
FOP-2762,FALSE,FALSE,Major,50358794,582d20h33m14,0
FOP-2760,TRUE,FALSE,Major,1648,00d00h27m28,0
FOP-2446,FALSE,FALSE,Major,476,00d00h07m56,0
FOP-2447,FALSE,FALSE,Major,630,00d00h10m30,0
FOP-2215,TRUE,FALSE,Major,427928,04d22h52m08,0
FOP-2337,FALSE,FALSE,Major,7246548,83d20h55m48,0
FOP-2213,TRUE,FALSE,Major,49371089,571d10h11m29,0
FOP-2443,FALSE,FALSE,Major,69095122,799d17h05m22,1
FOP-2211,FALSE,FALSE,Major,131230446,1518d20h54m06,1
FOP-2797,FALSE,FALSE,Major,2386008,27d14h46m48,0
FOP-2608,TRUE,FALSE,Major,1219,00d00h20m19,0
FOP-2512,FALSE,FALSE,Major,10735240,124d06h00m40,0
FOP-2514,TRUE,FALSE,Major,113951427,1318d21h10m27,1
FOP-2847,TRUE,FALSE,Major,2476362,28d15h52m42,0
FOP-1801,FALSE,FALSE,Blocker,117427912,1359d02h51m52,0
FOP-2538,FALSE,FALSE,Major,269,00d00h04m29,0
FOP-2148,FALSE,FALSE,None,8762250,101d09h57m30,0
FOP-2821,TRUE,FALSE,Major,140,00d00h02m20,0
FOP-2822,TRUE,FALSE,Major,86,00d00h01m26,0
FOP-2823,TRUE,FALSE,Major,95,00d00h01m35,0
FOP-2827,TRUE,FALSE,Major,298,00d00h04m58,0
FOP-2107,FALSE,FALSE,None,35682639,412d23h50m39,0
FOP-2106,FALSE,FALSE,Blocker,36958428,427d18h13m48,0
FOP-2104,TRUE,FALSE,None,38173307,441d19h41m47,0
FOP-2586,FALSE,FALSE,Major,214,00d00h03m34,0
FOP-2752,TRUE,FALSE,Major,2052,00d00h34m12,0
FOP-2753,TRUE,FALSE,Major,7077,00d01h57m57,0
FOP-2581,FALSE,FALSE,Major,261817,03d00h43m37,0
FOP-2751,FALSE,FALSE,Major,15630,00d04h20m30,0
FOP-2756,TRUE,FALSE,Major,230,00d00h03m50,0
FOP-2025,FALSE,FALSE,None,150353228,1740d04h47m08,0
FOP-2755,FALSE,FALSE,Major,113,00d00h01m53,0
FOP-2223,FALSE,FALSE,Major,220544,02d13h15m44,0
FOP-2759,TRUE,FALSE,Major,298,00d00h04m58,0
FOP-2455,FALSE,FALSE,Major,23002100,266d05h28m20,0
FOP-2173,FALSE,FALSE,Major,11925,00d03h18m45,0
FOP-2224,FALSE,FALSE,Major,131810,01d12h36m50,0
FOP-2187,FALSE,FALSE,Major,98585,01d03h23m05,0
FOP-2340,FALSE,FALSE,Major,1333821,15d10h30m21,0
FOP-2509,FALSE,FALSE,Major,509,00d00h08m29,0
FOP-2508,TRUE,FALSE,Major,162,00d00h02m42,0
FOP-2345,TRUE,FALSE,Major,5872180,67d23h09m40,0
FOP-2530,FALSE,FALSE,Major,300,00d00h05m00,0
FOP-2346,TRUE,FALSE,Major,1336,00d00h22m16,0
FOP-2855,FALSE,FALSE,Trivial,10432347,120d17h52m27,0
FOP-2348,TRUE,FALSE,Major,30606158,354d05h42m38,0
FOP-2619,TRUE,FALSE,Major,1065,00d00h17m45,0
FOP-2856,FALSE,FALSE,Major,1378,00d00h22m58,0
FOP-2507,TRUE,FALSE,Major,163,00d00h02m43,0
FOP-2853,TRUE,FALSE,Major,1290,00d00h21m30,0
FOP-2504,TRUE,FALSE,Major,774037,08d23h00m37,0
FOP-2221,FALSE,FALSE,Major,10832750,125d09h05m50,1
FOP-1872,FALSE,FALSE,None,89924405,1040d19h00m05,0
FOP-2226,TRUE,TRUE,Major,567,00d00h09m27,0
FOP-2836,FALSE,FALSE,Major,351,00d00h05m51,0
FOP-2499,TRUE,FALSE,Major,1209167,13d23h52m47,0
FOP-2341,FALSE,FALSE,Critical,613247,07d02h20m47,1
FOP-2747,FALSE,FALSE,Major,102286,01d04h24m46,0
FOP-2740,TRUE,FALSE,Major,1227,00d00h20m27,0
FOP-2742,TRUE,FALSE,Major,2598,00d00h43m18,0
FOP-2420,FALSE,FALSE,Major,77199,00d21h26m39,0
FOP-2422,FALSE,FALSE,Major,76299740,883d02h22m20,1
FOP-2203,FALSE,FALSE,Major,2511,00d00h41m51,0
FOP-1749,FALSE,FALSE,None,122711497,1420d06h31m37,0
FOP-2336,FALSE,FALSE,Major,7252687,83d22h38m07,0
FOP-2625,TRUE,FALSE,Minor,23496852,271d22h54m12,1
FOP-2620,TRUE,FALSE,Major,13593,00d03h46m33,0
FOP-2537,FALSE,FALSE,Major,361,00d00h06m01,0
FOP-2532,TRUE,FALSE,Major,48287737,558d21h15m37,1
FOP-2339,FALSE,FALSE,Major,4784495,55d09h01m35,0
FOP-2628,FALSE,FALSE,Trivial,58023391,671d13h36m31,1
FOP-2498,FALSE,FALSE,Major,1463,00d00h24m23,0
FOP-2474,FALSE,FALSE,Major,365741,04d05h35m41,0
FOP-2805,FALSE,FALSE,Minor,142799,01d15h39m59,0
FOP-2802,TRUE,FALSE,Major,2761,00d00h46m01,0
FOP-2800,TRUE,FALSE,Major,129,00d00h02m09,0
FOP-2406,TRUE,FALSE,Major,17688772,204d17h32m52,1
FOP-2177,FALSE,FALSE,Minor,5494737,63d14h18m57,0
