BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
FTPSERVER-404,FALSE,FALSE,Major,8527848,98d16h50m48,0
FTPSERVER-41,TRUE,FALSE,Minor,9065143,104d22h05m43,0
FTPSERVER-153,FALSE,FALSE,Major,96,00d00h01m36,0
FTPSERVER-248,TRUE,FALSE,Major,236,00d00h03m56,0
FTPSERVER-246,FALSE,FALSE,Major,627,00d00h10m27,0
FTPSERVER-242,TRUE,FALSE,Major,7814,00d02h10m14,0
FTPSERVER-241,FALSE,FALSE,Major,28506,00d07h55m06,0
FTPSERVER-175,FALSE,FALSE,Minor,72014,00d20h00m14,0
FTPSERVER-177,TRUE,FALSE,Critical,6632,00d01h50m32,0
FTPSERVER-171,FALSE,FALSE,Minor,30582,00d08h29m42,0
FTPSERVER-170,TRUE,FALSE,Major,5540337,64d02h58m57,0
FTPSERVER-363,FALSE,FALSE,Trivial,13592197,157d07h36m37,0
FTPSERVER-368,FALSE,FALSE,Major,719350,08d07h49m10,0
FTPSERVER-369,TRUE,FALSE,Major,1469494,17d00h11m34,0
FTPSERVER-228,TRUE,FALSE,Major,600585,06d22h49m45,0
FTPSERVER-418,TRUE,FALSE,Major,1829102,21d04h05m02,0
FTPSERVER-419,FALSE,FALSE,Major,342795,03d23h13m15,0
FTPSERVER-416,FALSE,FALSE,Minor,41976,00d11h39m36,0
FTPSERVER-414,TRUE,FALSE,Major,361955,04d04h32m35,0
FTPSERVER-415,FALSE,FALSE,Major,77259,00d21h27m39,0
FTPSERVER-412,FALSE,FALSE,Major,1092536,12d15h28m56,0
FTPSERVER-413,FALSE,FALSE,Major,167215,01d22h26m55,0
FTPSERVER-398,FALSE,FALSE,Major,61689,00d17h08m09,0
FTPSERVER-92,TRUE,FALSE,Major,301552,03d11h45m52,0
FTPSERVER-55,TRUE,FALSE,Major,1222,00d00h20m22,0
FTPSERVER-227,FALSE,FALSE,Major,579553,06d16h59m13,1
FTPSERVER-51,TRUE,FALSE,Major,85781,00d23h49m41,0
FTPSERVER-258,TRUE,FALSE,Major,234219,02d17h03m39,0
FTPSERVER-259,FALSE,FALSE,Major,195240,02d06h14m00,0
FTPSERVER-250,TRUE,FALSE,Major,255416,02d22h56m56,0
FTPSERVER-97,TRUE,FALSE,Major,4045081,46d19h38m01,0
FTPSERVER-254,FALSE,FALSE,Minor,11512,00d03h11m52,0
FTPSERVER-256,FALSE,FALSE,Major,313365,03d15h02m45,0
FTPSERVER-257,FALSE,FALSE,Major,311753,03d14h35m53,0
FTPSERVER-166,FALSE,FALSE,Minor,63392,00d17h36m32,0
FTPSERVER-164,FALSE,FALSE,Trivial,1178849,13d15h27m29,0
FTPSERVER-165,TRUE,FALSE,Minor,4521,00d01h15m21,0
FTPSERVER-163,TRUE,FALSE,Major,581,00d00h09m41,0
FTPSERVER-340,FALSE,FALSE,Major,4180,00d01h09m40,0
FTPSERVER-318,FALSE,FALSE,Minor,6861915,79d10h05m15,0
FTPSERVER-168,FALSE,FALSE,Major,623875,07d05h17m55,0
FTPSERVER-169,FALSE,FALSE,Major,5861,00d01h37m41,0
FTPSERVER-425,FALSE,FALSE,Minor,29764748,344d11h59m08,0
FTPSERVER-68,FALSE,FALSE,Minor,3270,00d00h54m30,0
FTPSERVER-383,TRUE,FALSE,Major,1401182,16d05h13m02,0
FTPSERVER-387,FALSE,FALSE,Major,391246,04d12h40m46,0
FTPSERVER-385,FALSE,FALSE,Major,317,00d00h05m17,0
FTPSERVER-302,TRUE,FALSE,Major,2091783,24d05h03m03,0
FTPSERVER-303,FALSE,FALSE,Major,463832,05d08h50m32,0
FTPSERVER-151,TRUE,FALSE,Major,253831,02d22h30m31,0
FTPSERVER-301,FALSE,FALSE,Major,1412215,16d08h16m55,0
FTPSERVER-307,FALSE,FALSE,Major,606,00d00h10m06,0
FTPSERVER-305,FALSE,FALSE,Major,854699,09d21h24m59,0
FTPSERVER-308,FALSE,TRUE,Major,579,00d00h09m39,0
FTPSERVER-226,FALSE,FALSE,Major,172835,02d00h00m35,0
FTPSERVER-220,FALSE,FALSE,Major,610752,07d01h39m12,1
FTPSERVER-431,TRUE,FALSE,Major,3026,00d00h50m26,0
FTPSERVER-279,FALSE,FALSE,Major,566526,06d13h22m06,0
FTPSERVER-75,FALSE,FALSE,Minor,5274,00d01h27m54,0
FTPSERVER-74,FALSE,FALSE,Minor,6792,00d01h53m12,0
FTPSERVER-76,FALSE,FALSE,Major,56113,00d15h35m13,0
FTPSERVER-71,FALSE,FALSE,Major,463,00d00h07m43,0
FTPSERVER-72,FALSE,FALSE,Major,205,00d00h03m25,0
FTPSERVER-78,FALSE,FALSE,Minor,29291,00d08h08m11,0
FTPSERVER-148,TRUE,FALSE,Major,39,00d00h00m39,0
FTPSERVER-144,TRUE,FALSE,Minor,79595,00d22h06m35,0
FTPSERVER-336,TRUE,FALSE,Major,11678091,135d03h54m51,0
FTPSERVER-147,TRUE,FALSE,Trivial,652,00d00h10m52,0
FTPSERVER-140,FALSE,FALSE,Minor,4322,00d01h12m02,0
FTPSERVER-332,FALSE,FALSE,Trivial,665058,07d16h44m18,0
FTPSERVER-330,FALSE,FALSE,Major,1401571,16d05h19m31,0
FTPSERVER-238,FALSE,FALSE,Major,11227,00d03h07m07,0
FTPSERVER-130,TRUE,FALSE,Major,79,00d00h01m19,0
FTPSERVER-232,TRUE,FALSE,Major,753977,08d17h26m17,1
FTPSERVER-233,FALSE,FALSE,Major,598909,06d22h21m49,0
FTPSERVER-230,FALSE,FALSE,Major,13089,00d03h38m09,0
FTPSERVER-231,TRUE,FALSE,Major,602550,06d23h22m30,1
FTPSERVER-91,TRUE,FALSE,Major,379680,04d09h28m00,0
FTPSERVER-131,FALSE,FALSE,Minor,511922,05d22h12m02,0
FTPSERVER-321,FALSE,FALSE,Trivial,2867840,33d04h37m20,0
FTPSERVER-135,FALSE,FALSE,Major,682782,07d21h39m42,0
FTPSERVER-134,TRUE,FALSE,Major,9786,00d02h43m06,0
FTPSERVER-326,FALSE,FALSE,Minor,2719120,31d11h18m40,0
FTPSERVER-136,TRUE,FALSE,Minor,14345449,166d00h50m49,0
FTPSERVER-209,FALSE,FALSE,Minor,82127,00d22h48m47,0
FTPSERVER-203,FALSE,FALSE,Minor,359399,04d03h49m59,0
FTPSERVER-206,FALSE,FALSE,Minor,3061,00d00h51m01,0
FTPSERVER-205,TRUE,FALSE,Major,2433130,28d03h52m10,0
FTPSERVER-204,FALSE,FALSE,Minor,160601,01d20h36m41,0
FTPSERVER-152,TRUE,FALSE,Major,1766382,20d10h39m42,0
FTPSERVER-172,TRUE,FALSE,Minor,16908,00d04h41m48,0
