BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
GEODE-6630,TRUE,FALSE,Major,702709,08d03h11m49,0
GEODE-1101,TRUE,FALSE,Major,86898,01d00h08m18,0
GEODE-1653,TRUE,FALSE,Major,12377912,143d06h18m32,0
GEODE-1657,FALSE,FALSE,Minor,15367916,177d20h51m56,0
GEODE-1656,FALSE,FALSE,Major,2760440,31d22h47m20,0
GEODE-1655,FALSE,FALSE,Major,774974,08d23h16m14,1
GEODE-1654,FALSE,FALSE,Trivial,2761494,31d23h04m54,0
GEODE-1385,TRUE,FALSE,Major,43375166,502d00h39m26,0
GEODE-1384,TRUE,FALSE,Major,12527966,144d23h59m26,0
GEODE-1387,FALSE,FALSE,Major,600474,06d22h47m54,0
GEODE-1389,FALSE,FALSE,Major,1047849,12d03h04m09,0
GEODE-5501,TRUE,FALSE,Major,7233848,83d17h24m08,1
GEODE-2432,FALSE,FALSE,Major,22417,00d06h13m37,0
GEODE-3841,TRUE,FALSE,Major,177774,02d01h22m54,0
GEODE-6701,FALSE,FALSE,Trivial,1998471,23d03h07m51,0
GEODE-1039,FALSE,FALSE,Major,773657,08d22h54m17,0
GEODE-1038,FALSE,FALSE,Major,538937,06d05h42m17,0
GEODE-1037,TRUE,FALSE,Major,625652,07d05h47m32,0
GEODE-1036,TRUE,FALSE,Major,51840399,600d00h06m39,0
GEODE-1035,FALSE,FALSE,Major,2259925,26d03h45m25,0
GEODE-1034,TRUE,FALSE,Major,49507833,573d00h10m33,0
GEODE-6708,FALSE,FALSE,Major,435519,05d00h58m39,0
GEODE-1032,FALSE,FALSE,Major,12892414,149d05h13m34,0
GEODE-1031,FALSE,FALSE,Major,2514177,29d02h22m57,0
GEODE-1030,FALSE,FALSE,Major,690092,07d23h41m32,0
GEODE-1819,FALSE,FALSE,Major,1707585,19d18h19m45,0
GEODE-1818,FALSE,FALSE,Major,1655911,19d03h58m31,0
GEODE-1814,FALSE,FALSE,Major,13546,00d03h45m46,0
GEODE-5508,FALSE,FALSE,Major,212830,02d11h07m10,0
GEODE-1811,FALSE,FALSE,Major,59445,00d16h30m45,0
GEODE-1810,FALSE,FALSE,Major,64849,00d18h00m49,0
GEODE-1813,FALSE,FALSE,Major,86266,00d23h57m46,0
GEODE-1812,FALSE,FALSE,Major,2425827,28d01h50m27,0
GEODE-6094,FALSE,FALSE,Major,25631894,296d15h58m14,0
GEODE-6090,FALSE,FALSE,Major,30357,00d08h25m57,0
GEODE-6091,FALSE,FALSE,Major,87609,01d00h20m09,0
GEODE-2136,FALSE,FALSE,Major,4365,00d01h12m45,0
GEODE-2135,FALSE,FALSE,Major,21439,00d05h57m19,0
GEODE-2133,TRUE,FALSE,Major,305373,03d12h49m33,0
GEODE-6144,FALSE,FALSE,Major,787,00d00h13m07,0
GEODE-5711,TRUE,FALSE,Major,14796493,171d06h08m13,1
GEODE-6416,TRUE,FALSE,Major,13234,00d03h40m34,0
GEODE-2138,FALSE,FALSE,Minor,13203909,152d19h45m09,0
