BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
GERONIMO-459,TRUE,FALSE,Major,351,00d00h05m51,0
OPENEJB-1322,FALSE,FALSE,Major,32045385,370d21h29m45,0
GERONIMO-438,FALSE,FALSE,Major,69407581,803d07h53m01,0
GERONIMO-532,FALSE,FALSE,Major,253,00d00h04m13,0
GERONIMO-431,FALSE,FALSE,Major,96356,01d02h45m56,0
GERONIMO-432,FALSE,FALSE,Major,3861,00d01h04m21,0
GERONIMO-491,FALSE,FALSE,Major,9020811,104d09h46m51,0
OPENEJB-1298,TRUE,FALSE,Major,36631213,423d23h20m13,0
GERONIMO-503,TRUE,FALSE,Major,8076,00d02h14m36,0
GERONIMO-764,FALSE,FALSE,Major,5506,00d01h31m46,0
GERONIMO-649,FALSE,FALSE,Major,95266,01d02h27m46,0
GERONIMO-767,TRUE,FALSE,Major,3549571,41d01h59m31,0
GERONIMO-647,TRUE,FALSE,Minor,123525,01d10h18m45,0
GERONIMO-769,FALSE,FALSE,Major,347128,04d00h25m28,0
GERONIMO-645,TRUE,FALSE,Major,5965631,69d01h07m11,1
GERONIMO-643,FALSE,FALSE,Major,839453,09d17h10m53,0
GERONIMO-642,FALSE,FALSE,Major,6627857,76d17h04m17,0
GERONIMO-93,FALSE,FALSE,Minor,366614,04d05h50m14,0
XBEAN-125,FALSE,FALSE,Major,100067,01d03h47m47,0
GERONIMO-544,FALSE,FALSE,Major,19088487,220d22h21m27,0
AXIS2-5115,FALSE,FALSE,Major,554560,06d10h02m40,0
GERONIMO-35,FALSE,FALSE,Major,111761606,1293d12h53m26,1
OPENEJB-1446,FALSE,FALSE,Major,38609,00d10h43m29,0
GERONIMO-385,TRUE,FALSE,Major,65631,00d18h13m51,0
GERONIMO-380,TRUE,FALSE,Major,4664950,53d23h49m10,0
GERONIMO-648,TRUE,FALSE,Major,247,00d00h04m07,0
GERONIMO-421,FALSE,FALSE,Major,1804033,20d21h07m13,0
GERONIMO-773,FALSE,FALSE,Major,86367,00d23h59m27,0
GERONIMO-545,FALSE,FALSE,Major,66395,00d18h26m35,0
GERONIMO-546,FALSE,FALSE,Major,15459190,178d22h13m10,0
GERONIMO-540,FALSE,FALSE,Major,1129303,13d01h41m43,0
GERONIMO-543,TRUE,FALSE,Major,4127,00d01h08m47,0
GERONIMO-779,FALSE,FALSE,Major,11580,00d03h13m00,0
GERONIMO-677,TRUE,FALSE,Blocker,3981249,46d01h54m09,0
GERONIMO-291,FALSE,FALSE,Trivial,1430016,16d13h13m36,0
GERONIMO-81,FALSE,FALSE,Major,110442374,1278d06h26m14,1
XBEAN-130,FALSE,FALSE,Major,9305517,107d16h51m57,0
GERONIMO-146,FALSE,FALSE,Major,17124922,198d04h55m22,0
GERONIMO-88,FALSE,FALSE,Minor,608956,07d01h09m16,0
GERONIMO-22,TRUE,FALSE,Minor,111906633,1295d05h10m33,1
GERONIMO-23,TRUE,FALSE,Major,111899315,1295d03h08m35,1
GERONIMO-27,FALSE,FALSE,Minor,111860382,1294d16h19m42,1
GERONIMO-24,TRUE,FALSE,Minor,111898958,1295d03h02m38,1
GERONIMO-29,FALSE,FALSE,Minor,111820568,1294d05h16m08,1
OPENEJB-1439,FALSE,FALSE,Major,48783,00d13h33m03,0
GERONIMO-749,TRUE,FALSE,Major,51420,00d14h17m00,0
GERONIMO-252,FALSE,FALSE,Minor,3120358,36d02h45m58,1
GERONIMO-255,TRUE,FALSE,Critical,2993436,34d15h30m36,0
GERONIMO-257,FALSE,FALSE,Major,2735893,31d15h58m13,1
GERONIMO-666,TRUE,TRUE,Blocker,6380482,73d20h21m22,1
GERONIMO-661,TRUE,FALSE,Major,3172473,36d17h14m33,0
GERONIMO-551,FALSE,FALSE,Major,221,00d00h03m41,1
GERONIMO-550,TRUE,FALSE,Major,7178804,83d02h06m44,0
GERONIMO-668,TRUE,FALSE,Major,5753704,66d14h15m04,1
GERONIMO-559,FALSE,FALSE,Minor,1205,00d00h20m05,0
GERONIMO-558,FALSE,FALSE,Major,1961,00d00h32m41,0
GERONIMO-151,FALSE,FALSE,Major,25381,00d07h03m01,0
GERONIMO-53,FALSE,TRUE,Minor,215820,02d11h57m00,0
GERONIMO-52,TRUE,TRUE,Minor,215870,02d11h57m50,0
GERONIMO-50,FALSE,TRUE,Minor,222595,02d13h49m55,0
GERONIMO-692,FALSE,FALSE,Critical,19599,00d05h26m39,0
GERONIMO-475,FALSE,FALSE,Major,7237,00d02h00m37,0
OPENEJB-1252,FALSE,TRUE,Major,17373665,201d02h01m05,1
GERONIMO-403,TRUE,FALSE,Major,772655,08d22h37m35,0
GERONIMO-248,FALSE,FALSE,Major,3266965,37d19h29m25,1
GERONIMO-404,TRUE,FALSE,Major,367368,04d06h02m48,0
GERONIMO-409,FALSE,FALSE,Critical,31318540,362d11h35m40,0
AMQ-1272,FALSE,TRUE,Major,136195690,1576d08h08m10,1
GERONIMO-562,FALSE,FALSE,Major,53163,00d14h46m03,1
GERONIMO-561,FALSE,FALSE,Major,1442,00d00h24m02,0
GERONIMO-567,FALSE,FALSE,Major,4815,00d01h20m15,0
GERONIMO-564,FALSE,FALSE,Trivial,14753417,170d18h10m17,0
GERONIMO-617,FALSE,FALSE,Major,1885554,21d19h45m54,0
GERONIMO-480,TRUE,FALSE,Major,24842098,287d12h34m58,0
GERONIMO-235,FALSE,FALSE,Major,9832555,113d19h15m55,0
GERONIMO-486,TRUE,FALSE,Major,9796,00d02h43m16,0
OPENEJB-1382,FALSE,FALSE,Major,60454630,699d16h57m10,0
GERONIMO-768,FALSE,FALSE,Major,1262,00d00h21m02,0
GERONIMO-369,FALSE,FALSE,Major,9060,00d02h31m00,0
GERONIMO-362,TRUE,FALSE,Major,38725,00d10h45m25,0
GERONIMO-44,FALSE,FALSE,Major,335074,03d21h04m34,0
GERONIMO-727,FALSE,FALSE,Major,1080829,12d12h13m49,0
GERONIMO-687,FALSE,FALSE,Major,4564,00d01h16m04,0
GERONIMO-685,FALSE,FALSE,Major,2355588,27d06h19m48,0
GERONIMO-602,FALSE,FALSE,Major,264258,03d01h24m18,0
GERONIMO-477,FALSE,TRUE,Major,30527131,353d07h45m31,0
GERONIMO-607,FALSE,FALSE,Minor,72618,00d20h10m18,0
GERONIMO-606,FALSE,FALSE,Major,210192,02d10h23m12,0
GERONIMO-472,FALSE,FALSE,Major,5114,00d01h25m14,0
GERONIMO-608,FALSE,FALSE,Major,135439,01d13h37m19,0
GERONIMO-379,TRUE,TRUE,Major,135553,01d13h39m13,0
GERONIMO-378,FALSE,FALSE,Major,1954605,22d14h56m45,0
GERONIMO-376,FALSE,FALSE,Minor,153219,01d18h33m39,0
GERONIMO-374,TRUE,FALSE,Major,3079681,35d15h28m01,0
GERONIMO-610,TRUE,FALSE,Major,182,00d00h03m02,0
OPENEJB-1567,FALSE,FALSE,Major,552,00d00h09m12,0
OPENEJB-310,FALSE,FALSE,Major,1615,00d00h26m55,0
GERONIMO-9,FALSE,FALSE,Minor,112234182,1299d00h09m42,1
GERONIMO-265,TRUE,FALSE,Major,7446275,86d04h24m35,0
GERONIMO-639,TRUE,FALSE,Major,79780,00d22h09m40,0
GERONIMO-637,FALSE,FALSE,Minor,19679070,227d18h24m30,0
GERONIMO-635,TRUE,FALSE,Major,629,00d00h10m29,0
GERONIMO-632,TRUE,FALSE,Major,1094,00d00h18m14,1
GERONIMO-465,TRUE,FALSE,Blocker,24113,00d06h41m53,1
GERONIMO-736,FALSE,FALSE,Major,768170,08d21h22m50,0
GERONIMO-469,FALSE,FALSE,Major,141,00d00h02m21,0
GERONIMO-582,TRUE,FALSE,Major,12984556,150d06h49m16,0
GERONIMO-349,FALSE,FALSE,Major,62634,00d17h23m54,1
GERONIMO-586,FALSE,FALSE,Major,986603,11d10h03m23,0
GERONIMO-587,TRUE,FALSE,Minor,4286576,49d14h42m56,0
GERONIMO-589,FALSE,FALSE,Major,16266913,188d06h35m13,0
GERONIMO-100,FALSE,FALSE,Trivial,276051,03d04h40m51,0
GERONIMO-101,FALSE,FALSE,Major,275819,03d04h36m59,0
GERONIMO-782,TRUE,FALSE,Major,278414,03d05h20m14,0
GERONIMO-628,FALSE,FALSE,Trivial,19976,00d05h32m56,0
MNG-2221,FALSE,FALSE,Critical,7960789,92d03h19m49,0
OPENEJB-300,FALSE,FALSE,Major,58340,00d16h12m20,0
GERONIMO-625,FALSE,FALSE,Major,8640,00d02h24m00,0
GERONIMO-515,TRUE,FALSE,Major,8556,00d02h22m36,0
GERONIMO-453,FALSE,FALSE,Major,31808620,368d03h43m40,0
GERONIMO-703,TRUE,FALSE,Major,13256,00d03h40m56,0
