BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
GIRAPH-1017,TRUE,FALSE,Minor,10172591,117d17h43m11,0
GIRAPH-1015,TRUE,FALSE,Minor,10775094,124d17h04m54,0
GIRAPH-805,TRUE,FALSE,Major,18223900,210d22h11m40,0
GIRAPH-309,FALSE,FALSE,Minor,68931,00d19h08m51,0
GIRAPH-154,TRUE,FALSE,Major,247933,02d20h52m13,0
GIRAPH-518,FALSE,FALSE,Major,300271,03d11h24m31,0
GIRAPH-449,FALSE,FALSE,Trivial,14614,00d04h03m34,0
GIRAPH-523,FALSE,FALSE,Major,2782411,32d04h53m31,0
GIRAPH-303,FALSE,FALSE,Major,528,00d00h08m48,0
GIRAPH-302,FALSE,FALSE,Critical,35013,00d09h43m33,0
GIRAPH-781,FALSE,FALSE,Major,2504706,28d23h45m06,0
GIRAPH-476,TRUE,FALSE,Major,15849,00d04h24m09,0
GIRAPH-783,FALSE,FALSE,Major,2423820,28d01h17m00,0
GIRAPH-782,FALSE,FALSE,Major,2424442,28d01h27m22,0
GIRAPH-609,TRUE,FALSE,Major,4137,00d01h08m57,0
GIRAPH-576,FALSE,FALSE,Minor,88161,01d00h29m21,0
GIRAPH-228,TRUE,FALSE,Trivial,3203907,37d01h58m27,0
GIRAPH-575,FALSE,FALSE,Major,208862,02d10h01m02,0
GIRAPH-311,FALSE,FALSE,Major,26642191,308d08h36m31,0
GIRAPH-478,FALSE,FALSE,Major,16700,00d04h38m20,0
GIRAPH-709,TRUE,FALSE,Major,201137,02d07h52m17,0
GIRAPH-708,TRUE,FALSE,Major,258978,02d23h56m18,0
GIRAPH-386,TRUE,FALSE,Major,1727806,19d23h56m46,0
GIRAPH-903,TRUE,FALSE,Minor,3545122,41d00h45m22,0
GIRAPH-380,FALSE,FALSE,Major,4802,00d01h20m02,0
GIRAPH-498,TRUE,FALSE,Major,49313,00d13h41m53,0
GIRAPH-1163,TRUE,FALSE,Major,19014129,220d01h42m09,0
GIRAPH-664,FALSE,FALSE,Major,162510,01d21h08m30,0
GIRAPH-148,FALSE,FALSE,Major,254120,02d22h35m20,0
GIRAPH-705,TRUE,FALSE,Major,447928,05d04h25m28,0
GIRAPH-865,FALSE,FALSE,Major,89984,01d00h59m44,0
GIRAPH-866,FALSE,FALSE,Major,85151,00d23h39m11,0
GIRAPH-860,FALSE,FALSE,Major,62738,00d17h25m38,0
GIRAPH-267,TRUE,FALSE,Major,108167,01d06h02m47,0
GIRAPH-1143,FALSE,FALSE,Trivial,3622,00d01h00m22,0
GIRAPH-441,TRUE,FALSE,Major,327677,03d19h01m17,0
GIRAPH-983,FALSE,FALSE,Minor,83861,00d23h17m41,0
GIRAPH-884,FALSE,FALSE,Major,753899,08d17h24m59,0
GIRAPH-1128,FALSE,FALSE,Major,580262,06d17h11m02,0
GIRAPH-334,FALSE,FALSE,Major,31652,00d08h47m32,0
GIRAPH-25,TRUE,FALSE,Minor,501678,05d19h21m18,0
GIRAPH-184,TRUE,FALSE,Major,355151,04d02h39m11,0
GIRAPH-403,FALSE,FALSE,Major,32040,00d08h54m00,0
GIRAPH-1122,TRUE,FALSE,Major,50223070,581d06h51m10,0
GIRAPH-456,TRUE,FALSE,Major,69020,00d19h10m20,0
GIRAPH-1009,TRUE,FALSE,Minor,25421221,294d05h27m01,0
GIRAPH-889,TRUE,FALSE,Major,5012075,58d00h14m35,0
GIRAPH-233,FALSE,FALSE,Minor,214860,02d11h41m00,0
GIRAPH-522,TRUE,FALSE,Major,39011,00d10h50m11,0
GIRAPH-239,TRUE,FALSE,Major,333291,03d20h34m51,0
GIRAPH-561,FALSE,FALSE,Major,9173,00d02h32m53,0
GIRAPH-560,TRUE,FALSE,Major,4691206,54d07h06m46,0
GIRAPH-563,FALSE,FALSE,Major,308,00d00h05m08,0
GIRAPH-402,FALSE,FALSE,Major,11029,00d03h03m49,0
GIRAPH-477,TRUE,FALSE,Major,121883,01d09h51m23,0
GIRAPH-400,TRUE,FALSE,Major,630,00d00h10m30,0
GIRAPH-647,FALSE,FALSE,Major,261659,03d00h40m59,0
GIRAPH-738,FALSE,FALSE,Trivial,15487851,179d06h10m51,0
GIRAPH-739,FALSE,FALSE,Minor,54339,00d15h05m39,0
GIRAPH-130,TRUE,FALSE,Minor,867384,10d00h56m24,0
GIRAPH-1098,FALSE,FALSE,Major,26118,00d07h15m18,0
GIRAPH-1097,TRUE,FALSE,Major,11989,00d03h19m49,0
GIRAPH-872,FALSE,FALSE,Minor,5564229,64d09h37m09,0
GIRAPH-1095,FALSE,FALSE,Major,8485289,98d05h01m29,0
GIRAPH-526,FALSE,FALSE,Major,64781,00d17h59m41,0
GIRAPH-1092,FALSE,FALSE,Major,8648444,100d02h20m44,0
GIRAPH-1091,FALSE,FALSE,Minor,510060,05d21h41m00,0
GIRAPH-972,FALSE,FALSE,Major,15985,00d04h26m25,0
GIRAPH-973,TRUE,FALSE,Major,85810,00d23h50m10,0
GIRAPH-488,FALSE,FALSE,Major,392095,04d12h54m55,0
GIRAPH-977,TRUE,FALSE,Major,1436683,16d15h04m43,0
GIRAPH-1193,FALSE,FALSE,Major,621378,07d04h36m18,0
GIRAPH-17,FALSE,FALSE,Minor,40938,00d11h22m18,0
GIRAPH-978,FALSE,FALSE,Minor,267812,03d02h23m32,1
GIRAPH-481,FALSE,FALSE,Blocker,236092,02d17h34m52,0
GIRAPH-871,FALSE,FALSE,Major,5565459,64d09h57m39,0
GIRAPH-839,FALSE,FALSE,Major,374284,04d07h58m04,0
GIRAPH-896,TRUE,FALSE,Major,88005,01d00h26m45,0
GIRAPH-323,FALSE,FALSE,Minor,126563,01d11h09m23,0
GIRAPH-527,TRUE,TRUE,Major,4152180,48d01h23m00,0
GIRAPH-321,FALSE,FALSE,Major,90020,01d01h00m20,0
GIRAPH-1130,TRUE,FALSE,Major,41602119,481d12h08m39,0
GIRAPH-1132,TRUE,FALSE,Major,38133622,441d08h40m22,0
GIRAPH-159,FALSE,FALSE,Major,508062,05d21h07m42,0
GIRAPH-550,TRUE,FALSE,Major,682740,07d21h39m00,0
GIRAPH-205,FALSE,FALSE,Major,1561234,18d01h40m34,1
GIRAPH-659,FALSE,FALSE,Major,289963,03d08h32m43,0
GIRAPH-658,FALSE,FALSE,Major,71709,00d19h55m09,0
GIRAPH-554,FALSE,FALSE,Minor,511438,05d22h03m58,0
GIRAPH-732,TRUE,TRUE,Major,1681986,19d11h13m06,0
GIRAPH-556,TRUE,FALSE,Critical,41050,00d11h24m10,0
GIRAPH-653,FALSE,FALSE,Major,435277,05d00h54m37,0
GIRAPH-559,FALSE,FALSE,Major,237842,02d18h04m02,1
GIRAPH-651,TRUE,FALSE,Major,273044,03d03h50m44,0
GIRAPH-1195,TRUE,FALSE,Major,12696595,146d22h49m55,0
GIRAPH-657,FALSE,FALSE,Minor,4416,00d01h13m36,0
GIRAPH-209,FALSE,TRUE,Critical,4055628,46d22h33m48,0
GIRAPH-655,TRUE,FALSE,Major,33501,00d09h18m21,0
GIRAPH-453,TRUE,FALSE,Major,6898304,79d20h11m44,0
GIRAPH-125,FALSE,FALSE,Major,86579,01d00h02m59,0
GIRAPH-722,TRUE,FALSE,Major,691973,08d00h12m53,0
GIRAPH-412,FALSE,FALSE,Major,2652,00d00h44m12,0
GIRAPH-318,FALSE,FALSE,Major,45823,00d12h43m43,0
GIRAPH-725,TRUE,FALSE,Major,1184,00d00h19m44,0
GIRAPH-724,TRUE,FALSE,Major,14772981,170d23h36m21,0
GIRAPH-1087,TRUE,FALSE,Major,599160,06d22h26m00,0
GIRAPH-1081,FALSE,FALSE,Major,576,00d00h09m36,0
GIRAPH-1083,TRUE,FALSE,Major,855507,09d21h38m27,0
GIRAPH-499,FALSE,FALSE,Major,261746,03d00h42m26,0
GIRAPH-960,FALSE,FALSE,Major,207,00d00h03m27,0
GIRAPH-963,TRUE,FALSE,Trivial,6381170,73d20h32m50,0
GIRAPH-962,FALSE,FALSE,Minor,6688696,77d09h58m16,0
GIRAPH-967,FALSE,FALSE,Minor,3610511,41d18h55m11,0
GIRAPH-24,FALSE,FALSE,Major,2557,00d00h42m37,0
GIRAPH-490,FALSE,FALSE,Major,336868,03d21h34m28,0
GIRAPH-493,TRUE,FALSE,Major,772517,08d22h35m17,0
GIRAPH-492,TRUE,FALSE,Major,80701,00d22h25m01,0
GIRAPH-624,TRUE,FALSE,Major,4834440,55d22h54m00,0
GIRAPH-494,TRUE,FALSE,Major,36593,00d10h09m53,0
GIRAPH-497,FALSE,FALSE,Major,46700,00d12h58m20,0
GIRAPH-219,FALSE,FALSE,Minor,251111,02d21h45m11,0
GIRAPH-218,TRUE,FALSE,Trivial,4053910,46d22h05m10,0
GIRAPH-452,FALSE,FALSE,Major,37827,00d10h30m27,0
GIRAPH-384,TRUE,FALSE,Major,1356361,15d16h46m01,0
GIRAPH-48,FALSE,FALSE,Critical,203163,02d08h26m03,0
GIRAPH-836,FALSE,FALSE,Major,547421,06d08h03m41,0
GIRAPH-217,TRUE,FALSE,Trivial,508912,05d21h21m52,0
GIRAPH-162,FALSE,TRUE,Major,196656,02d06h37m36,0
GIRAPH-1103,TRUE,FALSE,Major,1564295,18d02h31m35,0
GIRAPH-352,FALSE,FALSE,Critical,61783,00d17h09m43,0
GIRAPH-353,TRUE,FALSE,Major,100621,01d03h57m01,0
GIRAPH-545,FALSE,FALSE,Major,315643,03d15h40m43,0
GIRAPH-543,TRUE,FALSE,Major,3621640,41d22h00m40,0
GIRAPH-537,TRUE,TRUE,Major,2762163,31d23h16m03,0
GIRAPH-541,FALSE,FALSE,Major,20555,00d05h42m35,0
GIRAPH-355,TRUE,FALSE,Major,89683,01d00h54m43,0
GIRAPH-675,FALSE,FALSE,Major,2817,00d00h46m57,0
GIRAPH-112,FALSE,FALSE,Major,112459,01d07h14m19,0
GIRAPH-113,TRUE,FALSE,Minor,6962,00d01h56m02,0
GIRAPH-114,FALSE,FALSE,Critical,15764,00d04h22m44,0
GIRAPH-740,FALSE,FALSE,Major,52743,00d14h39m03,0
GIRAPH-293,TRUE,FALSE,Major,4800168,55d13h22m48,0
GIRAPH-394,FALSE,FALSE,Trivial,541,00d00h09m01,0
GIRAPH-164,FALSE,FALSE,Trivial,7650,00d02h07m30,0
GIRAPH-420,FALSE,FALSE,Major,687899,07d23h04m59,0
GIRAPH-296,FALSE,FALSE,Major,192830,02d05h33m50,0
GIRAPH-422,FALSE,FALSE,Major,1495,00d00h24m55,0
GIRAPH-751,FALSE,FALSE,Major,62145,00d17h15m45,0
GIRAPH-815,FALSE,FALSE,Major,107442,01d05h50m42,0
GIRAPH-814,FALSE,FALSE,Major,14087026,163d01h03m46,0
GIRAPH-816,TRUE,FALSE,Major,5263093,60d21h58m13,0
GIRAPH-429,FALSE,FALSE,Minor,6979872,80d18h51m12,0
GIRAPH-645,FALSE,FALSE,Major,190,00d00h03m10,0
GIRAPH-487,FALSE,FALSE,Blocker,394820,04d13h40m20,0
GIRAPH-1039,FALSE,FALSE,Minor,15983184,184d23h46m24,0
GIRAPH-956,FALSE,FALSE,Major,21317,00d05h55m17,0
GIRAPH-30,FALSE,FALSE,Minor,270046,03d03h00m46,0
GIRAPH-1058,FALSE,FALSE,Major,597102,06d21h51m42,0
GIRAPH-958,FALSE,FALSE,Trivial,4712,00d01h18m32,0
GIRAPH-39,FALSE,FALSE,Major,471,00d00h07m51,0
GIRAPH-1036,TRUE,FALSE,Major,17168267,198d16h57m47,0
GIRAPH-187,FALSE,FALSE,Minor,3543789,41d00h23m09,0
GIRAPH-50,FALSE,FALSE,Minor,1761344,20d09h15m44,0
GIRAPH-702,TRUE,FALSE,Major,2567,00d00h42m47,0
GIRAPH-683,TRUE,TRUE,Major,1153316,13d08h21m56,0
GIRAPH-354,FALSE,FALSE,Major,16310,00d04h31m50,0
GIRAPH-1115,FALSE,FALSE,Minor,14627,00d04h03m47,0
GIRAPH-266,TRUE,FALSE,Major,49130,00d13h38m50,0
GIRAPH-1052,FALSE,FALSE,Major,1317,00d00h21m57,0
GIRAPH-59,FALSE,FALSE,Minor,7088,00d01h58m08,0
GIRAPH-369,FALSE,FALSE,Trivial,98110,01d03h15m10,0
GIRAPH-1055,FALSE,FALSE,Major,485,00d00h08m05,0
GIRAPH-439,FALSE,FALSE,Trivial,584,00d00h09m44,0
GIRAPH-438,TRUE,FALSE,Major,72617,00d20h10m17,0
GIRAPH-347,TRUE,FALSE,Major,11079,00d03h04m39,0
GIRAPH-627,TRUE,FALSE,Major,17816,00d04h56m56,0
GIRAPH-635,FALSE,FALSE,Major,552229,06d09h23m49,0
GIRAPH-634,FALSE,FALSE,Major,30148,00d08h22m28,0
GIRAPH-105,FALSE,FALSE,Minor,107860,01d05h57m40,0
GIRAPH-630,TRUE,FALSE,Major,98693,01d03h24m53,0
GIRAPH-435,TRUE,FALSE,Major,653068,07d13h24m28,0
GIRAPH-434,FALSE,FALSE,Trivial,63834,00d17h43m54,0
GIRAPH-530,FALSE,FALSE,Major,329849,03d19h37m29,0
GIRAPH-746,TRUE,FALSE,Major,1104160,12d18h42m40,0
GIRAPH-536,FALSE,TRUE,Major,3242203,37d12h36m43,0
GIRAPH-825,TRUE,TRUE,Major,10583123,122d11h45m23,0
GIRAPH-589,TRUE,TRUE,Major,772058,08d22h27m38,0
GIRAPH-742,FALSE,FALSE,Minor,12190353,141d02h12m33,0
GIRAPH-943,FALSE,FALSE,Major,5947828,68d20h10m28,0
GIRAPH-829,FALSE,FALSE,Blocker,13231274,153d03h21m14,0
GIRAPH-947,FALSE,FALSE,Trivial,2456901,28d10h28m21,0
GIRAPH-1175,FALSE,FALSE,Major,843788,09d18h23m08,0
GIRAPH-945,FALSE,FALSE,Major,3201326,37d01h15m26,0
GIRAPH-506,FALSE,FALSE,Major,3093,00d00h51m33,0
GIRAPH-363,FALSE,FALSE,Major,11085,00d03h04m45,0
GIRAPH-519,TRUE,TRUE,Major,66848,00d18h34m08,0
GIRAPH-1028,TRUE,FALSE,Major,18143579,209d23h52m59,0
GIRAPH-1024,FALSE,FALSE,Major,3045,00d00h50m45,0
GIRAPH-393,FALSE,FALSE,Major,12135,00d03h22m15,0
GIRAPH-602,FALSE,FALSE,Major,135769,01d13h42m49,0
GIRAPH-361,TRUE,FALSE,Major,30121,00d08h22m01,0
