BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
GORA-348,TRUE,FALSE,Major,17049,00d04h44m09,0
GORA-130,FALSE,FALSE,Major,1174,00d00h19m34,0
GORA-229,TRUE,FALSE,Minor,5093752,58d22h55m52,0
GORA-134,TRUE,TRUE,Major,64148,00d17h49m08,0
GORA-503,FALSE,TRUE,Major,26645574,308d09h32m54,0
GORA-505,FALSE,FALSE,Minor,24095,00d06h41m35,0
GORA-424,TRUE,FALSE,Major,136020,01d13h47m00,0
GORA-426,FALSE,FALSE,Major,1732111,20d01h08m31,0
GORA-421,FALSE,FALSE,Major,87025099,1007d05h38m19,0
GORA-423,FALSE,FALSE,Major,832879,09d15h21m19,0
GORA-622,FALSE,FALSE,Blocker,41918,00d11h38m38,0
GORA-620,FALSE,FALSE,Major,715,00d00h11m55,0
GORA-621,FALSE,FALSE,Major,1999,00d00h33m19,0
GORA-23,TRUE,FALSE,Major,180153,02d02h02m33,0
GORA-21,FALSE,FALSE,Major,113,00d00h01m53,0
GORA-182,TRUE,FALSE,Major,6662092,77d02h34m52,0
GORA-371,FALSE,FALSE,Major,929565,10d18h12m45,0
GORA-234,FALSE,FALSE,Critical,33703865,390d02h11m05,0
GORA-237,FALSE,FALSE,Trivial,1207152,13d23h19m12,0
GORA-131,TRUE,FALSE,Major,724948,08d09h22m28,0
GORA-129,FALSE,FALSE,Trivial,129,00d00h02m09,0
GORA-232,TRUE,FALSE,Minor,5839355,67d14h02m35,0
GORA-336,FALSE,FALSE,Major,103100,01d04h38m20,0
GORA-331,FALSE,FALSE,Major,1709152,19d18h45m52,0
GORA-123,FALSE,FALSE,Minor,255901,02d23h05m01,0
GORA-538,FALSE,FALSE,Major,44416766,514d01h59m26,0
GORA-438,FALSE,FALSE,Minor,390125,04d12h22m05,0
GORA-32,FALSE,FALSE,Major,6726947,77d20h35m47,0
GORA-37,FALSE,FALSE,Minor,12051,00d03h20m51,0
GORA-480,FALSE,FALSE,Blocker,6684166,77d08h42m46,0
GORA-525,FALSE,FALSE,Major,191151,02d05h05m51,0
GORA-243,FALSE,FALSE,Minor,238835,02d18h20m35,0
GORA-88,TRUE,FALSE,Major,1675183,19d09h19m43,0
GORA-151,FALSE,FALSE,Major,2288,00d00h38m08,0
GORA-152,FALSE,FALSE,Major,1117,00d00h18m37,0
GORA-401,TRUE,TRUE,Critical,58021823,671d13h10m23,0
GORA-154,FALSE,FALSE,Major,52627959,609d02h52m39,0
GORA-314,TRUE,FALSE,Major,45170403,522d19h20m03,0
GORA-495,FALSE,TRUE,Major,517585,05d23h46m25,0
GORA-494,FALSE,FALSE,Major,435581,05d00h59m41,0
GORA-310,TRUE,TRUE,Major,98916662,1144d20h51m02,0
GORA-496,FALSE,FALSE,Major,4206751,48d16h32m31,0
GORA-491,FALSE,FALSE,Major,20981,00d05h49m41,0
GORA-493,FALSE,FALSE,Minor,435979,05d01h06m19,0
GORA-492,FALSE,FALSE,Major,778,00d00h12m58,0
GORA-318,FALSE,FALSE,Minor,548,00d00h09m08,0
GORA-499,FALSE,FALSE,Minor,4035147,46d16h52m27,0
GORA-399,FALSE,FALSE,Major,2300,00d00h38m20,0
GORA-419,FALSE,FALSE,Critical,11720917,135d15h48m37,0
GORA-415,FALSE,FALSE,Blocker,250147,02d21h29m07,0
GORA-390,FALSE,FALSE,Minor,611057,07d01h44m17,0
GORA-258,FALSE,FALSE,Minor,373764,04d07h49m24,0
GORA-147,FALSE,FALSE,Major,295,00d00h04m55,0
GORA-146,FALSE,FALSE,Major,1461403,16d21h56m43,0
GORA-12,FALSE,TRUE,Major,26920678,311d13h57m58,0
GORA-15,FALSE,FALSE,Major,172986,02d00h03m06,0
GORA-18,FALSE,FALSE,Major,25043805,289d20h36m45,0
GORA-148,TRUE,TRUE,Major,75730,00d21h02m10,0
GORA-101,FALSE,FALSE,Minor,178997,02d01h43m17,0
GORA-545,FALSE,FALSE,Major,15759304,182d09h35m04,0
GORA-143,FALSE,FALSE,Major,3114725,36d01h12m05,0
GORA-389,TRUE,FALSE,Major,1105716,12d19h08m36,0
GORA-388,FALSE,TRUE,Major,7537907,87d05h51m47,0
GORA-178,FALSE,FALSE,Major,435374,05d00h56m14,0
GORA-174,TRUE,TRUE,Blocker,19888346,230d04h32m26,0
GORA-172,TRUE,FALSE,Major,2813279,32d13h27m59,0
GORA-268,FALSE,FALSE,Major,761689,08d19h34m49,0
GORA-460,FALSE,FALSE,Minor,1164715,13d11h31m55,0
GORA-461,FALSE,FALSE,Minor,993765,11d12h02m45,0
GORA-462,FALSE,FALSE,Minor,3819881,44d05h04m41,0
GORA-463,FALSE,FALSE,Major,3819201,44d04h53m21,0
GORA-63,FALSE,FALSE,Major,14597530,168d22h52m10,0
GORA-270,TRUE,TRUE,Major,4041191,46d18h33m11,0
GORA-275,TRUE,FALSE,Major,2334139,27d00h22m19,0
GORA-619,FALSE,FALSE,Major,2008,00d00h33m28,0
GORA-160,FALSE,FALSE,Major,2007465,23d05h37m45,0
GORA-372,FALSE,FALSE,Major,202280,02d08h11m20,0
GORA-374,FALSE,FALSE,Major,883708,10d05h28m28,0
GORA-164,FALSE,FALSE,Critical,834,00d00h13m54,0
GORA-376,FALSE,FALSE,Major,178643,02d01h37m23,0
GORA-479,TRUE,FALSE,Major,12671,00d03h31m11,0
GORA-478,TRUE,FALSE,Critical,39622,00d11h00m22,0
GORA-474,FALSE,FALSE,Major,862186,09d23h29m46,0
GORA-458,FALSE,FALSE,Minor,1166304,13d11h58m24,0
GORA-560,FALSE,FALSE,Major,382077,04d10h07m57,0
GORA-203,FALSE,FALSE,Major,4819081,55d18h38m01,0
GORA-115,FALSE,FALSE,Major,380,00d00h06m20,0
GORA-361,TRUE,FALSE,Major,719531,08d07h52m11,0
GORA-117,TRUE,FALSE,Major,55008458,636d16h07m38,0
GORA-364,TRUE,FALSE,Major,125720,01d10h55m20,0
GORA-369,FALSE,FALSE,Major,8662,00d02h24m22,0
GORA-153,TRUE,FALSE,Major,3368,00d00h56m08,0
GORA-332,FALSE,FALSE,Major,1533023,17d17h50m23,0
GORA-441,FALSE,FALSE,Major,509895,05d21h38m15,0
GORA-44,FALSE,FALSE,Major,41966,00d11h39m26,0
GORA-48,FALSE,FALSE,Major,1259848,14d13h57m28,0
GORA-127,FALSE,FALSE,Major,75469,00d20h57m49,0
GORA-211,FALSE,TRUE,Critical,1221053,14d03h10m53,0
GORA-210,FALSE,TRUE,Critical,1212654,14d00h50m54,0
GORA-510,FALSE,FALSE,Minor,212513,02d11h01m53,0
GORA-511,FALSE,FALSE,Trivial,211944,02d10h52m24,0
GORA-105,TRUE,TRUE,Blocker,1809028,20d22h30m28,0
GORA-353,TRUE,FALSE,Major,3365658,38d22h54m18,0
GORA-350,FALSE,FALSE,Blocker,405628,04d16h40m28,0
GORA-351,TRUE,FALSE,Major,8768,00d02h26m08,0
GORA-26,FALSE,FALSE,Major,16158213,187d00h23m33,0
GORA-453,TRUE,FALSE,Major,2709202,31d08h33m22,0
GORA-293,FALSE,FALSE,Major,61195520,708d06h45m20,0
GORA-291,FALSE,FALSE,Major,61793521,715d04h52m01,0
GORA-290,FALSE,FALSE,Major,405010,04d16h30m10,0
GORA-459,FALSE,FALSE,Minor,1165298,13d11h41m38,0
GORA-612,FALSE,FALSE,Critical,1678,00d00h27m58,0
GORA-611,TRUE,FALSE,Critical,1836967,21d06h16m07,0
GORA-617,FALSE,FALSE,Minor,292859,03d09h20m59,0
GORA-56,TRUE,FALSE,Critical,2094928,24d05h55m28,0
GORA-57,FALSE,FALSE,Major,1458224,16d21h03m44,0
GORA-120,TRUE,TRUE,Major,98343,01d03h19m03,0
