BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
GROOVY-5289,FALSE,FALSE,Minor,25965246,300d12h34m06,0
GROOVY-5288,FALSE,FALSE,Critical,7319,00d02h01m59,0
GROOVY-4025,FALSE,FALSE,Major,2464727,28d12h38m47,0
GROOVY-5280,FALSE,FALSE,Minor,83465,00d23h11m05,0
GROOVY-4028,FALSE,FALSE,Major,9950,00d02h45m50,0
GROOVY-4029,FALSE,FALSE,Major,639583,07d09h39m43,0
GROOVY-5285,TRUE,FALSE,Major,856812,09d22h00m12,0
GROOVY-5122,TRUE,FALSE,Major,289909,03d08h31m49,0
GROOVY-5287,FALSE,FALSE,Critical,7511,00d02h05m11,0
GROOVY-5286,FALSE,FALSE,Minor,25847,00d07h10m47,1
GROOVY-3878,FALSE,FALSE,Major,121774,01d09h49m34,0
GROOVY-4801,TRUE,FALSE,Major,8202,00d02h16m42,0
GROOVY-4803,FALSE,FALSE,Major,25183767,291d11h29m27,0
GROOVY-144,TRUE,FALSE,Major,89446,01d00h50m46,0
GROOVY-4806,FALSE,FALSE,Trivial,348146,04d00h42m26,0
GROOVY-8343,FALSE,FALSE,Major,1148887,13d07h08m07,0
GROOVY-8342,FALSE,FALSE,Major,32008060,370d11h07m40,0
GROOVY-8833,TRUE,FALSE,Critical,96752,01d02h52m32,0
GROOVY-7820,FALSE,FALSE,Major,1117101,12d22h18m21,0
GROOVY-8347,TRUE,FALSE,Major,306581,03d13h09m41,0
GROOVY-7826,TRUE,FALSE,Major,2282400,26d10h00m00,0
GROOVY-3876,FALSE,FALSE,Minor,258969,02d23h56m09,0
GROOVY-3877,FALSE,FALSE,Blocker,182873,02d02h47m53,0
GROOVY-5127,FALSE,FALSE,Major,1187711,13d17h55m11,0
GROOVY-5605,TRUE,FALSE,Major,266364,03d01h59m24,0
GROOVY-5607,FALSE,FALSE,Major,29383,00d08h09m43,0
GROOVY-5606,FALSE,FALSE,Major,68507,00d19h01m47,0
GROOVY-5601,FALSE,FALSE,Major,163211,01d21h20m11,0
GROOVY-4742,FALSE,FALSE,Major,63000840,729d04h14m00,0
GROOVY-4732,FALSE,FALSE,Major,10282127,119d00h08m47,0
GROOVY-5608,FALSE,FALSE,Major,200238,02d07h37m18,0
GROOVY-4731,FALSE,FALSE,Minor,2315166,26d19h06m06,0
GROOVY-5468,FALSE,FALSE,Major,17744675,205d09h04m35,0
GROOVY-1706,FALSE,FALSE,Major,25371071,293d15h31m11,0
GROOVY-1708,TRUE,FALSE,Critical,18238868,211d02h21m08,0
GROOVY-1159,FALSE,FALSE,Minor,33916918,392d13h21m58,1
GROOVY-5466,TRUE,FALSE,Major,4497936,52d01h25m36,0
GROOVY-5463,TRUE,FALSE,Major,2590172,29d23h29m32,0
GROOVY-5199,FALSE,FALSE,Major,2002,00d00h33m22,0
GROOVY-5198,FALSE,FALSE,Major,259179,02d23h59m39,0
GROOVY-5197,FALSE,FALSE,Major,1136352,13d03h39m12,0
GROOVY-5191,TRUE,FALSE,Critical,31843636,368d13h27m16,0
GROOVY-5193,FALSE,FALSE,Minor,4151029,48d01h03m49,1
GROOVY-4934,FALSE,FALSE,Minor,16995267,196d16h54m27,0
GROOVY-4935,FALSE,FALSE,Major,60287,00d16h44m47,0
GROOVY-4936,FALSE,FALSE,Major,40119,00d11h08m39,0
GROOVY-4937,FALSE,FALSE,Major,142486,01d15h34m46,0
GROOVY-1839,FALSE,FALSE,Major,837172,09d16h32m52,0
GROOVY-1837,FALSE,FALSE,Blocker,24987,00d06h56m27,0
GROOVY-4938,FALSE,FALSE,Major,145492,01d16h24m52,0
GROOVY-4939,FALSE,FALSE,Major,112659,01d07h17m39,0
GROOVY-1383,FALSE,FALSE,Critical,21495580,248d18h59m40,0
GROOVY-5519,FALSE,FALSE,Major,342179,03d23h02m59,0
GROOVY-1018,FALSE,FALSE,Minor,144618,01d16h10m18,1
GROOVY-5049,FALSE,FALSE,Major,302448,03d12h00m48,0
GROOVY-1014,FALSE,FALSE,Major,76588,00d21h16m28,1
GROOVY-5512,FALSE,FALSE,Major,565,00d00h09m25,0
GROOVY-1011,FALSE,FALSE,Minor,57181701,661d19h48m21,0
GROOVY-5041,FALSE,FALSE,Blocker,5452,00d01h30m52,0
GROOVY-5516,FALSE,FALSE,Major,1012,00d00h16m52,0
