BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HDFS-1014,FALSE,FALSE,Major,4234068,49d00h07m48,0
HDFS-1827,FALSE,FALSE,Major,2416247,27d23h10m47,0
HDFS-1824,TRUE,FALSE,Major,922504,10d16h15m04,0
HDFS-1822,TRUE,TRUE,Blocker,1648120,19d01h48m40,1
HDFS-1823,FALSE,TRUE,Blocker,1490526,17d06h02m06,0
HDFS-1821,FALSE,FALSE,Major,534614,06d04h30m14,0
HDFS-812,FALSE,TRUE,Blocker,726940,08d09h55m40,0
HDFS-1829,TRUE,FALSE,Major,1298756,15d00h45m56,0
HDFS-955,TRUE,FALSE,Blocker,4905158,56d18h32m38,0
HDFS-1181,FALSE,TRUE,Blocker,871577,10d02h06m17,0
HADOOP-6103,FALSE,TRUE,Major,5011148,57d23h59m08,0
HDFS-1189,FALSE,FALSE,Major,25801628,298d15h07m08,1
HDFS-823,FALSE,FALSE,Major,79916,00d22h11m56,0
HDFS-1952,TRUE,FALSE,Major,2527339,29d06h02m19,1
HDFS-1953,FALSE,FALSE,Minor,117817,01d08h43m37,0
HDFS-1592,TRUE,FALSE,Major,10630463,123d00h54m23,0
HDFS-1591,FALSE,FALSE,Major,919165,10d15h19m25,0
HDFS-1597,TRUE,TRUE,Blocker,1216975,14d02h02m55,0
HDFS-1594,TRUE,TRUE,Major,7626885,88d06h34m45,0
HDFS-1452,FALSE,FALSE,Major,11906,00d03h18m26,0
HDFS-1598,FALSE,FALSE,Major,105544,01d05h19m04,0
HDFS-1728,FALSE,FALSE,Minor,8554,00d02h22m34,0
HDFS-1750,FALSE,FALSE,Major,844835,09d18h40m35,0
HDFS-1691,FALSE,FALSE,Minor,119544,01d09h12m24,0
HDFS-15,TRUE,FALSE,Critical,27127818,313d23h30m18,0
HADOOP-5864,FALSE,FALSE,Major,5705320,66d00h48m40,1
HDFS-1258,FALSE,FALSE,Blocker,1200865,13d21h34m25,0
HDFS-1317,FALSE,FALSE,Major,556786,06d10h39m46,0
HDFS-1250,TRUE,FALSE,Major,1124742,13d00h25m42,0
HDFS-1255,FALSE,FALSE,Blocker,69588,00d19h19m48,0
HDFS-1256,FALSE,FALSE,Blocker,220149,02d13h09m09,0
HDFS-1529,FALSE,FALSE,Blocker,5192660,60d02h24m20,0
HDFS-1527,FALSE,FALSE,Major,361798,04d04h29m58,0
HDFS-1526,FALSE,FALSE,Major,988388,11d10h33m08,0
HDFS-1524,FALSE,FALSE,Blocker,15477,00d04h17m57,0
HDFS-1523,TRUE,FALSE,Major,94341,01d02h12m21,0
HDFS-553,FALSE,FALSE,Major,518650,06d00h04m10,0
HDFS-679,FALSE,FALSE,Major,1286004,14d21h13m24,0
HDFS-677,TRUE,FALSE,Blocker,787174,09d02h39m34,0
HDFS-671,FALSE,FALSE,Blocker,50227964,581d08h12m44,0
HDFS-673,FALSE,FALSE,Blocker,1043618,12d01h53m38,0
HDFS-774,FALSE,FALSE,Major,12655,00d03h30m55,0
HDFS-775,FALSE,FALSE,Minor,3144679,36d09h31m19,0
HDFS-1130,FALSE,FALSE,Major,8094485,93d16h28m05,0
HDFS-1038,TRUE,FALSE,Major,6382414,73d20h53m34,0
HDFS-472,FALSE,FALSE,Major,11322761,131d01h12m41,0
HDFS-1036,FALSE,TRUE,Major,8985239,103d23h53m59,0
HDFS-1138,FALSE,FALSE,Major,95225,01d02h27m05,0
HADOOP-6327,FALSE,TRUE,Major,54691,00d15h11m31,0
HDFS-781,FALSE,FALSE,Blocker,1427447,16d12h30m47,0
HDFS-783,FALSE,FALSE,Major,580479,06d17h14m39,1
HDFS-785,FALSE,FALSE,Minor,10846,00d03h00m46,0
HDFS-787,FALSE,FALSE,Blocker,24812,00d06h53m32,0
HDFS-1782,FALSE,FALSE,Major,521300,06d00h48m20,0
HDFS-1781,FALSE,FALSE,Major,517010,05d23h36m50,0
HDFS-856,FALSE,FALSE,Minor,6228130,72d02h02m10,0
HDFS-1786,FALSE,FALSE,Minor,6661113,77d02h18m33,0
HDFS-601,FALSE,FALSE,Major,422901,04d21h28m21,0
HDFS-602,TRUE,FALSE,Major,258641,02d23h50m41,0
HDFS-859,FALSE,FALSE,Minor,6215491,71d22h31m31,0
HDFS-858,FALSE,FALSE,Minor,6215808,71d22h36m48,0
HDFS-606,FALSE,TRUE,Major,7833240,90d15h54m00,0
HDFS-1627,FALSE,FALSE,Major,7437476,86d01h57m56,0
HDFS-1141,TRUE,FALSE,Blocker,3194649,36d23h24m09,1
HDFS-1145,FALSE,FALSE,Major,4446048,51d11h00m48,0
HDFS-1146,FALSE,FALSE,Major,1905884,22d01h24m44,0
HDFS-1149,TRUE,FALSE,Major,33704984,390d02h29m44,0
HADOOP-6096,FALSE,FALSE,Major,108516,01d06h08m36,0
HDFS-690,FALSE,FALSE,Blocker,1148127,13d06h55m27,0
HDFS-1917,FALSE,TRUE,Major,195778,02d06h22m58,1
HDFS-1914,TRUE,FALSE,Major,583209,06d18h00m09,0
HDFS-127,FALSE,FALSE,Major,37760804,437d01h06m44,1
HDFS-1850,TRUE,FALSE,Major,1123012,12d23h56m52,0
HDFS-29,FALSE,FALSE,Major,14882566,172d06h02m46,0
HDFS-1502,TRUE,FALSE,Minor,1587624,18d09h00m24,0
HDFS-824,FALSE,FALSE,Major,12722,00d03h32m02,0
HDFS-825,FALSE,FALSE,Critical,419836,04d20h37m16,0
HDFS-829,FALSE,FALSE,Major,30576181,353d21h23m01,0
HDFS-1498,FALSE,FALSE,Minor,86161,00d23h56m01,0
HDFS-1986,FALSE,FALSE,Minor,871252,10d02h00m52,0
HDFS-988,TRUE,TRUE,Blocker,41375306,478d21h08m26,0
HDFS-500,FALSE,FALSE,Minor,610524,07d01h35m24,0
HDFS-1355,FALSE,FALSE,Major,791231,09d03h47m11,0
HDFS-1357,FALSE,FALSE,Major,1385289,16d00h48m09,0
HDFS-1352,FALSE,TRUE,Major,185460,02d03h31m00,0
HDFS-625,TRUE,FALSE,Major,3457088,40d00h18m08,0
HDFS-1212,FALSE,FALSE,Blocker,1293512,14d23h18m32,0
HDFS-187,FALSE,FALSE,Major,32571733,376d23h42m13,1
HDFS-1561,TRUE,FALSE,Blocker,1909577,22d02h26m17,0
HDFS-1560,FALSE,FALSE,Minor,67226,00d18h40m26,0
HDFS-181,FALSE,FALSE,Minor,5979140,69d04h52m20,1
HDFS-1406,FALSE,FALSE,Minor,8142101,94d05h41m41,0
HDFS-1760,FALSE,FALSE,Major,2406382,27d20h26m22,0
HDFS-1163,FALSE,FALSE,Major,3895509,45d02h05m09,0
HDFS-438,FALSE,FALSE,Minor,1136858,13d03h47m38,0
HDFS-132,TRUE,FALSE,Minor,88807554,1027d20h45m54,0
HDFS-185,FALSE,FALSE,Major,16780671,194d05h17m51,0
HDFS-96,TRUE,TRUE,Major,47481605,549d13h20m05,0
HDFS-94,FALSE,TRUE,Major,24192057,280d00h00m57,0
HADOOP-6815,TRUE,TRUE,Major,1128870,13d01h34m30,0
HDFS-1665,TRUE,FALSE,Minor,838534,09d16h55m34,0
HDFS-646,FALSE,FALSE,Blocker,188925,02d04h28m45,0
HDFS-1109,FALSE,TRUE,Major,1452472,16d19h27m52,0
HDFS-641,TRUE,TRUE,Blocker,4515610,52d06h20m10,0
HDFS-723,FALSE,FALSE,Blocker,435241,05d00h54m01,0
HDFS-1104,TRUE,FALSE,Major,777300,08d23h55m00,0
HDFS-2030,TRUE,FALSE,Minor,539928,06d05h58m48,0
HDFS-726,FALSE,FALSE,Major,4556,00d01h15m56,0
HDFS-725,FALSE,FALSE,Major,125780,01d10h56m20,0
HDFS-724,TRUE,FALSE,Blocker,5269887,60d23h51m27,0
HDFS-1818,FALSE,FALSE,Major,3555,00d00h59m15,0
HDFS-1813,TRUE,FALSE,Major,153305,01d18h35m05,1
HDFS-1812,TRUE,FALSE,Minor,4343549,50d06h32m29,0
HDFS-868,FALSE,FALSE,Trivial,208624,02d09h57m04,0
HDFS-1409,FALSE,FALSE,Trivial,22787640,263d17h54m00,0
HDFS-861,FALSE,FALSE,Minor,6215711,71d22h35m11,0
HDFS-863,FALSE,FALSE,Major,34409003,398d06h03m23,0
HDFS-1611,FALSE,FALSE,Minor,4449878,51d12h04m38,0
HDFS-1610,FALSE,FALSE,Blocker,7884,00d02h11m24,0
HDFS-1612,FALSE,FALSE,Minor,1484161,17d04h16m01,0
HDFS-1615,FALSE,FALSE,Major,7933301,91d19h41m41,0
HDFS-2041,TRUE,FALSE,Major,326443,03d18h40m43,0
HADOOP-7259,FALSE,FALSE,Major,1701666,19d16h41m06,0
HDFS-1192,TRUE,TRUE,Major,10831549,125d08h45m49,0
HDFS-1193,FALSE,FALSE,Major,57466,00d15h57m46,0
HDFS-1198,FALSE,FALSE,Major,21383,00d05h56m23,0
HDFS-1399,TRUE,FALSE,Major,1315919,15d05h31m59,0
HADOOP-6642,FALSE,TRUE,Major,27655788,320d02h09m48,0
HDFS-1969,FALSE,FALSE,Blocker,1472152,17d00h55m52,0
HDFS-1965,TRUE,FALSE,Critical,341553,03d22h52m33,0
HDFS-1964,FALSE,FALSE,Major,553278,06d09h41m18,0
HDFS-76,TRUE,TRUE,Major,3081472,35d15h57m52,0
HDFS-1449,TRUE,FALSE,Major,699846,08d02h24m06,0
HDFS-1444,FALSE,TRUE,Minor,89412,01d00h50m12,0
HDFS-1440,FALSE,FALSE,Major,75231,00d20h53m51,0
HDFS-1727,FALSE,FALSE,Minor,7369870,85d07h11m10,0
HDFS-441,TRUE,FALSE,Major,584943,06d18h29m03,0
HDFS-1687,TRUE,FALSE,Major,81924,00d22h45m24,0
HDFS-167,TRUE,FALSE,Minor,12459805,144d05h03m25,1
HDFS-1364,FALSE,FALSE,Major,2412793,27d22h13m13,0
HDFS-1361,FALSE,FALSE,Major,943544,10d22h05m44,0
HDFS-1360,FALSE,FALSE,Minor,9412819,108d22h40m19,0
HDFS-1363,TRUE,FALSE,Major,1219431,14d02h43m51,0
HDFS-1439,TRUE,TRUE,Major,993,00d00h16m33,0
HDFS-1531,FALSE,FALSE,Trivial,30993,00d08h36m33,0
HDFS-1532,FALSE,FALSE,Major,13447,00d03h44m07,0
HDFS-1533,TRUE,TRUE,Major,76042,00d21h07m22,0
HDFS-547,FALSE,FALSE,Major,602266,06d23h17m46,0
HDFS-1433,FALSE,FALSE,Major,5697,00d01h34m57,0
HDFS-682,FALSE,FALSE,Major,598139,06d22h08m59,0
HDFS-686,FALSE,FALSE,Blocker,12104062,140d02h14m22,1
HDFS-688,FALSE,FALSE,Major,277882,03d05h11m22,0
HDFS-763,FALSE,FALSE,Major,606500,07d00h28m20,0
HDFS-762,FALSE,FALSE,Major,3716519,43d00h21m59,0
HDFS-761,TRUE,FALSE,Major,97658,01d03h07m38,0
HDFS-446,FALSE,FALSE,Minor,1643289,19d00h28m09,0
HDFS-1027,FALSE,FALSE,Trivial,7237566,83d18h26m06,0
HDFS-1024,FALSE,FALSE,Blocker,2191554,25d08h45m54,0
HDFS-445,TRUE,FALSE,Major,1720481,19d21h54m41,0
HDFS-440,FALSE,FALSE,Major,586262,06d18h51m02,0
HDFS-1021,TRUE,FALSE,Major,6217570,71d23h06m10,0
HDFS-1797,FALSE,FALSE,Major,2807,00d00h46m47,0
HDFS-909,TRUE,FALSE,Blocker,7808678,90d09h04m38,0
HDFS-613,FALSE,FALSE,Major,39212116,453d20h15m16,0
HDFS-612,FALSE,FALSE,Major,181449,02d02h24m09,0
HDFS-611,TRUE,FALSE,Major,5268821,60d23h33m41,0
HDFS-903,TRUE,TRUE,Critical,25601111,296d07h25m11,0
HDFS-614,FALSE,FALSE,Major,66428,00d18h27m08,0
HDFS-1284,FALSE,FALSE,Major,5008332,57d23h12m12,0
HDFS-1157,FALSE,TRUE,Major,8168053,94d12h54m13,0
HDFS-1159,FALSE,FALSE,Major,328574,03d19h16m14,0
HDFS-1929,TRUE,FALSE,Major,100784,01d03h59m44,0
HDFS-1299,FALSE,FALSE,Major,42048,00d11h40m48,0
HDFS-1921,FALSE,FALSE,Blocker,954616,11d01h10m16,0
HDFS-1920,FALSE,FALSE,Major,1379919,15d23h18m39,0
HDFS-1927,FALSE,FALSE,Major,530844,06d03h27m24,0
HDFS-1925,FALSE,FALSE,Major,576407,06d16h06m47,0
HDFS-1292,FALSE,FALSE,Blocker,10742357,124d07h59m17,0
HDFS-1845,FALSE,FALSE,Major,108734,01d06h12m14,0
HDFS-1483,TRUE,TRUE,Major,1742424,20d04h00m24,0
HDFS-1487,TRUE,TRUE,Major,1344602,15d13h30m02,0
HADOOP-7207,TRUE,TRUE,Major,2393845,27d16h57m25,0
HDFS-1998,FALSE,FALSE,Minor,1041803,12d01h23m23,0
HDFS-1999,TRUE,FALSE,Major,31555,00d08h45m55,0
HDFS-534,FALSE,FALSE,Major,107286,01d05h48m06,0
HDFS-1311,FALSE,FALSE,Minor,47897,00d13h18m17,0
HADOOP-6612,TRUE,TRUE,Major,6216631,71d22h50m31,0
HDFS-538,FALSE,TRUE,Major,875798,10d03h16m38,0
HDFS-1206,FALSE,FALSE,Major,15906046,184d02h20m46,0
HDFS-1202,FALSE,FALSE,Major,2099283,24d07h08m03,0
HDFS-1575,TRUE,TRUE,Blocker,11161057,129d04h17m37,0
HDFS-1572,FALSE,FALSE,Blocker,1086178,12d13h42m58,0
HDFS-1474,FALSE,FALSE,Major,63851,00d17h44m11,0
HDFS-885,FALSE,FALSE,Minor,172740,01d23h59m00,0
HDFS-880,TRUE,FALSE,Major,333301,03d20h35m01,0
HDFS-1334,FALSE,FALSE,Major,261998,03d00h46m38,0
HDFS-1500,FALSE,FALSE,Major,10957,00d03h02m37,0
HDFS-1503,FALSE,FALSE,Minor,1072543,12d09h55m43,0
HDFS-900,TRUE,FALSE,Blocker,33363044,386d03h30m44,0
HDFS-1505,FALSE,FALSE,Blocker,15666310,181d07h45m10,0
HDFS-1504,FALSE,FALSE,Minor,4357661,50d10h27m41,0
HDFS-1507,TRUE,TRUE,Minor,81453,00d22h37m33,0
HDFS-1118,FALSE,FALSE,Major,4522477,52d08h14m37,0
HDFS-1112,TRUE,FALSE,Major,2065181,23d21h39m41,0
HDFS-2000,FALSE,FALSE,Major,31207,00d08h40m07,0
HDFS-640,FALSE,FALSE,Major,7159,00d01h59m19,0
HDFS-1808,FALSE,FALSE,Major,1842725,21d07h52m05,0
HDFS-1806,FALSE,FALSE,Major,1231762,14d06h09m22,0
HDFS-722,FALSE,FALSE,Major,73495,00d20h24m55,0
HDFS-877,TRUE,FALSE,Major,9614093,111d06h34m53,1
HDFS-874,FALSE,FALSE,Major,27057632,313d04h00m32,0
HDFS-1602,FALSE,FALSE,Major,1206273,13d23h04m33,0
HDFS-977,FALSE,FALSE,Trivial,40651273,470d12h01m13,0
HDFS-1600,FALSE,FALSE,Major,1179732,13d15h42m12,0
HDFS-1607,FALSE,FALSE,Trivial,169634,01d23h07m14,0
HDFS-970,FALSE,FALSE,Critical,7968459,92d05h27m39,0
HDFS-727,FALSE,TRUE,Blocker,33380539,386d08h22m19,1
HDFS-649,FALSE,FALSE,Major,527945,06d02h39m05,0
HDFS-1891,FALSE,FALSE,Major,157384,01d19h43m04,0
HDFS-1897,FALSE,FALSE,Minor,514627,05d22h57m07,0
HDFS-1898,TRUE,FALSE,Critical,7113,00d01h58m33,0
HDFS-1550,FALSE,FALSE,Blocker,1134846,13d03h14m06,0
HDFS-1978,FALSE,FALSE,Major,29683,00d08h14m43,0
HDFS-1875,TRUE,FALSE,Major,3115581,36d01h26m21,0
HDFS-1876,FALSE,TRUE,Blocker,501,00d00h08m21,0
HDFS-1039,TRUE,FALSE,Major,6749395,78d02h49m55,0
HDFS-119,FALSE,FALSE,Major,11745716,135d22h41m56,0
HDFS-1871,FALSE,FALSE,Major,984,00d00h16m24,0
HDFS-1377,FALSE,FALSE,Blocker,8255068,95d13h04m28,0
HDFS-1371,TRUE,FALSE,Major,22314226,258d06h23m46,0
HDFS-1544,FALSE,FALSE,Major,12461663,144d05h34m23,0
HDFS-1540,FALSE,FALSE,Major,1581068,18d07h11m08,0
HDFS-1543,FALSE,FALSE,Major,9081005,105d02h30m05,0
HDFS-1542,FALSE,FALSE,Critical,1818177,21d01h02m57,0
HDFS-1420,FALSE,FALSE,Major,811887,09d09h31m27,0
HDFS-579,FALSE,FALSE,Major,4164138,48d04h42m18,0
HDFS-1548,FALSE,FALSE,Major,189729,02d04h42m09,0
HDFS-894,TRUE,FALSE,Blocker,3009540,34d19h59m00,0
HDFS-691,FALSE,TRUE,Major,1643414,19d00h30m14,0
HDFS-609,FALSE,FALSE,Blocker,24636537,285d03h28m57,0
HDFS-695,FALSE,FALSE,Major,737061,08d12h44m21,0
HDFS-699,FALSE,FALSE,Major,7945368,91d23h02m48,0
HDFS-751,FALSE,FALSE,Major,774609,08d23h10m09,0
HDFS-756,FALSE,FALSE,Critical,1003137,11d14h38m57,0
HDFS-757,FALSE,FALSE,Major,19517,00d05h25m17,0
HDFS-1010,FALSE,FALSE,Major,3160573,36d13h56m13,0
HDFS-1017,FALSE,FALSE,Major,9738991,112d17h16m31,0
HDFS-1015,TRUE,FALSE,Major,1389475,16d01h57m55,0
HDFS-456,TRUE,TRUE,Blocker,14156860,163d20h27m40,0
HDFS-1019,FALSE,FALSE,Major,7857282,90d22h34m42,0
HDFS-596,FALSE,FALSE,Blocker,6302017,72d22h33m37,0
HDFS-597,FALSE,FALSE,Major,2203606,25d12h06m46,0
HADOOP-7082,FALSE,TRUE,Critical,341399,03d22h49m59,0
HDFS-1007,TRUE,TRUE,Major,11812824,136d17h20m24,0
HADOOP-6285,FALSE,FALSE,Major,340003,03d22h26m43,0
HADOOP-6281,FALSE,FALSE,Major,173296,02d00h08m16,1
HDFS-629,TRUE,FALSE,Major,217656,02d12h27m36,0
HDFS-938,FALSE,FALSE,Major,76135,00d21h08m55,0
HDFS-939,FALSE,TRUE,Blocker,3969703,45d22h41m43,0
HDFS-622,FALSE,FALSE,Major,70954,00d19h42m34,0
HDFS-2014,FALSE,FALSE,Critical,265551,03d01h45m51,0
HDFS-1164,FALSE,FALSE,Major,15221331,176d04h08m51,0
HDFS-1088,FALSE,TRUE,Major,1141782,13d05h09m42,0
HDFS-1085,TRUE,TRUE,Major,8979028,103d22h10m28,0
HDFS-1080,FALSE,FALSE,Major,5624277,65d02h17m57,0
HDFS-2019,FALSE,TRUE,Minor,300801,03d11h33m21,0
HDFS-1938,FALSE,FALSE,Minor,2071,00d00h34m31,0
HDFS-1289,FALSE,FALSE,Major,84764,00d23h32m44,0
HDFS-1934,FALSE,TRUE,Major,1846046,21d08h47m26,0
HDFS-1936,TRUE,TRUE,Blocker,1730877,20d00h47m57,0
