BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MAPREDUCE-2290,FALSE,FALSE,Major,1068,00d00h17m48,0
MAPREDUCE-825,TRUE,FALSE,Minor,1859800,21d12h36m40,0
MAPREDUCE-826,FALSE,FALSE,Trivial,3516649,40d16h50m49,0
MAPREDUCE-2294,FALSE,FALSE,Blocker,6586,00d01h49m46,0
MAPREDUCE-2448,FALSE,FALSE,Minor,245874,02d20h17m54,0
MAPREDUCE-2296,FALSE,FALSE,Trivial,169970,01d23h12m50,0
MAPREDUCE-2445,TRUE,TRUE,Major,515744,05d23h15m44,0
MAPREDUCE-2172,FALSE,FALSE,Major,1396935,16d04h02m15,0
MAPREDUCE-433,TRUE,FALSE,Major,19657396,227d12h23m16,1
MAPREDUCE-430,FALSE,FALSE,Major,5912193,68d10h16m33,1
MAPREDUCE-1728,FALSE,FALSE,Major,65295,00d18h08m15,0
MAPREDUCE-383,FALSE,FALSE,Major,3422992,39d14h49m52,0
MAPREDUCE-1725,TRUE,FALSE,Blocker,3893157,45d01h25m57,0
MAPREDUCE-1727,TRUE,FALSE,Major,172820,02d00h00m20,0
HDFS-1181,FALSE,TRUE,Blocker,871577,10d02h06m17,0
HADOOP-6103,FALSE,TRUE,Major,5011148,57d23h59m08,0
MAPREDUCE-144,TRUE,FALSE,Major,14445730,167d04h42m10,0
MAPREDUCE-1314,TRUE,FALSE,Blocker,3269365,37d20h09m25,0
MAPREDUCE-1316,TRUE,TRUE,Blocker,2785046,32d05h37m26,0
MAPREDUCE-1310,TRUE,FALSE,Major,1633764,18d21h49m24,0
MAPREDUCE-1313,FALSE,FALSE,Major,3263906,37d18h38m26,0
MAPREDUCE-1293,FALSE,FALSE,Major,1476381,17d02h06m21,0
MAPREDUCE-2200,FALSE,FALSE,Major,22064,00d06h07m44,0
MAPREDUCE-1863,FALSE,FALSE,Major,1286593,14d21h23m13,0
MAPREDUCE-1866,FALSE,FALSE,Minor,3791916,43d21h18m36,0
MAPREDUCE-1867,TRUE,FALSE,Minor,11525621,133d09h33m41,0
MAPREDUCE-1864,FALSE,FALSE,Major,1471977,17d00h52m57,0
MAPREDUCE-1865,TRUE,FALSE,Major,2680332,31d00h32m12,0
MAPREDUCE-1942,FALSE,FALSE,Minor,179163,02d01h46m03,0
HADOOP-1126,TRUE,FALSE,Major,162559,01d21h09m19,0
MAPREDUCE-911,FALSE,FALSE,Major,603282,06d23h34m42,0
MAPREDUCE-912,FALSE,FALSE,Major,2061517,23d20h38m37,0
MAPREDUCE-913,TRUE,FALSE,Blocker,24191510,279d23h51m50,0
MAPREDUCE-915,TRUE,TRUE,Blocker,7184986,83d03h49m46,0
MAPREDUCE-1543,TRUE,FALSE,Major,8380884,97d00h01m24,0
MAPREDUCE-1260,FALSE,FALSE,Major,23995,00d06h39m55,0
MAPREDUCE-648,TRUE,TRUE,Minor,7906904,91d12h21m44,0
MAPREDUCE-722,FALSE,FALSE,Major,30936,00d08h35m36,0
MAPREDUCE-834,FALSE,FALSE,Major,1193702,13d19h35m02,0
MAPREDUCE-1267,FALSE,FALSE,Minor,382219,04d10h10m19,0
MAPREDUCE-645,FALSE,FALSE,Minor,19421188,224d18h46m28,0
MAPREDUCE-646,FALSE,FALSE,Major,1031346,11d22h29m06,0
MAPREDUCE-1612,FALSE,FALSE,Major,3323264,38d11h07m44,0
