BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HDFS-9069,TRUE,FALSE,Critical,52746,00d14h39m06,0
HDFS-3008,FALSE,FALSE,Major,48771,00d13h32m51,0
HDFS-3009,FALSE,FALSE,Trivial,7714,00d02h08m34,0
HDFS-3006,FALSE,FALSE,Major,76889,00d21h21m29,0
HDFS-9063,TRUE,FALSE,Major,601042,06d22h57m22,0
HDFS-3005,FALSE,FALSE,Major,1808498,20d22h21m38,0
YARN-5294,TRUE,FALSE,Major,1039625,12d00h47m05,0
HDFS-9067,TRUE,FALSE,Critical,238102,02d18h08m22,0
YARN-5296,FALSE,FALSE,Major,722765,08d08h46m05,0
HADOOP-12667,TRUE,TRUE,Major,24884509,288d00h21m49,0
HDFS-7939,FALSE,FALSE,Critical,2057756,23d19h35m56,0
HDFS-7934,FALSE,FALSE,Critical,2640021,30d13h20m21,0
HDFS-7932,FALSE,FALSE,Major,503188,05d19h46m28,0
HDFS-7930,TRUE,FALSE,Blocker,537136,06d05h12m16,0
HDFS-7931,FALSE,TRUE,Minor,2415521,27d22h58m41,0
MAPREDUCE-3765,TRUE,FALSE,Minor,429539,04d23h18m59,0
HDFS-8446,TRUE,FALSE,Minor,2433699,28d04h01m39,0
HADOOP-13826,TRUE,TRUE,Critical,7942547,91d22h15m47,0
HADOOP-13824,TRUE,FALSE,Major,1946899,22d12h48m19,0
HADOOP-13393,FALSE,FALSE,Major,143122,01d15h45m22,0
HADOOP-13820,FALSE,FALSE,Minor,887537,10d06h32m17,0
HADOOP-7982,FALSE,FALSE,Major,92865,01d01h47m45,0
MAPREDUCE-3866,FALSE,FALSE,Minor,772012,08d22h26m52,0
MAPREDUCE-3867,TRUE,FALSE,Major,5514990,63d19h56m30,0
HADOOP-7986,FALSE,TRUE,Major,69267,00d19h14m27,0
MAPREDUCE-3862,TRUE,FALSE,Major,192631,02d05h30m31,0
YARN-5441,TRUE,FALSE,Major,11417,00d03h10m17,0
HADOOP-7988,FALSE,FALSE,Major,607515,07d00h45m15,0
MAPREDUCE-3869,TRUE,FALSE,Blocker,4632542,53d14h49m02,0
HADOOP-6630,FALSE,FALSE,Major,4228192,48d22h29m52,0
HADOOP-6631,FALSE,FALSE,Major,4757180,55d01h26m20,0
HADOOP-6634,TRUE,FALSE,Major,3717398,43d00h36m38,0
MAPREDUCE-3036,TRUE,TRUE,Blocker,117866,01d08h44m26,0
MAPREDUCE-4048,TRUE,FALSE,Major,3819886,44d05h04m46,0
MAPREDUCE-3035,TRUE,FALSE,Critical,3636572,42d02h09m32,0
MAPREDUCE-3034,TRUE,FALSE,Critical,14554544,168d10h55m44,1
MAPREDUCE-3032,TRUE,FALSE,Blocker,2426810,28d02h06m50,0
MAPREDUCE-3031,TRUE,FALSE,Blocker,620310,07d04h18m30,0
MAPREDUCE-4043,TRUE,FALSE,Blocker,242130,02d19h15m30,0
MAPREDUCE-3030,TRUE,FALSE,Blocker,14707,00d04h05m07,0
HADOOP-14449,FALSE,FALSE,Minor,122594,01d10h03m14,0
HADOOP-14445,TRUE,TRUE,Major,45029002,521d04h03m22,1
HDFS-1692,FALSE,FALSE,Major,9211798,106d14h49m58,0
MAPREDUCE-3762,FALSE,FALSE,Critical,123551,01d10h19m11,0
YARN-541,FALSE,FALSE,Blocker,8674875,100d09h41m15,1
YARN-542,FALSE,FALSE,Major,1312564,15d04h36m04,0
YARN-8404,FALSE,FALSE,Blocker,536632,06d05h03m52,0
YARN-546,FALSE,FALSE,Major,21156453,244d20h47m33,1
YARN-2749,FALSE,FALSE,Major,9623396,111d09h09m56,0
HDFS-8915,FALSE,FALSE,Minor,32306231,373d21h57m11,1
HDFS-8914,FALSE,FALSE,Major,29135715,337d05h15m15,1
YARN-2743,TRUE,TRUE,Blocker,139610,01d14h46m50,0
YARN-2742,FALSE,FALSE,Minor,405744,04d16h42m24,0
YARN-2741,TRUE,FALSE,Major,337588,03d21h46m28,0
HADOOP-13532,FALSE,FALSE,Trivial,247989,02d20h53m09,0
HADOOP-13533,FALSE,FALSE,Minor,221411,02d13h30m11,0
MAPREDUCE-3248,FALSE,FALSE,Blocker,70827,00d19h40m27,0
HDFS-6517,FALSE,FALSE,Major,4831139,55d21h58m59,0
MAPREDUCE-3240,TRUE,FALSE,Blocker,509206,05d21h26m46,0
YARN-1295,FALSE,FALSE,Major,420656,04d20h50m56,0
MAPREDUCE-3242,FALSE,FALSE,Major,1897,00d00h31m37,0
HDFS-6518,FALSE,FALSE,Major,448135,05d04h28m55,0
YARN-1293,FALSE,FALSE,Major,7766755,89d21h25m55,0
YARN-3839,TRUE,FALSE,Major,59383073,687d07h17m53,0
YARN-3832,FALSE,FALSE,Critical,443309,05d03h08m29,0
HDFS-4006,FALSE,FALSE,Major,259055,02d23h57m35,0
YARN-3830,TRUE,FALSE,Major,1064202,12d07h36m42,0
HDFS-4003,FALSE,FALSE,Major,413924,04d18h58m44,0
YARN-3837,FALSE,FALSE,Minor,1432021,16d13h47m01,0
YARN-3835,FALSE,TRUE,Minor,261114,03d00h31m54,0
YARN-6714,TRUE,FALSE,Major,2757756,31d22h02m36,0
HDFS-7201,FALSE,FALSE,Major,699947,08d02h25m47,0
HDFS-7202,FALSE,FALSE,Minor,149106,01d17h25m06,0
HDFS-7203,TRUE,FALSE,Blocker,85075,00d23h37m55,0
HDFS-7204,FALSE,FALSE,Blocker,1191259,13d18h54m19,0
HDFS-7208,TRUE,FALSE,Major,682549,07d21h35m49,0
HADOOP-6963,FALSE,FALSE,Critical,48687796,563d12h23m16,1
YARN-6248,FALSE,FALSE,Major,378613,04d09h10m13,0
HADOOP-8721,TRUE,FALSE,Critical,5048794,58d10h26m34,0
HADOOP-8726,TRUE,TRUE,Major,448175,05d04h29m35,0
HADOOP-8727,FALSE,FALSE,Major,485919,05d14h58m39,0
HADOOP-8725,FALSE,FALSE,Blocker,45244,00d12h34m04,0
YARN-2405,TRUE,FALSE,Major,1511693,17d11h54m53,0
YARN-2400,FALSE,FALSE,Major,169944,01d23h12m24,1
HDFS-6159,FALSE,FALSE,Major,802328,09d06h52m08,0
YARN-2409,TRUE,FALSE,Critical,629932,07d06h58m52,0
MAPREDUCE-6740,TRUE,TRUE,Minor,6683299,77d08h28m19,0
MAPREDUCE-6210,FALSE,FALSE,Minor,799671,09d06h07m51,0
HADOOP-13392,TRUE,FALSE,Major,180976,02d02h16m16,0
MAPREDUCE-6744,FALSE,FALSE,Major,279794,03d05h43m14,0
MAPREDUCE-6213,FALSE,FALSE,Minor,6267016,72d12h50m16,0
YARN-8858,TRUE,FALSE,Major,2421734,28d00h42m14,1
HADOOP-7981,FALSE,FALSE,Major,435785,05d01h03m05,0
HDFS-12024,FALSE,FALSE,Major,27694,00d07h41m34,0
HDFS-13772,FALSE,FALSE,Trivial,2131094,24d15h58m14,0
HDFS-13774,FALSE,FALSE,Minor,3021074,34d23h11m14,0
YARN-7595,TRUE,FALSE,Major,1235330,14d07h08m50,1
YARN-7594,FALSE,FALSE,Major,227732,02d15h15m32,0
YARN-7591,FALSE,FALSE,Critical,663562,07d16h19m22,0
YARN-7598,FALSE,FALSE,Major,12393904,143d10h45m04,0
YARN-7048,FALSE,FALSE,Major,348251,04d00h44m11,0
HDFS-5516,FALSE,FALSE,Major,10634727,123d02h05m27,0
HDFS-5517,FALSE,FALSE,Major,96068771,1111d21h46m11,1
HDFS-5512,FALSE,FALSE,Major,443158,05d03h05m58,0
HDFS-5513,TRUE,FALSE,Minor,501382,05d19h16m22,0
HDFS-3581,FALSE,FALSE,Major,334043,03d20h47m23,0
HADOOP-7210,TRUE,FALSE,Major,208412,02d09h53m32,0
HADOOP-7216,FALSE,FALSE,Major,62065,00d17h14m25,0
HADOOP-7215,FALSE,TRUE,Blocker,4661657,53d22h54m17,0
