BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HAMA-739,FALSE,FALSE,Major,2017,00d00h33m37,0
HAMA-812,FALSE,FALSE,Minor,2850417,32d23h46m57,0
HAMA-730,FALSE,FALSE,Major,94,00d00h01m34,0
HAMA-731,FALSE,FALSE,Major,1801287,20d20h21m27,0
HAMA-957,TRUE,FALSE,Trivial,2174545,25d04h02m25,0
HAMA-952,FALSE,FALSE,Major,2569424,29d17h43m44,0
HAMA-950,FALSE,FALSE,Major,1101870,12d18h04m30,0
HAMA-951,TRUE,FALSE,Major,3024532,35d00h08m52,0
HAMA-667,FALSE,FALSE,Major,202344,02d08h12m24,0
HAMA-659,TRUE,FALSE,Minor,346504,04d00h15m04,0
HAMA-782,FALSE,FALSE,Major,255247,02d22h54m07,0
HAMA-780,FALSE,FALSE,Major,774301,08d23h05m01,0
HAMA-789,TRUE,FALSE,Major,3955838,45d18h50m38,0
HAMA-657,FALSE,FALSE,Major,29875,00d08h17m55,0
HAMA-821,FALSE,FALSE,Major,83988,00d23h19m48,0
HAMA-729,FALSE,FALSE,Trivial,1032,00d00h17m12,0
HAMA-943,FALSE,FALSE,Major,99193,01d03h33m13,0
HAMA-947,FALSE,FALSE,Major,3584994,41d11h49m54,0
HAMA-628,FALSE,FALSE,Major,244895,02d20h01m35,0
HAMA-621,FALSE,FALSE,Blocker,531280,06d03h34m40,0
HAMA-834,TRUE,FALSE,Major,1536574,17d18h49m34,1
HAMA-837,TRUE,FALSE,Major,1274358,14d17h59m18,0
HAMA-757,TRUE,FALSE,Major,165550,01d21h59m10,0
HAMA-831,TRUE,FALSE,Major,249813,02d21h23m33,0
HAMA-830,TRUE,FALSE,Major,324851,03d18h14m11,0
HAMA-682,FALSE,FALSE,Trivial,3863,00d01h04m23,0
HAMA-935,TRUE,FALSE,Blocker,1414734,16d08h58m54,0
HAMA-931,TRUE,FALSE,Blocker,1545526,17d21h18m46,0
HAMA-635,FALSE,FALSE,Major,35766,00d09h56m06,0
HAMA-633,FALSE,FALSE,Major,210348,02d10h25m48,0
HAMA-437,TRUE,FALSE,Major,642475,07d10h27m55,0
HAMA-745,TRUE,FALSE,Major,66758,00d18h32m38,0
HAMA-929,TRUE,FALSE,Major,598333,06d22h12m13,0
HAMA-928,TRUE,FALSE,Major,948238,10d23h23m58,0
HAMA-922,FALSE,FALSE,Major,12214654,141d08h57m34,0
HAMA-844,TRUE,FALSE,Minor,4580023,53d00h13m43,0
HAMA-845,FALSE,FALSE,Major,668912,07d17h48m32,0
HAMA-595,FALSE,FALSE,Major,513145,05d22h32m25,0
HAMA-590,FALSE,FALSE,Major,415780,04d19h29m40,1
HAMA-1002,FALSE,FALSE,Major,5847641,67d16h20m41,0
HAMA-608,TRUE,FALSE,Major,429651,04d23h20m51,0
HAMA-661,FALSE,FALSE,Major,123,00d00h02m03,0
HAMA-662,FALSE,FALSE,Blocker,23984,00d06h39m44,0
HAMA-911,FALSE,FALSE,Minor,18816660,217d18h51m00,0
HAMA-755,FALSE,FALSE,Minor,310393,03d14h13m13,0
HAMA-668,FALSE,FALSE,Major,1034199,11d23h16m39,0
HAMA-669,TRUE,FALSE,Major,78515,00d21h48m35,0
HAMA-756,TRUE,FALSE,Blocker,173687,02d00h14m47,1
