BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HBASE-12791,TRUE,FALSE,Critical,1028517,11d21h41m57,0
HBASE-12798,TRUE,TRUE,Major,785189,09d02h06m29,0
HBASE-659,TRUE,FALSE,Blocker,117986,01d08h46m26,0
HBASE-9593,TRUE,TRUE,Major,3061011,35d10h16m51,0
HBASE-9590,FALSE,FALSE,Trivial,2572836,29d18h40m36,0
HBASE-9597,FALSE,FALSE,Major,12585,00d03h29m45,0
HBASE-9598,FALSE,FALSE,Major,2279809,26d09h16m49,0
HBASE-654,TRUE,FALSE,Blocker,455526,05d06h32m06,0
HBASE-17746,FALSE,FALSE,Major,488672,05d15h44m32,0
HBASE-1276,FALSE,FALSE,Major,18009744,208d10h42m24,0
HBASE-1277,FALSE,FALSE,Major,742,00d00h12m22,0
HBASE-1274,FALSE,FALSE,Minor,302441,03d12h00m41,0
HBASE-1275,FALSE,FALSE,Major,3130,00d00h52m10,0
HBASE-1272,FALSE,FALSE,Blocker,5400627,62d12h10m27,0
HBASE-1270,FALSE,FALSE,Minor,2068,00d00h34m28,0
HBASE-1279,FALSE,FALSE,Major,3901597,45d03h46m37,0
HBASE-9044,TRUE,FALSE,Major,93482,01d01h58m02,0
HBASE-9041,FALSE,FALSE,Critical,697787,08d01h49m47,0
HBASE-9049,TRUE,FALSE,Major,426559,04d22h29m19,0
HBASE-9048,FALSE,FALSE,Minor,5924,00d01h38m44,0
HBASE-21559,FALSE,FALSE,Major,71228,00d19h47m08,0
HBASE-7992,FALSE,FALSE,Major,1282677,14d20h17m57,0
HBASE-16409,FALSE,FALSE,Minor,1135466,13d03h24m26,1
HBASE-15218,TRUE,FALSE,Blocker,41794,00d11h36m34,0
HBASE-12539,FALSE,FALSE,Minor,10214,00d02h50m14,0
HBASE-12248,FALSE,FALSE,Minor,14262,00d03h57m42,0
HBASE-12247,TRUE,FALSE,Major,85467,00d23h44m27,0
HBASE-12532,FALSE,TRUE,Major,9586,00d02h39m46,1
HBASE-12533,TRUE,FALSE,Major,662176,07d15h56m16,0
HBASE-12242,FALSE,FALSE,Trivial,9746,00d02h42m26,0
HBASE-12535,FALSE,TRUE,Major,23237,00d06h27m17,0
HBASE-15216,FALSE,FALSE,Major,435148,05d00h52m28,0
HBASE-12537,FALSE,FALSE,Major,1072335,12d09h52m15,0
HBASE-11049,FALSE,FALSE,Minor,179835,02d01h57m15,0
HBASE-13119,TRUE,FALSE,Major,93498,01d01h58m18,0
HBASE-15811,FALSE,FALSE,Blocker,282576,03d06h29m36,0
HBASE-13115,TRUE,FALSE,Major,417562,04d19h59m22,0
HBASE-13114,TRUE,FALSE,Major,1827087,21d03h31m27,0
HBASE-13111,FALSE,FALSE,Major,8293,00d02h18m13,0
HBASE-13112,FALSE,FALSE,Major,59615,00d16h33m35,0
HBASE-21644,TRUE,FALSE,Critical,3079967,35d15h32m47,0
HBASE-21646,FALSE,FALSE,Major,148983,01d17h23m03,0
HBASE-16544,FALSE,FALSE,Major,545282,06d07h28m02,0
HBASE-16547,FALSE,FALSE,Trivial,2333,00d00h38m53,0
HBASE-16540,TRUE,FALSE,Major,1698066,19d15h41m06,0
HBASE-8312,FALSE,FALSE,Major,36803,00d10h13m23,0
HBASE-8313,TRUE,FALSE,Minor,41691,00d11h34m51,0
