BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HELIX-550,FALSE,FALSE,Critical,10368876,120d00h14m36,1
HELIX-552,TRUE,FALSE,Major,10273522,118d21h45m22,1
HELIX-395,TRUE,FALSE,Major,15355263,177d17h21m03,1
HELIX-555,FALSE,FALSE,Blocker,10084443,116d17h14m03,1
HELIX-390,FALSE,FALSE,Major,316131,03d15h48m51,0
HELIX-491,FALSE,FALSE,Major,5970,00d01h39m30,0
HELIX-495,FALSE,FALSE,Major,586808,06d19h00m08,0
HELIX-394,TRUE,FALSE,Major,15437403,178d16h10m03,1
HELIX-398,TRUE,FALSE,Major,25883,00d07h11m23,0
HELIX-399,TRUE,FALSE,Major,4707,00d01h18m27,0
HELIX-41,TRUE,FALSE,Major,3782349,43d18h39m09,0
HELIX-40,TRUE,FALSE,Major,24596116,284d16h15m16,1
HELIX-44,FALSE,FALSE,Major,3460893,40d01h21m33,0
HELIX-47,TRUE,FALSE,Major,23391866,270d17h44m26,1
HELIX-46,TRUE,FALSE,Major,23653229,273d18h20m29,1
HELIX-48,FALSE,FALSE,Major,23391927,270d17h45m27,1
HELIX-464,TRUE,FALSE,Major,9930,00d02h45m30,0
HELIX-465,TRUE,FALSE,Major,4713,00d01h18m33,0
HELIX-466,TRUE,FALSE,Major,9196,00d02h33m16,0
HELIX-305,FALSE,FALSE,Blocker,2729,00d00h45m29,0
HELIX-155,FALSE,FALSE,Major,168,00d00h02m48,0
HELIX-306,FALSE,FALSE,Major,1071,00d00h17m51,0
HELIX-150,FALSE,FALSE,Minor,261897,03d00h44m57,0
HELIX-151,FALSE,FALSE,Minor,605107,07d00h05m07,0
HELIX-153,TRUE,FALSE,Minor,2168811,25d02h26m51,0
HELIX-264,TRUE,FALSE,Critical,609855,07d01h24m15,0
HELIX-288,FALSE,FALSE,Major,1705,00d00h28m25,0
HELIX-521,TRUE,FALSE,Major,14960386,173d03h39m46,1
HELIX-30,TRUE,FALSE,Major,5196345,60d03h25m45,0
HELIX-216,FALSE,FALSE,Major,5100434,59d00h47m14,0
HELIX-257,TRUE,FALSE,Critical,1814903,21d00h08m23,0
HELIX-410,TRUE,FALSE,Major,162499,01d21h08m19,0
HELIX-412,FALSE,FALSE,Major,279,00d00h04m39,0
HELIX-414,FALSE,FALSE,Major,52182,00d14h29m42,0
HELIX-653,TRUE,FALSE,Major,9124,00d02h32m04,0
HELIX-650,TRUE,FALSE,Major,4746736,54d22h32m16,1
HELIX-657,TRUE,FALSE,Major,759573,08d18h59m33,0
HELIX-258,FALSE,FALSE,Critical,1539319,17d19h35m19,0
HELIX-537,FALSE,FALSE,Blocker,11571163,133d22h12m43,1
HELIX-631,TRUE,FALSE,Major,37408896,432d23h21m36,1
HELIX-633,TRUE,FALSE,Major,1316884,15d05h48m04,0
HELIX-635,TRUE,FALSE,Major,1921683,22d05h48m03,0
HELIX-634,TRUE,FALSE,Major,1316687,15d05h44m47,0
HELIX-637,TRUE,FALSE,Major,703574,08d03h26m14,0
HELIX-636,TRUE,FALSE,Major,600711,06d22h51m51,1
HELIX-25,TRUE,FALSE,Major,6121129,70d20h18m49,0
HELIX-24,FALSE,FALSE,Major,213,00d00h03m33,0
HELIX-129,TRUE,FALSE,Major,1003,00d00h16m43,0
HELIX-549,FALSE,FALSE,Blocker,10370397,120d00h39m57,1
HELIX-350,TRUE,FALSE,Critical,7413311,85d19h15m11,0
HELIX-622,TRUE,FALSE,Major,19949747,230d21h35m47,0
HELIX-648,TRUE,FALSE,Major,4823209,55d19h46m49,1
HELIX-649,FALSE,FALSE,Major,4747615,54d22h46m55,1
HELIX-132,TRUE,FALSE,Major,37389803,432d18h03m23,1
HELIX-133,FALSE,FALSE,Major,3631787,42d00h49m47,0
HELIX-646,FALSE,FALSE,Major,2064708,23d21h31m48,0
HELIX-131,TRUE,FALSE,Major,604254,06d23h50m54,0
HELIX-12,TRUE,FALSE,Major,5546314,64d04h38m34,1
HELIX-623,TRUE,FALSE,Major,19949395,230d21h29m55,0
HELIX-10,FALSE,FALSE,Major,339684,03d22h21m24,0
