BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HIVE-9303,FALSE,FALSE,Major,2247587,26d00h19m47,0
HIVE-9300,FALSE,FALSE,Major,69494,00d19h18m14,0
HIVE-9301,FALSE,FALSE,Major,52711,00d14h38m31,0
HIVE-3475,TRUE,FALSE,Minor,25289831,292d16h57m11,0
HIVE-9309,FALSE,FALSE,Major,403595,04d16h06m35,0
HIVE-21561,FALSE,FALSE,Major,250597,02d21h36m37,0
HIVE-21564,FALSE,FALSE,Major,1214913,14d01h28m33,0
HIVE-6840,FALSE,FALSE,Major,234650,02d17h10m50,0
HIVE-21568,FALSE,FALSE,Major,607412,07d00h43m32,0
HIVE-6843,FALSE,FALSE,Minor,1659603,19d05h00m03,0
HIVE-6845,FALSE,FALSE,Major,332349,03d20h19m09,0
HIVE-6846,TRUE,FALSE,Major,325348,03d18h22m28,0
HIVE-6847,TRUE,FALSE,Major,13206640,152d20h30m40,0
HIVE-11595,FALSE,TRUE,Major,889739,10d07h08m59,0
HIVE-13878,TRUE,TRUE,Major,9474989,109d15h56m29,0
HIVE-13876,FALSE,FALSE,Critical,436626,05d01h17m06,0
HIVE-13874,TRUE,TRUE,Critical,7351618,85d02h06m58,0
HIVE-13872,TRUE,FALSE,Major,2357116,27d06h45m16,0
HIVE-13870,FALSE,FALSE,Major,408067,04d17h21m07,0
HIVE-16067,FALSE,FALSE,Major,55279,00d15h21m19,0
HIVE-14479,TRUE,FALSE,Major,340316,03d22h31m56,0
HIVE-21706,TRUE,FALSE,Major,431932,04d23h58m52,0
HIVE-21700,FALSE,FALSE,Major,57646,00d16h00m46,0
HIVE-3658,FALSE,FALSE,Major,516824,05d23h33m44,0
HIVE-3659,FALSE,FALSE,Major,636673,07d08h51m13,0
HIVE-3654,FALSE,FALSE,Major,545354,06d07h29m14,0
HIVE-6374,TRUE,FALSE,Major,8411487,97d08h31m27,0
HIVE-3651,FALSE,FALSE,Major,603682,06d23h41m22,0
HIVE-6848,TRUE,FALSE,Major,147983,01d17h06m23,0
HIVE-12766,FALSE,FALSE,Major,584751,06d18h25m51,0
HIVE-7353,TRUE,FALSE,Major,4407445,51d00h17m25,0
HIVE-7423,FALSE,FALSE,Major,90923,01d01h15m23,0
HIVE-13298,FALSE,FALSE,Major,401181,04d15h26m21,0
HIVE-13299,FALSE,FALSE,Major,165302,01d21h55m02,0
HIVE-6841,FALSE,FALSE,Critical,303094,03d12h11m34,0
HIVE-13293,FALSE,FALSE,Major,5363979,62d01h59m39,0
HIVE-13291,FALSE,FALSE,Major,483820,05d14h23m40,0
HIVE-13296,FALSE,FALSE,Critical,616740,07d03h19m00,0
HIVE-13294,FALSE,FALSE,Major,445844,05d03h50m44,0
HIVE-7424,TRUE,FALSE,Major,1128836,13d01h33m56,0
HIVE-5301,TRUE,FALSE,Major,697304,08d01h41m44,0
HIVE-7426,FALSE,FALSE,Major,1885393,21d19h43m13,0
HIVE-11586,TRUE,FALSE,Major,426208,04d22h23m28,0
HIVE-18968,TRUE,FALSE,Major,368036,04d06h13m56,0
HIVE-18965,FALSE,FALSE,Major,502763,05d19h39m23,0
HIVE-18967,FALSE,FALSE,Major,686924,07d22h48m44,0
HIVE-18963,TRUE,FALSE,Major,1622712,18d18h45m12,0
HIVE-18962,TRUE,FALSE,Major,152898,01d18h28m18,0
HIVE-13128,FALSE,FALSE,Critical,75694,00d21h01m34,0
HIVE-13126,FALSE,FALSE,Major,82992,00d23h03m12,0
HIVE-12904,FALSE,FALSE,Critical,372813,04d07h33m33,0
HIVE-16518,TRUE,FALSE,Major,666629,07d17h10m29,0
HIVE-16519,FALSE,FALSE,Major,86712,01d00h05m12,0
HIVE-16513,TRUE,FALSE,Major,928331,10d17h52m11,0
HIVE-16510,FALSE,FALSE,Critical,302772,03d12h06m12,0
HIVE-16511,FALSE,FALSE,Major,14802059,171d07h40m59,0
HIVE-2650,FALSE,FALSE,Major,4161,00d01h09m21,0
HIVE-2654,TRUE,FALSE,Major,103128,01d04h38m48,0
HIVE-2657,FALSE,FALSE,Major,14302,00d03h58m22,0
HIVE-10726,FALSE,TRUE,Major,201925,02d08h05m25,0
HIVE-14874,FALSE,FALSE,Trivial,381,00d00h06m21,0
HIVE-5482,FALSE,FALSE,Major,1487206,17d05h06m46,0
HIVE-5484,FALSE,FALSE,Major,146460,01d16h41m00,0
HIVE-10721,TRUE,FALSE,Major,266482,03d02h01m22,0
