BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HTTPASYNC-84,FALSE,FALSE,Major,233554,02d16h52m34,0
HTTPASYNC-86,FALSE,FALSE,Major,5166297,59d19h04m57,0
HTTPASYNC-81,TRUE,FALSE,Minor,153360,01d18h36m00,0
HTTPASYNC-88,TRUE,FALSE,Major,80101,00d22h15m01,0
HTTPCLIENT-1359,FALSE,FALSE,Major,71696,00d19h54m56,0
HTTPCLIENT-1442,FALSE,FALSE,Major,199577,02d07h26m17,0
HTTPCLIENT-1446,FALSE,FALSE,Major,37090,00d10h18m10,0
HTTPASYNC-56,FALSE,FALSE,Major,249746,02d21h22m26,0
HTTPASYNC-79,FALSE,FALSE,Major,1995716,23d02h21m56,0
HTTPASYNC-55,FALSE,FALSE,Major,88043,01d00h27m23,0
HTTPASYNC-52,FALSE,FALSE,Minor,34217,00d09h30m17,0
HTTPCLIENT-1186,FALSE,FALSE,Critical,71436,00d19h50m36,0
HTTPASYNC-51,FALSE,FALSE,Major,56270,00d15h37m50,0
HTTPASYNC-73,FALSE,FALSE,Major,498428,05d18h27m08,0
HTTPASYNC-74,TRUE,FALSE,Major,582586,06d17h49m46,0
HTTPASYNC-34,TRUE,FALSE,Blocker,741155,08d13h52m35,0
HTTPCLIENT-1345,FALSE,FALSE,Major,2287192,26d11h19m52,0
HTTPASYNC-11,FALSE,FALSE,Major,81355,00d22h35m55,0
HTTPASYNC-15,FALSE,FALSE,Major,260977,03d00h29m37,0
HTTPASYNC-18,FALSE,FALSE,Critical,184465,02d03h14m25,0
HTTPASYNC-19,TRUE,FALSE,Major,881502,10d04h51m42,0
HTTPASYNC-92,FALSE,FALSE,Blocker,74849,00d20h47m29,0
HTTPCLIENT-1344,FALSE,FALSE,Major,2287632,26d11h27m12,0
HTTPASYNC-90,FALSE,FALSE,Major,10345,00d02h52m25,0
HTTPCLIENT-1224,FALSE,FALSE,Major,1648201,19d01h50m01,1
HTTPASYNC-2,TRUE,FALSE,Minor,84472,00d23h27m52,0
HTTPCLIENT-1405,FALSE,FALSE,Major,55057,00d15h17m37,0
HTTPASYNC-6,FALSE,FALSE,Critical,266183,03d01h56m23,0
HTTPASYNC-9,FALSE,FALSE,Major,7383244,85d10h54m04,0
HTTPASYNC-40,TRUE,FALSE,Minor,8566512,99d03h35m12,0
HTTPASYNC-69,FALSE,FALSE,Major,16874,00d04h41m14,0
HTTPASYNC-68,FALSE,FALSE,Major,14837,00d04h07m17,0
HTTPASYNC-45,TRUE,FALSE,Major,44215,00d12h16m55,0
HTTPASYNC-44,FALSE,FALSE,Major,44203,00d12h16m43,0
HTTPASYNC-46,TRUE,FALSE,Minor,8000367,92d14h19m27,0
HTTPASYNC-63,FALSE,FALSE,Major,7456,00d02h04m16,0
HTTPASYNC-60,FALSE,FALSE,Major,1137,00d00h18m57,0
HTTPASYNC-65,FALSE,FALSE,Major,18853,00d05h14m13,0
HTTPASYNC-64,TRUE,FALSE,Major,1606301,18d14h11m41,0
HTTPASYNC-26,FALSE,FALSE,Critical,44452,00d12h20m52,0
HTTPASYNC-3,FALSE,FALSE,Critical,230198,02d15h56m38,0
HTTPASYNC-21,TRUE,FALSE,Major,1457724,16d20h55m24,0
HTTPASYNC-20,FALSE,FALSE,Major,3763866,43d13h31m06,0
HTTPCLIENT-1397,FALSE,FALSE,Minor,1933926,22d09h12m06,0
HTTPASYNC-28,FALSE,FALSE,Major,52143,00d14h29m03,0
