BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HTTPCLIENT-1565,FALSE,FALSE,Major,66283,00d18h24m43,0
HTTPCLIENT-1563,FALSE,FALSE,Major,243765,02d19h42m45,0
HTTPCLIENT-1405,FALSE,FALSE,Major,55057,00d15h17m37,0
HTTPCORE-398,FALSE,FALSE,Major,231764,02d16h22m44,0
HTTPCLIENT-1767,FALSE,FALSE,Major,64605,00d17h56m45,0
HTTPCLIENT-1760,FALSE,FALSE,Major,770000,08d21h53m20,0
HTTPCLIENT-853,TRUE,FALSE,Major,258592,02d23h49m52,0
HTTPCLIENT-852,FALSE,FALSE,Major,318447,03d16h27m27,0
HTTPCLIENT-856,FALSE,FALSE,Major,27340,00d07h35m40,0
HTTPCLIENT-859,FALSE,FALSE,Major,64314,00d17h51m54,0
HTTPCLIENT-2009,TRUE,FALSE,Minor,40602,00d11h16m42,0
HTTPCLIENT-1662,FALSE,FALSE,Major,50373,00d13h59m33,0
HTTPCLIENT-1667,FALSE,FALSE,Major,276717,03d04h51m57,0
HTTPCLIENT-1668,FALSE,FALSE,Major,235231,02d17h20m31,0
HTTPCLIENT-1100,FALSE,FALSE,Major,175559,02d00h45m59,0
HTTPCLIENT-1107,TRUE,FALSE,Major,15661058,181d06h17m38,1
HTTPCLIENT-1066,FALSE,FALSE,Minor,403158,04d15h59m18,0
HTTPCLIENT-822,TRUE,FALSE,Major,1054575,12d04h56m15,0
HTTPCLIENT-1061,TRUE,FALSE,Critical,57993,00d16h06m33,0
HTTPCLIENT-1069,FALSE,FALSE,Minor,72314,00d20h05m14,0
HTTPCLIENT-981,FALSE,FALSE,Major,441803,05d02h43m23,0
HTTPCLIENT-980,FALSE,FALSE,Minor,15352,00d04h15m52,0
HTTPCLIENT-985,FALSE,FALSE,Major,23387,00d06h29m47,0
HTTPCLIENT-987,TRUE,FALSE,Major,173942,02d00h19m02,0
HTTPCLIENT-986,TRUE,FALSE,Major,278794,03d05h26m34,0
HTTPCLIENT-989,FALSE,FALSE,Major,84285,00d23h24m45,0
HTTPCLIENT-1991,FALSE,FALSE,Minor,479578,05d13h12m58,0
HTTPCLIENT-1992,TRUE,FALSE,Major,228270,02d15h24m30,0
HTTPCLIENT-1997,FALSE,FALSE,Major,170401,01d23h20m01,0
HTTPCLIENT-763,TRUE,FALSE,Major,411,00d00h06m51,0
HTTPCLIENT-765,FALSE,FALSE,Major,438080,05d01h41m20,0
HTTPCLIENT-767,FALSE,FALSE,Major,102633,01d04h30m33,0
HTTPCLIENT-769,TRUE,FALSE,Critical,94980,01d02h23m00,0
HTTPCLIENT-1200,TRUE,FALSE,Major,16825,00d04h40m25,0
HTTPCLIENT-1202,TRUE,FALSE,Minor,84500,00d23h28m20,1
HTTPCLIENT-1611,FALSE,FALSE,Major,103583,01d04h46m23,0
HTTPCLIENT-1192,FALSE,FALSE,Major,333403,03d20h36m43,0
HTTPCLIENT-1193,FALSE,FALSE,Major,2786,00d00h46m26,0
HTTPCLIENT-1195,TRUE,FALSE,Major,2750771,31d20h06m11,1
HTTPCLIENT-1198,TRUE,FALSE,Major,183794,02d03h03m14,1
HTTPCLIENT-1199,TRUE,FALSE,Major,271859,03d03h30m59,0
HTTPCLIENT-837,FALSE,FALSE,Minor,16698,00d04h38m18,0
HTTPCLIENT-1299,TRUE,FALSE,Major,7753834,89d17h50m34,1
HTTPCLIENT-1298,TRUE,FALSE,Major,630149,07d07h02m29,0
HTTPCLIENT-1924,TRUE,FALSE,Major,528503,06d02h48m23,0
HTTPCLIENT-1291,FALSE,FALSE,Major,8835,00d02h27m15,0
HTTPCLIENT-1290,FALSE,FALSE,Major,98544,01d03h22m24,0
HTTPCLIENT-1296,TRUE,FALSE,Critical,38131,00d10h35m31,0
HTTPCLIENT-1294,TRUE,FALSE,Major,11050374,127d21h32m54,0
HTTPCLIENT-617,TRUE,FALSE,Minor,25540462,295d14h34m22,0
HTTPCLIENT-613,FALSE,FALSE,Critical,214780,02d11h39m40,0
HTTPCLIENT-1455,FALSE,FALSE,Minor,4243,00d01h10m43,0
HTTPCLIENT-1338,FALSE,FALSE,Major,436275,05d01h11m15,0
HTTPCLIENT-1442,FALSE,FALSE,Major,199577,02d07h26m17,0
HTTPCLIENT-1443,TRUE,FALSE,Minor,248022,02d20h53m42,0
HTTPCLIENT-1440,FALSE,FALSE,Major,44932,00d12h28m52,0
HTTPCLIENT-1441,TRUE,FALSE,Major,23140,00d06h25m40,0
HTTPCLIENT-1446,FALSE,FALSE,Major,37090,00d10h18m10,0
HTTPCLIENT-1331,FALSE,FALSE,Major,414173,04d19h02m53,0
HTTPCLIENT-1324,TRUE,FALSE,Minor,2381,00d00h39m41,0
HTTPCLIENT-1685,TRUE,FALSE,Minor,860042,09d22h54m02,0
HTTPCLIENT-687,FALSE,FALSE,Critical,4485640,51d22h00m40,0
HTTPCLIENT-688,TRUE,FALSE,Trivial,7033043,81d09h37m23,0
HTTPCLIENT-1024,FALSE,FALSE,Major,895333,10d08h42m13,0
HTTPCLIENT-1536,FALSE,FALSE,Major,31889,00d08h51m29,0
HTTPCLIENT-1537,FALSE,FALSE,Major,247526,02d20h45m26,0
HTTPCLIENT-1535,FALSE,FALSE,Major,127107,01d11h18m27,0
HTTPCLIENT-1531,FALSE,FALSE,Major,74418,00d20h40m18,0
HTTPCLIENT-1437,TRUE,FALSE,Major,11737,00d03h15m37,0
HTTPCLIENT-1435,FALSE,FALSE,Major,3065,00d00h51m05,0
HTTPCLIENT-1431,TRUE,FALSE,Major,68238,00d18h57m18,0
HTTPCLIENT-1312,FALSE,FALSE,Minor,22009,00d06h06m49,0
HTTPCLIENT-869,FALSE,FALSE,Major,81773,00d22h42m53,0
HTTPCLIENT-860,TRUE,FALSE,Major,370425,04d06h53m45,0
HTTPCLIENT-861,TRUE,FALSE,Minor,36978,00d10h16m18,1
HTTPCLIENT-866,TRUE,FALSE,Critical,1101108,12d17h51m48,0
HTTPCLIENT-1026,TRUE,FALSE,Major,3111700,36d00h21m40,0
HTTPCLIENT-865,FALSE,FALSE,Major,10106757,116d23h25m57,0
HTTPCLIENT-944,FALSE,FALSE,Trivial,1570633,18d04h17m13,0
HTTPCLIENT-940,FALSE,FALSE,Minor,78931,00d21h55m31,0
HTTPCLIENT-942,FALSE,FALSE,Minor,2490657,28d19h50m57,0
