BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HTTPCORE-316,FALSE,FALSE,Major,151539,01d18h05m39,0
HTTPCORE-559,FALSE,FALSE,Major,27281,00d07h34m41,0
HTTPCORE-314,FALSE,FALSE,Major,178,00d00h02m58,0
HTTPCORE-315,FALSE,FALSE,Major,48946,00d13h35m46,0
HTTPCORE-312,FALSE,FALSE,Critical,96870,01d02h54m30,0
HTTPCORE-313,TRUE,FALSE,Major,108286,01d06h04m46,0
HTTPCORE-310,TRUE,FALSE,Major,256946,02d23h22m26,0
HTTPCORE-319,FALSE,FALSE,Critical,8207433,94d23h50m33,1
HTTPCORE-257,TRUE,FALSE,Major,18935103,219d03h45m03,1
HTTPCORE-80,FALSE,FALSE,Major,3572,00d00h59m32,0
HTTPCORE-255,FALSE,FALSE,Major,457751,05d07h09m11,0
HTTPCORE-254,FALSE,FALSE,Major,258,00d00h04m18,0
HTTPCORE-161,FALSE,FALSE,Minor,3866790,44d18h06m30,0
HTTPCORE-160,FALSE,FALSE,Major,101828,01d04h17m08,0
HTTPCORE-163,FALSE,FALSE,Major,25430,00d07h03m50,0
HTTPCORE-399,TRUE,FALSE,Major,101569,01d04h12m49,0
HTTPCORE-396,FALSE,FALSE,Minor,59381,00d16h29m41,0
HTTPCORE-397,TRUE,FALSE,Minor,252401,02d22h06m41,0
HTTPCORE-395,FALSE,FALSE,Major,178757,02d01h39m17,0
HTTPCORE-169,FALSE,FALSE,Critical,228868,02d15h34m28,0
HTTPCORE-417,FALSE,FALSE,Critical,655284,07d14h01m24,0
HTTPCORE-416,FALSE,FALSE,Major,363700,04d05h01m40,0
HTTPCORE-228,TRUE,FALSE,Major,1806674,20d21h51m14,0
HTTPCORE-198,FALSE,FALSE,Major,31905,00d08h51m45,0
HTTPCORE-199,TRUE,FALSE,Major,352242,04d01h50m42,0
HTTPCLIENT-1914,FALSE,FALSE,Minor,195506,02d06h18m26,0
HTTPCORE-190,TRUE,FALSE,Minor,1071314,12d09h35m14,0
HTTPCORE-191,TRUE,FALSE,Major,25311,00d07h01m51,0
HTTPCORE-193,FALSE,FALSE,Major,90369,01d01h06m09,0
HTTPCORE-112,TRUE,FALSE,Minor,8463728,97d23h02m08,0
HTTPCORE-196,FALSE,FALSE,Major,658837,07d15h00m37,0
HTTPCORE-197,FALSE,FALSE,Critical,130227,01d12h10m27,0
HTTPCORE-113,TRUE,FALSE,Minor,263844,03d01h17m24,0
HTTPCORE-304,TRUE,FALSE,Major,577925,06d16h32m05,0
HTTPCORE-306,FALSE,FALSE,Major,493072,05d16h57m52,0
HTTPCORE-309,TRUE,FALSE,Major,79125,00d21h58m45,0
HTTPCORE-542,FALSE,FALSE,Major,226,00d00h03m46,0
HTTPCORE-541,FALSE,FALSE,Major,60,00d00h01m00,0
HTTPCORE-540,FALSE,FALSE,Major,1174,00d00h19m34,0
HTTPCORE-263,FALSE,FALSE,Minor,27907081,322d23h58m01,1
HTTPCORE-260,FALSE,FALSE,Major,1250,00d00h20m50,0
HTTPCORE-261,TRUE,FALSE,Minor,48384,00d13h26m24,0
HTTPCORE-266,FALSE,FALSE,Critical,179232,02d01h47m12,0
HTTPCORE-117,TRUE,FALSE,Major,369336,04d06h35m36,0
HTTPCORE-118,FALSE,FALSE,Minor,210088,02d10h21m28,1
HTTPCORE-268,FALSE,FALSE,Major,177251,02d01h14m11,0
HTTPCORE-269,FALSE,FALSE,Major,408,00d00h06m48,0
HTTPCLIENT-1986,FALSE,FALSE,Major,28358,00d07h52m38,0
HTTPCLIENT-1981,TRUE,FALSE,Major,479396,05d13h09m56,0
