BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
IGNITE-12006,TRUE,TRUE,Major,600496,06d22h48m16,0
IGNITE-12004,FALSE,FALSE,Major,345493,03d23h58m13,0
IGNITE-7618,TRUE,TRUE,Major,19370634,224d04h43m54,0
IGNITE-12000,FALSE,FALSE,Major,9442,00d02h37m22,0
IGNITE-12001,FALSE,FALSE,Major,6541,00d01h49m01,0
IGNITE-1189,FALSE,FALSE,Major,612258,07d02h04m18,0
IGNITE-9760,TRUE,FALSE,Critical,27282,00d07h34m42,0
IGNITE-9761,FALSE,FALSE,Blocker,25496,00d07h04m56,0
IGNITE-9169,TRUE,FALSE,Major,1306463,15d02h54m23,0
IGNITE-4917,FALSE,FALSE,Major,168331,01d22h45m31,0
IGNITE-9162,TRUE,FALSE,Critical,4253538,49d05h32m18,0
IGNITE-9163,FALSE,FALSE,Minor,64931,00d18h02m11,0
IGNITE-7118,FALSE,FALSE,Major,587514,06d19h11m54,0
IGNITE-7117,FALSE,FALSE,Major,3873280,44d19h54m40,0
IGNITE-7114,FALSE,FALSE,Critical,609547,07d01h19m07,0
IGNITE-7110,FALSE,FALSE,Minor,245892,02d20h18m12,0
IGNITE-6500,FALSE,FALSE,Minor,31396054,363d09h07m34,0
IGNITE-5081,TRUE,FALSE,Major,593224,06d20h47m04,0
IGNITE-5080,TRUE,FALSE,Major,593350,06d20h49m10,0
IGNITE-5087,FALSE,FALSE,Major,6488787,75d02h26m27,0
IGNITE-2690,FALSE,FALSE,Trivial,1800904,20d20h15m04,0
IGNITE-3052,FALSE,FALSE,Major,158255,01d19h57m35,0
IGNITE-8739,TRUE,FALSE,Major,93658,01d02h00m58,0
IGNITE-3057,TRUE,FALSE,Major,621060,07d04h31m00,0
IGNITE-3055,TRUE,FALSE,Critical,6717806,77d18h03m26,0
IGNITE-7021,FALSE,FALSE,Critical,2171872,25d03h17m52,0
IGNITE-2050,TRUE,FALSE,Major,480494,05d13h28m14,0
IGNITE-6213,FALSE,FALSE,Major,2060215,23d20h16m55,0
IGNITE-6211,FALSE,FALSE,Major,273363,03d03h56m03,0
IGNITE-6210,FALSE,FALSE,Critical,1831746,21d04h49m06,0
IGNITE-6215,FALSE,FALSE,Major,608,00d00h10m08,0
IGNITE-6219,TRUE,FALSE,Critical,619561,07d04h06m01,0
IGNITE-5882,FALSE,FALSE,Major,84941,00d23h35m41,0
IGNITE-1566,TRUE,FALSE,Major,16935208,196d00h13m28,0
