BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ISIS-1470,FALSE,FALSE,Minor,9317313,107d20h08m33,0
ISIS-1770,TRUE,FALSE,Major,669883,07d18h04m43,0
ISIS-1777,FALSE,TRUE,Major,3437234,39d18h47m14,0
ISIS-896,FALSE,FALSE,Minor,3039,00d00h50m39,0
ISIS-1478,TRUE,FALSE,Minor,14883400,172d06h16m40,0
ISIS-451,TRUE,FALSE,Minor,702,00d00h11m42,0
ISIS-354,TRUE,FALSE,Major,11691,00d03h14m51,0
ISIS-359,TRUE,FALSE,Minor,1145,00d00h19m05,0
ISIS-942,FALSE,FALSE,Major,365100,04d05h25m00,0
ISIS-943,TRUE,FALSE,Minor,364698,04d05h18m18,0
ISIS-941,TRUE,FALSE,Minor,199838,02d07h30m38,0
ISIS-946,FALSE,FALSE,Critical,37750,00d10h29m10,0
ISIS-947,TRUE,FALSE,Major,87252,01d00h14m12,0
ISIS-1874,TRUE,FALSE,Blocker,3880,00d01h04m40,0
ISIS-1515,TRUE,FALSE,Minor,1742882,20d04h08m02,0
ISIS-1516,FALSE,FALSE,Trivial,874748,10d02h59m08,0
ISIS-1689,TRUE,FALSE,Minor,7984,00d02h13m04,0
ISIS-687,TRUE,FALSE,Minor,66941605,774d18h53m25,0
ISIS-686,FALSE,FALSE,Minor,1293441,14d23h17m21,0
ISIS-1177,FALSE,FALSE,Minor,1838,00d00h30m38,0
ISIS-1175,TRUE,FALSE,Trivial,886,00d00h14m46,0
ISIS-1174,TRUE,FALSE,Major,2898,00d00h48m18,0
ISIS-1179,FALSE,FALSE,Minor,742,00d00h12m22,0
ISIS-1676,FALSE,FALSE,Minor,22132,00d06h08m52,0
ISIS-1296,FALSE,FALSE,Minor,609058,07d01h10m58,0
ISIS-1423,FALSE,FALSE,Minor,1130780,13d02h06m20,0
ISIS-1422,TRUE,FALSE,Minor,31211,00d08h40m11,0
ISIS-1355,TRUE,FALSE,Minor,850695,09d20h18m15,0
ISIS-1057,TRUE,TRUE,Major,72626,00d20h10m26,1
ISIS-1190,TRUE,FALSE,Minor,16354,00d04h32m34,0
ISIS-1193,TRUE,FALSE,Major,10283561,119d00h32m41,0
ISIS-777,FALSE,FALSE,Critical,1212846,14d00h54m06,0
ISIS-676,FALSE,FALSE,Minor,256207,02d23h10m07,0
ISIS-578,FALSE,FALSE,Minor,11524255,133d09h10m55,0
ISIS-11,TRUE,FALSE,Minor,22264180,257d16h29m40,0
ISIS-1454,TRUE,FALSE,Minor,360882,04d04h14m42,0
ISIS-570,FALSE,FALSE,Minor,807838,09d08h23m58,0
ISIS-19,TRUE,FALSE,Major,41268,00d11h27m48,0
ISIS-18,TRUE,FALSE,Minor,33544938,388d06h02m18,0
ISIS-1452,TRUE,FALSE,Minor,8410,00d02h20m10,0
ISIS-1453,TRUE,FALSE,Minor,7889,00d02h11m29,0
ISIS-1229,TRUE,FALSE,Minor,288128,03d08h02m08,0
ISIS-1226,FALSE,FALSE,Minor,3375,00d00h56m15,0
ISIS-1224,TRUE,FALSE,Major,31167302,360d17h35m02,0
ISIS-1221,TRUE,FALSE,Major,4811574,55d16h32m54,0
ISIS-700,FALSE,FALSE,Minor,17742,00d04h55m42,0
ISIS-707,TRUE,FALSE,Minor,1016,00d00h16m56,0
ISIS-852,TRUE,FALSE,Major,4996365,57d19h52m45,0
ISIS-317,FALSE,FALSE,Trivial,511035,05d21h57m15,0
ISIS-313,TRUE,FALSE,Trivial,1486,00d00h24m46,0
ISIS-312,TRUE,FALSE,Trivial,90965,01d01h16m05,0
ISIS-256,TRUE,FALSE,Major,148764,01d17h19m24,0
ISIS-255,FALSE,FALSE,Minor,1834835,21d05h40m35,0
ISIS-1832,TRUE,FALSE,Minor,1213155,14d00h59m15,0
ISIS-1833,FALSE,FALSE,Minor,1117754,12d22h29m14,0
ISIS-1831,TRUE,FALSE,Major,545712,06d07h35m12,0
ISIS-824,TRUE,FALSE,Major,128490,01d11h41m30,0
ISIS-821,FALSE,FALSE,Major,70497,00d19h34m57,0
ISIS-828,TRUE,FALSE,Minor,683,00d00h11m23,0
ISIS-1642,TRUE,FALSE,Major,778395,09d00h13m15,0
ISIS-1647,TRUE,FALSE,Minor,343350,03d23h22m30,0
ISIS-1649,FALSE,FALSE,Minor,1291664,14d22h47m44,0
ISIS-1648,FALSE,FALSE,Minor,510003,05d21h40m03,0
ISIS-402,TRUE,FALSE,Trivial,134,00d00h02m14,0
ISIS-401,TRUE,FALSE,Minor,13828255,160d01h10m55,1
ISIS-404,TRUE,FALSE,Major,44323748,513d00h09m08,0
ISIS-408,TRUE,FALSE,Minor,892,00d00h14m52,0
ISIS-919,TRUE,FALSE,Minor,835,00d00h13m55,0
ISIS-1739,TRUE,FALSE,Major,4200255,48d14h44m15,0
ISIS-1631,TRUE,FALSE,Major,5375494,62d05h11m34,0
ISIS-911,TRUE,FALSE,Minor,3677854,42d13h37m34,0
ISIS-910,TRUE,FALSE,Major,855784,09d21h43m04,0
ISIS-912,TRUE,FALSE,Minor,476821,05d12h27m01,0
ISIS-915,TRUE,FALSE,Major,35564070,411d14h54m30,0
ISIS-1730,TRUE,FALSE,Minor,8635420,99d22h43m40,0
ISIS-1396,FALSE,FALSE,Minor,5684,00d01h34m44,0
ISIS-1466,FALSE,FALSE,Minor,37605344,435d05h55m44,0
ISIS-1461,TRUE,FALSE,Minor,1555,00d00h25m55,0
ISIS-1017,TRUE,FALSE,Critical,541011,06d06h16m51,0
ISIS-1010,TRUE,FALSE,Minor,543,00d00h09m03,0
ISIS-1011,TRUE,FALSE,Minor,1668127,19d07h22m07,0
ISIS-1545,TRUE,FALSE,Minor,1203,00d00h20m03,0
ISIS-1498,TRUE,FALSE,Minor,26878,00d07h27m58,0
ISIS-1490,FALSE,FALSE,Trivial,12139,00d03h22m19,0
ISIS-1168,TRUE,FALSE,Minor,251,00d00h04m11,0
ISIS-1493,FALSE,FALSE,Minor,80947,00d22h29m07,0
ISIS-1494,TRUE,FALSE,Minor,419568,04d20h32m48,0
ISIS-1496,FALSE,FALSE,Major,3572736,41d08h25m36,0
ISIS-1497,TRUE,FALSE,Major,27260,00d07h34m20,0
ISIS-1128,TRUE,FALSE,Major,23146162,267d21h29m22,0
ISIS-533,FALSE,FALSE,Major,5076,00d01h24m36,0
ISIS-531,TRUE,FALSE,Major,70,00d00h01m10,0
ISIS-1089,FALSE,FALSE,Trivial,603,00d00h10m03,0
ISIS-1125,FALSE,FALSE,Minor,29776640,344d15h17m20,0
ISIS-1069,TRUE,FALSE,Trivial,685121,07d22h18m41,0
ISIS-1305,TRUE,FALSE,Major,3173014,36d17h23m34,0
ISIS-1309,FALSE,FALSE,Major,2852044,33d00h14m04,0
ISIS-1062,FALSE,FALSE,Major,1903000,22d00h36m40,1
ISIS-1065,FALSE,FALSE,Critical,743930,08d14h38m50,0
ISIS-2107,TRUE,FALSE,Minor,1305817,15d02h43m37,0
ISIS-146,FALSE,FALSE,Minor,613,00d00h10m13,0
ISIS-899,TRUE,FALSE,Major,4190,00d01h09m50,0
ISIS-744,FALSE,FALSE,Minor,310252,03d14h10m52,0
ISIS-746,TRUE,FALSE,Minor,259256,03d00h00m56,0
ISIS-621,TRUE,FALSE,Minor,146190,01d16h36m30,1
ISIS-620,TRUE,FALSE,Major,25321,00d07h02m01,0
ISIS-627,FALSE,FALSE,Major,1711,00d00h28m31,0
ISIS-1738,TRUE,FALSE,Major,2726038,31d13h13m58,1
ISIS-1340,TRUE,FALSE,Minor,60902,00d16h55m02,0
ISIS-213,FALSE,FALSE,Minor,119,00d00h01m59,0
ISIS-1342,TRUE,FALSE,Minor,257011,02d23h23m31,0
ISIS-1731,TRUE,FALSE,Major,60772,00d16h52m52,0
ISIS-921,TRUE,FALSE,Major,5963,00d01h39m23,0
ISIS-1761,TRUE,FALSE,Major,4989390,57d17h56m30,0
ISIS-1768,TRUE,FALSE,Major,2934550,33d23h09m10,0
ISIS-885,TRUE,FALSE,Major,143636,01d15h53m56,0
ISIS-884,TRUE,FALSE,Blocker,83590,00d23h13m10,0
ISIS-883,TRUE,FALSE,Blocker,144354,01d16h05m54,0
ISIS-449,FALSE,FALSE,Minor,2208,00d00h36m48,0
ISIS-880,FALSE,FALSE,Minor,151711,01d18h08m31,0
ISIS-1393,TRUE,FALSE,Major,2070658,23d23h10m58,0
ISIS-442,FALSE,FALSE,Major,26155,00d07h15m55,1
ISIS-288,TRUE,FALSE,Major,1039142,12d00h39m02,0
ISIS-2061,FALSE,FALSE,Major,67938,00d18h52m18,0
ISIS-287,FALSE,FALSE,Minor,78,00d00h01m18,0
ISIS-1847,TRUE,FALSE,Major,2696135,31d04h55m35,1
ISIS-954,FALSE,FALSE,Minor,540,00d00h09m00,0
ISIS-811,TRUE,FALSE,Minor,40104,00d11h08m24,0
ISIS-812,FALSE,FALSE,Minor,830,00d00h13m50,0
ISIS-1848,TRUE,FALSE,Major,17066,00d04h44m26,0
ISIS-1111,FALSE,FALSE,Major,40,00d00h00m40,0
ISIS-1541,FALSE,FALSE,Minor,249253,02d21h14m13,0
ISIS-1502,FALSE,FALSE,Major,82452,00d22h54m12,0
ISIS-1690,FALSE,FALSE,Minor,233078,02d16h44m38,0
ISIS-1698,FALSE,FALSE,Major,7497087,86d18h31m27,0
ISIS-1699,FALSE,FALSE,Major,2901432,33d13h57m12,0
ISIS-99,FALSE,FALSE,Major,23471,00d06h31m11,0
ISIS-1985,FALSE,FALSE,Major,45553,00d12h39m13,0
ISIS-1595,FALSE,FALSE,Major,4913036,56d20h43m56,0
ISIS-1596,FALSE,FALSE,Minor,11578646,134d00h17m26,0
ISIS-1609,TRUE,FALSE,Minor,444271,05d03h24m31,0
ISIS-1608,FALSE,FALSE,Critical,8123456,94d00h30m56,0
ISIS-1605,FALSE,FALSE,Major,776956,08d23h49m16,0
ISIS-1607,FALSE,FALSE,Minor,2116,00d00h35m16,0
ISIS-1606,FALSE,FALSE,Minor,1050201,12d03h43m21,0
ISIS-1601,TRUE,FALSE,Minor,54452506,630d05h41m46,0
ISIS-1600,TRUE,FALSE,Major,9470705,109d14h45m05,0
ISIS-1602,FALSE,FALSE,Minor,79913,00d22h11m53,0
ISIS-1348,FALSE,FALSE,Minor,157708,01d19h48m28,0
ISIS-70,TRUE,FALSE,Minor,141894,01d15h24m54,0
ISIS-1432,FALSE,FALSE,Minor,2828,00d00h47m08,0
ISIS-1346,FALSE,FALSE,Minor,2824,00d00h47m04,0
ISIS-1347,TRUE,FALSE,Minor,495,00d00h08m15,0
ISIS-1436,TRUE,FALSE,Major,186273,02d03h44m33,0
ISIS-1341,TRUE,FALSE,Minor,257518,02d23h31m58,0
ISIS-1434,TRUE,FALSE,Minor,1047032,12d02h50m32,0
ISIS-1435,TRUE,FALSE,Major,869843,10d01h37m23,0
ISIS-1181,FALSE,FALSE,Minor,1538141,17d19h15m41,0
ISIS-787,TRUE,FALSE,Major,3642,00d01h00m42,0
ISIS-549,TRUE,FALSE,Major,10180,00d02h49m40,0
ISIS-545,FALSE,FALSE,Minor,1415219,16d09h06m59,0
ISIS-1336,FALSE,FALSE,Minor,5026650,58d04h17m30,0
ISIS-101,TRUE,FALSE,Minor,18453096,213d13h51m36,0
ISIS-629,FALSE,FALSE,Minor,4543599,52d14h06m39,0
ISIS-712,TRUE,FALSE,Critical,2346,00d00h39m06,0
ISIS-711,TRUE,FALSE,Minor,58292,00d16h11m32,0
ISIS-843,FALSE,FALSE,Minor,34450,00d09h34m10,0
ISIS-840,TRUE,FALSE,Major,60908,00d16h55m08,0
ISIS-847,TRUE,FALSE,Minor,38913401,450d09h16m41,0
ISIS-1132,TRUE,FALSE,Major,36460230,421d23h50m30,0
ISIS-1803,TRUE,FALSE,Major,278519,03d05h21m59,0
ISIS-1802,FALSE,FALSE,Minor,355468,04d02h44m28,0
ISIS-1806,TRUE,FALSE,Major,43273053,500d20h17m33,0
ISIS-1799,TRUE,FALSE,Minor,2647,00d00h44m07,0
ISIS-1657,FALSE,FALSE,Trivial,2612,00d00h43m32,0
ISIS-1795,FALSE,FALSE,Major,266615,03d02h03m35,0
ISIS-2118,TRUE,FALSE,Minor,102,00d00h01m42,0
ISIS-435,TRUE,FALSE,Major,63984,00d17h46m24,0
ISIS-431,TRUE,FALSE,Minor,30065127,347d23h25m27,0
ISIS-2115,FALSE,FALSE,Trivial,10586,00d02h56m26,0
ISIS-2116,FALSE,FALSE,Minor,2570,00d00h42m50,0
ISIS-966,TRUE,FALSE,Minor,280822,03d06h00m22,0
ISIS-961,TRUE,FALSE,Major,2943,00d00h49m03,0
ISIS-1477,FALSE,FALSE,Major,1040,00d00h17m20,0
ISIS-1474,FALSE,FALSE,Minor,4189412,48d11h43m32,0
ISIS-1475,FALSE,FALSE,Minor,1300006,15d01h06m46,0
ISIS-1472,TRUE,FALSE,Major,5809,00d01h36m49,0
ISIS-1579,FALSE,FALSE,Minor,7532436,87d04h20m36,0
ISIS-1578,TRUE,FALSE,Minor,854993,09d21h29m53,0
ISIS-1577,TRUE,FALSE,Minor,800359,09d06h19m19,0
ISIS-1575,FALSE,FALSE,Major,7972979,92d06h42m59,0
ISIS-1574,TRUE,FALSE,Minor,1062229,12d07h03m49,0
ISIS-1573,TRUE,FALSE,Minor,90222,01d01h03m42,0
ISIS-1571,TRUE,FALSE,Minor,1889185,21d20h46m25,0
ISIS-1570,FALSE,FALSE,Minor,2182128,25d06h08m48,0
WICKET-6021,FALSE,FALSE,Major,351355,04d01h35m55,1
WICKET-6020,TRUE,TRUE,Major,1024,00d00h17m04,0
ISIS-502,TRUE,FALSE,Major,423878,04d21h44m38,0
ISIS-1155,TRUE,FALSE,Minor,5338,00d01h28m58,0
ISIS-1278,FALSE,FALSE,Minor,725225,08d09h27m05,0
ISIS-1079,FALSE,FALSE,Minor,199194,02d07h19m54,0
ISIS-1073,TRUE,FALSE,Minor,7032,00d01h57m12,0
ISIS-1783,TRUE,FALSE,Major,1651086,19d02h38m06,0
ISIS-1076,TRUE,FALSE,Major,119629,01d09h13m49,0
ISIS-1074,FALSE,FALSE,Major,5059,00d01h24m19,0
ISIS-757,FALSE,FALSE,Minor,233700,02d16h55m00,0
ISIS-756,TRUE,FALSE,Minor,353676,04d02h14m36,0
ISIS-752,FALSE,FALSE,Trivial,187724,02d04h08m44,0
ISIS-619,TRUE,FALSE,Major,4357,00d01h12m37,0
ISIS-617,TRUE,FALSE,Minor,4123,00d01h08m43,0
ISIS-1382,FALSE,FALSE,Critical,3282321,37d23h45m21,0
ISIS-615,TRUE,FALSE,Major,6046,00d01h40m46,0
ISIS-759,FALSE,FALSE,Minor,66638,00d18h30m38,0
ISIS-758,FALSE,FALSE,Major,74853,00d20h47m33,0
ISIS-1208,TRUE,FALSE,Major,61651,00d17h07m31,0
ISIS-207,TRUE,FALSE,Minor,29624293,342d20h58m13,0
ISIS-1203,FALSE,FALSE,Minor,51427,00d14h17m07,0
ISIS-1202,FALSE,FALSE,Minor,7193320,83d06h08m40,0
ISIS-1204,FALSE,FALSE,Minor,51196,00d14h13m16,0
ISIS-1750,TRUE,FALSE,Major,6055369,70d02h02m49,0
ISIS-476,FALSE,FALSE,Minor,88709,01d00h38m29,0
ISIS-479,TRUE,FALSE,Major,418110,04d20h08m30,0
ISIS-275,FALSE,FALSE,Minor,10327139,119d12h38m59,0
ISIS-1851,TRUE,FALSE,Minor,632,00d00h10m32,0
ISIS-1853,TRUE,FALSE,Minor,25939,00d07h12m19,0
ISIS-1854,TRUE,FALSE,Major,251997,02d21h59m57,0
ISIS-1857,FALSE,FALSE,Major,1869,00d00h31m09,0
ISIS-805,FALSE,FALSE,Minor,10299353,119d04h55m53,0
ISIS-801,FALSE,FALSE,Minor,3189424,36d21h57m04,0
ISIS-1103,TRUE,FALSE,Major,1371,00d00h22m51,0
ISIS-83,FALSE,FALSE,Critical,500223,05d18h57m03,0
ISIS-87,FALSE,FALSE,Major,23606070,273d05h14m30,0
ISIS-385,TRUE,FALSE,Minor,1417,00d00h23m37,0
