BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
IVY-379,FALSE,FALSE,Major,21848635,252d21h03m55,0
IVY-83,FALSE,FALSE,Major,36775145,425d15h19m05,0
IVY-272,TRUE,FALSE,Minor,51868197,600d07h49m57,0
IVY-85,FALSE,FALSE,Major,36517058,422d15h37m38,0
IVY-1250,FALSE,FALSE,Major,1378950,15d23h02m30,0
IVY-1253,FALSE,FALSE,Major,1320487,15d06h48m07,0
IVY-86,FALSE,FALSE,Major,36442634,421d18h57m14,0
IVY-89,FALSE,FALSE,Major,87836320,1016d14h58m40,0
IVY-1315,FALSE,FALSE,Minor,199708429,2311d10h33m49,0
IVY-374,FALSE,FALSE,Minor,6744686,78d01h31m26,0
IVY-376,FALSE,FALSE,Trivial,15280,00d04h14m40,0
IVY-1313,FALSE,FALSE,Major,16165214,187d02h20m14,0
IVY-1465,TRUE,FALSE,Minor,22429842,259d14h30m42,0
IVY-1504,FALSE,FALSE,Major,187701,02d04h08m21,0
IVY-84,FALSE,FALSE,Major,36690416,424d15h46m56,0
IVY-87,FALSE,FALSE,Major,36439153,421d17h59m13,0
IVY-652,FALSE,FALSE,Major,23971837,277d10h50m37,0
IVY-874,FALSE,FALSE,Major,2406882,27d20h34m42,1
IVY-873,FALSE,FALSE,Major,313,00d00h05m13,0
IVY-656,FALSE,FALSE,Major,17607063,203d18h51m03,0
IVY-371,FALSE,FALSE,Major,83594,00d23h13m14,0
IVY-793,FALSE,FALSE,Trivial,123684965,1431d12h56m05,0
IVY-974,TRUE,FALSE,Major,8843139,102d08h25m39,0
IVY-975,FALSE,FALSE,Major,48346,00d13h25m46,0
IVY-797,FALSE,FALSE,Major,3721515,43d01h45m15,0
IVY-970,TRUE,FALSE,Major,564809,06d12h53m29,1
IVY-573,FALSE,FALSE,Major,31899082,369d04h51m22,0
IVY-571,FALSE,FALSE,Trivial,11655772,134d21h42m52,0
IVY-578,TRUE,FALSE,Minor,30666105,354d22h21m45,0
IVY-579,TRUE,FALSE,Major,22050750,255d05h12m30,0
IVY-776,FALSE,FALSE,Major,93996,01d02h06m36,0
IVY-777,TRUE,FALSE,Major,1386450,16d01h07m30,0
IVY-1225,TRUE,FALSE,Major,718889,08d07h41m29,0
IVY-772,FALSE,FALSE,Minor,950148,10d23h55m48,0
IVY-1227,TRUE,FALSE,Major,3062864,35d10h47m44,0
IVY-1229,TRUE,FALSE,Major,27953615,323d12h53m35,0
IVY-471,FALSE,FALSE,Minor,20778884,240d11h54m44,0
IVY-778,TRUE,FALSE,Major,881057,10d04h44m17,0
IVY-779,TRUE,FALSE,Major,1131835,13d02h23m55,0
IVY-475,TRUE,FALSE,Major,695450,08d01h10m50,0
IVY-474,TRUE,FALSE,Major,20402924,236d03h28m44,0
IVY-1383,FALSE,FALSE,Minor,289674,03d08h27m54,0
IVY-1388,TRUE,TRUE,Major,3223884,37d07h31m24,0
IVY-486,FALSE,FALSE,Major,284639,03d07h03m59,0
IVY-487,FALSE,FALSE,Major,4533584,52d11h19m44,0
IVY-488,FALSE,FALSE,Major,5830625,67d11h37m05,0
IVY-489,TRUE,FALSE,Major,130077,01d12h07m57,0
IVY-507,FALSE,FALSE,Major,2599,00d00h43m19,0
IVY-502,FALSE,FALSE,Major,155,00d00h02m35,0
IVY-501,TRUE,FALSE,Blocker,28308201,327d15h23m21,0
IVY-500,FALSE,FALSE,Blocker,35374,00d09h49m34,0
IVY-1037,FALSE,FALSE,Major,250428,02d21h33m48,0
IVY-1036,FALSE,FALSE,Major,114693513,1327d11h18m33,0
IVY-509,TRUE,FALSE,Major,1331246,15d09h47m26,0
IVY-508,FALSE,FALSE,Minor,1895518,21d22h31m58,0
IVY-1131,FALSE,FALSE,Major,2247324,26d00h15m24,0
IVY-1133,FALSE,FALSE,Major,1737221,20d02h33m41,0
IVY-1482,TRUE,FALSE,Major,73629088,852d04h31m28,0
IVY-1483,FALSE,FALSE,Major,112604703,1303d07h05m03,0
IVY-1486,TRUE,FALSE,Major,133873107,1549d10h58m27,0
IVY-1487,FALSE,FALSE,Major,2110472,24d10h14m32,0
IVY-203,FALSE,FALSE,Major,20779890,240d12h11m30,0
IVY-233,FALSE,FALSE,Major,18476011,213d20h13m31,0
IVY-232,TRUE,TRUE,Major,73947232,855d20h53m52,0
IVY-207,TRUE,FALSE,Major,20281448,234d17h44m08,0
IVY-1041,FALSE,FALSE,Major,90367,01d01h06m07,0
IVY-1159,TRUE,FALSE,Major,13168506,152d09h55m06,0
IVY-604,FALSE,FALSE,Critical,22693,00d06h18m13,0
IVY-601,FALSE,FALSE,Minor,1873442,21d16h24m02,0
IVY-602,FALSE,FALSE,Major,950,00d00h15m50,0
IVY-603,FALSE,FALSE,Major,747966,08d15h46m06,0
IVY-1545,TRUE,FALSE,Major,59104405,684d01h53m25,0
IVY-1546,TRUE,FALSE,Minor,45133566,522d09h06m06,0
IVY-1540,TRUE,FALSE,Major,47362352,548d04h12m32,0
IVY-191,FALSE,FALSE,Minor,22775635,263d14h33m55,0
IVY-1549,FALSE,FALSE,Major,4782498,55d08h28m18,0
IVY-932,FALSE,FALSE,Major,877,00d00h14m37,0
IVY-282,FALSE,FALSE,Major,7502352,86d19h59m12,0
IVY-931,FALSE,FALSE,Major,1678151,19d10h09m11,0
IVY-284,FALSE,FALSE,Minor,7478945,86d13h29m05,0
IVY-935,FALSE,FALSE,Major,191,00d00h03m11,0
IVY-288,FALSE,FALSE,Critical,6955079,80d11h57m59,0
IVY-289,FALSE,FALSE,Major,6960864,80d13h34m24,0
IVY-112,FALSE,FALSE,Major,30554919,353d15h28m39,0
IVY-838,TRUE,FALSE,Major,25820,00d07h10m20,0
IVY-116,FALSE,FALSE,Major,29188521,337d19h55m21,0
IVY-117,FALSE,FALSE,Major,28905609,334d13h20m09,0
IVY-119,FALSE,FALSE,Major,28896924,334d10h55m24,0
IVY-831,TRUE,FALSE,Major,24303,00d06h45m03,0
IVY-837,FALSE,FALSE,Major,12049,00d03h20m49,0
IVY-293,TRUE,FALSE,Major,6554772,75d20h46m12,0
IVY-303,FALSE,FALSE,Major,5830208,67d11h30m08,0
IVY-1186,TRUE,FALSE,Major,4294369,49d16h52m49,0
IVY-1268,TRUE,FALSE,Minor,2788645,32d06h37m25,0
IVY-1269,FALSE,FALSE,Minor,173987,02d00h19m47,0
IVY-292,TRUE,FALSE,Major,6562475,75d22h54m35,0
IVY-1265,FALSE,FALSE,Minor,7413624,85d19h20m24,0
IVY-1266,FALSE,FALSE,Minor,7412672,85d19h04m32,0
IVY-291,FALSE,FALSE,Major,6616469,76d13h54m29,0
IVY-1263,FALSE,FALSE,Minor,37741494,436d19h44m54,0
IVY-1343,TRUE,FALSE,Critical,624105,07d05h21m45,0
IVY-1438,FALSE,FALSE,Major,17517,00d04h51m57,0
IVY-1340,FALSE,FALSE,Minor,202821,02d08h20m21,0
IVY-1344,FALSE,FALSE,Minor,9774014,113d03h00m14,0
IVY-1430,TRUE,FALSE,Major,64679476,748d14h31m16,0
IVY-733,FALSE,FALSE,Major,11597623,134d05h33m43,0
