BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
JCRVLT-55,TRUE,FALSE,Major,13949,00d03h52m29,0
JCRVLT-147,TRUE,FALSE,Major,2916,00d00h48m36,0
JCRVLT-258,FALSE,FALSE,Major,75245,00d20h54m05,0
JCRVLT-89,FALSE,FALSE,Minor,22633479,261d23h04m39,0
JCRVLT-162,FALSE,FALSE,Major,5952,00d01h39m12,0
JCRVLT-76,FALSE,FALSE,Major,5450,00d01h30m50,0
JCRVLT-77,FALSE,FALSE,Major,105,00d00h01m45,0
JCRVLT-293,FALSE,FALSE,Major,1706744,19d18h05m44,0
JCRVLT-292,FALSE,FALSE,Major,1863822,21d13h43m42,0
JCRVLT-294,FALSE,FALSE,Minor,5561,00d01h32m41,0
JCRVLT-17,TRUE,FALSE,Major,39,00d00h00m39,0
JCRVLT-108,TRUE,FALSE,Major,50820,00d14h07m00,0
JCRVLT-36,FALSE,FALSE,Major,2091,00d00h34m51,0
JCRVLT-37,TRUE,FALSE,Blocker,1908,00d00h31m48,0
JCRVLT-34,FALSE,FALSE,Major,6629,00d01h50m29,0
JCRVLT-146,FALSE,FALSE,Major,426193,04d22h23m13,0
JCRVLT-39,TRUE,FALSE,Major,727,00d00h12m07,0
JCRVLT-91,FALSE,FALSE,Major,82,00d00h01m22,0
JCRVLT-92,TRUE,FALSE,Major,3558,00d00h59m18,0
JCRVLT-94,FALSE,FALSE,Major,110493,01d06h41m33,0
JCRVLT-265,TRUE,FALSE,Major,8975,00d02h29m35,0
JCRVLT-266,TRUE,FALSE,Major,231299,02d16h14m59,0
JCRVLT-157,TRUE,FALSE,Major,17019,00d04h43m39,1
JCRVLT-98,TRUE,FALSE,Major,929344,10d18h09m04,0
JCRVLT-247,FALSE,FALSE,Major,9581,00d02h39m41,0
JCRVLT-198,TRUE,FALSE,Major,1520221,17d14h17m01,0
JCRVLT-300,FALSE,FALSE,Major,5327532,61d15h52m12,0
JCRVLT-323,FALSE,FALSE,Major,14980448,173d09h14m08,0
JCRVLT-305,FALSE,TRUE,Major,643001,07d10h36m41,0
JCRVLT-177,FALSE,FALSE,Major,2846987,32d22h49m47,0
JCRVLT-225,FALSE,FALSE,Major,1137,00d00h18m57,0
JCRVLT-226,FALSE,FALSE,Major,715,00d00h11m55,0
JCRVLT-322,FALSE,FALSE,Minor,27005,00d07h30m05,0
JCRVLT-81,TRUE,FALSE,Major,5199089,60d04h11m29,0
JCRVLT-329,FALSE,FALSE,Major,388,00d00h06m28,0
JCRVLT-208,TRUE,FALSE,Major,5092679,58d22h37m59,1
JCRVLT-137,FALSE,FALSE,Major,3955,00d01h05m55,0
JCRVLT-130,TRUE,FALSE,Major,874,00d00h14m34,0
JCRVLT-117,TRUE,FALSE,Major,5219,00d01h26m59,0
JCRVLT-114,TRUE,TRUE,Major,508,00d00h08m28,0
JCRVLT-43,FALSE,FALSE,Minor,12860,00d03h34m20,0
JCRVLT-42,TRUE,FALSE,Major,5875,00d01h37m55,0
JCRVLT-41,TRUE,FALSE,Major,181521,02d02h25m21,0
JCRVLT-75,FALSE,FALSE,Blocker,2360,00d00h39m20,0
JCRVLT-68,FALSE,FALSE,Minor,12090,00d03h21m30,0
JCRVLT-45,FALSE,FALSE,Major,453541,05d05h59m01,0
JCRVLT-44,FALSE,FALSE,Major,18942,00d05h15m42,0
JCRVLT-65,FALSE,FALSE,Major,611535,07d01h52m15,0
JCRVLT-64,TRUE,FALSE,Major,952567,11d00h36m07,1
JCRVLT-67,TRUE,FALSE,Major,88586,01d00h36m26,0
JCRVLT-48,TRUE,FALSE,Minor,16458,00d04h34m18,0
JCRVLT-60,TRUE,FALSE,Minor,13323285,154d04h54m45,0
JCRVLT-63,TRUE,FALSE,Major,392135,04d12h55m35,0
JCRVLT-158,FALSE,FALSE,Major,3505523,40d13h45m23,0
JCRVLT-21,FALSE,FALSE,Major,41404090,479d05h08m10,0
JCRVLT-22,FALSE,FALSE,Major,12488,00d03h28m08,0
JCRVLT-24,TRUE,FALSE,Major,6415110,74d05h58m30,0
JCRVLT-27,TRUE,FALSE,Major,2400,00d00h40m00,0
JCRVLT-26,TRUE,FALSE,Major,12182,00d03h23m02,0
JCRVLT-143,TRUE,FALSE,Major,1064,00d00h17m44,0
JCRVLT-144,FALSE,FALSE,Major,1018122,11d18h48m42,0
JCRVLT-334,FALSE,FALSE,Blocker,3910,00d01h05m10,0
JCRVLT-197,TRUE,FALSE,Major,8882263,102d19h17m43,0
JCRVLT-185,FALSE,TRUE,Minor,34774,00d09h39m34,0
JCRVLT-184,FALSE,FALSE,Minor,12159293,140d17h34m53,0
JCRVLT-169,TRUE,FALSE,Major,2799,00d00h46m39,0
JCRVLT-186,FALSE,FALSE,Critical,1303106,15d01h58m26,0
JCRVLT-86,FALSE,FALSE,Major,54441,00d15h07m21,0
JCRVLT-257,TRUE,FALSE,Critical,127603,01d11h26m43,0
JCRVLT-84,FALSE,FALSE,Major,7389,00d02h03m09,0
JCRVLT-83,FALSE,FALSE,Major,66056,00d18h20m56,0
JCRVLT-250,TRUE,FALSE,Minor,6003207,69d11h33m27,0
JCRVLT-235,TRUE,FALSE,Major,667,00d00h11m07,0
JCRVLT-227,TRUE,FALSE,Major,60972,00d16h56m12,0
JCRVLT-121,FALSE,FALSE,Minor,1402284,16d05h31m24,0
JCRVLT-317,FALSE,FALSE,Major,1253,00d00h20m53,0
JCRVLT-126,FALSE,FALSE,Major,868508,10d01h15m08,0
JCRVLT-66,TRUE,FALSE,Major,93576,01d01h59m36,0
JCRVLT-100,TRUE,FALSE,Major,35089,00d09h44m49,0
JCRVLT-338,FALSE,FALSE,Major,250034,02d21h27m14,0
JCRVLT-128,FALSE,FALSE,Major,1724815,19d23h06m55,0
JCRVLT-149,FALSE,TRUE,Major,2739,00d00h45m39,0
JCRVLT-106,FALSE,FALSE,Minor,24594120,284d15h42m00,0
