BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OAK-2441,TRUE,FALSE,Major,3575,00d00h59m35,0
OAK-448,FALSE,FALSE,Major,58061,00d16h07m41,0
OAK-1848,FALSE,FALSE,Major,998377,11d13h19m37,0
OAK-447,FALSE,FALSE,Major,92351,01d01h39m11,0
OAK-439,TRUE,FALSE,Minor,5144,00d01h25m44,0
OAK-928,FALSE,TRUE,Major,11404952,132d00h02m32,1
OAK-929,TRUE,FALSE,Major,156912,01d19h35m12,1
OAK-432,FALSE,FALSE,Blocker,8151,00d02h15m51,0
OAK-926,TRUE,FALSE,Major,4942075,57d04h47m55,0
OAK-927,TRUE,FALSE,Major,1488356,17d05h25m56,0
OAK-921,FALSE,FALSE,Major,5694,00d01h34m54,0
OAK-923,TRUE,FALSE,Major,350390,04d01h19m50,0
OAK-212,TRUE,FALSE,Major,31111313,360d02h01m53,0
OAK-213,FALSE,FALSE,Minor,834,00d00h13m54,0
OAK-211,FALSE,FALSE,Major,1438,00d00h23m58,0
OAK-740,FALSE,FALSE,Major,62506,00d17h21m46,0
OAK-5034,FALSE,TRUE,Major,183788,02d03h03m08,0
OAK-215,FALSE,FALSE,Major,162,00d00h02m42,0
OAK-218,TRUE,FALSE,Major,9592762,111d00h39m22,0
OAK-219,FALSE,FALSE,Major,1743,00d00h29m03,0
OAK-748,TRUE,FALSE,Major,73141,00d20h19m01,1
OAK-749,TRUE,FALSE,Minor,8216,00d02h16m56,0
OAK-1902,TRUE,FALSE,Major,430709,04d23h38m29,0
OAK-1903,FALSE,FALSE,Major,402126,04d15h42m06,0
OAK-6620,TRUE,FALSE,Minor,3667,00d01h01m07,0
OAK-6624,FALSE,FALSE,Major,61836,00d17h10m36,0
OAK-85,FALSE,FALSE,Major,4166,00d01h09m26,0
OAK-82,TRUE,FALSE,Minor,251,00d00h04m11,0
OAK-83,FALSE,FALSE,Major,78266,00d21h44m26,0
OAK-695,TRUE,FALSE,Minor,2234376,25d20h39m36,1
OAK-278,FALSE,FALSE,Major,646,00d00h10m46,0
OAK-691,FALSE,FALSE,Major,3428,00d00h57m08,0
OAK-2343,FALSE,FALSE,Major,91,00d00h01m31,0
OAK-2345,TRUE,FALSE,Major,5788,00d01h36m28,0
OAK-2347,TRUE,FALSE,Major,436574,05d01h16m14,0
OAK-2346,FALSE,FALSE,Minor,379,00d00h06m19,0
OAK-324,FALSE,FALSE,Minor,3542941,41d00h09m01,0
OAK-7198,FALSE,FALSE,Minor,597113,06d21h51m53,0
OAK-3838,TRUE,TRUE,Major,163380,01d21h23m00,0
OAK-5107,FALSE,TRUE,Major,249,00d00h04m09,0
OAK-5104,FALSE,FALSE,Minor,87,00d00h01m27,0
OAK-5102,TRUE,FALSE,Major,147,00d00h02m27,0
OAK-105,FALSE,FALSE,Major,1054875,12d05h01m15,0
OAK-5108,FALSE,FALSE,Major,12349,00d03h25m49,0
OAK-101,TRUE,FALSE,Major,49771529,576d01h25m29,1
OAK-1670,FALSE,TRUE,Blocker,4069,00d01h07m49,0
OAK-7449,FALSE,FALSE,Major,819,00d00h13m39,0
OAK-6133,FALSE,FALSE,Minor,2334,00d00h38m54,0
OAK-7447,FALSE,FALSE,Trivial,107912,01d05h58m32,1
OAK-2123,FALSE,FALSE,Major,154041,01d18h47m21,0
OAK-1674,FALSE,FALSE,Major,258324,02d23h45m24,0
OAK-7687,FALSE,FALSE,Major,171574,01d23h39m34,0
OAK-7686,FALSE,FALSE,Major,136269,01d13h51m09,0
OAK-1675,FALSE,FALSE,Blocker,21470,00d05h57m50,0
OAK-2655,FALSE,FALSE,Major,21789569,252d04h39m29,0
OAK-7551,TRUE,FALSE,Major,84694,00d23h31m34,0
OAK-4189,FALSE,FALSE,Major,11309,00d03h08m29,0
OAK-2658,FALSE,TRUE,Major,514081,05d22h48m01,1
OAK-7147,TRUE,FALSE,Minor,3608,00d01h00m08,0
OAK-840,FALSE,FALSE,Major,610239,07d01h30m39,0
OAK-4346,FALSE,FALSE,Major,599793,06d22h36m33,0
OAK-4345,FALSE,FALSE,Major,6621,00d01h50m21,0
OAK-2174,TRUE,FALSE,Major,3506,00d00h58m26,0
OAK-5215,FALSE,FALSE,Minor,272190,03d03h36m30,0
OAK-1054,FALSE,FALSE,Major,4980,00d01h23m00,0
OAK-1055,TRUE,FALSE,Major,1451603,16d19h13m23,1
OAK-6006,FALSE,FALSE,Major,1893,00d00h31m33,0
OAK-1053,FALSE,FALSE,Minor,6427,00d01h47m07,0
JCR-3482,FALSE,FALSE,Minor,3278,00d00h54m38,0
OAK-2012,TRUE,FALSE,Major,1275590,14d18h19m50,0
OAK-2015,TRUE,TRUE,Major,601844,06d23h10m44,0
