BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
JCR-3063,TRUE,FALSE,Major,2949295,34d03h14m55,1
JCR-3065,FALSE,FALSE,Minor,10538,00d02h55m38,0
JCR-3711,FALSE,FALSE,Minor,18497,00d05h08m17,0
JCR-3710,FALSE,FALSE,Minor,5261,00d01h27m41,0
JCR-3247,FALSE,FALSE,Minor,1646,00d00h27m26,0
JCR-3719,FALSE,FALSE,Major,113,00d00h01m53,0
JCR-3718,TRUE,FALSE,Major,4983,00d01h23m03,0
JCR-210,FALSE,FALSE,Minor,143067,01d15h44m27,0
JCR-211,FALSE,FALSE,Minor,30977,00d08h36m17,0
JCR-214,FALSE,FALSE,Major,3694,00d01h01m34,0
JCR-216,TRUE,FALSE,Major,39066,00d10h51m06,0
JCR-3399,FALSE,FALSE,Major,324041,03d18h00m41,0
JCR-3398,FALSE,FALSE,Major,33177913,384d00h05m13,0
JCR-2600,FALSE,FALSE,Trivial,1508,00d00h25m08,0
JCR-3390,TRUE,TRUE,Major,53536,00d14h52m16,0
JCR-945,FALSE,FALSE,Minor,324,00d00h05m24,0
JCR-3665,TRUE,FALSE,Major,181183,02d02h19m43,0
JCR-1450,FALSE,FALSE,Trivial,5354763,61d23h26m03,0
JCR-2531,FALSE,FALSE,Major,124,00d00h02m04,0
JCR-2820,FALSE,FALSE,Major,422732,04d21h25m32,0
JCR-2821,TRUE,FALSE,Minor,92621,01d01h43m41,0
JCR-2826,TRUE,FALSE,Major,1022,00d00h17m02,1
JCR-2536,TRUE,FALSE,Major,693024,08d00h30m24,0
JCR-2537,FALSE,FALSE,Major,73,00d00h01m13,0
JCR-2539,TRUE,FALSE,Minor,53232930,616d02h55m30,0
JCR-2828,FALSE,FALSE,Major,142,00d00h02m22,0
JCR-2829,FALSE,FALSE,Major,481,00d00h08m01,1
JCR-2282,FALSE,FALSE,Minor,350476,04d01h21m16,0
JCR-2283,FALSE,FALSE,Minor,16880,00d04h41m20,0
JCR-1457,FALSE,FALSE,Critical,72495451,839d01h37m31,0
JCR-3805,TRUE,FALSE,Major,1271354,14d17h09m14,0
JCR-3809,TRUE,FALSE,Major,8793,00d02h26m33,0
JCR-2138,TRUE,FALSE,Major,1552045,17d23h07m25,0
JCR-508,FALSE,FALSE,Major,570645,06d14h30m45,0
JCR-504,FALSE,FALSE,Major,568700,06d13h58m20,0
JCR-505,FALSE,FALSE,Major,569228,06d14h07m08,0
JCR-507,FALSE,FALSE,Major,570514,06d14h28m34,0
JCR-500,FALSE,FALSE,Major,565940,06d13h12m20,0
JCR-501,FALSE,FALSE,Major,565947,06d13h12m27,0
JCR-502,FALSE,FALSE,Major,643005,07d10h36m45,0
JCR-503,FALSE,FALSE,Major,643216,07d10h40m16,0
JCR-3483,FALSE,FALSE,Critical,916,00d00h15m16,0
JCR-3482,FALSE,FALSE,Minor,3278,00d00h54m38,0
JCR-3486,FALSE,FALSE,Major,6748,00d01h52m28,0
JCR-3485,FALSE,FALSE,Major,3379900,39d02h51m40,0
JCR-2627,TRUE,FALSE,Major,252580,02d22h09m40,1
JCR-2621,TRUE,FALSE,Major,518339,05d23h58m59,0
JCR-2755,FALSE,FALSE,Minor,3609,00d01h00m09,0
JCR-2752,FALSE,FALSE,Minor,492,00d00h08m12,0
JCR-2753,TRUE,FALSE,Major,708,00d00h11m48,0
JCR-2758,FALSE,FALSE,Major,174,00d00h02m54,0
JCR-3937,FALSE,TRUE,Major,407134,04d17h05m34,0
JCR-3934,FALSE,TRUE,Minor,110162,01d06h36m02,0
JCR-439,FALSE,FALSE,Major,239064,02d18h24m24,0
JCR-434,FALSE,FALSE,Minor,146073,01d16h34m33,0
JCR-436,FALSE,FALSE,Major,1120025,12d23h07m05,0
JCR-437,FALSE,FALSE,Major,244,00d00h04m04,0
JCR-1634,TRUE,FALSE,Major,30676131,355d01h08m51,1
JCR-1632,TRUE,FALSE,Major,4761681,55d02h41m21,0
JCR-1633,FALSE,FALSE,Major,29863791,345d15h29m51,0
JCR-1630,FALSE,FALSE,Blocker,10127416,117d05h10m16,0
JCR-1638,TRUE,FALSE,Major,10449133,120d22h32m13,0
JCR-1120,FALSE,FALSE,Minor,1258,00d00h20m58,0
JCR-1121,FALSE,FALSE,Major,493,00d00h08m13,0
JCR-720,FALSE,FALSE,Major,17636,00d04h53m56,0
JCR-1127,FALSE,FALSE,Major,2162380,25d00h39m40,0
JCR-722,FALSE,FALSE,Major,100623,01d03h57m03,0
JCR-1128,FALSE,FALSE,Minor,4855,00d01h20m55,0
JCR-1708,FALSE,FALSE,Minor,2501552,28d22h52m32,0
JCR-3095,TRUE,FALSE,Major,3296,00d00h54m56,0
